Date,Austria
1960-01-01,100.00000
1960-02-01,100.07805
1960-03-01,100.08074
1960-04-01,100.10920
1960-05-01,100.11189
1960-06-01,100.05960
1960-07-01,99.95040
1960-08-01,99.67857
1960-09-01,99.58552
1960-10-01,99.84428
1960-11-01,100.04422
1960-12-01,100.10420
1961-01-01,100.15110
1961-02-01,100.25299
1961-03-01,100.35219
1961-04-01,100.37334
1961-05-01,100.36796
1961-06-01,100.21108
1961-07-01,99.72740
1961-08-01,99.62935
1961-09-01,99.52093
1961-10-01,99.45402
1961-11-01,99.48517
1961-12-01,99.42596
1962-01-01,99.48748
1962-02-01,99.49786
1962-03-01,99.45672
1962-04-01,99.37713
1962-05-01,99.35636
1962-06-01,99.35137
1962-07-01,99.35137
1962-08-01,99.35137
1962-09-01,99.35137
1962-10-01,99.34867
1962-11-01,99.40289
1962-12-01,99.36675
1963-01-01,99.36675
1963-02-01,99.41288
1963-03-01,99.40020
1963-04-01,99.41288
1963-05-01,99.41058
1963-06-01,99.34637
1963-07-01,99.30254
1963-08-01,99.32061
1963-09-01,99.33599
1963-10-01,99.38712
1963-11-01,99.45672
1963-12-01,99.37713
1964-01-01,99.34637
1964-02-01,99.40020
1964-03-01,99.41558
1964-04-01,99.38482
1964-05-01,99.38712
1964-06-01,99.36675
1964-07-01,99.32561
1964-08-01,99.28716
1964-09-01,99.32061
1964-10-01,99.35406
1964-11-01,99.36944
1964-12-01,99.33329
1965-01-01,99.35906
1965-02-01,99.40020
1965-03-01,99.36675
1965-04-01,99.35137
1965-05-01,99.34867
1965-06-01,99.31792
1965-07-01,99.28446
1965-08-01,99.28985
1965-09-01,99.29754
1965-10-01,99.33329
1965-11-01,99.35137
1965-12-01,99.40289
1966-01-01,99.42057
1966-02-01,99.43096
1966-03-01,99.41288
1966-04-01,99.41058
1966-05-01,99.40020
1966-06-01,99.36675
1966-07-01,99.33868
1966-08-01,99.30523
1966-09-01,99.29984
1966-10-01,99.35137
1966-11-01,99.43365
1966-12-01,99.47748
1967-01-01,99.48517
1967-02-01,99.47210
1967-03-01,99.40519
1967-04-01,99.40519
1967-05-01,99.38712
1967-06-01,99.35636
1967-07-01,99.31522
1967-08-01,99.27947
1967-09-01,99.29984
1967-10-01,99.36944
1967-11-01,99.46441
1967-12-01,99.36175
1968-01-01,99.48517
1968-02-01,99.49286
1968-03-01,99.51862
1968-04-01,99.46710
1968-05-01,99.42826
1968-06-01,99.39481
1968-07-01,99.33599
1968-08-01,99.34637
1968-09-01,99.34637
1968-10-01,99.33599
1968-11-01,99.44403
1968-12-01,99.40020
1969-01-01,99.42826
1969-02-01,99.47979
1969-03-01,99.42596
1969-04-01,99.43096
1969-05-01,99.49017
1969-06-01,99.48748
1969-07-01,99.44403
1969-08-01,99.43365
1969-09-01,99.51324
1969-10-01,99.49517
1969-11-01,99.55438
1969-12-01,99.47479
1970-01-01,99.48248
1970-02-01,99.44633
1970-03-01,99.44633
1970-04-01,99.47748
1970-05-01,99.57245
1970-06-01,99.56245
1970-07-01,99.42826
1970-08-01,99.51093
1970-09-01,99.39251
1970-10-01,99.35636
1970-11-01,99.41288
1970-12-01,99.40020
1971-01-01,99.44134
1971-02-01,99.47748
1971-03-01,99.42826
1971-04-01,99.36175
1971-05-01,95.16889
1971-06-01,95.16889
1971-07-01,95.16889
1971-08-01,95.16889
1971-09-01,93.70783
1971-10-01,93.02728
1971-11-01,93.02728
1971-12-01,91.35090
1972-01-01,90.12823
1972-02-01,89.08626
1972-03-01,88.65179
1972-04-01,88.89786
1972-05-01,88.83634
1972-06-01,88.44801
1972-07-01,88.00584
1972-08-01,88.42878
1972-09-01,88.65179
1972-10-01,89.16700
1972-11-01,89.20930
1972-12-01,89.00167
1973-01-01,88.92324
1973-02-01,84.32935
1973-03-01,79.07992
1973-04-01,79.55745
1973-05-01,78.27749
1973-06-01,73.15455
1973-07-01,66.23181
1973-08-01,68.73330
1973-09-01,69.06396
1973-10-01,68.60065
1973-11-01,72.89578
1973-12-01,75.19503
1974-01-01,79.45749
1974-02-01,76.76913
1974-03-01,74.43067
1974-04-01,72.03145
1974-05-01,68.94900
1974-06-01,69.74835
1974-07-01,69.88869
1974-08-01,71.33514
1974-09-01,72.51937
1974-10-01,71.05331
1974-11-01,69.07549
1974-12-01,67.22033
1975-01-01,64.65540
1975-02-01,63.63189
1975-03-01,63.33814
1975-04-01,64.72884
1975-05-01,64.01061
1975-06-01,63.66765
1975-07-01,66.92927
1975-08-01,69.84986
1975-09-01,71.01832
1975-10-01,70.35854
1975-11-01,70.42121
1975-12-01,71.17750
1976-01-01,70.71842
1976-02-01,70.30778
1976-03-01,70.65844
1976-04-01,69.91176
1976-05-01,70.53271
1976-06-01,70.89375
1976-07-01,70.47388
1976-08-01,69.02628
1976-09-01,67.94240
1976-10-01,66.31793
1976-11-01,65.85732
1976-12-01,65.04566
1977-01-01,65.28673
1977-02-01,65.70390
1977-03-01,65.28827
1977-04-01,64.79728
1977-05-01,64.52660
1977-06-01,64.40279
1977-07-01,62.29733
1977-08-01,63.22010
1977-09-01,63.64189
1977-10-01,62.46919
1977-11-01,61.43953
1977-12-01,59.32253
1978-01-01,58.46358
1978-02-01,57.34356
1978-03-01,56.29813
1978-04-01,56.46808
1978-05-01,58.64160
1978-06-01,57.63116
1978-07-01,56.90601
1978-08-01,55.44610
1978-09-01,54.81131
1978-10-01,51.85535
1978-11-01,53.58979
1978-12-01,52.95500
1979-01-01,52.00108
1979-02-01,52.25945
1979-03-01,52.42709
1979-04-01,53.45906
1979-05-01,53.98543
1979-06-01,53.37140
1979-07-01,51.51624
1979-08-01,51.40050
1979-09-01,49.87062
1979-10-01,49.50574
1979-11-01,49.01974
1979-12-01,48.00700
1980-01-01,47.61520
1980-02-01,48.16541
1980-03-01,50.91528
1980-04-01,51.55161
1980-05-01,49.13663
1980-06-01,48.37765
1980-07-01,47.68133
1980-08-01,48.78367
1980-09-01,48.69600
1980-10-01,50.07555
1980-11-01,52.31713
1980-12-01,53.73551
1981-01-01,54.70865
1981-02-01,58.56316
1981-03-01,57.29896
1981-04-01,58.60815
