Date,Belgium
1960-01-01,100.00000
1960-02-01,99.94510
1960-03-01,99.93007
1960-04-01,99.88038
1960-05-01,99.91023
1960-06-01,99.92025
1960-07-01,99.97996
1960-08-01,100.41096
1960-09-01,100.06492
1960-10-01,99.88038
1960-11-01,99.53795
1960-12-01,99.53294
1961-01-01,99.81566
1961-02-01,100.05490
1961-03-01,99.97495
1961-04-01,100.26008
1961-05-01,100.27010
1961-06-01,100.09477
1961-07-01,99.78080
1961-08-01,99.78580
1961-09-01,99.76597
1961-10-01,99.76096
1961-11-01,99.76096
1961-12-01,99.75595
1962-01-01,99.75595
1962-02-01,99.75595
1962-03-01,99.75595
1962-04-01,99.78580
1962-05-01,99.74112
1962-06-01,99.69644
1962-07-01,99.67159
1962-08-01,99.66178
1962-09-01,99.72129
1962-10-01,99.71628
1962-11-01,99.69644
1962-12-01,99.69644
1963-01-01,99.75595
1963-02-01,99.82067
1963-03-01,99.94009
1963-04-01,99.89521
1963-05-01,99.91023
1963-06-01,100.00501
1963-07-01,99.99499
1963-08-01,99.98998
1963-09-01,100.00000
1963-10-01,100.05490
1963-11-01,99.89020
1963-12-01,99.85052
1964-01-01,99.83049
1964-02-01,99.84551
1964-03-01,99.83550
1964-04-01,99.77579
1964-05-01,99.74112
1964-06-01,99.88519
1964-07-01,99.76096
1964-08-01,99.67159
1964-09-01,99.55778
1964-10-01,99.45880
1964-11-01,99.44417
1964-12-01,99.46882
1965-01-01,99.44898
1965-02-01,99.45399
1965-03-01,99.46882
1965-04-01,99.45399
1965-05-01,99.45399
1965-06-01,99.45399
1965-07-01,99.46381
1965-08-01,99.45880
1965-09-01,99.48846
1965-10-01,99.53795
1965-11-01,99.46381
1965-12-01,99.48365
1966-01-01,99.61208
1966-02-01,99.65176
1966-03-01,99.75094
1966-04-01,99.91524
1966-05-01,99.74112
1966-06-01,99.79081
1966-07-01,99.63693
1966-08-01,99.57742
1966-09-01,100.01002
1966-10-01,100.17993
1966-11-01,100.12483
1966-12-01,100.25006
1967-01-01,100.15990
