Date,Chile
1960-01-01,100.00000
1960-02-01,100.00000
1960-03-01,100.00000
1960-04-01,100.09542
1960-05-01,100.09542
1960-06-01,100.28627
1960-07-01,100.19085
1960-08-01,100.19085
1960-09-01,100.00000
1960-10-01,100.09542
1960-11-01,100.09542
1960-12-01,100.09542
1961-01-01,100.28627
1961-02-01,100.28627
1961-03-01,100.09542
1961-04-01,100.19085
1961-05-01,100.19085
1961-06-01,100.19085
1961-07-01,100.09542
1961-08-01,100.09542
1961-09-01,100.38169
1961-10-01,100.28627
1961-11-01,100.28627
1961-12-01,100.09542
1962-01-01,100.00000
1962-02-01,100.00000
1962-03-01,100.47711
1962-04-01,100.28627
1962-05-01,100.28627
1962-06-01,100.00000
1962-07-01,100.19085
1962-08-01,100.19085
1962-09-01,100.19085
1962-10-01,103.05352
1962-11-01,103.05352
1962-12-01,103.33979
1963-01-01,137.21385
1963-02-01,137.21385
1963-03-01,137.11843
1963-04-01,156.39284
1963-05-01,156.39284
1963-06-01,156.96537
1963-07-01,160.20974
1963-08-01,160.20974
1963-09-01,159.82805
1963-10-01,165.26714
1963-11-01,165.26714
1963-12-01,164.98087
1964-01-01,185.01866
1964-02-01,198.56866
1964-03-01,207.82465
1964-04-01,206.29789
1964-05-01,202.19472
1964-06-01,211.73698
1964-07-01,214.88497
1964-08-01,236.54589
1964-09-01,231.01138
1964-10-01,245.03850
1964-11-01,246.75516
1964-12-01,256.29741
1965-01-01,268.89319
1965-02-01,280.43837
1965-03-01,283.87358
1965-04-01,290.07605
1965-05-01,297.04190
1965-06-01,300.57254
1965-07-01,300.28627
1965-08-01,308.01550
1965-09-01,311.25891
1965-10-01,320.61032
1965-11-01,325.66772
1965-12-01,327.86244
1966-01-01,332.34730
1966-02-01,335.01913
1966-03-01,344.56044
1966-04-01,349.23614
1966-05-01,358.96925
1966-06-01,363.93122
1966-07-01,370.13369
1966-08-01,377.57569
1966-09-01,387.11795
1966-10-01,386.44999
1966-11-01,396.56479
1966-12-01,407.92007
1967-01-01,434.16033
1967-02-01,434.16033
1967-03-01,435.30540
1967-04-01,461.16396
1967-05-01,461.16396
1967-06-01,460.78227
1967-07-01,496.75563
1967-08-01,496.75563
1967-09-01,496.18310
1967-10-01,542.17487
1967-11-01,542.17487
1967-12-01,542.74741
1968-01-01,573.47252
1968-02-01,592.55704
1968-03-01,607.82370
1968-04-01,623.09131
1968-05-01,635.49625
1968-06-01,649.80868
1968-07-01,664.12206
1968-08-01,679.38872
1968-09-01,691.79366
1968-10-01,706.10609
1968-11-01,718.51103
1968-12-01,731.87019
1969-01-01,706.58320
1969-02-01,723.28216
1969-03-01,740.07557
1969-04-01,755.34319
1969-05-01,777.86196
1969-06-01,813.64447
1969-07-01,843.60621
1969-08-01,868.03344
1969-09-01,890.07605
1969-10-01,903.05257
1969-11-01,920.22863
1969-12-01,925.95399
1970-01-01,942.65198
1970-02-01,955.24681
1970-03-01,978.43450
1970-04-01,1008.96972
1970-05-01,1040.45917
1970-06-01,1065.84158
1970-07-01,1100.57540
1970-08-01,1165.93032
1970-09-01,1183.20181
1970-10-01,1163.35391
1970-11-01,1147.99088
