Date,Columbia
1960-01-01,100.00000
1960-02-01,100.00000
1960-03-01,101.87500
1960-04-01,104.68750
1960-05-01,104.68750
1960-06-01,104.68750
1960-07-01,104.68750
1960-08-01,104.68750
1960-09-01,104.68750
1960-10-01,104.68750
1960-11-01,104.68750
1960-12-01,104.68750
1961-01-01,104.68750
1961-02-01,104.68750
1961-03-01,104.68750
1961-04-01,104.68750
1961-05-01,104.68750
1961-06-01,104.68750
1961-07-01,104.68750
1961-08-01,104.68750
1961-09-01,104.68750
1961-10-01,104.68750
1961-11-01,104.68750
1961-12-01,104.68750
1962-01-01,104.68750
1962-02-01,104.68750
1962-03-01,104.68750
1962-04-01,104.68750
1962-05-01,104.68750
1962-06-01,104.68750
1962-07-01,104.68750
1962-08-01,104.68750
1962-09-01,104.68750
1962-10-01,104.68750
1962-11-01,106.47656
1962-12-01,140.62500
1963-01-01,140.62500
1963-02-01,140.62500
1963-03-01,140.62500
1963-04-01,140.62500
1963-05-01,140.62500
1963-06-01,140.62500
1963-07-01,140.62500
1963-08-01,140.62500
1963-09-01,140.62500
1963-10-01,140.62500
1963-11-01,140.62500
1963-12-01,140.62500
1964-01-01,140.62500
1964-02-01,140.62500
1964-03-01,140.62500
1964-04-01,140.62500
1964-05-01,140.62500
1964-06-01,140.62500
1964-07-01,140.62500
1964-08-01,140.62500
1964-09-01,140.62500
1964-10-01,140.62500
1964-11-01,140.62500
1964-12-01,140.62500
1965-01-01,140.62500
1965-02-01,140.62500
1965-03-01,140.62500
1965-04-01,140.62500
1965-05-01,140.62500
1965-06-01,140.62500
1965-07-01,140.62500
1965-08-01,140.62500
1965-09-01,206.25000
1965-10-01,210.93750
1965-11-01,210.93750
1965-12-01,210.93750
1966-01-01,210.93750
1966-02-01,210.93750
1966-03-01,210.93750
1966-04-01,210.93750
1966-05-01,210.93750
1966-06-01,210.93750
1966-07-01,210.93750
1966-08-01,210.93750
1966-09-01,210.93750
1966-10-01,210.93750
1966-11-01,210.93750
1966-12-01,210.93750
1967-01-01,210.93750
1967-02-01,210.93750
1967-03-01,211.39063
1967-04-01,215.60469
1967-05-01,219.42188
1967-06-01,224.64063
1967-07-01,227.87500
1967-08-01,231.81250
1967-09-01,236.46875
1967-10-01,240.65625
1967-11-01,244.21875
1967-12-01,245.98438
1968-01-01,246.45156
1968-02-01,247.42969
1968-03-01,249.09219
1968-04-01,250.86406
1968-05-01,252.91875
1968-06-01,254.20781
1968-07-01,254.86406
1968-08-01,256.09375
1968-09-01,257.65625
1968-10-01,259.64688
1968-11-01,261.81250
1968-12-01,263.46250
1969-01-01,263.79063
1969-02-01,264.65000
1969-03-01,266.29063
1969-04-01,267.58906
1969-05-01,268.24531
1969-06-01,269.77656
1969-07-01,270.81094
1969-08-01,272.45000
1969-09-01,274.19844
1969-10-01,275.23750
1969-11-01,276.41719
1969-12-01,278.07031
1970-01-01,279.66250
1970-02-01,281.20469
1970-03-01,282.71719
1970-04-01,284.35938
1970-05-01,285.69063
1970-06-01,287.15156
1970-07-01,288.70469
1970-08-01,289.78906
1970-09-01,291.94844
1970-10-01,294.01719
1970-11-01,295.55781
