DATE,CCUSMA02AUM618N_NBD19600101
1960-01-01,100.00000
1960-02-01,99.87465
1960-03-01,99.78531
1960-04-01,99.66050
1960-05-01,99.77639
1960-06-01,99.90149
1960-07-01,99.69613
1960-08-01,99.63380
1960-09-01,99.54489
1960-10-01,99.58043
1960-11-01,99.51824
1960-12-01,99.73178
1961-01-01,99.76746
1961-02-01,100.00000
1961-03-01,100.08075
1961-04-01,100.06279
1961-05-01,100.20661
1961-06-01,100.35987
1961-07-01,100.45025
1961-08-01,99.89254
1961-09-01,99.56266
1961-10-01,99.44727
1961-11-01,99.46500
1961-12-01,99.65160
1962-01-01,99.33215
1962-02-01,99.24380
1962-03-01,99.24380
1962-04-01,99.33215
1962-05-01,99.42072
1962-06-01,99.50941
1962-07-01,99.59820
1962-08-01,99.68722
1962-09-01,99.77634
1962-10-01,99.77634
1962-11-01,99.68722
1962-12-01,99.68722
1963-01-01,99.68722
1963-02-01,99.68722
1963-03-01,98.66084
1963-04-01,98.66084
1963-05-01,98.66084
1963-06-01,98.66084
1963-07-01,98.66084
1963-08-01,99.86570
1963-09-01,99.95527
1963-10-01,99.86570
1963-11-01,99.86570
1963-12-01,99.95527
1964-01-01,99.86570
1964-02-01,99.86570
1964-03-01,99.86570
1964-04-01,98.66084
1964-05-01,98.75020
1964-06-01,100.04485
1964-07-01,100.22455
1964-08-01,100.39612
1964-09-01,100.39612
1964-10-01,100.39612
1964-11-01,100.13475
1964-12-01,100.04485
1965-01-01,100.04485
1965-02-01,99.95516
1965-03-01,100.04485
1965-04-01,98.75020
1965-05-01,100.04485
1965-06-01,100.13475
1965-07-01,98.75020
1965-08-01,100.13475
1965-09-01,98.66084
1965-10-01,99.68722
1965-11-01,99.68722
1965-12-01,99.68722
1966-01-01,99.68722
1966-02-01,99.93729
1966-03-01,100.17062
1966-04-01,100.23362
1966-05-01,100.26966
1966-06-01,100.35987
1966-07-01,100.39600
1966-08-01,100.39600
1966-09-01,100.37794
1966-10-01,100.29671
1966-11-01,100.31475
1966-12-01,100.35085
1967-01-01,100.31475
1967-02-01,100.20661
1967-03-01,100.12566
1967-04-01,100.02690
1967-05-01,100.10769
1967-06-01,100.31475
1967-07-01,100.45025
1967-08-01,100.52266
1967-09-01,100.58611
1967-10-01,100.60426
1967-11-01,100.24263
1967-12-01,99.73178
1968-01-01,99.61600
1968-02-01,99.61600
1968-03-01,100.00897
1968-04-01,99.91938
1968-05-01,100.45025
1968-06-01,100.64056
1968-07-01,100.41408
1968-08-01,100.36890
1968-09-01,100.52266
1968-10-01,100.42312
1968-11-01,100.59519
1968-12-01,100.65873
1969-01-01,100.54078
1969-02-01,100.35987
1969-03-01,100.34182
1969-04-01,100.27868
1969-05-01,100.55891
1969-06-01,100.43216
1969-07-01,100.39600
1969-08-01,100.61333
1969-09-01,100.66781
1969-10-01,100.40504
1969-11-01,100.15263
1969-12-01,100.10769
1970-01-01,99.97311
1970-02-01,99.80317
1970-03-01,99.74962
1970-04-01,99.74070
1970-05-01,99.83890
1970-06-01,100.08973
1970-07-01,100.38697
1970-08-01,100.50455
1970-09-01,100.61333
1970-10-01,100.52266
1970-11-01,100.39600
1970-12-01,100.38697
1971-01-01,99.75854
1971-02-01,99.26143
1971-03-01,99.22612
1971-04-01,99.26143
1971-05-01,99.22612
1971-06-01,99.21729
1971-07-01,99.22612
1971-08-01,98.56853
1971-09-01,97.18592
1971-10-01,96.36317
1971-11-01,96.25507
1971-12-01,94.95233
1972-01-01,93.66079
1972-02-01,93.66079
1972-03-01,93.66079
1972-04-01,93.66079
1972-05-01,93.66079
1972-06-01,93.66079
1972-07-01,93.66079
1972-08-01,93.65293
1972-09-01,93.66079
1972-10-01,93.68439
1972-11-01,93.66865
1972-12-01,92.38860
1973-01-01,87.17216
1973-02-01,82.31887
1973-03-01,78.49369
1973-04-01,78.47123
1973-05-01,78.44251
1973-06-01,78.45930
1973-07-01,78.11905
1973-08-01,78.34070
1973-09-01,75.59123
