DATE,CCUSMA02BRM618N_NBD19600101
1960-01-01,100.00000
1960-02-01,97.38220
1960-03-01,97.38220
1960-04-01,97.38220
1960-05-01,97.38220
1960-06-01,97.38220
1960-07-01,97.38220
1960-08-01,97.38220
1960-09-01,97.38220
1960-10-01,97.38220
1960-11-01,97.38220
1960-12-01,102.09424
1961-01-01,110.99476
1961-02-01,115.18325
1961-03-01,131.41361
1961-04-01,148.16754
1961-05-01,140.83770
1961-06-01,137.17278
1961-07-01,138.21990
1961-08-01,142.40838
1961-09-01,152.87958
1961-10-01,157.59162
1961-11-01,160.73298
1961-12-01,160.73298
1962-01-01,166.49215
1962-02-01,166.49215
1962-03-01,166.49215
1962-04-01,166.49215
1962-05-01,174.86911
1962-06-01,187.95812
1962-07-01,192.14660
1962-08-01,205.23560
1962-09-01,263.35079
1962-10-01,248.69110
1962-11-01,248.69110
1962-12-01,248.69110
1963-01-01,248.69110
1963-02-01,248.69110
1963-03-01,248.69110
1963-04-01,270.15707
1963-05-01,324.60733
1963-06-01,324.60733
1963-07-01,324.60733
1963-08-01,324.60733
1963-09-01,324.60733
1963-10-01,324.60733
1963-11-01,324.60733
1963-12-01,324.60733
1964-01-01,324.60733
1964-02-01,383.24607
1964-03-01,617.27749
1964-04-01,628.27225
1964-05-01,628.27225
1964-06-01,628.27225
1964-07-01,628.27225
1964-08-01,646.07330
1964-09-01,831.93718
1964-10-01,842.93194
1964-11-01,842.93194
1964-12-01,867.01571
1965-01-01,968.58639
1965-02-01,968.58639
1965-03-01,968.58639
1965-04-01,968.58639
1965-05-01,968.58639
1965-06-01,968.58639
1965-07-01,968.58639
1965-08-01,968.58639
1965-09-01,968.58639
1965-10-01,968.58639
1965-11-01,1080.62828
1965-12-01,1162.30367
1966-01-01,1162.30367
1966-02-01,1162.30367
1966-03-01,1162.30367
1966-04-01,1162.30367
1966-05-01,1162.30367
1966-06-01,1162.30367
1966-07-01,1162.30367
1966-08-01,1162.30367
1966-09-01,1162.30367
1966-10-01,1162.30367
1966-11-01,1162.30367
1966-12-01,1162.30367
1967-01-01,1162.30367
1967-02-01,1356.54451
1967-03-01,1421.46598
1967-04-01,1421.46598
1967-05-01,1421.46598
1967-06-01,1421.46598
1967-07-01,1421.46598
1967-08-01,1421.46598
1967-09-01,1421.46598
1967-10-01,1421.46598
1967-11-01,1421.46598
1967-12-01,1421.46598
1968-01-01,1685.86388
1968-02-01,1685.86388
1968-03-01,1685.86388
1968-04-01,1685.86388
1968-05-01,1685.86388
1968-06-01,1685.86388
1968-07-01,1685.86388
1968-08-01,1727.74870
1968-09-01,1916.75394
1968-10-01,1937.17278
1968-11-01,1953.92671
1968-12-01,1998.95289
1969-01-01,2005.23561
1969-02-01,2044.50263
1969-03-01,2076.43980
1969-04-01,2094.24085
1969-05-01,2107.85341
1969-06-01,2120.41886
1969-07-01,2141.88483
1969-08-01,2150.26179
1969-09-01,2172.77488
1969-10-01,2201.57069
1969-11-01,2227.22514
1969-12-01,2258.11519
1970-01-01,2277.48692
1970-02-01,2305.23561
1970-03-01,2314.13614
1970-04-01,2350.78535
1970-05-01,2366.49216
1970-06-01,2387.43457
1970-07-01,2413.08902
1970-08-01,2434.55499
1970-09-01,2450.26179
1970-10-01,2471.20420
1970-11-01,2528.79582
1970-12-01,2560.20944
1971-01-01,2591.62305
1971-02-01,2617.80106
1971-03-01,2648.16755
1971-04-01,2675.39268
1971-05-01,2719.89530
1971-06-01,2751.30891
1971-07-01,2767.01572
1971-08-01,2820.94242
1971-09-01,2865.44504
1971-10-01,2882.19897
1971-11-01,2930.36651
1971-12-01,2950.26180
1972-01-01,2958.63876
1972-02-01,3028.79583
1972-03-01,3043.45551
1972-04-01,3060.20944
1972-05-01,3090.05237
1972-06-01,3096.85865
1972-07-01,3111.51834
1972-08-01,3123.03667
1972-09-01,3151.30892
1972-10-01,3172.77489
1972-11-01,3204.18850
1972-12-01,3240.83771
1973-01-01,3253.92672
