DATE,CCUSMA02CAM618N_NBD19600101
1960-01-01,100.00000
1960-02-01,99.89507
1960-03-01,99.79014
1960-04-01,101.04932
1960-05-01,102.62329
1960-06-01,102.72823
1960-07-01,102.62329
1960-08-01,101.78384
1960-09-01,101.99370
1960-10-01,102.72823
1960-11-01,102.51836
1960-12-01,103.04302
1961-01-01,104.19727
1961-02-01,103.88248
1961-03-01,103.56768
1961-04-01,103.77754
1961-05-01,103.67261
1961-06-01,105.45645
1961-07-01,108.49948
1961-08-01,108.18468
1961-09-01,108.18468
1961-10-01,108.07975
1961-11-01,108.70934
1961-12-01,109.44386
1962-01-01,109.65373
1962-02-01,110.07345
1962-03-01,110.07345
1962-04-01,110.17838
1962-05-01,113.56978
1962-06-01,114.16684
1962-07-01,113.25079
1962-08-01,113.10073
1962-09-01,113.01469
1962-10-01,112.93389
1962-11-01,113.01364
1962-12-01,112.92235
1963-01-01,113.04512
1963-02-01,113.10073
1963-03-01,113.13851
1963-04-01,113.01049
1963-05-01,113.06086
1963-06-01,113.16789
1963-07-01,113.32004
1963-08-01,113.65477
1963-09-01,113.32949
1963-10-01,113.12592
1963-11-01,113.09969
1963-12-01,113.28227
1964-01-01,113.37775
1964-02-01,113.34837
1964-03-01,113.39769
1964-04-01,113.44176
1964-05-01,113.44071
1964-06-01,113.44071
1964-07-01,113.47324
1964-08-01,113.20776
1964-09-01,112.93599
1964-10-01,112.84890
1964-11-01,112.70829
1964-12-01,112.78279
1965-01-01,112.69780
1965-02-01,112.89927
1965-03-01,113.46380
1965-04-01,113.25079
1965-05-01,113.28437
1965-06-01,113.58552
1965-07-01,113.71039
1965-08-01,113.17838
1965-09-01,112.96642
1965-10-01,112.83106
1965-11-01,112.81847
1965-12-01,112.90346
1966-01-01,112.78699
1966-02-01,112.95698
1966-03-01,112.94963
1966-04-01,113.02938
1966-05-01,112.99685
1966-06-01,112.98006
1966-07-01,112.80902
1966-08-01,112.83945
1966-09-01,112.94648
1966-10-01,113.27912
1966-11-01,113.56453
1966-12-01,113.66212
1967-01-01,113.28961
1967-02-01,113.40399
1967-03-01,113.54460
1967-04-01,113.58972
1967-05-01,113.56243
1967-06-01,113.38615
1967-07-01,113.11438
1967-08-01,112.90661
1967-09-01,112.84365
1967-10-01,112.64953
1967-11-01,112.82476
1967-12-01,113.36726
1968-01-01,113.83211
1968-02-01,114.10388
1968-03-01,113.84470
1968-04-01,113.35677
1968-05-01,113.12172
1968-06-01,113.01679
1968-07-01,112.68101
1968-08-01,112.57188
1968-09-01,112.60965
1968-10-01,112.58552
1968-11-01,112.61595
1968-12-01,112.61595
1969-01-01,112.58027
1969-02-01,112.75761
1969-03-01,112.99685
1969-04-01,112.94753
1969-05-01,113.02833
1969-06-01,113.28332
1969-07-01,113.40818
1969-08-01,113.14271
1969-09-01,113.15635
1969-10-01,113.11962
1969-11-01,112.90136
1969-12-01,112.72928
1970-01-01,112.58867
1970-02-01,112.61280
1970-03-01,112.57293
1970-04-01,112.57922
1970-05-01,112.59391
1970-06-01,108.91920
1970-07-01,108.28961
1970-08-01,107.13536
1970-09-01,106.61070
1970-10-01,107.13536
1970-11-01,107.03043
1970-12-01,106.71563
1971-01-01,106.19098
1971-02-01,105.77125
1971-03-01,105.56139
1971-04-01,105.77125
1971-05-01,105.87618
1971-06-01,107.13536
1971-07-01,107.13536
1971-08-01,106.29591
1971-09-01,106.29591
1971-10-01,105.35152
1971-11-01,105.35152
1971-12-01,104.82686
1972-01-01,105.56139
1972-02-01,105.45645
1972-03-01,104.72193
1972-04-01,104.51207
1972-05-01,103.77754
1972-06-01,102.72823
1972-07-01,103.25289
1972-08-01,103.04302
1972-09-01,103.14795
1972-10-01,103.14795
1972-11-01,103.56768
1972-12-01,104.61700
1973-01-01,104.81419
1973-02-01,104.44759
1973-03-01,104.55981
1973-04-01,105.01711
1973-05-01,104.97011
1973-06-01,104.74437
1973-07-01,104.84706
1973-08-01,105.31895
1973-09-01,105.72825
1973-10-01,105.04583
1973-11-01,104.78532
1973-12-01,104.83653
1974-01-01,104.01873
1974-02-01,102.44431
1974-03-01,101.96904
1974-04-01,101.48408
1974-05-01,100.94506
1974-06-01,101.38278
1974-07-01,102.32540
1974-08-01,102.79608
1974-09-01,103.48474
1974-10-01,103.13698
1974-11-01,103.55004
1974-12-01,103.64425
1975-01-01,104.34143
1975-02-01,104.98006
