DATE,CCUSMA02DKM618N_NBD19600101
1960-01-01,100.00000
1960-02-01,99.93790
1960-03-01,99.81385
1960-04-01,99.74510
1960-05-01,99.96555
1960-06-01,99.90345
1960-07-01,99.74510
1960-08-01,99.73815
1960-09-01,99.56676
1960-10-01,99.65578
1960-11-01,99.67634
1960-12-01,99.75190
1961-01-01,99.90345
1961-02-01,100.09684
1961-03-01,100.11073
1961-04-01,100.15228
1961-05-01,100.38142
1961-06-01,100.31194
1961-07-01,100.31888
1961-08-01,99.93790
1961-09-01,99.72440
1961-10-01,99.68329
1961-11-01,99.69009
1961-12-01,99.54621
1962-01-01,99.64203
1962-02-01,99.67634
1962-03-01,99.59412
1962-04-01,99.75885
1962-05-01,99.85511
1962-06-01,99.75190
1962-07-01,99.94485
1962-08-01,100.11768
1962-09-01,100.22161
1962-10-01,100.22856
1962-11-01,100.13838
1962-12-01,99.84135
1963-01-01,99.91720
1963-02-01,99.96555
1963-03-01,99.88275
1963-04-01,99.88970
1963-05-01,99.98625
1963-06-01,99.89650
1963-07-01,99.91025
1963-08-01,100.03460
1963-09-01,99.93095
1963-10-01,99.97235
1963-11-01,99.93790
1963-12-01,99.90345
1964-01-01,100.02765
1964-02-01,100.12449
1964-03-01,99.93790
1964-04-01,99.86900
1964-05-01,99.95165
1964-06-01,100.03460
1964-07-01,100.11073
1964-08-01,100.25635
1964-09-01,100.27720
1964-10-01,100.31194
1964-11-01,100.31194
1964-12-01,100.11073
1965-01-01,100.11768
1965-02-01,100.10379
1965-03-01,100.15228
1965-04-01,100.08989
1965-05-01,100.13143
1965-06-01,100.31888
1965-07-01,100.39531
1965-08-01,100.48593
1965-09-01,100.12449
1965-10-01,99.81385
1965-11-01,99.78635
1965-12-01,99.69009
1966-01-01,99.70384
1966-02-01,99.85511
1966-03-01,99.88970
1966-04-01,99.93095
1966-05-01,100.11073
1966-06-01,100.11768
1966-07-01,100.21466
1966-08-01,100.27025
1966-09-01,100.02765
1966-10-01,99.91025
1966-11-01,100.00695
1966-12-01,99.93790
1967-01-01,100.04849
1967-02-01,100.21466
1967-03-01,100.05529
1967-04-01,100.02070
1967-05-01,100.15228
1967-06-01,100.24940
1967-07-01,100.43020
1967-08-01,100.49997
1967-09-01,100.40241
1967-10-01,100.40935
1967-11-01,103.18653
1967-12-01,107.99020
1968-01-01,107.94996
1968-02-01,107.92579
1968-03-01,107.86948
1968-04-01,107.91768
1968-05-01,108.03044
1968-06-01,108.24048
1968-07-01,108.69572
1968-08-01,108.81832
1968-09-01,108.66300
1968-10-01,108.66300
1968-11-01,108.76925
1968-12-01,108.50826
1969-01-01,108.69572
1969-02-01,108.93296
1969-03-01,108.66300
1969-04-01,108.95757
1969-05-01,109.08886
1969-06-01,108.98218
1969-07-01,108.98218
1969-08-01,108.98218
1969-09-01,108.94107
1969-10-01,108.85914
1969-11-01,108.55719
1969-12-01,108.44327
1970-01-01,108.51637
1970-02-01,108.53273
1970-03-01,108.50826
1970-04-01,108.63043
