DATE,CCUSMA02EEM618N_NBD19920601
1992-06-01,100.00000
1992-07-01,96.17522
1992-08-01,93.66294
1992-09-01,93.27643
1992-10-01,95.23311
1992-11-01,102.23851
1992-12-01,101.83590
1993-01-01,104.16298
1993-02-01,105.66873
1993-03-01,106.20018
1993-04-01,102.92294
1993-05-01,103.41412
1993-06-01,105.91835
1993-07-01,110.29874
1993-08-01,109.44520
1993-09-01,104.67026
1993-10-01,105.34665
1993-11-01,109.45326
1993-12-01,110.16185
1994-01-01,112.23931
1994-02-01,111.86891
1994-03-01,109.01039
1994-04-01,109.35663
1994-05-01,106.76383
1994-06-01,105.17755
1994-07-01,101.14341
1994-08-01,100.74080
1994-09-01,99.88727
1994-10-01,97.95475
1994-11-01,99.91143
1994-12-01,101.24004
1995-01-01,98.67944
1995-02-01,96.86770
1995-03-01,90.55480
1995-04-01,88.81552
1995-05-01,90.74805
1995-06-01,90.27297
1995-07-01,89.47580
1995-08-01,93.05902
1995-09-01,94.17828
1995-10-01,91.11040
1995-11-01,91.24728
1995-12-01,92.78525
1996-01-01,94.12996
1996-02-01,94.45205
1996-03-01,95.19285
1996-04-01,96.85965
1996-05-01,98.75191
1996-06-01,98.34125
1996-07-01,96.92407
1996-08-01,95.49883
1996-09-01,96.94822
1996-10-01,98.00306
1996-11-01,98.15605
1996-12-01,99.92753
1997-01-01,104.71052
1997-02-01,107.81061
1997-03-01,109.31637
1997-04-01,110.13769
1997-05-01,109.65456
1997-06-01,111.22474
1997-07-01,115.24277
1997-08-01,118.66495
1997-09-01,115.27498
1997-10-01,113.22973
1997-11-01,111.57903
1997-12-01,114.49392
1998-01-01,116.97399
1998-02-01,116.90957
1998-03-01,117.63427
1998-04-01,116.89347
1998-05-01,114.26041
1998-06-01,115.34745
1998-07-01,115.81448
1998-08-01,115.15420
1998-09-01,109.73508
1998-10-01,105.50769
1998-11-01,108.27764
1998-12-01,107.47242
1999-01-01,108.48458
1999-02-01,112.26830
1999-03-01,115.67518
1999-04-01,117.64715
1999-05-01,118.50391
1999-06-01,121.26258
1999-07-01,121.72880
1999-08-01,118.83646
1999-09-01,119.92914
1999-10-01,117.61011
1999-11-01,121.74893
1999-12-01,124.54304
2000-01-01,124.14043
2000-02-01,127.97327
2000-03-01,130.50407
2000-04-01,132.97206
2000-05-01,138.86786
2000-06-01,132.61132
2000-07-01,133.93993
2000-08-01,139.17385
2000-09-01,144.55512
2000-10-01,147.26468
2000-11-01,147.14711
2000-12-01,140.46381
2001-01-01,134.17183
2001-02-01,136.62292
2001-03-01,138.48941
2001-04-01,141.18125
2001-05-01,144.12996
2001-06-01,147.51268
2001-07-01,146.47315
2001-08-01,139.99517
2001-09-01,138.33642
2001-10-01,139.06112
2001-11-01,141.80691
2001-12-01,141.05806
2002-01-01,142.49134
2002-02-01,144.83453
2002-03-01,143.79580
2002-04-01,142.29890
2002-05-01,137.37821
2002-06-01,132.10887
2002-07-01,126.97641
2002-08-01,128.93792
2002-09-01,128.47975
2002-10-01,128.37104
2002-11-01,125.80079
2002-12-01,123.65971
2003-01-01,118.62952
2003-02-01,116.95386
2003-03-01,116.55528
2003-04-01,116.06490
2003-05-01,108.88075
2003-06-01,107.79773
2003-07-01,110.75932
2003-08-01,112.99380
2003-09-01,112.30936
2003-10-01,107.65682
2003-11-01,107.68339
2003-12-01,102.60649
2004-01-01,99.86794
2004-02-01,99.59337
2004-03-01,102.70956
2004-04-01,105.02295
2004-05-01,104.85949
2004-06-01,103.79499
2004-07-01,102.67332
2004-08-01,103.51558
2004-09-01,103.14840
2004-10-01,100.85434
2004-11-01,97.08592
2004-12-01,93.93590
2005-01-01,95.97150
2005-02-01,96.85723
2005-03-01,95.49481
2005-04-01,97.32426
2005-05-01,99.20606
2005-06-01,103.46002
2005-07-01,104.58249
2005-08-01,102.47685
2005-09-01,102.77398
2005-10-01,104.76125
2005-11-01,106.81375
2005-12-01,106.20018
2006-01-01,104.02045
2006-02-01,105.43280
2006-03-01,104.78621
2006-04-01,102.67976
2006-05-01,98.62871
2006-06-01,99.40897
2006-07-01,99.31637
2006-08-01,98.30904
2006-09-01,98.91779
2006-10-01,99.87680
2006-11-01,97.78324
2006-12-01,95.33054
2007-01-01,96.89427
2007-02-01,96.39423
2007-03-01,95.17352
2007-04-01,93.28046
2007-05-01,93.23295
2007-06-01,93.93349
2007-07-01,91.86247
2007-08-01,92.47766
2007-09-01,90.69410
2007-10-01,88.55544
2007-11-01,85.82897
2007-12-01,86.48281
2008-01-01,85.69370
2008-02-01,85.43442
2008-03-01,81.16596
2008-04-01,79.93236
2008-05-01,80.95821
2008-06-01,80.97431
2008-07-01,79.88566
2008-08-01,84.08326
2008-09-01,87.67614
2008-10-01,94.74032
2008-11-01,98.92342
2008-12-01,93.89484
2009-01-01,95.02859
2009-02-01,98.48055
2009-03-01,96.64949
2009-04-01,95.48192
2009-05-01,92.33191
2009-06-01,89.85909
2009-07-01,89.47741
2009-08-01,88.32193
2009-09-01,86.52951
2009-10-01,85.01651
2009-11-01,84.43111
2009-12-01,86.15267
2010-01-01,88.20114
2010-02-01,91.96634
2010-03-01,92.81021
2010-04-01,93.83767
2010-05-01,100.11193
2010-06-01,103.23859
2010-07-01,98.66092
2010-08-01,97.52959
2010-09-01,96.48764
2010-10-01,90.65947
2010-11-01,92.14107
2010-12-01,95.20654
2011-01-01,94.29152
2011-02-01,92.25560
2011-03-01,89.90152
2011-04-01,87.14854
2011-05-01,87.99774
2011-06-01,87.45942
2011-07-01,88.19845
2011-08-01,87.89665
2011-09-01,91.59416
2011-10-01,91.82814
2011-11-01,92.87123
2011-12-01,95.83197
2012-01-01,97.64164
2012-02-01,95.18185
2012-03-01,95.39101
2012-04-01,95.74580
2012-05-01,98.49617
2012-06-01,100.50339
2012-07-01,102.56667
2012-08-01,101.56921
2012-09-01,97.91251
2012-10-01,97.08838
2012-11-01,98.17423
2012-12-01,95.97378
2013-01-01,94.74389
