DATE,CCUSMA02EZM618N_NBD19790101
1979-01-01,100.00000
1979-02-01,100.48827
1979-03-01,100.46598
1979-04-01,101.59312
1979-05-01,102.72253
1979-06-01,101.53237
1979-07-01,97.90961
1979-08-01,98.20693
1979-09-01,97.16023
1979-10-01,97.57902
1979-11-01,97.05609
1979-12-01,95.07244
1980-01-01,94.09116
1980-02-01,94.95945
1980-03-01,100.03682
1980-04-01,100.85388
1980-05-01,96.86921
1980-06-01,95.45327
1980-07-01,94.30674
1980-08-01,96.02008
1980-09-01,96.02008
1980-10-01,98.06512
1980-11-01,101.72246
1980-12-01,104.54895
1981-01-01,105.22116
1981-02-01,112.56319
1981-03-01,112.69394
1981-04-01,115.21758
1981-05-01,122.50180
1981-06-01,127.44417
1981-07-01,131.27477
1981-08-01,135.08702
1981-09-01,128.49305
1981-10-01,125.10823
1981-11-01,123.67295
1981-12-01,124.77494
1982-01-01,127.30084
1982-02-01,131.54174
1982-03-01,133.78312
1982-04-01,142.48400
1982-05-01,131.52900
1982-06-01,138.09475
1982-07-01,141.75537
1982-08-01,142.46906
1982-09-01,144.30044
1982-10-01,145.74034
1982-11-01,148.38322
1982-12-01,142.30487
1983-01-01,141.61636
1983-02-01,143.91189
1983-03-01,144.67253
1983-04-01,146.61490
1983-05-01,147.89170
1983-06-01,152.21110
1983-07-01,154.56096
1983-08-01,159.36934
1983-09-01,159.46442
1983-10-01,156.92440
1983-11-01,161.04005
1983-12-01,165.23720
1984-01-01,168.86386
1984-02-01,163.62082
1984-03-01,157.95671
1984-04-01,160.67331
1984-05-01,166.70416
1984-06-01,166.51400
1984-07-01,172.91159
1984-08-01,175.05770
1984-09-01,183.03093
1984-10-01,186.50817
1984-11-01,181.99862
1984-12-01,188.72220
1985-01-01,193.48984
1985-02-01,201.15065
1985-03-01,201.57172
1985-04-01,187.74423
1985-05-01,188.59996
1985-06-01,185.34004
1985-07-01,176.02210
1985-08-01,170.22216
1985-09-01,173.22400
1985-10-01,162.33043
1985-11-01,159.32859
1985-12-01,155.62043
1986-01-01,152.34693
1986-02-01,146.53340
1986-03-01,142.41776
1986-04-01,142.97466
1986-05-01,140.88288
1986-06-01,141.26320
1986-07-01,137.22905
1986-08-01,133.01832
1986-09-01,132.18976
1986-10-01,130.61413
1986-11-01,131.40194
1986-12-01,130.04364
1987-01-01,122.30133
1987-02-01,119.88356
1987-03-01,120.01939
1987-04-01,118.45734
1987-05-01,116.96321
1987-06-01,119.05500
1987-07-01,120.69854
1987-08-01,121.70368
1987-09-01,118.64751
1987-10-01,117.98194
1987-11-01,110.66070
1987-12-01,107.49586
1988-01-01,108.67758
1988-02-01,111.65226
1988-03-01,110.14455
1988-04-01,109.43823
