DATE,CCUSMA02FIM618N_NBD19600101
1960-01-01,100.00000
1960-02-01,100.00000
1960-03-01,100.00000
1960-04-01,100.00000
1960-05-01,100.00000
1960-06-01,100.00000
1960-07-01,100.00000
1960-08-01,100.00000
1960-09-01,100.00000
1960-10-01,100.00000
1960-11-01,100.00000
1960-12-01,100.00000
1961-01-01,100.00000
1961-02-01,100.00000
1961-03-01,100.00000
1961-04-01,100.00000
1961-05-01,100.00000
1961-06-01,100.00000
1961-07-01,100.00000
1961-08-01,100.00000
1961-09-01,100.00000
1961-10-01,100.00000
1961-11-01,100.00000
1961-12-01,100.00000
1962-01-01,100.00000
1962-02-01,100.00000
1962-03-01,100.00000
1962-04-01,100.00000
1962-05-01,100.00000
1962-06-01,100.00000
1962-07-01,100.00000
1962-08-01,100.00000
1962-09-01,100.00000
1962-10-01,100.00000
1962-11-01,100.00000
1962-12-01,100.00000
1963-01-01,100.62469
1963-02-01,100.62156
1963-03-01,100.62156
1963-04-01,100.62781
1963-05-01,100.62156
1963-06-01,100.62156
1963-07-01,100.62156
1963-08-01,100.62469
1963-09-01,100.62156
1963-10-01,100.62156
1963-11-01,100.62156
1963-12-01,100.61500
1964-01-01,100.60188
1964-02-01,100.58594
1964-03-01,100.55656
1964-04-01,100.55656
1964-05-01,100.59219
1964-06-01,100.60188
1964-07-01,100.60188
1964-08-01,100.61500
1964-09-01,100.62469
1964-10-01,100.63125
1964-11-01,100.56000
1964-12-01,100.53406
1965-01-01,100.55031
1965-02-01,100.54375
1965-03-01,100.54688
1965-04-01,100.54375
1965-05-01,100.48875
1965-06-01,100.60531
1965-07-01,100.60844
1965-08-01,100.60844
1965-09-01,100.61188
1965-10-01,100.61500
1965-11-01,100.60844
1965-12-01,100.60844
1966-01-01,100.61188
1966-02-01,100.61500
1966-03-01,100.61500
1966-04-01,100.59875
1966-05-01,100.61188
1966-06-01,100.60531
1966-07-01,100.60188
1966-08-01,100.60531
1966-09-01,100.60188
1966-10-01,100.60531
1966-11-01,100.60531
1966-12-01,100.60531
1967-01-01,100.60531
1967-02-01,100.60531
1967-03-01,100.60531
1967-04-01,100.60188
1967-05-01,100.60531
1967-06-01,100.60531
1967-07-01,100.60531
1967-08-01,100.60531
1967-09-01,100.60531
1967-10-01,117.16406
1967-11-01,131.77875
1967-12-01,131.76750
1968-01-01,131.60656
1968-02-01,131.50688
1968-03-01,131.50688
1968-04-01,131.50688
1968-05-01,131.50688
1968-06-01,131.50688
1968-07-01,131.50688
1968-08-01,131.50688
1968-09-01,131.50688
1968-10-01,131.50688
1968-11-01,131.54031
1968-12-01,131.50688
1969-01-01,131.50688
1969-02-01,131.45719
1969-03-01,131.38531
1969-04-01,131.38531
1969-05-01,131.38531
1969-06-01,131.38531
1969-07-01,131.46281
1969-08-01,131.38531
1969-09-01,131.38531
1969-10-01,131.45156
1969-11-01,131.59000
1969-12-01,131.59000
1970-01-01,131.59063
1970-02-01,131.59063
1970-03-01,131.59063
1970-04-01,131.59063
1970-05-01,131.59063
1970-06-01,131.59063
1970-07-01,131.59063
1970-08-01,131.59063
1970-09-01,131.59063
1970-10-01,131.67813
