DATE,CCUSMA02FRM618N_NBD19600101
1960-01-01,100.00000
1960-02-01,99.98534
1960-03-01,99.95092
1960-04-01,99.91182
1960-05-01,99.85296
1960-06-01,99.82852
1960-07-01,99.81385
1960-08-01,99.81385
1960-09-01,99.81385
1960-10-01,99.95601
1960-11-01,99.82363
1960-12-01,99.89715
1961-01-01,99.82852
1961-02-01,99.82363
1961-03-01,99.81385
1961-04-01,99.83341
1961-05-01,99.81385
1961-06-01,99.80897
1961-07-01,99.80897
1961-08-01,100.06884
1961-09-01,100.17230
1961-10-01,100.14277
1961-11-01,100.00998
1961-12-01,99.83829
1962-01-01,99.81874
1962-02-01,99.82363
1962-03-01,99.80897
1962-04-01,99.80897
1962-05-01,99.80897
1962-06-01,99.80897
1962-07-01,99.80897
1962-08-01,99.80897
1962-09-01,99.80897
1962-10-01,99.80897
1962-11-01,99.80897
1962-12-01,99.81385
1963-01-01,99.80897
1963-02-01,99.80897
1963-03-01,99.80897
1963-04-01,99.80897
1963-05-01,99.80897
1963-06-01,99.80897
1963-07-01,99.80897
1963-08-01,99.80897
1963-09-01,99.81385
1963-10-01,99.83341
1963-11-01,99.80897
1963-12-01,99.81385
1964-01-01,99.82363
1964-02-01,99.81874
1964-03-01,99.81385
1964-04-01,99.80897
1964-05-01,99.80897
1964-06-01,99.82852
1964-07-01,99.80897
1964-08-01,99.80897
1964-09-01,99.82363
1964-10-01,99.81874
1964-11-01,99.80897
1964-12-01,99.80897
1965-01-01,99.81385
1965-02-01,99.81385
1965-03-01,99.83341
1965-04-01,99.82852
1965-05-01,99.84807
1965-06-01,99.80897
1965-07-01,99.80897
1965-08-01,99.81874
1965-09-01,99.83341
1965-10-01,99.86762
1965-11-01,99.81874
1965-12-01,99.82363
1966-01-01,99.83829
1966-02-01,99.82852
1966-03-01,99.82363
1966-04-01,99.81874
1966-05-01,99.82363
1966-06-01,99.81874
1966-07-01,99.81874
1966-08-01,99.86273
1966-09-01,100.25600
1966-10-01,100.58776
1966-11-01,100.66739
1966-12-01,100.82686
1967-01-01,100.82686
1967-02-01,100.73705
1967-03-01,100.80690
1967-04-01,100.68735
1967-05-01,100.23136
1967-06-01,99.95601
1967-07-01,99.85785
1967-08-01,99.90204
1967-09-01,99.92159
1967-10-01,99.86762
1967-11-01,99.82852
1967-12-01,99.92648
1968-01-01,100.29062
1968-02-01,100.25111
1968-03-01,100.24623
1968-04-01,100.37473
1968-05-01,100.76210
1968-06-01,101.28815
1968-07-01,101.28815
1968-08-01,101.29833
1968-09-01,101.29324
1968-10-01,101.30322
1968-11-01,101.21768
1968-12-01,100.82686
1969-01-01,100.82686
1969-02-01,100.88185
1969-03-01,100.98694
1969-04-01,101.09712
1969-05-01,101.24783
1969-06-01,101.27308
1969-07-01,101.27308
1969-08-01,109.33599
1969-09-01,113.11307
1969-10-01,113.73220
1969-11-01,113.59900
1969-12-01,113.44707
1970-01-01,113.11286
1970-02-01,112.93161
1970-03-01,112.90717
1970-04-01,112.66889
1970-05-01,112.46930
1970-06-01,112.45097
1970-07-01,112.39598
1970-08-01,112.46319
1970-09-01,112.44486
1970-10-01,112.49374
1970-11-01,112.39598
1970-12-01,112.47541
1971-01-01,112.40209
1971-02-01,112.38376
1971-03-01,112.33896
1971-04-01,112.35729
1971-05-01,112.55687
1971-06-01,112.56909
1971-07-01,112.29619
1971-08-01,112.33285
1971-09-01,112.44486
1971-10-01,112.68721
1971-11-01,112.54465
1971-12-01,109.79524
1972-01-01,105.35341
1972-02-01,103.64267
1972-03-01,102.64473
1972-04-01,102.60400
1972-05-01,102.09485
1972-06-01,102.13558
1972-07-01,101.89119
1972-08-01,101.93192
1972-09-01,101.93192
1972-10-01,102.29851
1972-11-01,102.70583
1972-12-01,103.54084
1973-01-01,103.55102
1973-02-01,97.23959
1973-03-01,91.82630
1973-04-01,92.73463
1973-05-01,91.16033
1973-06-01,86.61260
1973-07-01,82.60864
1973-08-01,86.51892
1973-09-01,86.75313
1973-10-01,85.90794
1973-11-01,89.81007
1973-12-01,93.76311
1974-01-01,102.14984
1974-02-01,100.99305
1974-03-01,98.23752
1974-04-01,98.99107
1974-05-01,99.03791
1974-06-01,99.88310
1974-07-01,97.16424
1974-08-01,97.36790
1974-09-01,97.79151
1974-10-01,96.39033
1974-11-01,95.24168
1974-12-01,92.09310
1975-01-01,88.98524
1975-02-01,87.26024
1975-03-01,85.52098
1975-04-01,85.49247
1975-05-01,82.53125
1975-06-01,81.55165
1975-07-01,85.99347
1975-08-01,89.14817
1975-09-01,91.05443
1975-10-01,89.75711
1975-11-01,89.62066
1975-12-01,90.84873
1976-01-01,91.14404
1976-02-01,91.02388
1976-03-01,94.16228
1976-04-01,95.11134
1976-05-01,95.77935
1976-06-01,96.47586
1976-07-01,98.54709
1976-08-01,101.08266
1976-09-01,100.10713
1976-10-01,101.63458
1976-11-01,101.62236
1976-12-01,101.58570
1977-01-01,101.20689
1977-02-01,101.39833
1977-03-01,101.45943
1977-04-01,101.10710
1977-05-01,100.87085
1977-06-01,100.61220
1977-07-01,98.78944
1977-08-01,99.69166
1977-09-01,100.24154
1977-10-01,98.96663
1977-11-01,98.85258
1977-12-01,97.62654
1978-01-01,96.06651
1978-02-01,98.54709
1978-03-01,95.99523
1978-04-01,93.40263
1978-05-01,94.71420
1978-06-01,93.27025
1978-07-01,90.38235
1978-08-01,88.80399
1978-09-01,88.79991
1978-10-01,85.84277
1978-11-01,88.83861
1978-12-01,87.99342
1979-01-01,86.37636
1979-02-01,87.07084
1979-03-01,87.31727
1979-04-01,88.60440
1979-05-01,89.80599
1979-06-01,88.89563
1979-07-01,86.45171
1979-08-01,86.70425
1979-09-01,85.54135
1979-10-01,85.49654
1979-11-01,84.72467
1979-12-01,82.80619
1980-01-01,82.24205
1980-02-01,83.41106
1980-03-01,87.85086
1980-04-01,88.43740
1980-05-01,85.16458
1980-06-01,83.76543
1980-07-01,82.58013
1980-08-01,84.50065
1980-09-01,84.69820
1980-10-01,86.66555
1980-11-01,90.60841
1980-12-01,92.90977
1981-01-01,94.52276
1981-02-01,101.18041
1981-03-01,101.21911
1981-04-01,103.97667
1981-05-01,111.78907
1981-06-01,115.20649
1981-07-01,118.11069
1981-08-01,121.81934
1981-09-01,114.95192
1981-10-01,114.55478
1981-11-01,114.38167
1981-12-01,116.40401
1982-01-01,118.63409
1982-02-01,122.55048
1982-03-01,125.09012
1982-04-01,127.14098
1982-05-01,122.47309
1982-06-01,133.99007
1982-07-01,139.40947
1982-08-01,140.84934
1982-09-01,143.86962
1982-10-01,145.56204
1982-11-01,146.93471
1982-12-01,139.65590
1983-01-01,137.86572
1983-02-01,140.15486
1983-03-01,142.78412
1983-04-01,149.00797
1983-05-01,151.31951
1983-06-01,156.07091
1983-07-01,158.43947
1983-08-01,163.75093
1983-09-01,164.15825
1983-10-01,161.88948
1983-11-01,166.43925
1983-12-01,170.70389
1984-01-01,174.98686
1984-02-01,169.50841
1984-03-01,162.96480
1984-04-01,165.24172
1984-05-01,172.09082
1984-06-01,171.47780
1984-07-01,177.99085
1984-08-01,180.56715
1984-09-01,188.97832
1984-10-01,191.79290
1984-11-01,186.83989
1984-12-01,193.41200
1985-01-01,197.51372
1985-02-01,205.11024
1985-03-01,205.93099
1985-04-01,191.64016
1985-05-01,192.76843
1985-06-01,190.20232
1985-07-01,180.68324
1985-08-01,173.60197
1985-09-01,176.33713
1985-10-01,164.29470
1985-11-01,160.78971
1985-12-01,156.78575
1986-01-01,152.70440
1986-02-01,145.86346
1986-03-01,141.80655
1986-04-01,146.56201
1986-05-01,144.86349
1986-06-01,145.18527
1986-07-01,141.07337
1986-08-01,136.98591
1986-09-01,136.04500
1986-10-01,133.55627
1986-11-01,134.92080
1986-12-01,133.32410
1987-01-01,126.15323
1987-02-01,123.80502
1987-03-01,124.32639
1987-04-01,122.84782
1987-05-01,121.57698
1987-06-01,123.72560
1987-07-01,125.27952
1987-08-01,126.31004
1987-09-01,123.26125
1987-10-01,122.60139
1987-11-01,116.22072
1987-12-01,112.37765
1988-01-01,113.54666
1988-02-01,116.83781
1988-03-01,115.96614
1988-04-01,115.68306
1988-05-01,116.77671
1988-06-01,120.60552
1988-07-01,126.57888
1988-08-01,130.16329
1988-09-01,129.33236
1988-10-01,126.62572
1988-11-01,121.60957
1988-12-01,122.12483
1989-01-01,127.29372
1989-02-01,128.45255
1989-03-01,128.81099
1989-04-01,128.81914
1989-05-01,134.75380
1989-06-01,136.87797
1989-07-01,130.82315
1989-08-01,132.41781
1989-09-01,134.27112
1989-10-01,128.97799
1989-11-01,126.67663
1989-12-01,121.08616
1990-01-01,117.32048
1990-02-01,115.94781
1990-03-01,117.20440
1990-04-01,115.48958
1990-05-01,114.01915
1990-06-01,115.36942
1990-07-01,111.99070
1990-08-01,107.39816
1990-09-01,107.07434
1990-10-01,103.98685
1990-11-01,101.81380
1990-12-01,103.33310
1991-01-01,104.49193
1991-02-01,102.59178
1991-03-01,111.19439
1991-04-01,117.29604
1991-05-01,118.43247
1991-06-01,123.37530
1991-07-01,123.65432
1991-08-01,120.77049
1991-09-01,117.71558
1991-10-01,117.36936
1991-11-01,112.76461
1991-12-01,108.92357
1992-01-01,109.57325
1992-02-01,112.26767
1992-03-01,114.85823
1992-04-01,113.52018
1992-05-01,110.93777
1992-06-01,107.90935
1992-07-01,102.46551
1992-08-01,100.29857
1992-09-01,100.28024
1992-10-01,102.36368
1992-11-01,109.42865
1992-12-01,109.83597
1993-01-01,111.58949
1993-02-01,113.31449
1993-03-01,113.95602
1993-04-01,109.87467
1993-05-01,110.23515
1993-06-01,113.24728
1993-07-01,118.81535
1993-08-01,120.72161
1993-09-01,115.57308
1993-10-01,117.04147
1993-11-01,120.34484
1993-12-01,119.11269
1994-01-01,120.57701
1994-02-01,120.27559
1994-03-01,117.42639
1994-04-01,118.49153
1994-05-01,115.54660
1994-06-01,113.39799
1994-07-01,109.71378
1994-08-01,109.21888
1994-09-01,108.06617
1994-10-01,106.02345
1994-11-01,107.83399
1994-12-01,110.30846
1995-01-01,107.82381
1995-02-01,106.39208
1995-03-01,101.48998
1995-04-01,98.71816
1995-05-01,101.57755
1995-06-01,100.12749
1995-07-01,98.42693
1995-08-01,101.24762
1995-09-01,102.70787
1995-10-01,100.58776
1995-11-01,99.52873
1995-12-01,101.08877
1996-01-01,101.94210
1996-02-01,102.65695
1996-03-01,103.06223
1996-04-01,104.00314
1996-05-01,105.72815
1996-06-01,105.42062
1996-07-01,103.73228
1996-08-01,103.05205
1996-09-01,104.44305
1996-10-01,105.23529
1996-11-01,104.21495
1996-12-01,106.77089
1997-01-01,110.22496
1997-02-01,115.16576
1997-03-01,116.48751
1997-04-01,117.35918
1997-05-01,117.04351
1997-06-01,118.72778
1997-07-01,123.08407
1997-08-01,126.38743
1997-09-01,122.49956
1997-10-01,120.04953
1997-11-01,118.28991
1997-12-01,121.27556
1998-01-01,123.89463
1998-02-01,123.88445
1998-03-01,124.68280
1998-04-01,123.89463
1998-05-01,121.23280
1998-06-01,122.33052
1998-07-01,122.71137
1998-08-01,122.09835
1998-09-01,116.22479
1998-10-01,111.91127
1998-11-01,114.84805
1998-12-01,114.05174
1999-01-01,115.09326
1999-02-01,119.21508
1999-03-01,122.72985
1999-04-01,124.82080
1999-05-01,125.69867
1999-06-01,128.73473
1999-07-01,129.08027
1999-08-01,126.05338
1999-09-01,127.04358
1999-10-01,124.77000
1999-11-01,129.35625
1999-12-01,132.02169
2000-01-01,131.80214
2000-02-01,135.70726
2000-03-01,138.43756
2000-04-01,141.27475
2000-05-01,147.20649
2000-06-01,140.67054
2000-07-01,142.33072
2000-08-01,147.74485
2000-09-01,153.41708
2000-10-01,156.52242
2000-11-01,156.01157
2000-12-01,148.40066
2001-01-01,142.29051
2001-02-01,144.99863
2001-03-01,147.08701
2001-04-01,149.47310
2001-05-01,152.76171
2001-06-01,156.42077
2001-07-01,155.09172
2001-08-01,148.09960
2001-09-01,146.39465
2001-10-01,147.46571
2001-11-01,150.38796
2001-12-01,149.60870
2002-01-01,151.34819
2002-02-01,153.43421
2002-03-01,152.39710
2002-04-01,150.65013
2002-05-01,145.49811
2002-06-01,139.66148
2002-07-01,134.70772
2002-08-01,136.59371
2002-09-01,136.12130
2002-10-01,136.07148
2002-11-01,133.37743
2002-12-01,131.14098
2003-01-01,125.63148
2003-02-01,123.91962
2003-03-01,123.77742
2003-04-01,122.89655
2003-05-01,115.46170
2003-06-01,114.47206
2003-07-01,117.51617
2003-08-01,119.82271
2003-09-01,118.69938
2003-10-01,114.17943
2003-11-01,114.01008
2003-12-01,108.62552
2004-01-01,105.90563
2004-02-01,105.72854
2004-03-01,108.94898
2004-04-01,111.35170
2004-05-01,111.20512
2004-06-01,109.97022
2004-07-01,108.93785
2004-08-01,109.58379
2004-09-01,109.26474
2004-10-01,107.01770
2004-11-01,102.78173
2004-12-01,99.58474
2005-01-01,101.90552
2005-02-01,102.55232
2005-03-01,101.37165
2005-04-01,103.22406
2005-05-01,105.33916
2005-06-01,109.89007
2005-07-01,110.87309
