DATE,CCUSMA02IDM618N_NBD19670101
1967-01-01,100.00000
1967-02-01,100.00000
1967-03-01,100.00000
1967-04-01,100.00000
1967-05-01,100.00000
1967-06-01,100.00000
1967-07-01,100.00000
1967-08-01,102.55474
1967-09-01,106.56934
1967-10-01,109.48905
1967-11-01,130.65693
1967-12-01,160.94891
1968-01-01,182.84672
1968-02-01,194.16058
1968-03-01,194.16058
1968-04-01,201.45985
1968-05-01,213.86861
1968-06-01,219.70803
1968-07-01,221.89781
1968-08-01,224.81752
1968-09-01,230.29197
1968-10-01,236.13139
1968-11-01,237.95620
1968-12-01,237.95620
1969-01-01,237.95620
1969-02-01,237.95620
1969-03-01,237.95620
1969-04-01,237.95620
1969-05-01,237.95620
1969-06-01,237.95620
1969-07-01,237.95620
1969-08-01,237.95620
1969-09-01,237.95620
1969-10-01,237.95620
1969-11-01,237.95620
1969-12-01,237.95620
1970-01-01,237.95620
1970-02-01,237.95620
1970-03-01,237.95620
1970-04-01,256.93431
1970-05-01,275.91241
1970-06-01,275.91241
1970-07-01,275.91241
1970-08-01,275.91241
1970-09-01,275.91241
1970-10-01,275.91241
1970-11-01,275.91241
1970-12-01,275.91241
1971-01-01,275.91241
1971-02-01,275.91241
1971-03-01,275.91241
1971-04-01,275.91241
1971-05-01,275.91241
1971-06-01,275.91241
1971-07-01,275.91241
1971-08-01,289.41606
1971-09-01,302.91971
1971-10-01,302.91971
1971-11-01,302.91971
1971-12-01,302.91971
1972-01-01,302.91971
1972-02-01,302.91971
1972-03-01,302.91971
1972-04-01,302.91971
1972-05-01,302.91971
1972-06-01,302.91971
1972-07-01,302.91971
1972-08-01,302.91971
1972-09-01,302.91971
1972-10-01,302.91971
1972-11-01,302.91971
1972-12-01,302.91971
1973-01-01,302.91971
1973-02-01,302.91971
1973-03-01,302.91971
1973-04-01,302.91971
1973-05-01,302.91971
1973-06-01,302.91971
1973-07-01,302.91971
1973-08-01,302.91971
1973-09-01,302.91971
1973-10-01,302.91971
1973-11-01,302.91971
1973-12-01,302.91971
1974-01-01,302.91971
1974-02-01,302.91971
1974-03-01,302.91971
1974-04-01,302.91971
1974-05-01,302.91971
1974-06-01,302.91971
1974-07-01,302.91971
1974-08-01,302.91971
1974-09-01,302.91971
1974-10-01,302.91971
1974-11-01,302.91971
1974-12-01,302.91971
1975-01-01,302.91971
1975-02-01,302.91971
1975-03-01,302.91971
1975-04-01,302.91971
1975-05-01,302.91971
1975-06-01,302.91971
1975-07-01,302.91971
1975-08-01,302.91971
1975-09-01,302.91971
1975-10-01,302.91971
1975-11-01,302.91971
1975-12-01,302.91971
1976-01-01,302.91971
1976-02-01,302.91971
1976-03-01,302.91971
1976-04-01,302.91971
1976-05-01,302.91971
1976-06-01,302.91971
1976-07-01,302.91971
1976-08-01,302.91971
1976-09-01,302.91971
1976-10-01,302.91971
