DATE,CCUSMA02NLM618N_NBD19600101
1960-01-01,100.00000
1960-02-01,99.96237
1960-03-01,99.96608
1960-04-01,99.94726
1960-05-01,99.93587
1960-06-01,99.93587
1960-07-01,99.96608
1960-08-01,99.96237
1960-09-01,99.93958
1960-10-01,99.93958
1960-11-01,100.03763
1960-12-01,99.94355
1961-01-01,100.01140
1961-02-01,100.38640
1961-03-01,96.08433
1961-04-01,95.26250
1961-05-01,95.24183
1961-06-01,95.23494
1961-07-01,95.23839
1961-08-01,95.43053
1961-09-01,95.75809
1961-10-01,95.56807
1961-11-01,95.44775
1961-12-01,95.44775
1962-01-01,95.57152
1962-02-01,95.91392
1962-03-01,95.71993
1962-04-01,95.42708
1962-05-01,95.25906
1962-06-01,95.31047
1962-07-01,95.25906
1962-08-01,95.53017
1962-09-01,95.48538
1962-10-01,95.50950
1962-11-01,95.50950
1962-12-01,95.40296
1963-01-01,95.42708
1963-02-01,95.42363
1963-03-01,95.30358
1963-04-01,95.23494
1963-05-01,95.27946
1963-06-01,95.39952
1963-07-01,95.48538
1963-08-01,95.63380
1963-09-01,95.60252
1963-10-01,95.50606
1963-11-01,95.45120
1963-12-01,95.45120
1964-01-01,95.49227
1964-02-01,95.56118
1964-03-01,95.56807
1964-04-01,95.63724
1964-05-01,95.74086
1964-06-01,95.92797
1964-07-01,95.82381
1964-08-01,95.76498
1964-09-01,95.63380
1964-10-01,95.42708
1964-11-01,95.24872
1964-12-01,95.22487
1965-01-01,95.23839
1965-02-01,95.24528
1965-03-01,95.39952
1965-04-01,95.39952
1965-05-01,95.44086
1965-06-01,95.55429
1965-07-01,95.46498
1965-08-01,95.36188
1965-09-01,95.39607
1965-10-01,95.42708
1965-11-01,95.48194
1965-12-01,95.59219
1966-01-01,95.81692
1966-02-01,96.01118
1966-03-01,95.95924
1966-04-01,96.23804
1966-05-01,96.20650
1966-06-01,95.86542
1966-07-01,95.60941
1966-08-01,95.69581
1966-09-01,95.92797
1966-10-01,95.93486
1966-11-01,95.87920
1966-12-01,95.87576
1967-01-01,95.74775
1967-02-01,95.69581
1967-03-01,95.73742
1967-04-01,95.73397
1967-05-01,95.54051
1967-06-01,95.48194
1967-07-01,95.10508
1967-08-01,95.34121
1967-09-01,95.33432
1967-10-01,95.30014
1967-11-01,95.31392
1967-12-01,95.31710
1968-01-01,95.51295
1968-02-01,95.60941
1968-03-01,95.57841
1968-04-01,95.91048
1968-05-01,95.90014
1968-06-01,95.95208
1968-07-01,95.98336
1968-08-01,96.14025
1968-09-01,96.35677
1968-10-01,96.42700
1968-11-01,96.17497
1968-12-01,95.64069
1969-01-01,95.89670
1969-02-01,96.08777
1969-03-01,96.14369
1969-04-01,96.30085
1969-05-01,96.48663
1969-06-01,96.63796
1969-07-01,96.47974
1969-08-01,95.90014
1969-09-01,95.81692
1969-10-01,95.31710
1969-11-01,95.50950
1969-12-01,95.94519
1970-01-01,96.29502
1970-02-01,96.41958
1970-03-01,96.28442
1970-04-01,96.25527
1970-05-01,96.14396
1970-06-01,96.06445
1970-07-01,95.69608
1970-08-01,95.41780
1970-09-01,95.38335
1970-10-01,95.39660
1970-11-01,95.35420
1970-12-01,95.45756
1971-01-01,95.26144
1971-02-01,95.28264
1971-03-01,95.27734
1971-04-01,95.41250
1971-05-01,94.71815
1971-06-01,94.45313
1971-07-01,94.34712
1971-08-01,92.41248
1971-09-01,90.50433
1971-10-01,88.99372
1971-11-01,88.30467
1971-12-01,86.92656
1972-01-01,85.23043
1972-02-01,84.22336
1972-03-01,84.38237
1972-04-01,85.07142
1972-05-01,85.12443
1972-06-01,84.75340
1972-07-01,84.32937
1972-08-01,85.01842
1972-09-01,85.54846
1972-10-01,85.83998
1972-11-01,85.60146
1972-12-01,85.57496
1973-01-01,85.29404
1973-02-01,80.49718
1973-03-01,76.04484
1973-04-01,78.19945
1973-05-01,76.72859
1973-06-01,72.35841
1973-07-01,68.40961
1973-08-01,70.38931
1973-09-01,68.93965
1973-10-01,66.24175
1973-11-01,71.11017
1973-12-01,74.39642
1974-01-01,77.77542
1974-02-01,74.93706
1974-03-01,72.95471
1974-04-01,70.88490
1974-05-01,68.85485
1974-06-01,70.20645
1974-07-01,69.80892
1974-08-01,70.76564
1974-09-01,71.87343
1974-10-01,70.42377
1974-11-01,68.97146
1974-12-01,67.46084
1975-01-01,65.26648
1975-02-01,63.84332
1975-03-01,62.91575
1975-04-01,64.21965
1975-05-01,63.74261
1975-06-01,63.84332
1975-07-01,67.62251
1975-08-01,70.02624
1975-09-01,71.14462
1975-10-01,70.40522
1975-11-01,70.36546
1975-12-01,71.19763
1976-01-01,70.80540
1976-02-01,70.55628
1976-03-01,71.32749
1976-04-01,71.19233
1976-05-01,72.04039
1976-06-01,72.67114
1976-07-01,72.30541
1976-08-01,70.90875
1976-09-01,69.08542
1976-10-01,67.51915
1976-11-01,66.77974
1976-12-01,65.82567
1977-01-01,66.28945
1977-02-01,66.56243
1977-03-01,66.13574
1977-04-01,65.51030
1977-05-01,65.09952
1977-06-01,65.69581
1977-07-01,64.76824
1977-08-01,64.89015
1977-09-01,65.27973
1977-10-01,64.58273
1977-11-01,64.10834
1977-12-01,61.76026
1978-01-01,60.17544
1978-02-01,58.99610
1978-03-01,57.64980
1978-04-01,57.76111
1978-05-01,59.75406
1978-06-01,59.23197
1978-07-01,58.75494
1978-08-01,57.40333
1978-09-01,56.72488
1978-10-01,53.18422
1978-11-01,54.45631
1978-12-01,54.07998
1979-01-01,52.85294
1979-02-01,53.15506
1979-03-01,53.22927
1979-04-01,54.26815
1979-05-01,55.05526
1979-06-01,54.77434
1979-07-01,53.19217
1979-08-01,53.20277
1979-09-01,52.39711
1979-10-01,52.59587
1979-11-01,52.38651
1979-12-01,50.84409
1980-01-01,50.44656
1980-02-01,51.04550
1980-03-01,53.80701
1980-04-01,54.48546
1980-05-01,52.30700
1980-06-01,51.41653
1980-07-01,50.64797
1980-08-01,51.66565
1980-09-01,51.57289
1980-10-01,52.91389
1980-11-01,55.08971
1980-12-01,56.73018
1981-01-01,57.79821
1981-02-01,61.92193
1981-03-01,61.82652
1981-04-01,63.45639
1981-05-01,67.55625
1981-06-01,70.01829
1981-07-01,71.85222
1981-08-01,73.62786
1981-09-01,69.31598
1981-10-01,65.98998
1981-11-01,64.67813
1981-12-01,65.59510
1982-01-01,66.60483
1982-02-01,68.78859
1982-03-01,69.34249
1982-04-01,70.50857
1982-05-01,68.08099
1982-06-01,71.16052
1982-07-01,72.13315
1982-08-01,72.31601
1982-09-01,72.62078
1982-10-01,73.09782
1982-11-01,73.85578
1982-12-01,70.72324
1983-01-01,69.68701
1983-02-01,70.95381
1983-03-01,71.09957
1983-04-01,72.79305
1983-05-01,73.54835
1983-06-01,75.66321
1983-07-01,76.73124
1983-08-01,79.16413
1983-09-01,79.11642
1983-10-01,77.39114
1983-11-01,79.69152
1983-12-01,81.72687
1984-01-01,83.62971
1984-02-01,80.87086
1984-03-01,77.65881
1984-04-01,78.82225
1984-05-01,81.97069
1984-06-01,81.84348
1984-07-01,85.16948
1984-08-01,86.35412
1984-09-01,90.47783
1984-10-01,91.65982
1984-11-01,89.35945
1984-12-01,92.66160
1985-01-01,95.47346
1985-02-01,98.76501
1985-03-01,99.10423
1985-04-01,92.21901
1985-05-01,93.07768
1985-06-01,91.55381
1985-07-01,87.01667
1985-08-01,83.21363
1985-09-01,84.62354
1985-10-01,79.02897
1985-11-01,77.44415
1985-12-01,75.08812
