DATE,CCUSMA02NZM618N_NBD19600101
1960-01-01,100.00000
1960-02-01,99.87749
1960-03-01,99.78402
1960-04-01,99.65487
1960-05-01,99.77683
1960-06-01,99.89909
1960-07-01,99.69071
1960-08-01,99.62622
1960-09-01,99.54036
1960-10-01,99.58327
1960-11-01,99.51177
1960-12-01,99.72658
1961-01-01,99.76247
1961-02-01,99.99278
1961-03-01,100.07943
1961-04-01,100.06498
1961-05-01,100.20967
1961-06-01,100.35479
1961-07-01,100.44206
1961-08-01,99.88469
1961-09-01,99.55466
1961-10-01,99.44751
1961-11-01,99.46179
1961-12-01,99.64771
1962-01-01,99.60474
1962-02-01,99.47606
1962-03-01,99.44751
1962-04-01,99.49749
1962-05-01,99.56181
1962-06-01,99.69789
1962-07-01,100.11557
1962-08-01,99.85591
1962-09-01,99.95673
1962-10-01,99.94231
1962-11-01,99.92070
1962-12-01,99.87030
1963-01-01,99.81995
1963-02-01,99.87030
1963-03-01,99.97115
1963-04-01,99.96394
1963-05-01,100.00722
1963-06-01,99.98557
1963-07-01,99.96394
1963-08-01,100.00722
1963-09-01,100.07220
1963-10-01,100.07220
1963-11-01,100.07220
1963-12-01,100.11557
1964-01-01,100.05053
1964-02-01,100.10111
1964-03-01,100.05775
1964-04-01,100.02887
1964-05-01,100.01443
1964-06-01,100.20243
1964-07-01,100.18070
1964-08-01,100.47118
1964-09-01,100.58785
1964-10-01,100.58785
1964-11-01,100.53678
1964-12-01,100.32573
1965-01-01,100.30395
1965-02-01,100.16622
1965-03-01,100.26767
1965-04-01,100.13004
1965-05-01,100.09388
1965-06-01,100.26767
1965-07-01,100.31847
1965-08-01,99.95673
1965-09-01,100.10834
1965-10-01,99.88469
1965-11-01,99.86310
1965-12-01,99.92070
1966-01-01,99.85591
1966-02-01,99.89909
1966-03-01,100.16622
1966-04-01,99.86310
1966-05-01,100.26767
1966-06-01,100.35479
1966-07-01,100.39113
1966-08-01,100.39113
1966-09-01,100.37659
1966-10-01,100.28944
1966-11-01,99.94952
1966-12-01,100.34752
1967-01-01,100.31121
1967-02-01,100.20243
1967-03-01,100.12281
1967-04-01,100.02165
1967-05-01,100.10111
1967-06-01,100.30395
1967-07-01,100.39113
1967-08-01,100.51490
1967-09-01,100.57325
1967-10-01,100.59515
1967-11-01,108.04490
1967-12-01,123.80527
1968-01-01,123.65064
1968-02-01,123.63961
1968-03-01,124.12681
1968-04-01,124.02685
1968-05-01,124.67392
1968-06-01,124.92114
1968-07-01,124.64029
1968-08-01,124.57307
1968-09-01,124.77494
1968-10-01,124.65150
1968-11-01,124.85362
1968-12-01,124.94366
1969-01-01,124.79741
1969-02-01,124.56188
1969-03-01,124.55068
1969-04-01,124.47238
1969-05-01,124.81988
1969-06-01,124.66271
1969-07-01,124.61787
1969-08-01,124.87612
1969-09-01,124.95492
1969-10-01,124.62908
1969-11-01,124.30493
1969-12-01,124.26035
1970-01-01,124.09347
1970-02-01,123.87166
1970-03-01,123.81633
1970-04-01,123.79421
1970-05-01,123.92704
1970-06-01,124.23808
1970-07-01,124.60667
1970-08-01,124.75247
1970-09-01,124.88737
1970-10-01,124.77494
1970-11-01,124.61787
1970-12-01,124.60667
1971-01-01,123.81633
1971-02-01,123.20000
1971-03-01,123.15621
1971-04-01,123.20000
1971-05-01,123.15621
1971-06-01,123.14527
1971-07-01,123.16715
1971-08-01,122.35169
1971-09-01,120.31250
1971-10-01,119.27711
1971-11-01,119.07216
1971-12-01,115.98326
1972-01-01,115.98326
1972-02-01,115.98326
1972-03-01,115.98326
1972-04-01,115.98326
1972-05-01,115.98326
1972-06-01,115.98326
1972-07-01,115.98326
1972-08-01,115.98326
1972-09-01,115.98326
1972-10-01,115.98326
1972-11-01,115.98326
