DATE,CCUSMA02ESM618N_NBD19600101
1960-01-01,100.00000
1960-02-01,99.89172
1960-03-01,99.81965
1960-04-01,99.81965
1960-05-01,99.84356
1960-06-01,99.82563
1960-07-01,99.80171
1960-08-01,99.80171
1960-09-01,99.80171
1960-10-01,99.80171
1960-11-01,99.79557
1960-12-01,99.78959
1961-01-01,99.83161
1961-02-01,99.77763
1961-03-01,99.77763
1961-04-01,99.78361
1961-05-01,99.77763
1961-06-01,99.77763
1961-07-01,99.77763
1961-08-01,99.77763
1961-09-01,99.77763
1961-10-01,99.77763
1961-11-01,99.77763
1961-12-01,99.74774
1962-01-01,99.74176
1962-02-01,99.74176
1962-03-01,99.73578
1962-04-01,99.73578
1962-05-01,99.73578
1962-06-01,99.73578
1962-07-01,99.73578
1962-08-01,99.73578
1962-09-01,99.68779
1962-10-01,99.67583
1962-11-01,99.66985
1962-12-01,99.65790
1963-01-01,99.65192
1963-02-01,99.65790
1963-03-01,99.67583
1963-04-01,99.66387
1963-05-01,99.66387
1963-06-01,99.66387
1963-07-01,99.66387
1963-08-01,99.65790
1963-09-01,99.65790
1963-10-01,99.65790
1963-11-01,99.65192
1963-12-01,99.64594
1964-01-01,99.65192
1964-02-01,99.65790
1964-03-01,99.66387
1964-04-01,99.65790
1964-05-01,99.65790
1964-06-01,99.66387
1964-07-01,99.66387
1964-08-01,99.66985
1964-09-01,99.67583
1964-10-01,99.66985
1964-11-01,99.65192
1964-12-01,99.64594
1965-01-01,99.65192
1965-02-01,99.65192
1965-03-01,99.66387
1965-04-01,99.84356
1965-05-01,99.66985
1965-06-01,99.66985
1965-07-01,99.66985
1965-08-01,99.69377
1965-09-01,99.66985
1965-10-01,99.69377
1965-11-01,99.69975
1965-12-01,99.66387
1966-01-01,99.67583
1966-02-01,99.68181
1966-03-01,99.68779
1966-04-01,99.68779
1966-05-01,99.68181
1966-06-01,99.69377
1966-07-01,99.71170
1966-08-01,99.80769
1966-09-01,99.80769
1966-10-01,99.79557
1966-11-01,99.81367
1966-12-01,99.81367
1967-01-01,99.82563
1967-02-01,99.83758
1967-03-01,99.84356
1967-04-01,99.85569
1967-05-01,99.85569
1967-06-01,99.84971
1967-07-01,99.83758
1967-08-01,99.81965
1967-09-01,99.80171
1967-10-01,99.83161
1967-11-01,104.90172
1967-12-01,116.65499
1968-01-01,116.65499
1968-02-01,116.69584
1968-03-01,116.42598
1968-04-01,116.27103
1968-05-01,116.27103
1968-06-01,116.30358
1968-07-01,116.27917
1968-08-01,116.26290
1968-09-01,116.27917
1968-10-01,116.27917
1968-11-01,116.28731
1968-12-01,116.30358
1969-01-01,116.31172
1969-02-01,116.30358
1969-03-01,116.31986
1969-04-01,116.36885
1969-05-01,116.44225
1969-06-01,116.45853
1969-07-01,116.40140
1969-08-01,116.31986
1969-09-01,116.32799
1969-10-01,116.44225
1969-11-01,116.55667
1969-12-01,116.70414
1970-01-01,116.56481
1970-02-01,116.40954
1970-03-01,116.39326
1970-04-01,116.34427
1970-05-01,116.29545
1970-06-01,116.23035
1970-07-01,116.21407
1970-08-01,116.21407
1970-09-01,116.23848
1970-10-01,116.21407
1970-11-01,116.21407
1970-12-01,116.21407
1971-01-01,116.21407
1971-02-01,116.21407
1971-03-01,116.21407
1971-04-01,116.20593
1971-05-01,116.20593
1971-06-01,116.21407
1971-07-01,116.19780
1971-08-01,115.84922
1971-09-01,115.20636
1971-10-01,114.87156
1971-11-01,114.27089
1971-12-01,112.04289
1972-01-01,109.53042
1972-02-01,109.47263
1972-03-01,108.05506
1972-04-01,107.23185
1972-05-01,107.19714
1972-06-01,107.07973
1972-07-01,105.41438
1972-08-01,105.42783
1972-09-01,105.41438
1972-10-01,105.44128
1972-11-01,105.42119
1972-12-01,105.42119
1973-01-01,105.42335
1973-02-01,100.91139
1973-03-01,95.88014
1973-04-01,96.39363
1973-05-01,96.22839
1973-06-01,96.31341
1973-07-01,95.48456
1973-08-01,94.45360
1973-09-01,94.23605
1973-10-01,94.36741
1973-11-01,94.90248
1973-12-01,94.45310
1974-01-01,96.27007
1974-02-01,97.93077
1974-03-01,98.03456
1974-04-01,97.12450
1974-05-01,95.34274
1974-06-01,95.10658
1974-07-01,94.66816
1974-08-01,94.99748
1974-09-01,95.76704
1974-10-01,95.34307
1974-11-01,94.79238
1974-12-01,93.30190
1975-01-01,93.24909
1975-02-01,93.26935
1975-03-01,92.61620
1975-04-01,93.42944
1975-05-01,92.78443
1975-06-01,92.64510
1975-07-01,95.12734
1975-08-01,96.88735
1975-09-01,98.15446
1975-10-01,98.32452
1975-11-01,98.37052
1975-12-01,99.04908
1976-01-01,99.15520
1976-02-01,107.56183
1976-03-01,111.12901
1976-04-01,111.73101
1976-05-01,112.32837
1976-06-01,112.80864
1976-07-01,112.97554
1976-08-01,113.37976
1976-09-01,112.73690
1976-10-01,113.04081
1976-11-01,113.51145
1976-12-01,113.48189
1977-01-01,113.90188
1977-02-01,114.71894
1977-03-01,114.25146
1977-04-01,114.17722
1977-05-01,114.57131
1977-06-01,115.22114
1977-07-01,134.04965
1977-08-01,140.56739
1977-09-01,140.43819
1977-10-01,139.58492
1977-11-01,137.71813
1977-12-01,135.58961
1978-01-01,134.10312
1978-02-01,133.89338
1978-03-01,132.96189
1978-04-01,133.01869
1978-05-01,134.85625
1978-06-01,131.92678
1978-07-01,128.95728
1978-08-01,124.43104
1978-09-01,122.02934
1978-10-01,116.14665
1978-11-01,118.12321
1978-12-01,118.00713
1979-01-01,116.10779
1979-02-01,115.03282
1979-03-01,114.59738
1979-04-01,113.15456
1979-05-01,109.73435
1979-06-01,109.74316
1979-07-01,109.88714
1979-08-01,109.75030
1979-09-01,109.70081
1979-10-01,109.81407
1979-11-01,110.30248
1979-12-01,110.38718
1980-01-01,109.78052
1980-02-01,110.57882
1980-03-01,114.96672
1980-04-01,119.21130
1980-05-01,117.82678
1980-06-01,116.38529
1980-07-01,117.46458
1980-08-01,120.18181
1980-09-01,121.66814
1980-10-01,123.45655
1980-11-01,126.77429
1980-12-01,131.00310
1981-01-01,133.67300
1981-02-01,142.31827
1981-03-01,142.53516
1981-04-01,145.44902
1981-05-01,151.62782
1981-06-01,156.94056
1981-07-01,162.05668
1981-08-01,166.39260
1981-09-01,159.47047
1981-10-01,159.13916
1981-11-01,158.38454
1981-12-01,160.65189
1982-01-01,163.01075
1982-02-01,166.96786
1982-03-01,173.34661
1982-04-01,176.22460
1982-05-01,170.72818
1982-06-01,181.24639
1982-07-01,185.21878
1982-08-01,185.97473
1982-09-01,187.64689
1982-10-01,191.07092
1982-11-01,197.54881
1982-12-01,209.17885
1983-01-01,210.33470
1983-02-01,215.55826
1983-03-01,221.44710
1983-04-01,225.78966
1983-05-01,228.82974
1983-06-01,238.21369
1983-07-01,245.48838
1983-08-01,251.57567
1983-09-01,252.42097
1983-10-01,251.16963
1983-11-01,257.04552
1983-12-01,262.30512
1984-01-01,265.50944
1984-02-01,256.32892
1984-03-01,248.39311
1984-04-01,249.27095
1984-05-01,255.58161
1984-06-01,256.94886
1984-07-01,267.79888
1984-08-01,272.98424
1984-09-01,282.22089
1984-10-01,285.75153
1984-11-01,278.59409
1984-12-01,285.13591
1985-01-01,290.52272
1985-02-01,301.45178
1985-03-01,304.97562
1985-04-01,285.89684
1985-05-01,290.43703
1985-06-01,289.86758
1985-07-01,278.87840
1985-08-01,272.35949
1985-09-01,279.73050
1985-10-01,268.92134
1985-11-01,266.80379
1985-12-01,259.11558
1986-01-01,253.66433
1986-02-01,245.08682
1986-03-01,236.51579
1986-04-01,238.95203
1986-05-01,234.38278
1986-06-01,237.49178
1986-07-01,228.47900
1986-08-01,222.66074
1986-09-01,222.57820
1986-10-01,220.41448
1986-11-01,225.68288
1986-12-01,223.40440
1987-01-01,214.93799
1987-02-01,213.24624
1987-03-01,213.81652
1987-04-01,210.82411
1987-05-01,207.61879
1987-06-01,209.58738
1987-07-01,210.75784
1987-08-01,208.91912
1987-09-01,201.42322
1987-10-01,197.56508
1987-11-01,188.47823
1987-12-01,184.35721
1988-01-01,186.64516
1988-02-01,189.68590
1988-03-01,186.62440
1988-04-01,183.97923
1988-05-01,186.24576
1988-06-01,193.02689
1988-07-01,202.94243
1988-08-01,205.94912
1988-09-01,206.25137
1988-10-01,200.00880
1988-11-01,191.14200
1988-12-01,188.67287
1989-01-01,190.65076
1989-02-01,192.12845
1989-03-01,192.98056
1989-04-01,192.94851
1989-05-01,202.43973
1989-06-01,210.33885
1989-07-01,197.69595
1989-08-01,200.17919
1989-09-01,202.98561
1989-10-01,197.18130
1989-11-01,193.39191
1989-12-01,186.55730
1990-01-01,182.15396
