DATE,CCUSMA02SEM618N_NBD19600101
1960-01-01,100.00000
1960-02-01,99.95348
1960-03-01,99.93785
1960-04-01,99.70564
1960-05-01,99.80872
1960-06-01,99.67476
1960-07-01,99.66955
1960-08-01,99.53598
1960-09-01,99.60257
1960-10-01,99.67476
1960-11-01,99.72610
1960-12-01,99.83458
1961-01-01,99.80872
1961-02-01,99.79328
1961-03-01,99.73653
1961-04-01,99.73132
1961-05-01,99.60778
1961-06-01,99.67476
1961-07-01,99.71587
1961-08-01,99.66955
1961-09-01,99.86025
1961-10-01,99.74676
1961-11-01,99.76741
1961-12-01,99.77262
1962-01-01,99.76220
1962-02-01,99.55644
1962-03-01,99.45375
1962-04-01,99.37191
1962-05-01,99.35145
1962-06-01,99.31053
1962-07-01,99.35145
1962-08-01,99.33099
1962-09-01,99.44352
1962-10-01,99.44873
1962-11-01,99.68499
1962-12-01,100.12450
1963-01-01,99.94306
1963-02-01,100.06215
1963-03-01,100.19727
1963-04-01,100.26502
1963-05-01,100.18163
1963-06-01,100.08300
1963-07-01,100.00000
1963-08-01,100.18684
1963-09-01,100.17642
1963-10-01,100.27023
1963-11-01,100.20769
1963-12-01,100.27023
1964-01-01,100.15577
1964-02-01,100.06215
1964-03-01,99.34122
1964-04-01,99.23390
1964-05-01,99.16770
1964-06-01,99.15245
1964-07-01,99.28505
1964-08-01,99.15747
1964-09-01,99.18295
1964-10-01,99.61801
1964-11-01,99.51533
1964-12-01,99.29528
1965-01-01,99.16268
1965-02-01,99.14222
1965-03-01,99.14724
1965-04-01,99.32076
1965-05-01,99.43850
1965-06-01,99.65411
1965-07-01,99.72610
1965-08-01,99.84481
1965-09-01,99.74155
1965-10-01,99.86025
1965-11-01,99.86025
1965-12-01,99.87068
1966-01-01,99.80872
1966-02-01,99.77262
1966-03-01,99.57690
1966-04-01,99.57188
1966-05-01,99.50510
1966-06-01,99.58211
1966-07-01,99.74155
1966-08-01,99.71066
1966-09-01,99.77764
1966-10-01,99.85523
1966-11-01,105.26829
1966-12-01,99.87068
1967-01-01,99.81895
1967-02-01,99.73653
1967-03-01,99.66434
1967-04-01,99.51031
1967-05-01,99.49989
1967-06-01,99.41804
1967-07-01,99.43329
1967-08-01,99.52556
1967-09-01,99.59234
1967-10-01,99.79829
1967-11-01,99.87589
1967-12-01,99.79829
1968-01-01,99.66955
1968-02-01,99.69522
1968-03-01,99.77764
1968-04-01,99.81393
1968-05-01,99.73132
1968-06-01,99.74155
1968-07-01,99.74676
1968-08-01,99.65411
1968-09-01,99.64388
1968-10-01,99.82937
1968-11-01,99.89133
1968-12-01,99.89133
1969-01-01,99.80351
1969-02-01,99.87589
1969-03-01,99.80351
1969-04-01,99.75197
1969-05-01,99.81895
1969-06-01,99.87068
1969-07-01,99.81895
1969-08-01,99.77764
1969-09-01,99.85523
1969-10-01,99.67476
1969-11-01,99.73132
1969-12-01,99.74155
1970-01-01,99.72610
1970-02-01,99.98456
1970-03-01,100.36404
1970-04-01,100.35882
1970-05-01,100.35882
1970-06-01,100.18684
1970-07-01,100.10365
1970-08-01,99.97935
1970-09-01,100.40052
1970-10-01,100.10365
1970-11-01,99.88612
1970-12-01,99.80351
1971-01-01,99.67476
1971-02-01,99.84481
1971-03-01,99.65411
1971-04-01,99.65932
1971-05-01,99.71587
1971-06-01,99.64890
1971-07-01,99.64388
1971-08-01,98.97448
1971-09-01,97.97696
1971-10-01,97.08907
1971-11-01,96.66442
1971-12-01,94.61841
1972-01-01,93.20936
1972-02-01,92.66891
1972-03-01,92.22496
1972-04-01,92.43728
1972-05-01,91.87752
1972-06-01,91.60730
1972-07-01,91.43358
1972-08-01,91.35637
1972-09-01,91.39497
1972-10-01,91.70381
1972-11-01,91.60730
1972-12-01,91.56869
1973-01-01,91.43271
1973-02-01,87.92968
1973-03-01,85.81096
1973-04-01,86.98649
1973-05-01,85.42595
1973-06-01,81.03154
1973-07-01,77.61482
1973-08-01,79.93161
1973-09-01,80.84906
1973-10-01,80.45315
1973-11-01,83.55556
1973-12-01,87.49559
1974-01-01,92.35412
1974-02-01,90.25419
1974-03-01,87.98599
