Date,Cyprus
1995-01-01,100.00000
1995-02-01,100.00000
1995-03-01,95.74468
1995-04-01,93.61702
1995-05-01,95.74468
1995-06-01,93.61702
1995-07-01,93.61702
1995-08-01,95.74468
1995-09-01,97.87234
1995-10-01,95.74468
1995-11-01,95.74468
1995-12-01,97.87234
1996-01-01,97.87234
1996-02-01,100.00000
1996-03-01,100.00000
1996-04-01,100.00000
1996-05-01,102.12766
1996-06-01,100.00000
1996-07-01,100.00000
1996-08-01,97.87234
1996-09-01,97.87234
1996-10-01,100.00000
1996-11-01,97.87234
1996-12-01,100.00000
1997-01-01,102.12766
1997-02-01,106.38298
1997-03-01,108.51064
1997-04-01,108.51064
1997-05-01,108.51064
1997-06-01,108.51064
1997-07-01,112.76596
1997-08-01,114.89362
1997-09-01,112.76596
1997-10-01,110.63830
1997-11-01,108.51064
1997-12-01,110.63830
1998-01-01,112.76596
1998-02-01,112.76596
1998-03-01,112.76596
1998-04-01,112.76596
1998-05-01,112.76596
1998-06-01,112.76596
1998-07-01,112.76596
1998-08-01,112.76596
1998-09-01,106.38298
1998-10-01,102.12766
1998-11-01,106.38298
1998-12-01,106.38298
1999-01-01,106.38298
1999-02-01,110.63830
1999-03-01,112.76596
1999-04-01,114.89362
1999-05-01,114.89362
1999-06-01,119.14894
1999-07-01,119.14894
1999-08-01,117.02128
1999-09-01,117.02128
1999-10-01,114.89362
1999-11-01,119.14894
1999-12-01,121.27660
2000-01-01,121.27660
2000-02-01,125.53191
2000-03-01,127.65957
2000-04-01,129.78723
2000-05-01,134.04255
2000-06-01,129.78723
2000-07-01,129.78723
2000-08-01,134.04255
2000-09-01,140.42553
2000-10-01,142.55319
2000-11-01,142.55319
2000-12-01,136.17021
2001-01-01,129.78723
2001-02-01,134.04255
2001-03-01,134.04255
2001-04-01,138.29787
2001-05-01,140.42553
2001-06-01,142.55319
2001-07-01,142.55319
2001-08-01,136.17021
2001-09-01,134.04255
2001-10-01,134.04255
2001-11-01,138.29787
2001-12-01,136.17021
2002-01-01,138.29787
2002-02-01,140.42553
2002-03-01,140.42553
2002-04-01,138.29787
2002-05-01,134.04255
2002-06-01,129.78723
2002-07-01,123.40426
2002-08-01,125.53191
2002-09-01,123.40426
2002-10-01,123.40426
2002-11-01,121.27660
2002-12-01,119.14894
2003-01-01,114.89362
2003-02-01,114.89362
2003-03-01,114.89362
2003-04-01,114.89362
2003-05-01,108.51064
2003-06-01,106.38298
2003-07-01,110.63830
2003-08-01,112.76596
2003-09-01,110.63830
2003-10-01,106.38298
2003-11-01,106.38298
2003-12-01,102.12766
2004-01-01,100.00000
2004-02-01,97.87234
2004-03-01,102.12766
2004-04-01,104.25532
2004-05-01,104.25532
2004-06-01,102.12766
2004-07-01,100.00000
2004-08-01,100.00000
2004-09-01,100.00000
2004-10-01,97.87234
2004-11-01,95.74468
2004-12-01,91.48936
2005-01-01,93.61702
2005-02-01,95.74468
2005-03-01,93.61702
2005-04-01,95.74468
2005-05-01,97.87234
2005-06-01,100.00000
2005-07-01,102.12766
2005-08-01,100.00000
2005-09-01,100.00000
2005-10-01,102.12766
2005-11-01,104.25532
2005-12-01,102.12766
2006-01-01,100.00000
2006-02-01,102.12766
