Date,Czech
1991-01-01,100.00000
1991-02-01,98.54299
1991-03-01,103.95410
1991-04-01,108.30662
1991-05-01,108.93013
1991-06-01,111.67746
1991-07-01,112.13850
1991-08-01,110.43027
1991-09-01,108.48747
1991-10-01,108.09727
1991-11-01,105.48704
1991-12-01,103.27638
1992-01-01,102.58290
1992-02-01,104.10601
1992-03-01,105.46997
1992-04-01,105.11500
1992-05-01,104.30248
1992-06-01,102.81308
1992-07-01,99.85039
1992-08-01,98.57502
1992-09-01,98.32909
1992-10-01,99.04266
1992-11-01,103.22810
1992-12-01,103.37858
1993-01-01,104.63030
1993-02-01,104.98839
1993-03-01,105.04267
1993-04-01,103.08979
1993-05-01,103.48388
1993-06-01,105.26192
1993-07-01,107.88746
1993-08-01,107.30694
1993-09-01,104.27404
1993-10-01,104.58039
1993-11-01,107.21964
1993-12-01,107.65878
1994-01-01,108.95286
1994-02-01,108.78069
1994-03-01,107.02372
1994-04-01,107.17400
1994-05-01,105.64441
1994-06-01,104.51046
1994-07-01,101.90132
1994-08-01,101.72395
1994-09-01,101.20366
1994-10-01,99.96105
1994-11-01,100.47285
1994-12-01,102.06772
1995-01-01,100.41662
1995-02-01,99.09278
1995-03-01,94.85139
1995-04-01,93.51243
1995-05-01,94.89924
1995-06-01,94.54664
1995-07-01,94.07992
1995-08-01,96.35168
1995-09-01,97.40155
1995-10-01,95.17419
1995-11-01,95.21250
1995-12-01,96.42434
1996-01-01,97.54024
1996-02-01,97.91138
1996-03-01,98.61326
1996-04-01,99.45448
1996-05-01,100.20556
1996-06-01,100.60471
1996-07-01,98.20676
1996-08-01,95.92588
1996-09-01,96.00175
1996-10-01,97.98596
1996-11-01,97.04553
1996-12-01,98.89203
1997-01-01,99.52650
1997-02-01,101.92855
1997-03-01,105.75918
1997-04-01,108.22394
1997-05-01,112.22630
1997-06-01,117.08572
1997-07-01,121.44333
1997-08-01,123.80448
1997-09-01,121.51575
1997-10-01,119.17560
1997-11-01,119.82534
1997-12-01,125.61301
1998-01-01,127.89210
1998-02-01,124.80279
1998-03-01,122.96500
1998-04-01,122.27809
1998-05-01,117.64826
1998-06-01,120.35085
1998-07-01,115.70323
1998-08-01,116.02300
1998-09-01,111.20464
1998-10-01,105.77084
1998-11-01,107.70550
1998-12-01,108.78944
1999-01-01,111.30757
1999-02-01,121.75407
1999-03-01,125.83569
1999-04-01,128.22271
1999-05-01,128.22452
1999-06-01,129.39184
