Date,Germany
1960-01-01,100.00000
1960-02-01,99.99161
1960-03-01,99.98753
1960-04-01,99.98753
1960-05-01,99.98753
1960-06-01,99.97914
1960-07-01,99.98346
1960-08-01,99.98753
1960-09-01,99.98753
1960-10-01,100.02925
1960-11-01,100.00839
1960-12-01,100.00839
1961-01-01,100.02925
1961-02-01,100.03764
1961-03-01,95.82331
1961-04-01,95.19565
1961-05-01,95.19948
1961-06-01,95.26757
1961-07-01,95.41526
1961-08-01,95.72382
1961-09-01,95.82715
1961-10-01,95.83866
1961-11-01,95.94990
1961-12-01,95.88469
1962-01-01,95.79287
1962-02-01,95.85784
1962-03-01,95.85400
1962-04-01,95.87702
1962-05-01,95.86551
1962-06-01,95.75067
1962-07-01,95.57901
1962-08-01,95.82331
1962-09-01,95.91538
1962-10-01,96.04221
1962-11-01,96.10382
1962-12-01,95.78136
1963-01-01,96.03070
1963-02-01,95.95757
1963-03-01,95.81181
1963-04-01,95.72765
1963-05-01,95.55599
1963-06-01,95.43804
1963-07-01,95.48383
1963-08-01,95.51428
1963-09-01,95.43804
1963-10-01,95.37738
1963-11-01,95.31289
1963-12-01,95.27117
1964-01-01,95.33566
1964-02-01,95.25607
1964-03-01,95.27884
1964-04-01,95.29011
1964-05-01,95.29395
1964-06-01,95.27117
1964-07-01,95.29395
1964-08-01,95.32056
1964-09-01,95.31289
1964-10-01,95.29778
1964-11-01,95.33566
1964-12-01,95.33183
1965-01-01,95.38505
1965-02-01,95.37738
1965-03-01,95.35077
1965-04-01,95.33183
1965-05-01,95.52938
1965-06-01,95.88853
1965-07-01,96.05371
1965-08-01,96.19636
1965-09-01,96.15393
1965-10-01,96.02303
1965-11-01,95.91154
1965-12-01,95.93072
1966-01-01,96.18486
1966-02-01,96.26973
1966-03-01,96.23113
1966-04-01,96.27740
1966-05-01,96.30833
1966-06-01,96.04221
1966-07-01,95.72382
1966-08-01,95.68570
1966-09-01,95.63607
1966-10-01,95.48383
1966-11-01,95.32799
1966-12-01,95.25607
1967-01-01,95.36587
1967-02-01,95.25990
1967-03-01,95.27117
1967-04-01,95.26374
1967-05-01,95.33950
1967-06-01,95.43420
1967-07-01,95.91538
1967-08-01,95.95757
1967-09-01,95.94607
1967-10-01,95.99977
1967-11-01,95.62456
1967-12-01,95.54089
1968-01-01,95.99977
1968-02-01,95.94990
1968-03-01,95.64374
1968-04-01,95.54472
1968-05-01,95.44571
1968-06-01,95.77752
1968-07-01,96.11149
1968-08-01,96.21171
1968-09-01,95.26757
1968-10-01,95.44187
1968-11-01,95.31672
1968-12-01,95.77752
1969-01-01,95.98443
1969-02-01,96.35868
1969-03-01,96.36635
1969-04-01,96.18869
1969-05-01,95.65141
1969-06-01,95.93072
1969-07-01,95.89236
1969-08-01,95.58260
1969-09-01,95.00313
1969-10-01,89.45555
1969-11-01,88.46538
1969-12-01,88.36757
1970-01-01,88.38387
1970-02-01,88.43661
1970-03-01,88.06260
1970-04-01,87.31219
1970-05-01,87.10840
1970-06-01,87.09401
1970-07-01,87.06524
1970-08-01,87.06524
1970-09-01,87.06524
1970-10-01,87.08442
1970-11-01,87.04367
1970-12-01,87.38171
1971-01-01,87.19471
1971-02-01,86.88543
1971-03-01,87.06045
1971-04-01,87.13237
1971-05-01,85.18800
1971-06-01,84.20023
1971-07-01,83.48098
1971-08-01,81.89863
1971-09-01,80.58000
1971-10-01,79.74088
1971-11-01,79.86075
1971-12-01,78.39828
1972-01-01,77.48723
1972-02-01,76.40835
1972-03-01,76.00078
1972-04-01,76.19258
1972-05-01,76.24053
1972-06-01,76.04873
1972-07-01,75.78500
1972-08-01,76.38438
1972-09-01,76.55220
1972-10-01,76.88785
1972-11-01,76.81593
1972-12-01,76.67208
1973-01-01,76.63851
1973-02-01,72.25348
1973-03-01,67.42012
1973-04-01,68.00271
1973-05-01,66.87589
1973-06-01,61.81716
1973-07-01,55.90253
1973-08-01,58.15138
1973-09-01,58.12741
1973-10-01,57.85170
1973-11-01,61.79558
1973-12-01,63.77832
1974-01-01,67.28586
1974-02-01,65.05619
1974-03-01,62.72821
1974-04-01,60.52491
1974-05-01,59.02887
1974-06-01,60.52011
1974-07-01,61.19381
1974-08-01,62.76178
1974-09-01,63.79750
1974-10-01,62.14562
1974-11-01,60.28036
1974-12-01,58.78193
1975-01-01,56.73926
1975-02-01,55.80423
1975-03-01,55.58606
1975-04-01,56.92866
1975-05-01,56.32928
1975-06-01,56.12310
1975-07-01,59.18471
1975-08-01,61.69249
1975-09-01,62.71862
1975-10-01,61.84593
1975-11-01,62.01136
1975-12-01,62.88405
1976-01-01,62.41414
1976-02-01,61.37842
1976-03-01,61.32807
1976-04-01,60.81980
1976-05-01,61.47432
1976-06-01,61.79558
1976-07-01,61.71886
1976-08-01,60.62081
1976-09-01,59.73134
1976-10-01,58.33839
1976-11-01,57.82532
1976-12-01,57.15402
1977-01-01,57.33144
1977-02-01,57.63832
1977-03-01,57.33623
1977-04-01,56.89270
1977-05-01,56.54506
1977-06-01,56.45635
1977-07-01,54.77091
1977-08-01,55.51413
1977-09-01,55.70593
1977-10-01,54.60308
1977-11-01,53.73279
1977-12-01,51.59182
1978-01-01,50.72872
1978-02-01,49.75294
1978-03-01,48.73640
1978-04-01,48.94018
1978-05-01,50.52014
1978-06-01,49.96152
1978-07-01,49.23987
1978-08-01,47.88528
1978-09-01,47.25474
1978-10-01,44.14998
1978-11-01,45.63163
1978-12-01,45.09939
1979-01-01,44.31541
1979-02-01,44.53358
1979-03-01,44.58632
1979-04-01,45.43504
1979-05-01,45.74192
1979-06-01,45.10179
1979-07-01,43.73761
1979-08-01,43.86228
1979-09-01,43.03274
1979-10-01,42.90088
1979-11-01,42.49810
1979-12-01,41.57266
1980-01-01,41.33771
1980-02-01,41.89153
1980-03-01,44.37055
1980-04-01,44.85724
1980-05-01,42.91766
1980-06-01,42.35904
1980-07-01,41.89393
1980-08-01,42.93924
1980-09-01,42.90568
1980-10-01,44.11402
1980-11-01,45.98886
1980-12-01,47.23556
1981-01-01,48.14421
1981-02-01,51.46475
1981-03-01,50.51055
1981-04-01,51.81239
1981-05-01,54.94353
1981-06-01,56.98140
1981-07-01,58.49662
1981-08-01,59.97109
1981-09-01,56.47553
1981-10-01,53.92938
1981-11-01,53.11663
1981-12-01,54.14756
1982-01-01,54.95312
1982-02-01,56.73446
1982-03-01,57.03655
1982-04-01,57.49447
1982-05-01,55.37028
1982-06-01,58.19694
1982-07-01,59.09840
1982-08-01,59.39808
1982-09-01,59.98307
1982-10-01,60.63519
1982-11-01,61.25854
1982-12-01,57.99555
1983-01-01,57.26910
1983-02-01,58.15138
1983-03-01,57.72942
1983-04-01,58.49662
1983-05-01,59.17272
1983-06-01,61.08832
1983-07-01,62.04013
1983-08-01,64.11397
1983-09-01,63.95813
1983-10-01,62.35660
1983-11-01,64.34653
1983-12-01,65.88093
1984-01-01,67.28346
1984-02-01,64.79486
1984-03-01,62.24631
1984-04-01,63.30121
1984-05-01,65.91689
1984-06-01,65.66755
1984-07-01,68.33117
1984-08-01,69.22064
1984-09-01,72.48844
1984-10-01,73.56492
1984-11-01,71.72603
1984-12-01,74.37767
1985-01-01,75.96721
1985-02-01,79.10314
