Date,Ireland
1960-01-01,100.00000
1960-02-01,99.87515
1960-03-01,99.78260
1960-04-01,99.65474
1960-05-01,99.77905
1960-06-01,99.89653
1960-07-01,99.69378
1960-08-01,99.62992
1960-09-01,99.54137
1960-10-01,99.58031
1960-11-01,99.51306
1960-12-01,99.72929
1961-01-01,99.76483
1961-02-01,99.99643
1961-03-01,100.08222
1961-04-01,100.06076
1961-05-01,100.20759
1961-06-01,100.35845
1961-07-01,100.44486
1961-08-01,99.88940
1961-09-01,99.55907
1961-10-01,99.44591
1961-11-01,99.46357
1961-12-01,99.65120
1962-01-01,99.60157
1962-02-01,99.47417
1962-03-01,99.44944
1962-04-01,99.49538
1962-05-01,99.56261
1962-06-01,99.69733
1962-07-01,99.75772
1962-08-01,99.85734
1962-09-01,99.96073
1962-10-01,99.94645
1962-11-01,99.92505
1962-12-01,99.87515
1963-01-01,99.82174
1963-02-01,99.87158
1963-03-01,99.97144
1963-04-01,99.96787
1963-05-01,100.00715
1963-06-01,99.98572
1963-07-01,99.96430
1963-08-01,100.00715
1963-09-01,100.07506
1963-10-01,100.07149
1963-11-01,100.07149
1963-12-01,100.11801
1964-01-01,100.05360
1964-02-01,100.10369
1964-03-01,100.06076
1964-04-01,100.02858
1964-05-01,100.01429
1964-06-01,100.20042
1964-07-01,100.36205
1964-08-01,100.47370
1964-09-01,100.58921
1964-10-01,100.58559
1964-11-01,100.53864
1964-12-01,100.32968
1965-01-01,100.30452
1965-02-01,100.16815
1965-03-01,100.26501
1965-04-01,100.12875
1965-05-01,100.09653
1965-06-01,100.26860
1965-07-01,100.31530
1965-08-01,100.32249
1965-09-01,100.11085
1965-10-01,99.88227
1965-11-01,99.86090
1965-12-01,99.91792
1966-01-01,99.85378
1966-02-01,99.90366
1966-03-01,100.16457
1966-04-01,100.22911
1966-05-01,100.26860
1966-06-01,100.35845
1966-07-01,100.39444
1966-08-01,100.39444
1966-09-01,100.37644
1966-10-01,100.29374
1966-11-01,100.31171
1966-12-01,100.34766
1967-01-01,100.31530
1967-02-01,100.20400
1967-03-01,100.12517
1967-04-01,100.02144
1967-05-01,100.10369
1967-06-01,100.30811
1967-07-01,100.44846
1967-08-01,100.52059
1967-09-01,100.57837
1967-10-01,100.59644
1967-11-01,105.18446
1967-12-01,116.35291
1968-01-01,116.21768
1968-02-01,116.21285
1968-03-01,116.67292
1968-04-01,116.57091
1968-05-01,117.18567
1968-06-01,117.41173
1968-07-01,117.14645
1968-08-01,117.09255
1968-09-01,117.27402
1968-10-01,117.16115
1968-11-01,117.35267
1968-12-01,117.43143
1969-01-01,117.29368
1969-02-01,117.07786
1969-03-01,117.06318
1969-04-01,116.99469
1969-05-01,117.31825
1969-06-01,117.17096
1969-07-01,117.12684
1969-08-01,117.37727
1969-09-01,117.44128
1969-10-01,117.13664
1969-11-01,116.83846
1969-12-01,116.78972
1970-01-01,116.63967
1970-02-01,116.44368
1970-03-01,116.38769
1970-04-01,116.35969
1970-05-01,116.47168
1970-06-01,116.77966
1970-07-01,117.11564
1970-08-01,117.25563
1970-09-01,117.36762
1970-10-01,117.28363
1970-11-01,117.14364
1970-12-01,117.11564
1971-01-01,116.38769
1971-02-01,115.79973
1971-03-01,115.74373
1971-04-01,115.82773
1971-05-01,115.74373
1971-06-01,115.74373
1971-07-01,115.77173
1971-08-01,114.98779
1971-09-01,113.39190
1971-10-01,112.43997
1971-11-01,112.35598
1971-12-01,110.84408
1972-01-01,108.85623
1972-02-01,107.51232
1972-03-01,106.81237
1972-04-01,107.26034
1972-05-01,107.17635
1972-06-01,108.68824
1972-07-01,114.59582
1972-08-01,114.28784
1972-09-01,114.70781
1972-10-01,116.86366
1972-11-01,119.04750
1972-12-01,119.38348
1973-01-01,118.87951
1973-02-01,115.46375
1973-03-01,113.11192
1973-04-01,112.71995
1973-05-01,110.56410
1973-06-01,108.66024
1973-07-01,110.22813
1973-08-01,113.02793
1973-09-01,115.65974
1973-10-01,115.23977
1973-11-01,117.25563
1973-12-01,120.81137
1974-01-01,125.65503
1974-02-01,123.10721
1974-03-01,119.60746
1974-04-01,117.19963
1974-05-01,116.02371
1974-06-01,117.11564
1974-07-01,117.17163
1974-08-01,119.38348
1974-09-01,120.75538
1974-10-01,119.99943
1974-11-01,120.33541
1974-12-01,120.16742
1975-01-01,118.20756
1975-02-01,116.89165
1975-03-01,115.79973
1975-04-01,118.06757
1975-05-01,120.61539
