Date,Italy
1960-01-01,100.00000
1960-02-01,100.00000
1960-03-01,100.00000
1960-04-01,99.93785
1960-05-01,99.93785
1960-06-01,99.93785
1960-07-01,99.93785
1960-08-01,99.93785
1960-09-01,99.93785
1960-10-01,99.93785
1960-11-01,100.00000
1960-12-01,100.00000
1961-01-01,100.00000
1961-02-01,100.18676
1961-03-01,100.18676
1961-04-01,100.06215
1961-05-01,99.93785
1961-06-01,99.93785
1961-07-01,99.93785
1961-08-01,99.93785
1961-09-01,99.93785
1961-10-01,99.93785
1961-11-01,99.93785
1961-12-01,99.93785
1962-01-01,99.93785
1962-02-01,100.00000
1962-03-01,100.00000
1962-04-01,99.93785
1962-05-01,99.93785
1962-06-01,99.93785
1962-07-01,99.93785
1962-08-01,99.93785
1962-09-01,99.93785
1962-10-01,99.93785
1962-11-01,100.00000
1962-12-01,99.93785
1963-01-01,100.00000
1963-02-01,100.00000
1963-03-01,100.00000
1963-04-01,100.00000
1963-05-01,100.00000
1963-06-01,100.12445
1963-07-01,100.06215
1963-08-01,100.00000
1963-09-01,100.12445
1963-10-01,100.24907
1963-11-01,100.18676
1963-12-01,100.18676
1964-01-01,100.18676
1964-02-01,100.24907
1964-03-01,100.43663
1964-04-01,100.62500
1964-05-01,100.62500
1964-06-01,100.62500
1964-07-01,100.62500
1964-08-01,100.62500
1964-09-01,100.62500
1964-10-01,100.62500
1964-11-01,100.62500
1964-12-01,100.62500
1965-01-01,100.62500
1965-02-01,100.62500
1965-03-01,100.62500
1965-04-01,100.62500
1965-05-01,100.62500
1965-06-01,100.62500
1965-07-01,100.56221
1965-08-01,100.56221
1965-09-01,100.56221
1965-10-01,100.62500
1965-11-01,100.62500
1965-12-01,100.62500
1966-01-01,100.61244
1966-02-01,100.60617
1966-03-01,100.60617
1966-04-01,100.55593
1966-05-01,100.56221
1966-06-01,100.51826
1966-07-01,100.44919
1966-08-01,100.38028
1966-09-01,100.44291
1966-10-01,100.60617
1966-11-01,100.60617
1966-12-01,100.55593
1967-01-01,100.65012
1967-02-01,100.66912
1967-03-01,100.58733
1967-04-01,100.56849
1967-05-01,100.57477
1967-06-01,100.58105
1967-07-01,100.49942
1967-08-01,100.36789
1967-09-01,100.31781
1967-10-01,100.24279
1967-11-01,100.25535
1967-12-01,100.50570
1968-01-01,100.59989
1968-02-01,100.59989
1968-03-01,100.48059
1968-04-01,100.55593
1968-05-01,100.25535
1968-06-01,100.32409
1968-07-01,100.19916
1968-08-01,100.06215
1968-09-01,100.19288
1968-10-01,100.28030
1968-11-01,100.39284
1968-12-01,100.46175
1969-01-01,100.48686
1969-02-01,100.76362
1969-03-01,101.18786
1969-04-01,100.95940
1969-05-01,101.13698
1969-06-01,100.96584
1969-07-01,101.09255
1969-08-01,101.16242
1969-09-01,101.35353
1969-10-01,101.11154
1969-11-01,100.80774
1969-12-01,100.95312
1970-01-01,101.32165
1970-02-01,101.34709
1970-03-01,101.27705
1970-04-01,101.28977
1970-05-01,101.27705
1970-06-01,101.27705
1970-07-01,101.30249
1970-08-01,101.07983
1970-09-01,100.59361
1970-10-01,100.29898
1970-11-01,100.22411
