Date,Japan
1960-01-01,100.00000
1960-02-01,100.07215
1960-03-01,100.07215
1960-04-01,99.96392
1960-05-01,100.03608
1960-06-01,100.25253
1960-07-01,99.71140
1960-08-01,99.56987
1960-09-01,99.56987
1960-10-01,99.56987
1960-11-01,99.89177
1960-12-01,99.78355
1961-01-01,99.60595
1961-02-01,99.60595
1961-03-01,99.60595
1961-04-01,100.10823
1961-05-01,100.43290
1961-06-01,100.43290
1961-07-01,100.47175
1961-08-01,100.47175
1961-09-01,100.47175
1961-10-01,100.47175
1961-11-01,100.47175
1961-12-01,100.47175
1962-01-01,100.47175
1962-02-01,100.43290
1962-03-01,100.39683
1962-04-01,100.47175
1962-05-01,100.43290
1962-06-01,100.43290
1962-07-01,100.43290
1962-08-01,100.43290
1962-09-01,99.64202
1962-10-01,99.46165
1962-11-01,99.46165
1962-12-01,99.46165
1963-01-01,99.46165
1963-02-01,99.49772
1963-03-01,99.49772
1963-04-01,100.10823
1963-05-01,100.61605
1963-06-01,100.68820
1963-07-01,100.72705
1963-08-01,100.72705
1963-09-01,100.57998
1963-10-01,100.54390
1963-11-01,100.57998
1963-12-01,100.68820
1964-01-01,100.57998
1964-02-01,100.65213
1964-03-01,100.54390
1964-04-01,100.61605
1964-05-01,100.61605
1964-06-01,100.61605
1964-07-01,100.61605
1964-08-01,100.61605
1964-09-01,100.28860
1964-10-01,100.32468
1964-11-01,100.21645
1964-12-01,99.67810
1965-01-01,99.60595
1965-02-01,99.71140
1965-03-01,100.14430
1965-04-01,100.50783
1965-05-01,100.68820
1965-06-01,100.39683
1965-07-01,100.54390
1965-08-01,100.54390
1965-09-01,100.54390
1965-10-01,100.54390
1965-11-01,100.32468
1965-12-01,100.21645
1966-01-01,100.19980
1966-02-01,100.43013
1966-03-01,100.48840
1966-04-01,100.57720
1966-05-01,100.53280
1966-06-01,100.60218
1966-07-01,100.63825
1966-08-01,100.62715
1966-09-01,100.63825
1966-10-01,100.64103
1966-11-01,100.62438
1966-12-01,100.62715
1967-01-01,100.62715
1967-02-01,100.62993
1967-03-01,100.51893
1967-04-01,100.45233
1967-05-01,100.44123
1967-06-01,100.44400
1967-07-01,100.47175
1967-08-01,100.54668
1967-09-01,100.47730
1967-10-01,100.46343
1967-11-01,100.46620
1967-12-01,100.42458
1968-01-01,100.49950
1968-02-01,100.48563
1968-03-01,100.47175
1968-04-01,100.53280
1968-05-01,100.53003
1968-06-01,100.41348
1968-07-01,100.03608
1968-08-01,99.80852
1968-09-01,99.68087
1968-10-01,99.49772
1968-11-01,99.37285
1968-12-01,99.32012
1969-01-01,99.34232
1969-02-01,99.30347
1969-03-01,99.33677
1969-04-01,99.40337
1969-05-01,99.46720
1969-06-01,99.53380
1969-07-01,99.78910
1969-08-01,99.78355
1969-09-01,99.43390
1969-10-01,99.42280
1969-11-01,99.28127
1969-12-01,99.27295
1970-01-01,99.29200
1970-02-01,99.28507
1970-03-01,99.23872
1970-04-01,99.37026
1970-05-01,99.59864
1970-06-01,99.59143
1970-07-01,99.72740
1970-08-01,99.40939
1970-09-01,99.33835
1970-10-01,99.29200
1970-11-01,99.26370
1970-12-01,99.25315
1971-01-01,99.34889
1971-02-01,99.21763
1971-03-01,99.21042
1971-04-01,99.20681
1971-05-01,99.18211
1971-06-01,99.18211
1971-07-01,99.17851
1971-08-01,98.70925
1971-09-01,96.02137
1971-10-01,92.50043
1971-11-01,91.28331
1971-12-01,88.94286
1972-01-01,85.47048
1972-02-01,85.47048
1972-03-01,85.47048
1972-04-01,85.47048
1972-05-01,85.47048
1972-06-01,85.47048
1972-07-01,85.47048
1972-08-01,85.47048
1972-09-01,85.47048
1972-10-01,85.47048
1972-11-01,85.47048
