Date,Lithuania
1992-12-01,100.00000
1993-01-01,121.70807
1993-02-01,132.12733
1993-03-01,147.05590
1993-04-01,159.72981
1993-05-01,159.29814
1993-06-01,141.52795
1993-07-01,132.37578
1993-08-01,124.22360
1993-09-01,132.59627
1993-10-01,126.00621
1993-11-01,120.73602
1993-12-01,121.52174
1994-01-01,121.13665
1994-02-01,121.23602
1994-03-01,122.00621
1994-04-01,124.22360
1994-05-01,124.22360
1994-06-01,124.22360
1994-07-01,124.22360
1994-08-01,124.22360
1994-09-01,124.22360
1994-10-01,124.22360
1994-11-01,124.22360
1994-12-01,124.22360
1995-01-01,124.22360
1995-02-01,124.22360
1995-03-01,124.22360
1995-04-01,124.22360
1995-05-01,124.22360
1995-06-01,124.22360
1995-07-01,124.22360
1995-08-01,124.22360
1995-09-01,124.22360
1995-10-01,124.22360
1995-11-01,124.22360
1995-12-01,124.22360
1996-01-01,124.22360
1996-02-01,124.22360
1996-03-01,124.22360
1996-04-01,124.22360
1996-05-01,124.22360
1996-06-01,124.22360
1996-07-01,124.22360
1996-08-01,124.22360
1996-09-01,124.22360
1996-10-01,124.22360
1996-11-01,124.22360
1996-12-01,124.22360
1997-01-01,124.22360
1997-02-01,124.22360
1997-03-01,124.22360
1997-04-01,124.22360
1997-05-01,124.22360
1997-06-01,124.22360
1997-07-01,124.22360
1997-08-01,124.22360
1997-09-01,124.22360
1997-10-01,124.22360
1997-11-01,124.22360
1997-12-01,124.22360
1998-01-01,124.22360
1998-02-01,124.22360
1998-03-01,124.22360
1998-04-01,124.22360
1998-05-01,124.22360
1998-06-01,124.22360
1998-07-01,124.22360
1998-08-01,124.22360
1998-09-01,124.22360
1998-10-01,124.22360
1998-11-01,124.22360
1998-12-01,124.22360
1999-01-01,124.22360
1999-02-01,124.22360
1999-03-01,124.22360
1999-04-01,124.22360
1999-05-01,124.22360
1999-06-01,124.22360
1999-07-01,124.22360
1999-08-01,124.22360
1999-09-01,124.22360
1999-10-01,124.22360
1999-11-01,124.22360
1999-12-01,124.22360
2000-01-01,124.22360
2000-02-01,124.22360
2000-03-01,124.22360
2000-04-01,124.22360
2000-05-01,124.22360
2000-06-01,124.22360
2000-07-01,124.22360
2000-08-01,124.22360
2000-09-01,124.22360
2000-10-01,124.22360
2000-11-01,124.22360
2000-12-01,124.22360
2001-01-01,124.22360
2001-02-01,124.22360
2001-03-01,124.22360
2001-04-01,124.22360
2001-05-01,124.22360
2001-06-01,124.22360
2001-07-01,124.22360
2001-08-01,124.22360
2001-09-01,124.22360
2001-10-01,124.22360
2001-11-01,124.22360
2001-12-01,124.22360
2002-01-01,124.22360
2002-02-01,123.32298
2002-03-01,122.35404
2002-04-01,121.22360
2002-05-01,117.39130
2002-06-01,112.73292
2002-07-01,108.07453
2002-08-01,109.65217
2002-09-01,109.31677
2002-10-01,109.31677
2002-11-01,107.16149
2002-12-01,105.52484
2003-01-01,101.27640
2003-02-01,99.45963
2003-03-01,99.28261
2003-04-01,98.75155
2003-05-01,93.44099
2003-06-01,91.79193
2003-07-01,94.18323
2003-08-01,96.07143
2003-09-01,95.82609
2003-10-01,91.49379
2003-11-01,91.63354
2003-12-01,87.48447
2004-01-01,84.97205
2004-02-01,84.81366
2004-03-01,87.40683
2004-04-01,89.17081
2004-05-01,89.41925
2004-06-01,88.33540
2004-07-01,87.38199
2004-08-01,88.04037
2004-09-01,87.89441
2004-10-01,86.00621
2004-11-01,82.73292
2004-12-01,80.07143
2005-01-01,81.32919
2005-02-01,82.41925
2005-03-01,81.19565
2005-04-01,82.84161
2005-05-01,84.20807
2005-06-01,87.98137
2005-07-01,88.98137
2005-08-01,87.17081
2005-09-01,87.37267
2005-10-01,89.11801
2005-11-01,90.72360
2005-12-01,90.45652
2006-01-01,88.58075
2006-02-01,89.63043
2006-03-01,89.28882
2006-04-01,87.67391
2006-05-01,84.24534
2006-06-01,84.50621
2006-07-01,84.43168
2006-08-01,83.63975
2006-09-01,84.08696
2006-10-01,84.98137
2006-11-01,83.47826
2006-12-01,81.13043
2007-01-01,82.33851
2007-02-01,82.12422
2007-03-01,80.96273
2007-04-01,79.49068
2007-05-01,79.26708
2007-06-01,79.92857
2007-07-01,78.24534
2007-08-01,78.71739
2007-09-01,77.33230
2007-10-01,75.44720
2007-11-01,73.12733
2007-12-01,73.53727
2008-01-01,73.03727
2008-02-01,72.85714
2008-03-01,69.27640
2008-04-01,67.95963
2008-05-01,68.80745
2008-06-01,68.99068
2008-07-01,67.90994
2008-08-01,71.18323
2008-09-01,74.48447
2008-10-01,80.09317
2008-11-01,84.15528
2008-12-01,79.65839
2009-01-01,80.14596
2009-02-01,83.67391
2009-03-01,82.29193
2009-04-01,81.32919
2009-05-01,79.05279
2009-06-01,76.48758
2009-07-01,76.12733
2009-08-01,75.27950
2009-09-01,73.64596
2009-10-01,72.42857
2009-11-01,71.92236
2009-12-01,73.34161
2010-01-01,74.97826
2010-02-01,78.26398
2010-03-01,79.02795
2010-04-01,79.76708
2010-05-01,84.86335
2010-06-01,87.68012
2010-07-01,84.59938
2010-08-01,83.00000
2010-09-01,82.49068
2010-10-01,77.24224
2010-11-01,78.24534
2010-12-01,81.14596
2011-01-01,80.47516
2011-02-01,78.50000
2011-03-01,76.73602
2011-04-01,74.31988
2011-05-01,74.54969
2011-06-01,74.51242
2011-07-01,74.90683
2011-08-01,74.77019
2011-09-01,77.48137
2011-10-01,78.41925
2011-11-01,78.66770
2011-12-01,81.29503
2012-01-01,83.12422
2012-02-01,81.09006
2012-03-01,81.15528
2012-04-01,81.40062
2012-05-01,83.44099
2012-06-01,85.53416
2012-07-01,86.98758
2012-08-01,86.66149
2012-09-01,83.66149
2012-10-01,82.69876
2012-11-01,83.56832
2012-12-01,81.77950
2013-01-01,80.92857
2013-02-01,80.04969
2013-03-01,82.65839
2013-04-01,82.49379
2013-05-01,82.57143
2013-06-01,81.33851
2013-07-01,81.98758
2013-08-01,80.56211
2013-09-01,80.35404
2013-10-01,78.68944
2013-11-01,79.33851
2013-12-01,78.34783
2014-01-01,78.62733
2014-02-01,78.62733
2014-03-01,77.63354
