Date,Norway
1960-01-01,100.00000
1960-02-01,99.96420
1960-03-01,99.85008
1960-04-01,99.64366
1960-05-01,99.76463
1960-06-01,99.84295
1960-07-01,99.76463
1960-08-01,99.70771
1960-09-01,99.60828
1960-10-01,99.66506
1960-11-01,99.62241
1960-12-01,99.74324
1961-01-01,99.86435
1961-02-01,100.00000
1961-03-01,100.00000
1961-04-01,99.97133
1961-05-01,100.15034
1961-06-01,100.23649
1961-07-01,100.27243
1961-08-01,99.86435
1961-09-01,99.60115
1961-10-01,99.53024
1961-11-01,99.55150
1961-12-01,99.61527
1962-01-01,99.70058
1962-02-01,99.62954
1962-03-01,99.62954
1962-04-01,99.65793
1962-05-01,99.73610
1962-06-01,99.80015
1962-07-01,99.85721
1962-08-01,99.93567
1962-09-01,100.02140
1962-10-01,100.01426
1962-11-01,99.97133
1962-12-01,99.89287
1963-01-01,99.89287
1963-02-01,99.92854
1963-03-01,99.92854
1963-04-01,99.90001
1963-05-01,99.92854
1963-06-01,99.91427
1963-07-01,99.94280
1963-08-01,100.00000
1963-09-01,100.10013
1963-10-01,100.10013
1963-11-01,100.10740
1963-12-01,100.09300
1964-01-01,100.11454
1964-02-01,100.16474
1964-03-01,100.06433
1964-04-01,99.97133
1964-05-01,99.94993
1964-06-01,100.00713
1964-07-01,100.09300
1964-08-01,100.16474
1964-09-01,100.20782
1964-10-01,100.20782
1964-11-01,100.20782
1964-12-01,100.03580
1965-01-01,100.05720
1965-02-01,100.02140
1965-03-01,100.06433
1965-04-01,100.01426
1965-05-01,100.02140
1965-06-01,100.06433
1965-07-01,100.07160
1965-08-01,100.05007
1965-09-01,99.96420
1965-10-01,99.90714
1965-11-01,99.88574
1965-12-01,99.90001
1966-01-01,99.90714
1966-02-01,99.94993
1966-03-01,100.02853
1966-04-01,100.06433
1966-05-01,100.10013
1966-06-01,100.10013
1966-07-01,100.07874
1966-08-01,99.97846
1966-09-01,99.97133
1966-10-01,99.94280
1966-11-01,99.92854
1966-12-01,99.97133
1967-01-01,100.05007
1967-02-01,100.03580
1967-03-01,100.00713
1967-04-01,99.94280
1967-05-01,99.96420
1967-06-01,99.94993
1967-07-01,99.99287
1967-08-01,100.02853
1967-09-01,100.05007
1967-10-01,100.04293
1967-11-01,100.00000
1967-12-01,99.92140
1968-01-01,99.91427
1968-02-01,99.88574
1968-03-01,99.85721
1968-04-01,99.89287
1968-05-01,99.89287
1968-06-01,99.89287
1968-07-01,99.89287
1968-08-01,99.90001
1968-09-01,99.91427
1968-10-01,99.90714
1968-11-01,99.90001
1968-12-01,99.89287
1969-01-01,99.97846
1969-02-01,99.97846
1969-03-01,99.88574
1969-04-01,99.84295
1969-05-01,99.90001
1969-06-01,99.79302
1969-07-01,99.85721
1969-08-01,99.90714
1969-09-01,99.97133
1969-10-01,99.99287
1969-11-01,99.97133
1969-12-01,99.89287
1970-01-01,100.01426
1970-02-01,99.96420
1970-03-01,99.88574
1970-04-01,99.88574
1970-05-01,99.98574
1970-06-01,100.00000
1970-07-01,100.24362
1970-08-01,99.90714
1970-09-01,99.93567
1970-10-01,99.94280
1970-11-01,99.92140
1970-12-01,99.74324
1971-01-01,99.87148
1971-02-01,99.88574
1971-03-01,99.82155
1971-04-01,99.69345
1971-05-01,103.16466
1971-06-01,99.45235
1971-07-01,99.37473
1971-08-01,98.18167
1971-09-01,96.48823
1971-10-01,95.79415
1971-11-01,95.93218
1971-12-01,94.39118
1972-01-01,93.77724
1972-02-01,93.05337
1972-03-01,92.24322
1972-04-01,92.30406
1972-05-01,91.92185
1972-06-01,91.38734
1972-07-01,91.00667
1972-08-01,91.19658
1972-09-01,91.95205
1972-10-01,92.36503
1972-11-01,92.34685
1972-12-01,92.08533
1973-01-01,92.43520
1973-02-01,86.99453
1973-03-01,82.35202
1973-04-01,82.62155
1973-05-01,81.10936
1973-06-01,76.71750
1973-07-01,73.39204
1973-08-01,77.00950
