Date,Portugal
1960-01-01,100.00000
1960-02-01,99.84529
1960-03-01,99.77386
1960-04-01,99.67700
1960-05-01,99.73971
1960-06-01,99.82543
1960-07-01,99.73693
1960-08-01,99.67978
1960-09-01,99.61428
1960-10-01,99.63135
1960-11-01,99.57734
1960-12-01,99.69686
1961-01-01,99.75958
1961-02-01,99.95157
1961-03-01,99.83101
1961-04-01,99.78257
1961-05-01,99.98014
1961-06-01,100.08363
1961-07-01,100.13519
1961-08-01,99.91115
1961-09-01,99.72264
1961-10-01,99.51741
1961-11-01,99.58292
1961-12-01,99.49755
1962-01-01,99.55434
1962-02-01,99.56863
1962-03-01,99.51462
1962-04-01,99.46340
1962-05-01,99.41253
1962-06-01,99.52333
1962-07-01,99.55434
1962-08-01,99.56584
1962-09-01,99.50312
1962-10-01,99.84250
1962-11-01,99.83972
1962-12-01,99.83414
1963-01-01,99.83972
1963-02-01,99.83972
1963-03-01,99.83693
1963-04-01,99.83693
1963-05-01,99.83972
1963-06-01,99.83972
1963-07-01,99.83972
1963-08-01,99.85958
1963-09-01,99.89407
1963-10-01,99.94564
1963-11-01,99.91115
1963-12-01,99.91428
1964-01-01,99.95157
1964-02-01,99.98885
1964-03-01,99.93414
1964-04-01,99.89965
1964-05-01,99.91428
1964-06-01,99.99164
1964-07-01,100.13798
1964-08-01,100.28224
1964-09-01,100.37457
1964-10-01,100.47318
1964-11-01,100.45576
1964-12-01,100.19269
1965-01-01,100.17561
1965-02-01,100.05192
1965-03-01,100.07770
1965-04-01,100.06342
1965-05-01,100.07213
1965-06-01,100.11499
1965-07-01,100.13241
1965-08-01,100.19861
1965-09-01,100.16690
1965-10-01,99.92265
1965-11-01,99.75958
1965-12-01,99.77665
1966-01-01,99.74808
1966-02-01,99.77979
1966-03-01,99.93414
1966-04-01,100.02892
1966-05-01,100.04321
1966-06-01,100.10941
1966-07-01,100.19269
1966-08-01,100.19582
1966-09-01,100.20419
1966-10-01,100.10662
1966-11-01,100.14391
1966-12-01,100.17561
1967-01-01,100.16690
1967-02-01,100.17561
1967-03-01,100.09512
1967-04-01,99.95993
1967-05-01,100.04042
1967-06-01,100.09791
1967-07-01,100.16098
1967-08-01,100.22440
1967-09-01,100.25610
1967-10-01,100.31116
1967-11-01,100.54845
1967-12-01,100.07770
1968-01-01,99.95157
1968-02-01,99.93693
1968-03-01,99.97143
1968-04-01,99.86550
1968-05-01,99.91428
1968-06-01,99.93414
1968-07-01,99.94564
1968-08-01,99.94564
1968-09-01,99.99442
1968-10-01,100.00000
1968-11-01,99.96864
1968-12-01,99.87979
1969-01-01,99.76829
1969-02-01,99.62577
1969-03-01,99.43518
1969-04-01,99.45225
1969-05-01,99.59720
1969-06-01,99.58570
1969-07-01,99.52333
1969-08-01,99.46619
1969-09-01,99.47211
1969-10-01,99.44633
1969-11-01,99.46340
1969-12-01,99.38674
1970-01-01,99.28221
1970-02-01,99.25956
1970-03-01,99.35016
1970-04-01,99.49476
1970-05-01,99.46061
1970-06-01,99.61706
1970-07-01,99.80243
1970-08-01,99.84529
1970-09-01,99.87979
1970-10-01,99.85958
1970-11-01,99.77107
1970-12-01,99.78536
1971-01-01,99.55434
1971-02-01,99.46619
1971-03-01,99.50034
1971-04-01,99.55434
1971-05-01,99.51741
1971-06-01,99.47769
