Date,Russia
1992-06-01,100.00000
1992-07-01,121.73913
1992-08-01,157.24638
1992-09-01,249.27536
1992-10-01,307.24638
1992-11-01,300.72464
1992-12-01,334.78261
1993-01-01,411.59420
1993-02-01,477.53623
1993-03-01,547.82609
1993-04-01,647.10145
1993-05-01,782.60870
1993-06-01,746.37681
1993-07-01,714.49275
1993-08-01,771.73913
1993-09-01,859.42029
1993-10-01,863.04348
1993-11-01,897.82609
1993-12-01,903.62319
1994-01-01,1319.56522
1994-02-01,1398.55072
1994-03-01,1270.28986
1994-04-01,1547.82609
1994-05-01,1624.63768
1994-06-01,1438.40580
1994-07-01,1779.71014
1994-08-01,1857.97101
1994-09-01,1881.15942
1994-10-01,2013.04348
1994-11-01,2092.02899
1994-12-01,2572.46377
1995-01-01,2901.44928
1995-02-01,3193.47826
1995-03-01,3548.55072
1995-04-01,3695.65217
1995-05-01,3619.56522
1995-06-01,3442.75362
1995-07-01,3281.88406
1995-08-01,3199.27536
1995-09-01,3238.09420
1995-10-01,3262.44928
1995-11-01,3287.68116
1995-12-01,3344.96377
1996-01-01,3392.75362
1996-02-01,3447.10145
1996-03-01,3502.89855
1996-04-01,3550.72464
1996-05-01,3607.24638
1996-06-01,3661.59420
1996-07-01,3729.71014
1996-08-01,3826.08696
1996-09-01,3891.30435
1996-10-01,3935.50725
1996-11-01,3972.46377
1996-12-01,4011.59420
1997-01-01,4058.69565
1997-02-01,4097.10145
1997-03-01,4133.33333
1997-04-01,4164.49275
1997-05-01,4181.15942
1997-06-01,4188.40580
1997-07-01,4193.47826
1997-08-01,4210.86957
1997-09-01,4236.23188
1997-10-01,4257.24638
1997-11-01,4276.81159
1997-12-01,4305.07246
1998-01-01,4344.27536
1998-02-01,4383.84058
1998-03-01,4412.75362
1998-04-01,4437.53623
1998-05-01,4455.43478
1998-06-01,4478.04348
1998-07-01,4504.56522
1998-08-01,4890.94203
1998-09-01,10525.86957
1998-10-01,11538.18841
1998-11-01,11934.78261
1998-12-01,14485.79710
1999-01-01,16150.43478
1999-02-01,16595.72464
1999-03-01,17013.62319
1999-04-01,17928.91304
1999-05-01,17721.15942
1999-06-01,17598.26087
1999-07-01,17612.17391
1999-08-01,17896.01449
1999-09-01,18456.81159
1999-10-01,18632.97101
1999-11-01,19060.00000
1999-12-01,19420.00000
2000-01-01,20426.88406
2000-02-01,20817.10145
2000-03-01,20621.81159
2000-04-01,20719.13043
2000-05-01,20515.07246
2000-06-01,20466.08696
2000-07-01,20180.86957
2000-08-01,20098.26087
2000-09-01,20143.55072
2000-10-01,20195.65217
2000-11-01,20151.59420
2000-12-01,20265.43478
2001-01-01,20550.14493
2001-02-01,20720.43478
2001-03-01,20780.36232
2001-04-01,20903.18841
2001-05-01,21027.75362
2001-06-01,21097.39130
2001-07-01,21171.95652
2001-08-01,21264.63768
2001-09-01,21325.21739
2001-10-01,21401.73913
2001-11-01,21591.01449
2001-12-01,21805.50725
2002-01-01,22077.46377
2002-02-01,22319.34783
2002-03-01,22506.52174
2002-04-01,22588.18841
2002-05-01,22643.18841
2002-06-01,22755.14493
2002-07-01,22836.52174
2002-08-01,22866.88406
2002-09-01,22916.73913
2002-10-01,22965.65217
2002-11-01,23049.49275
2002-12-01,23070.36232
2003-01-01,23054.49275
2003-02-01,22972.31884
2003-03-01,22792.60870
2003-04-01,22617.53623
2003-05-01,22405.36232
2003-06-01,22087.89855
2003-07-01,21999.78261
2003-08-01,21991.15942
2003-09-01,22170.50725
2003-10-01,21858.62319
2003-11-01,21604.20290
2003-12-01,21332.68116
2004-01-01,20958.98551
2004-02-01,20663.33333
2004-03-01,20676.37681
2004-04-01,20779.63768
2004-05-01,21004.85507
2004-06-01,21037.31884
2004-07-01,21073.69565
2004-08-01,21168.84058
2004-09-01,21175.21739
2004-10-01,21070.72464
2004-11-01,20713.33333
2004-12-01,20231.95652
2005-01-01,20242.75362
2005-02-01,20270.72464
2005-03-01,20011.59420
2005-04-01,20159.78261
2005-05-01,20232.10145
2005-06-01,20655.21739
2005-07-01,20788.98551
2005-08-01,20634.49275
2005-09-01,20553.98551
2005-10-01,20686.37681
2005-11-01,20838.04348
2005-12-01,20877.60870
2006-01-01,20588.55072
2006-02-01,20432.46377
2006-03-01,20201.23188
2006-04-01,19980.00000
2006-05-01,19607.10145
2006-06-01,19553.55072
2006-07-01,19503.62319
2006-08-01,19395.14493
2006-09-01,19379.85507
2006-10-01,19460.72464
2006-11-01,19292.68116
2006-12-01,19048.18841
2007-01-01,19184.71014
2007-02-01,19083.40580
2007-03-01,18920.86957
2007-04-01,18726.08696
2007-05-01,18708.91304
2007-06-01,18786.66667
2007-07-01,18519.13043
2007-08-01,18572.82609
2007-09-01,18364.52898
2007-10-01,18039.05610
2007-11-01,17734.55222
2007-12-01,17801.38763
2008-01-01,17754.42029
2008-02-01,17778.76812
2008-03-01,17217.89855
2008-04-01,17038.18841
2008-05-01,17195.21739
2008-06-01,17128.69565
2008-07-01,16920.65217
2008-08-01,17486.52174
2008-09-01,18321.52174
2008-10-01,19095.07246
2008-11-01,19789.92754
2008-12-01,20385.07246
2009-01-01,22805.43478
2009-02-01,25912.82609
2009-03-01,25120.65217
2009-04-01,24315.50725
2009-05-01,23230.14493
2009-06-01,22482.75362
2009-07-01,22837.10145
2009-08-01,22918.47826
2009-09-01,22327.10145
2009-10-01,21358.55072
2009-11-01,21002.24638
2009-12-01,21692.31884
2010-01-01,21698.33333
2010-02-01,21875.65217
2010-03-01,21423.47826
2010-04-01,21157.97101
2010-05-01,21993.62480
2010-06-01,22585.05820
2010-07-01,22235.28986
2010-08-01,21987.03306
2010-09-01,22344.90747
2010-10-01,21970.84565
2010-11-01,22440.00000
2010-12-01,22356.63522
2011-01-01,21800.21739
2011-02-01,21227.68116
2011-03-01,20602.02899
2011-04-01,20365.19262
2011-05-01,20195.33681
2011-06-01,20278.30302
2011-07-01,20217.30363
2011-08-01,20845.86957
2011-09-01,22094.56522
2011-10-01,22718.25252
2011-11-01,22362.10145
2011-12-01,22791.76825
2012-01-01,22832.97780
2012-02-01,21653.59365
2012-03-01,21301.30435
2012-04-01,19149.67758
2012-05-01,22208.84058
2012-06-01,23850.14493
2012-07-01,23550.72464
2012-08-01,23212.31884
2012-09-01,22845.85870
2012-10-01,22530.46036
2012-11-01,22760.92725
2012-12-01,22275.61787
2013-01-01,21925.95009
2013-02-01,21855.67908
2013-03-01,22317.66051
2013-04-01,22702.17910
2013-05-01,22638.12661
2013-06-01,23389.68399
2013-07-01,23722.03832
2013-08-01,23924.22305
2013-09-01,23643.78950
2013-10-01,23233.51300
2013-11-01,23655.65217
2013-12-01,23836.23188
2014-01-01,24244.20290
2014-02-01,25524.42029
2014-03-01,26239.85507
2014-04-01,25841.88406
2014-05-01,25309.34783
2014-06-01,24932.24638
2014-07-01,25097.97101
2014-08-01,26166.64702
2014-09-01,27441.67788
2014-10-01,29535.43478
2014-11-01,33235.43288
2014-12-01,40154.42029
2015-01-01,44709.24457
2015-02-01,46835.05027
2015-03-01,43648.02495
2015-04-01,38311.15942
2015-05-01,36652.68116
2015-06-01,39492.60870
2015-07-01,41353.11594
2015-08-01,47211.23188
2015-09-01,48381.30435
2015-10-01,45699.42029
2015-11-01,47120.28986
2015-12-01,50478.47826
2016-01-01,55254.05797
2016-02-01,55954.63768
2016-03-01,51066.01449
2016-04-01,48320.79710
2016-05-01,47581.88406
2016-06-01,47323.18841
2016-07-01,46618.84058
2016-08-01,47045.72464
2016-09-01,46809.85507
2016-10-01,45420.14493
2016-11-01,46638.55072
2016-12-01,45061.37681
2017-01-01,43446.23188
2017-02-01,42313.11594
2017-03-01,42104.13043
2017-04-01,40891.30435
2017-05-01,41427.53623
2017-06-01,41897.46288
2017-07-01,43237.95940
2017-08-01,43222.32476
2017-09-01,41807.17265
2017-10-01,41833.22759
2017-11-01,42694.32679
2017-12-01,42453.91304
2018-01-01,41148.04348
2018-02-01,41164.92754
2018-03-01,41328.33333
2018-04-01,43787.53623
2018-05-01,45076.95652
2018-06-01,45443.11594
2018-07-01,45566.30435
2018-08-01,47894.49275
2018-09-01,49019.34783
2018-10-01,47742.97101
2018-11-01,47998.18841
2018-12-01,48770.07246
2019-01-01,48791.88406
2019-02-01,47724.13043
2019-03-01,47205.00000
2019-04-01,46823.91304
2019-05-01,46967.53623
2019-06-01,46539.56522
2019-07-01,45795.86957
2019-08-01,47483.91304
2019-09-01,47086.59420
2019-10-01,46633.26087
2019-11-01,46278.98551
2019-12-01,45605.50725
2020-01-01,44768.69565
2020-02-01,46288.11594
2020-03-01,53005.79710
2020-04-01,54505.00000
2020-05-01,52616.66667
2020-06-01,50160.65217
2020-07-01,51653.98551
2020-08-01,53476.08696
2020-09-01,54819.78261
2020-10-01,56223.69565
2020-11-01,55821.01449
2020-12-01,53659.71014
2021-01-01,53786.01449
2021-02-01,53898.11594
2021-03-01,53919.78261
2021-04-01,55139.42029
2021-05-01,53653.62319
2021-06-01,52542.24638
2021-07-01,53563.33333
2021-08-01,53328.18841
2021-09-01,52819.56522
