Date,Slovenia
1995-01-01,100.00000
1995-02-01,98.18965
1995-03-01,92.00096
1995-04-01,89.91148
1995-05-01,91.49852
1995-06-01,90.91634
1995-07-01,90.16668
1995-08-01,93.76346
1995-09-01,96.10814
1995-10-01,94.83212
1995-11-01,96.71425
1995-12-01,100.15950
1996-01-01,103.30170
1996-02-01,105.16788
1996-03-01,106.55555
1996-04-01,108.38982
1996-05-01,110.24803
1996-06-01,109.54622
1996-07-01,107.55244
1996-08-01,105.36725
1996-09-01,107.16963
1996-10-01,109.98485
1996-11-01,109.61002
1996-12-01,112.56879
1997-01-01,116.16556
1997-02-01,121.37332
1997-03-01,123.41495
1997-04-01,124.35601
1997-05-01,123.80573
1997-06-01,125.00199
1997-07-01,129.70731
1997-08-01,135.16229
1997-09-01,133.03294
1997-10-01,132.05997
1997-11-01,130.45697
1997-12-01,133.70285
1998-01-01,136.61377
1998-02-01,136.62174
1998-03-01,137.37938
1998-04-01,136.20703
1998-05-01,132.37100
1998-06-01,133.60715
1998-07-01,134.87519
1998-08-01,134.55618
1998-09-01,128.44724
1998-10-01,123.62230
1998-11-01,127.72948
1998-12-01,127.89696
1999-01-01,129.59566
1999-02-01,134.49238
1999-03-01,139.12593
1999-04-01,141.95709
1999-05-01,144.04657
1999-06-01,149.00710
1999-07-01,150.69782
1999-08-01,147.72310
1999-09-01,149.50156
1999-10-01,146.38328
1999-11-01,151.66281
1999-12-01,155.36327
2000-01-01,155.56264
2000-02-01,161.62373
2000-03-01,166.04992
2000-04-01,170.12521
2000-05-01,179.63155
2000-06-01,172.40609
2000-07-01,174.61520
2000-08-01,182.64614
2000-09-01,190.42986
2000-10-01,194.56097
2000-11-01,195.56583
2000-12-01,187.64654
2001-01-01,180.18183
2001-02-01,184.74360
2001-03-01,187.93365
2001-04-01,192.88620
2001-05-01,197.10503
2001-06-01,202.91889
2001-07-01,202.15328
2001-08-01,194.15424
2001-09-01,191.93716
2001-10-01,193.58801
2001-11-01,197.92647
2001-12-01,197.62341
2002-01-01,200.50243
2002-02-01,204.64152
2002-03-01,203.92376
2002-04-01,202.55204
2002-05-01,196.29955
2002-06-01,189.08206
2002-07-01,182.10384
2002-08-01,185.56504
2002-09-01,185.39756
2002-10-01,185.94784
2002-11-01,182.80565
2002-12-01,180.41311
2003-01-01,173.48273
2003-02-01,171.09817
2003-03-01,171.34540
2003-04-01,171.01842
2003-05-01,160.85812
2003-06-01,159.33488
2003-07-01,164.15982
2003-08-01,168.01180
2003-09-01,167.51735
2003-10-01,160.49127
2003-11-01,160.87407
2003-12-01,153.92775
2004-01-01,149.80461
2004-02-01,149.83651
2004-03-01,154.56575
2004-04-01,158.00303
2004-05-01,158.44964
2004-06-01,157.06197
2004-07-01,155.90557
2004-08-01,157.10982
2004-09-01,156.69511
2004-10-01,153.36151
2004-11-01,147.33232
2004-12-01,143.00183
2005-01-01,145.50602
2005-02-01,146.90964
2005-03-01,144.77231
2005-04-01,147.77095
2005-05-01,150.34692
2005-06-01,156.85461
2005-07-01,158.65699
2005-08-01,155.45099
2005-09-01,155.73810
2005-10-01,158.90422
2005-11-01,162.09427
2005-12-01,161.21700
2006-01-01,157.85948
2006-02-01,159.86123
2006-03-01,159.10360
2006-04-01,156.26445
2006-05-01,149.64511
2006-06-01,150.88125
2006-07-01,150.64200
2006-08-01,149.19850
2006-09-01,149.98006
2006-10-01,151.55914
2006-11-01,148.52859
2006-12-01,144.66066
2007-01-01,147.00717
2007-02-01,146.04401
2007-03-01,144.24610
2007-04-01,141.46319
2007-05-01,141.45597
2007-06-01,142.38773
2007-07-01,139.31724
2007-08-01,140.31681
2007-09-01,137.38345
2007-10-01,134.31205
2007-11-01,130.10010
2007-12-01,131.25316
2008-01-01,129.89489
2008-02-01,129.69670
2008-03-01,123.09717
2008-04-01,121.37625
2008-05-01,122.80054
2008-06-01,122.86921
2008-07-01,121.28370
2008-08-01,127.85642
2008-09-01,133.21634
2008-10-01,143.97661
2008-11-01,150.23607
2008-12-01,142.33343
2009-01-01,144.92305
2009-02-01,149.19449
2009-03-01,146.55970
2009-04-01,144.75278
2009-05-01,139.88761
2009-06-01,136.37410
2009-07-01,135.65892
2009-08-01,133.97212
2009-09-01,131.19225
2009-10-01,129.00311
2009-11-01,128.09213
2009-12-01,131.17186
2010-01-01,133.80831
2010-02-01,139.67692
2010-03-01,140.85228
2010-04-01,142.67657
2010-05-01,152.01890
2010-06-01,156.51509
2010-07-01,149.46118
2010-08-01,148.19287
2010-09-01,145.99504
2010-10-01,137.60332
2010-11-01,140.17469
2010-12-01,144.63305
2011-01-01,143.03282
2011-02-01,139.94449
2011-03-01,136.37353
2011-04-01,132.19747
2011-05-01,133.48564
2011-06-01,132.66906
2011-07-01,133.79010
2011-08-01,133.33230
2011-09-01,138.94113
2011-10-01,139.29606
2011-11-01,140.87835
2011-12-01,145.36957
2012-01-01,148.11468
2012-02-01,144.38338
2012-03-01,144.70066
2012-04-01,145.23885
2012-05-01,149.41095
2012-06-01,152.45574
2012-07-01,155.58557
2012-08-01,154.07251
2012-09-01,148.52558
2012-10-01,147.27543
2012-11-01,148.92258
2012-12-01,145.58467
2013-01-01,143.71902
2013-02-01,143.25079
2013-03-01,147.55044
2013-04-01,146.73344
2013-05-01,147.29561
