Date,Uk
1960-01-01,100.00000
1960-02-01,99.87872
1960-03-01,99.79329
1960-04-01,99.66187
1960-05-01,99.78262
1960-06-01,99.90367
1960-07-01,99.70801
1960-08-01,99.64769
1960-09-01,99.55203
1960-10-01,99.59807
1960-11-01,99.51311
1960-12-01,99.73642
1961-01-01,99.76840
1961-02-01,99.99286
1961-03-01,100.08936
1961-04-01,100.07505
1961-05-01,100.21474
1961-06-01,100.36920
1961-07-01,100.45562
1961-08-01,99.91436
1961-09-01,99.59452
1961-10-01,99.46362
1961-11-01,99.48129
1961-12-01,99.66187
1962-01-01,99.62641
1962-02-01,99.49190
1962-03-01,99.46716
1962-04-01,99.50958
1962-05-01,99.56619
1962-06-01,99.70446
1962-07-01,99.76485
1962-08-01,99.85735
1962-09-01,99.96430
1962-10-01,99.94646
1962-11-01,99.93219
1962-12-01,99.87872
1963-01-01,99.83243
1963-02-01,99.88228
1963-03-01,99.98215
1963-04-01,99.97501
1963-05-01,100.00714
1963-06-01,99.97501
1963-07-01,99.95716
1963-08-01,99.99643
1963-09-01,100.06790
1963-10-01,100.07148
1963-11-01,100.07148
1963-12-01,100.10725
1964-01-01,100.05717
1964-02-01,100.08936
1964-03-01,100.06075
1964-04-01,100.03930
1964-05-01,100.01429
1964-06-01,100.18247
1964-07-01,100.34762
1964-08-01,100.45562
1964-09-01,100.57469
1964-10-01,100.58914
1964-11-01,100.53136
1964-12-01,100.31886
1965-01-01,100.30808
1965-02-01,100.17530
1965-03-01,100.27575
1965-04-01,100.15022
1965-05-01,100.09652
1965-06-01,100.27216
1965-07-01,100.31526
1965-08-01,100.31886
1965-09-01,100.13589
1965-10-01,99.86804
1965-11-01,99.86448
1965-12-01,99.88585
1966-01-01,99.85735
1966-02-01,99.88585
1966-03-01,100.16813
1966-04-01,100.23267
1966-05-01,100.26857
1966-06-01,100.36201
1966-07-01,100.40879
1966-08-01,100.39799
1966-09-01,100.38359
1966-10-01,100.31167
1966-11-01,100.31886
1966-12-01,100.35841
1967-01-01,100.32605
1967-02-01,100.21474
1967-03-01,100.14305
1967-04-01,100.03215
1967-05-01,100.11441
1967-06-01,100.31526
1967-07-01,100.45562
1967-08-01,100.52775
1967-09-01,100.58553
1967-10-01,100.60721
1967-11-01,105.87990
1967-12-01,116.35087
1968-01-01,116.22530
1968-02-01,116.22048
1968-03-01,116.67569
1968-04-01,116.57854
1968-05-01,117.19823
1968-06-01,117.41446
1968-07-01,117.16390
1968-08-01,117.10020
1968-09-01,117.27676
1968-10-01,117.16390
1968-11-01,117.29150
1968-12-01,117.44401
1969-01-01,117.30624
1969-02-01,117.08551
1969-03-01,117.07082
1969-04-01,117.00234
1969-05-01,117.31607
1969-06-01,117.17370
1969-07-01,117.13449
1969-08-01,117.38492
1969-09-01,117.44893
1969-10-01,117.14429
1969-11-01,116.84123
1969-12-01,116.80224
1970-01-01,116.64653
1970-02-01,116.44280
1970-03-01,116.38472
1970-04-01,116.36537
1970-05-01,116.47670
1970-06-01,116.77788
1970-07-01,117.12469
1970-08-01,117.25221
1970-09-01,117.38984
1970-10-01,117.28659
1970-11-01,117.13939
1970-12-01,117.12469
1971-01-01,116.41375
1971-02-01,115.79753
