Date,Chile
1960-01-01,0.00104797
1960-02-01,0.00104797
1960-03-01,0.00104797
1960-04-01,0.00104897
1960-05-01,0.00104897
1960-06-01,0.00105097
1960-07-01,0.00104997
1960-08-01,0.00104997
1960-09-01,0.00104797
1960-10-01,0.00104897
1960-11-01,0.00104897
1960-12-01,0.00104897
1961-01-01,0.00105097
1961-02-01,0.00105097
1961-03-01,0.00104897
1961-04-01,0.00104997
1961-05-01,0.00104997
1961-06-01,0.00104997
1961-07-01,0.00104897
1961-08-01,0.00104897
1961-09-01,0.00105197
1961-10-01,0.00105097
1961-11-01,0.00105097
1961-12-01,0.00104897
1962-01-01,0.00104797
1962-02-01,0.00104797
1962-03-01,0.00105297
1962-04-01,0.00105097
1962-05-01,0.00105097
1962-06-01,0.00104797
1962-07-01,0.00104997
1962-08-01,0.00104997
1962-09-01,0.00104997
1962-10-01,0.00107997
1962-11-01,0.00107997
1962-12-01,0.00108297
1963-01-01,0.00143796
1963-02-01,0.00143796
1963-03-01,0.00143696
1963-04-01,0.00163895
1963-05-01,0.00163895
1963-06-01,0.00164495
1963-07-01,0.00167895
1963-08-01,0.00167895
1963-09-01,0.00167495
1963-10-01,0.00173195
1963-11-01,0.00173195
1963-12-01,0.00172895
1964-01-01,0.00193894
1964-02-01,0.00208094
1964-03-01,0.00217794
1964-04-01,0.00216194
1964-05-01,0.00211894
1964-06-01,0.00221894
1964-07-01,0.00225193
1964-08-01,0.00247893
1964-09-01,0.00242093
1964-10-01,0.00256793
1964-11-01,0.00258592
1964-12-01,0.00268592
1965-01-01,0.00281792
1965-02-01,0.00293891
1965-03-01,0.00297491
1965-04-01,0.00303991
1965-05-01,0.00311291
1965-06-01,0.00314991
1965-07-01,0.00314691
1965-08-01,0.00322791
1965-09-01,0.0032619
1965-10-01,0.0033599
1965-11-01,0.0034129
1965-12-01,0.0034359
1966-01-01,0.0034829
1966-02-01,0.0035109
1966-03-01,0.00361089
1966-04-01,0.00365989
1966-05-01,0.00376189
1966-06-01,0.00381389
1966-07-01,0.00387889
1966-08-01,0.00395688
1966-09-01,0.00405688
1966-10-01,0.00404988
1966-11-01,0.00415588
1966-12-01,0.00427488
1967-01-01,0.00454987
1967-02-01,0.00454987
1967-03-01,0.00456187
1967-04-01,0.00483286
1967-05-01,0.00483286
1967-06-01,0.00482886
1967-07-01,0.00520585
1967-08-01,0.00520585
1967-09-01,0.00519985
1967-10-01,0.00568183
1967-11-01,0.00568183
1967-12-01,0.00568783
1968-01-01,0.00600982
1968-02-01,0.00620982
1968-03-01,0.00636981
1968-04-01,0.00652981
1968-05-01,0.00665981
1968-06-01,0.0068098
1968-07-01,0.0069598
1968-08-01,0.00711979
1968-09-01,0.00724979
1968-10-01,0.00739978
1968-11-01,0.00752978
1968-12-01,0.00766978
1969-01-01,0.00740478
1969-02-01,0.00757978
1969-03-01,0.00775577
1969-04-01,0.00791577
1969-05-01,0.00815176
1969-06-01,0.00852675
1969-07-01,0.00884074
1969-08-01,0.00909673
1969-09-01,0.00932773
1969-10-01,0.00946372
1969-11-01,0.00964372
1969-12-01,0.00970372
1970-01-01,0.00987871
1970-02-01,0.0100107
1970-03-01,0.0102537
1970-04-01,0.0105737
1970-05-01,0.0109037
1970-06-01,0.0111697
1970-07-01,0.0115337
1970-08-01,0.0122186
1970-09-01,0.0123996
1970-10-01,0.0121916
1970-11-01,0.0120306
1970-12-01,0.0121656
1971-01-01,0.0122086
1971-02-01,0.0122086
1971-03-01,0.0122086
1971-04-01,0.0122086
1971-05-01,0.0122086
1971-06-01,0.0122086
1971-07-01,0.0122086
1971-08-01,0.0122086
1971-09-01,0.0122086
1971-10-01,0.0122086
1971-11-01,0.0122086
1971-12-01,0.0122086
1972-01-01,0.0160415
1972-02-01,0.0165745
1972-03-01,0.0164165
1972-04-01,0.0158535
1972-05-01,0.0164215
1972-06-01,0.0165385
1972-07-01,0.0164355
1972-08-01,0.0164095
1972-09-01,0.0302671
1972-10-01,0.0304401
1972-11-01,0.0310821
1972-12-01,0.0275422
1973-01-01,0.0316391
1973-02-01,0.0324861
1973-03-01,0.0287222
1973-04-01,0.0303301
1973-05-01,0.0310501
1973-06-01,0.034795
1973-07-01,0.0417528
1973-08-01,0.0378729
1973-09-01,0.0462317
1973-10-01,0.0484966
1973-11-01,0.264707
1973-12-01,0.231619
1974-01-01,0.303872
1974-02-01,0.325978
1974-03-01,0.366917
1974-04-01,0.419099
1974-05-01,0.491686
1974-06-01,0.511134
1974-07-01,0.628109
1974-08-01,0.632739
1974-09-01,0.649176
1974-10-01,0.864187
1974-11-01,0.796719
1974-12-01,1.1243
1975-01-01,1.91
1975-02-01,2.225
1975-03-01,2.79
1975-04-01,3.54
1975-05-01,4.05
1975-06-01,4.58
1975-07-01,5.34
1975-08-01,5.81
1975-09-01,6.19
1975-10-01,6.8
1975-11-01,7.44
1975-12-01,8.25
1976-01-01,9.19
1976-02-01,10.1
1976-03-01,10.76
1976-04-01,11.51
1976-05-01,12.56
1976-06-01,13.54
1976-07-01,12.82
1976-08-01,13.51
1976-09-01,14.33
1976-10-01,15.17
1976-11-01,16.13
1976-12-01,17.03
1977-01-01,17.96
1977-02-01,19.04
1977-03-01,18.38
1977-04-01,18.69
1977-05-01,19.39
1977-06-01,20.23
1977-07-01,20.96
1977-08-01,21.96
1977-09-01,23.86
1977-10-01,24.71
1977-11-01,25.66
1977-12-01,27.59
1978-01-01,28.35
1978-02-01,29.12
1978-03-01,29.86
1978-04-01,30.61
1978-05-01,31.3
1978-06-01,31.83
1978-07-01,32.29
1978-08-01,32.73
1978-09-01,33.05
1978-10-01,33.32
1978-11-01,33.57
1978-12-01,33.84
1979-01-01,34.21
1979-02-01,34.72
1979-03-01,35.24
1979-04-01,35.77
1979-05-01,36.25
1979-06-01,36.76
1979-07-01,39
1979-08-01,39
1979-09-01,39
1979-10-01,39
1979-11-01,39
1979-12-01,39
1980-01-01,39
1980-02-01,39
1980-03-01,39
1980-04-01,39
1980-05-01,39
1980-06-01,39
1980-07-01,39
1980-08-01,39
1980-09-01,39
1980-10-01,39
1980-11-01,39
1980-12-01,39
1981-01-01,39
1981-02-01,39
1981-03-01,39
1981-04-01,39
1981-05-01,39
1981-06-01,39
1981-07-01,39
1981-08-01,39
1981-09-01,39
1981-10-01,39
1981-11-01,39
1981-12-01,39
1982-01-01,39
1982-02-01,39
1982-03-01,39
1982-04-01,39
1982-05-01,39
1982-06-01,43.02
1982-07-01,46.65
1982-08-01,55.34
1982-09-01,63.04
1982-10-01,66.27
1982-11-01,69.19
1982-12-01,72.39
1983-01-01,74.04
1983-02-01,76.38
1983-03-01,74.48
1983-04-01,73.69
1983-05-01,75.1
1983-06-01,77.03
1983-07-01,78.25
1983-08-01,79.55
1983-09-01,81.24
1983-10-01,83.34
1983-11-01,85.29
1983-12-01,87.07
1984-01-01,87.82
1984-02-01,88.12
1984-03-01,88.2
1984-04-01,88.55
1984-05-01,90.19
1984-06-01,91.13
1984-07-01,91.89
1984-08-01,92.69
1984-09-01,100.94
1984-10-01,116.39
1984-11-01,119.58
1984-12-01,126.23
1985-01-01,128.98
1985-02-01,131.84
1985-03-01,145.69
1985-04-01,148.76
1985-05-01,152.15
1985-06-01,155.06
1985-07-01,170.81
1985-08-01,176.49
1985-09-01,178.19
1985-10-01,179.19
1985-11-01,180.68
1985-12-01,182.48
1986-01-01,184.8
1986-02-01,186.74
1986-03-01,189.22
1986-04-01,189.19
1986-05-01,187.93
1986-06-01,188.79
1986-07-01,190.36
1986-08-01,194.46
1986-09-01,198.32
1986-10-01,199.73
1986-11-01,201.95
1986-12-01,203.67
1987-01-01,204.54
1987-02-01,206.01
1987-03-01,207.82
1987-04-01,211.49
1987-05-01,212.54
1987-06-01,218.18
1987-07-01,224.13
1987-08-01,224.58
1987-09-01,225.15
1987-10-01,229.27
1987-11-01,233.83
1987-12-01,235.34
1988-01-01,243.73
1988-02-01,240
1988-03-01,243.33
1988-04-01,241.88
1988-05-01,245.15
1988-06-01,248.31
1988-07-01,248.32
1988-08-01,245.59
1988-09-01,245.67
1988-10-01,247.09
1988-11-01,246.44
1988-12-01,244.63
1989-01-01,247.11
1989-02-01,245.84
1989-03-01,249.64
1989-04-01,251.36
1989-05-01,252.44
1989-06-01,261.66
1989-07-01,272.81
1989-08-01,276.65
1989-09-01,280.15
1989-10-01,282.78
1989-11-01,288.42
1989-12-01,294.58
1990-01-01,296.76
1990-02-01,292.46
1990-03-01,296.66
1990-04-01,296.41
1990-05-01,296.97
1990-06-01,296.79
1990-07-01,296.67
1990-08-01,303.44
1990-09-01,308.35
1990-10-01,312.49
1990-11-01,326.86
1990-12-01,334.98
1991-01-01,337.23
1991-02-01,337.53
1991-03-01,340.24
1991-04-01,340.28
1991-05-01,339.95
1991-06-01,344.89
1991-07-01,348.72
1991-08-01,350.89
1991-09-01,355.61
1991-10-01,359.06
1991-11-01,364.26
1991-12-01,371.93
1992-01-01,369.75
1992-02-01,347.86
1992-03-01,348.34
1992-04-01,346.3
1992-05-01,346.56
1992-06-01,355
1992-07-01,361.25
1992-08-01,368.86
1992-09-01,376.04
1992-10-01,373.1
1992-11-01,377.63
1992-12-01,380.22
1993-01-01,383.93
1993-02-01,387.91
1993-03-01,397.22
1993-04-01,401.19
1993-05-01,404.98
1993-06-01,403.3
1993-07-01,404.79
1993-08-01,407.66
1993-09-01,408.19
1993-10-01,412.59
1993-11-01,412.5
1993-12-01,425.73
1994-01-01,430.45
1994-02-01,428.69
1994-03-01,430.45
1994-04-01,424.47
1994-05-01,424.7
1994-06-01,420.68
1994-07-01,420.49
1994-08-01,419.43
1994-09-01,414.87
1994-10-01,412.21
1994-11-01,413.45
1994-12-01,402.23
1995-01-01,405.778181818182
1995-02-01,412.1395
1995-03-01,410.457391304348
1995-04-01,394.362
1995-05-01,377.650869565217
1995-06-01,373.504090909091
1995-07-01,378.068095238095
1995-08-01,387.192608695652
1995-09-01,394.587142857143
1995-10-01,406.493181818182
1995-11-01,412.480909090909
1995-12-01,409.037619047619
1996-01-01,408.470869565217
1996-02-01,410.965714285714
1996-03-01,411.546666666667
1996-04-01,408.493636363636
1996-05-01,406.373043478261
1996-06-01,409.851
1996-07-01,410.723043478261
1996-08-01,411.085454545455
1996-09-01,411.780952380952
1996-10-01,415.552608695652
1996-11-01,420.059047619048
1996-12-01,422.558636363636
1997-01-01,423.844347826087
1997-02-01,416.1915
1997-03-01,414.111428571429
