DATE,COLCCUSMA02STM
1960-01-01,6.4
1960-02-01,6.4
1960-03-01,6.52
1960-04-01,6.7
1960-05-01,6.7
1960-06-01,6.7
1960-07-01,6.7
1960-08-01,6.7
1960-09-01,6.7
1960-10-01,6.7
1960-11-01,6.7
1960-12-01,6.7
1961-01-01,6.7
1961-02-01,6.7
1961-03-01,6.7
1961-04-01,6.7
1961-05-01,6.7
1961-06-01,6.7
1961-07-01,6.7
1961-08-01,6.7
1961-09-01,6.7
1961-10-01,6.7
1961-11-01,6.7
1961-12-01,6.7
1962-01-01,6.7
1962-02-01,6.7
1962-03-01,6.7
1962-04-01,6.7
1962-05-01,6.7
1962-06-01,6.7
1962-07-01,6.7
1962-08-01,6.7
1962-09-01,6.7
1962-10-01,6.7
1962-11-01,6.8145
1962-12-01,9.0
1963-01-01,9.0
1963-02-01,9.0
1963-03-01,9.0
1963-04-01,9.0
1963-05-01,9.0
1963-06-01,9.0
1963-07-01,9.0
1963-08-01,9.0
1963-09-01,9.0
1963-10-01,9.0
1963-11-01,9.0
1963-12-01,9.0
1964-01-01,9.0
1964-02-01,9.0
1964-03-01,9.0
1964-04-01,9.0
1964-05-01,9.0
1964-06-01,9.0
1964-07-01,9.0
1964-08-01,9.0
1964-09-01,9.0
1964-10-01,9.0
1964-11-01,9.0
1964-12-01,9.0
1965-01-01,9.0
1965-02-01,9.0
1965-03-01,9.0
1965-04-01,9.0
1965-05-01,9.0
1965-06-01,9.0
1965-07-01,9.0
1965-08-01,9.0
1965-09-01,13.2
1965-10-01,13.5
1965-11-01,13.5
1965-12-01,13.5
1966-01-01,13.5
1966-02-01,13.5
1966-03-01,13.5
1966-04-01,13.5
1966-05-01,13.5
1966-06-01,13.5
1966-07-01,13.5
1966-08-01,13.5
1966-09-01,13.5
1966-10-01,13.5
1966-11-01,13.5
1966-12-01,13.5
1967-01-01,13.5
1967-02-01,13.5
1967-03-01,13.529
1967-04-01,13.7987
1967-05-01,14.043
1967-06-01,14.377
1967-07-01,14.584
1967-08-01,14.836
1967-09-01,15.134
1967-10-01,15.402
1967-11-01,15.63
1967-12-01,15.743
1968-01-01,15.7729
1968-02-01,15.8355
1968-03-01,15.9419
1968-04-01,16.0553
1968-05-01,16.1868
1968-06-01,16.2693
1968-07-01,16.3113
1968-08-01,16.39
1968-09-01,16.49
1968-10-01,16.6174
1968-11-01,16.756
1968-12-01,16.8616
1969-01-01,16.8826
1969-02-01,16.9376
1969-03-01,17.0426
1969-04-01,17.1257
1969-05-01,17.1677
1969-06-01,17.2657
1969-07-01,17.3319
1969-08-01,17.4368
1969-09-01,17.5487
1969-10-01,17.6152
1969-11-01,17.6907
1969-12-01,17.7965
1970-01-01,17.8984
1970-02-01,17.9971
1970-03-01,18.0939
1970-04-01,18.199
1970-05-01,18.2842
1970-06-01,18.3777
1970-07-01,18.4771
1970-08-01,18.5465
1970-09-01,18.6847
1970-10-01,18.8171
1970-11-01,18.9157
1970-12-01,19.0258
1971-01-01,19.1465
1971-02-01,19.2793
