DATE,CCUSMA02ISM618N
1960-01-01,0.16283
1960-02-01,0.38013
1960-03-01,0.381
1960-04-01,0.381
1960-05-01,0.381
1960-06-01,0.381
1960-07-01,0.381
1960-08-01,0.381
1960-09-01,0.381
1960-10-01,0.381
1960-11-01,0.381
1960-12-01,0.381
1961-01-01,0.381
1961-02-01,0.381
1961-03-01,0.381
1961-04-01,0.381
1961-05-01,0.381
1961-06-01,0.381
1961-07-01,0.381
1961-08-01,0.4306
1961-09-01,0.4306
1961-10-01,0.4306
1961-11-01,0.4306
1961-12-01,0.4306
1962-01-01,0.4306
1962-02-01,0.4306
1962-03-01,0.4306
1962-04-01,0.4306
1962-05-01,0.4306
1962-06-01,0.4306
1962-07-01,0.4306
1962-08-01,0.4306
1962-09-01,0.4306
1962-10-01,0.4306
1962-11-01,0.4306
1962-12-01,0.4306
1963-01-01,0.4306
1963-02-01,0.4306
1963-03-01,0.4306
1963-04-01,0.4306
1963-05-01,0.4306
1963-06-01,0.4306
1963-07-01,0.4306
1963-08-01,0.4306
1963-09-01,0.4306
1963-10-01,0.4306
1963-11-01,0.4306
1963-12-01,0.4306
1964-01-01,0.4306
1964-02-01,0.4306
1964-03-01,0.4306
1964-04-01,0.4306
1964-05-01,0.4306
1964-06-01,0.4306
1964-07-01,0.4306
1964-08-01,0.4306
1964-09-01,0.4306
1964-10-01,0.4306
1964-11-01,0.4306
1964-12-01,0.4306
1965-01-01,0.4306
1965-02-01,0.4306
1965-03-01,0.4306
1965-04-01,0.4306
1965-05-01,0.4306
1965-06-01,0.4306
1965-07-01,0.4306
1965-08-01,0.4306
1965-09-01,0.4306
1965-10-01,0.4306
1965-11-01,0.4306
1965-12-01,0.4306
1966-01-01,0.4306
1966-02-01,0.4306
1966-03-01,0.4306
1966-04-01,0.4306
1966-05-01,0.4306
1966-06-01,0.4306
1966-07-01,0.4306
1966-08-01,0.4306
1966-09-01,0.4306
1966-10-01,0.4306
1966-11-01,0.4306
1966-12-01,0.4306
1967-01-01,0.4306
1967-02-01,0.4306
1967-03-01,0.4306
1967-04-01,0.4306
1967-05-01,0.4306
1967-06-01,0.4306
1967-07-01,0.4306
1967-08-01,0.4306
1967-09-01,0.4306
1967-10-01,0.4306
1967-11-01,0.4306
1967-12-01,0.5707
1968-01-01,0.5707
1968-02-01,0.5707
1968-03-01,0.5707
1968-04-01,0.5707
1968-05-01,0.5707
1968-06-01,0.5707
1968-07-01,0.5707
1968-08-01,0.5707
1968-09-01,0.5707
1968-10-01,0.5707
1968-11-01,0.72585
1968-12-01,0.881
1969-01-01,0.881
1969-02-01,0.881
1969-03-01,0.881
1969-04-01,0.881
1969-05-01,0.881
1969-06-01,0.881
1969-07-01,0.881
1969-08-01,0.881
1969-09-01,0.881
1969-10-01,0.881
1969-11-01,0.881
1969-12-01,0.881
1970-01-01,0.881
1970-02-01,0.881
1970-03-01,0.881
1970-04-01,0.881
1970-05-01,0.881
1970-06-01,0.881
1970-07-01,0.881
1970-08-01,0.881
1970-09-01,0.881
1970-10-01,0.881
1970-11-01,0.881
1970-12-01,0.881
1971-01-01,0.881
1971-02-01,0.881
1971-03-01,0.881
1971-04-01,0.881
1971-05-01,0.881
1971-06-01,0.881
1971-07-01,0.881
1971-08-01,0.87846
1971-09-01,0.87456
1971-10-01,0.8742
1971-11-01,0.8742
1971-12-01,0.8742
1972-01-01,0.8742
1972-02-01,0.8742
1972-03-01,0.8742
1972-04-01,0.8742
1972-05-01,0.8742
1972-06-01,0.8742
1972-07-01,0.8742
1972-08-01,0.8742
1972-09-01,0.8742
1972-10-01,0.8742
1972-11-01,0.8742
1972-12-01,0.9112
1973-01-01,0.99000001
1973-02-01,0.99000001
1973-03-01,0.99000001
1973-04-01,0.958571437
1973-05-01,0.930000007
1973-06-01,0.938095254619048
1973-07-01,0.947000027
1973-08-01,0.947000027
1973-09-01,0.88229998975
1973-10-01,0.838
1973-11-01,0.838
1973-12-01,0.838
1974-01-01,0.866086939173913
1974-02-01,0.871999979
1974-03-01,0.871999979
1974-04-01,0.871999979
1974-05-01,0.897217382478261
1974-06-01,0.930000007
1974-07-01,0.930000007
1974-08-01,0.930000007
1974-09-01,1.183809468
1974-10-01,1.184999943
1974-11-01,1.184999943
1974-12-01,1.184999943
1975-01-01,1.184999943
1975-02-01,1.35920000055
1975-03-01,1.49447617061905
1975-04-01,1.50481820631818
1975-05-01,1.51181820827273
1975-06-01,1.530761889
1975-07-01,1.56639129708696
1975-08-01,1.59919049066667
1975-09-01,1.62218179509091
1975-10-01,1.65252173469565
1975-11-01,1.67569997925
1975-12-01,1.69747825286957
1976-01-01,1.70790472504762
1976-02-01,1.70849996825
1976-03-01,1.74252173178261
1976-04-01,1.78672727659091
1976-05-01,1.81352380914286
1976-06-01,1.83818184254545
1976-07-01,1.84218180736364
1976-08-01,1.85077273304545
1976-09-01,1.86295452990909
