DATE,CCUSMA02NOM618N
1960-01-01,7.15052
1960-02-01,7.14796
1960-03-01,7.1398
1960-04-01,7.12504
1960-05-01,7.13369
1960-06-01,7.13929
1960-07-01,7.13369
1960-08-01,7.12962
1960-09-01,7.12251
1960-10-01,7.12657
1960-11-01,7.12352
1960-12-01,7.13216
1961-01-01,7.14082
1961-02-01,7.15052
1961-03-01,7.15052
1961-04-01,7.14847
1961-05-01,7.16127
1961-06-01,7.16743
1961-07-01,7.17
1961-08-01,7.14082
1961-09-01,7.122
1961-10-01,7.11693
1961-11-01,7.11845
1961-12-01,7.12301
1962-01-01,7.12911
1962-02-01,7.12403
1962-03-01,7.12403
1962-04-01,7.12606
1962-05-01,7.13165
1962-06-01,7.13623
1962-07-01,7.14031
1962-08-01,7.14592
1962-09-01,7.15205
1962-10-01,7.15154
1962-11-01,7.14847
1962-12-01,7.14286
1963-01-01,7.14286
1963-02-01,7.14541
1963-03-01,7.14541
1963-04-01,7.14337
1963-05-01,7.14541
1963-06-01,7.14439
1963-07-01,7.14643
1963-08-01,7.15052
1963-09-01,7.15768
1963-10-01,7.15768
1963-11-01,7.1582
1963-12-01,7.15717
1964-01-01,7.15871
1964-02-01,7.1623
1964-03-01,7.15512
1964-04-01,7.14847
1964-05-01,7.14694
1964-06-01,7.15103
1964-07-01,7.15717
1964-08-01,7.1623
1964-09-01,7.16538
1964-10-01,7.16538
1964-11-01,7.16538
1964-12-01,7.15308
1965-01-01,7.15461
1965-02-01,7.15205
1965-03-01,7.15512
1965-04-01,7.15154
1965-05-01,7.15205
1965-06-01,7.15512
1965-07-01,7.15564
1965-08-01,7.1541
1965-09-01,7.14796
1965-10-01,7.14388
1965-11-01,7.14235
1965-12-01,7.14337
1966-01-01,7.14388
1966-02-01,7.14694
1966-03-01,7.15256
1966-04-01,7.15512
1966-05-01,7.15768
1966-06-01,7.15768
1966-07-01,7.15615
1966-08-01,7.14898
1966-09-01,7.14847
1966-10-01,7.14643
1966-11-01,7.14541
1966-12-01,7.14847
1967-01-01,7.1541
1967-02-01,7.15308
1967-03-01,7.15103
1967-04-01,7.14643
1967-05-01,7.14796
1967-06-01,7.14694
1967-07-01,7.15001
1967-08-01,7.15256
1967-09-01,7.1541
1967-10-01,7.15359
1967-11-01,7.15052
1967-12-01,7.1449
1968-01-01,7.14439
1968-02-01,7.14235
1968-03-01,7.14031
1968-04-01,7.14286
1968-05-01,7.14286
1968-06-01,7.14286
1968-07-01,7.14286
1968-08-01,7.14337
1968-09-01,7.14439
1968-10-01,7.14388
1968-11-01,7.14337
1968-12-01,7.14286
1969-01-01,7.14898
1969-02-01,7.14898
1969-03-01,7.14235
1969-04-01,7.13929
1969-05-01,7.14337
1969-06-01,7.13572
1969-07-01,7.14031
1969-08-01,7.14388
1969-09-01,7.14847
1969-10-01,7.15001
1969-11-01,7.14847
1969-12-01,7.14286
1970-01-01,7.15154
1970-02-01,7.14796
1970-03-01,7.14235
1970-04-01,7.14235
1970-05-01,7.1495
1970-06-01,7.15052
1970-07-01,7.16794
1970-08-01,7.14388
1970-09-01,7.14592
1970-10-01,7.14643
1970-11-01,7.1449
1970-12-01,7.13216
1971-01-01,7.14133
1971-02-01,7.14235
1971-03-01,7.13776
