Date,Hungary
1968-01-01,60.0
1968-02-01,60.0
1968-03-01,60.0
1968-04-01,60.0
1968-05-01,60.0
1968-06-01,60.0
1968-07-01,60.0
1968-08-01,60.0
1968-09-01,60.0
1968-10-01,60.0
1968-11-01,60.0
1968-12-01,60.0
1969-01-01,60.0
1969-02-01,60.0
1969-03-01,60.0
1969-04-01,60.0
1969-05-01,60.0
1969-06-01,60.0
1969-07-01,60.0
1969-08-01,60.0
1969-09-01,60.0
1969-10-01,60.0
1969-11-01,60.0
1969-12-01,60.0
1970-01-01,60.0
1970-02-01,60.0
1970-03-01,60.0
1970-04-01,60.0
1970-05-01,60.0
1970-06-01,60.0
1970-07-01,60.0
1970-08-01,60.0
1970-09-01,60.0
1970-10-01,60.0
1970-11-01,60.0
1970-12-01,60.0
1971-01-01,60.0
1971-02-01,60.0
1971-03-01,60.0
1971-04-01,60.0
1971-05-01,60.0
1971-06-01,60.0
1971-07-01,60.0
1971-08-01,60.0
1971-09-01,60.0
1971-10-01,60.0
1971-11-01,60.0
1971-12-01,57.8594
1972-01-01,55.26
1972-02-01,55.26
1972-03-01,55.26
1972-04-01,55.26
1972-05-01,55.26
1972-06-01,55.26
1972-07-01,55.26
1972-08-01,55.26
1972-09-01,55.26
1972-10-01,55.26
1972-11-01,55.26
1972-12-01,55.26
1973-01-01,55.26
1973-02-01,52.1038
1973-03-01,49.7366
1973-04-01,49.7366
1973-05-01,49.7366
1973-06-01,49.7366
1973-07-01,47.5225
1973-08-01,46.7524
1973-09-01,46.7524
1973-10-01,46.7524
1973-11-01,46.7524
1973-12-01,46.7524
1974-01-01,46.7524
1974-02-01,46.7524
1974-03-01,46.7524
1974-04-01,46.7524
1974-05-01,46.7524
1974-06-01,46.7524
1974-07-01,46.7524
1974-08-01,46.7524
1974-09-01,46.7524
1974-10-01,46.7524
1974-11-01,46.7524
1974-12-01,46.7524
1975-01-01,46.2858
1975-02-01,46.2858
1975-03-01,43.5085
1975-04-01,43.5085
1975-05-01,43.5085
1975-06-01,43.5085
1975-07-01,43.5085
1975-08-01,43.5085
1975-09-01,43.5085
1975-10-01,43.5085
1975-11-01,43.5085
1975-12-01,43.5085
1976-01-01,41.3
1976-02-01,41.3
1976-03-01,41.4032
1976-04-01,41.7
1976-05-01,41.7
1976-06-01,41.7
1976-07-01,41.7
1976-08-01,41.7
1976-09-01,41.7
1976-10-01,41.7
1976-11-01,41.7
1976-12-01,41.3
1977-01-01,41.3
1977-02-01,41.3
1977-03-01,41.2645
1977-04-01,41.2
1977-05-01,41.2
1977-06-01,41.2
1977-07-01,41.0645
1977-08-01,40.6
1977-09-01,40.6
1977-10-01,40.6
1977-11-01,40.6
1977-12-01,40.6
1978-01-01,39.8
1978-02-01,39.8
1978-03-01,39.0516
1978-04-01,38.727
1978-05-01,37.83
1978-06-01,37.83
1978-07-01,37.83
1978-08-01,37.45
1978-09-01,37.45
1978-10-01,37.45
1978-11-01,36.1396
1978-12-01,35.578
1979-01-01,35.578
1979-02-01,35.578
1979-03-01,35.578
1979-04-01,35.578
1979-05-01,35.578
1979-06-01,35.578
1979-07-01,35.578
1979-08-01,35.578
1979-09-01,35.578
1979-10-01,35.578
1979-11-01,35.578
1979-12-01,35.578
1980-01-01,34.0
1980-02-01,33.5
1980-03-01,31.9345
1980-04-01,32.9677
1980-05-01,32.6022
1980-06-01,32.2436
1980-07-01,32.0497
1980-08-01,31.7855
1980-09-01,32.2393
1980-10-01,32.2393
1980-11-01,32.613
1980-12-01,32.2126
1981-01-01,32.5534
1981-02-01,32.9951
1981-03-01,33.5655
1981-04-01,33.5655
1981-05-01,34.049
1981-06-01,34.729
1981-07-01,35.0739
1981-08-01,35.6076
1981-09-01,35.9536
1981-10-01,34.7496
1981-11-01,34.4996
1981-12-01,34.4297
1982-01-01,34.4297
1982-02-01,34.5634
1982-03-01,34.65
1982-04-01,34.9365
1982-05-01,34.5993
1982-06-01,35.0563
1982-07-01,37.3159
1982-08-01,38.2278
1982-09-01,38.3549
1982-10-01,38.59
1982-11-01,38.9634
1982-12-01,39.8794
1983-01-01,39.4771
1983-02-01,39.8807
1983-03-01,40.1801
1983-04-01,41.3416
1983-05-01,41.7838
1983-06-01,42.4982
1983-07-01,43.5512
1983-08-01,44.5886
1983-09-01,44.6811
1983-10-01,44.37
1983-11-01,44.6442
1983-12-01,45.0572
1984-01-01,45.2934
1984-02-01,46.1272
1984-03-01,45.6318
1984-04-01,45.7064
1984-05-01,46.4329
1984-06-01,46.701
1984-07-01,49.2601
1984-08-01,49.5754
1984-09-01,50.0671
1984-10-01,50.6811
1984-11-01,50.1836
1984-12-01,50.8465
1985-01-01,51.3183
1985-02-01,51.9637
1985-03-01,52.1753
1985-04-01,50.8891
1985-05-01,51.0777
1985-06-01,50.8274
1985-07-01,50.0027
1985-08-01,49.2789
1985-09-01,49.6054
1985-10-01,48.4457
1985-11-01,48.1489
1985-12-01,47.6997
1986-01-01,47.1483
1986-02-01,45.8948
1986-03-01,46.0034
1986-04-01,46.2473
1986-05-01,45.4411
1986-06-01,46.1304
1986-07-01,45.0227
1986-08-01,43.7482
1986-09-01,44.3895
1986-10-01,46.5017
1986-11-01,46.9371
1986-12-01,46.5213
1987-01-01,44.9127
1987-02-01,44.3674
1987-03-01,46.6678
1987-04-01,47.4927
1987-05-01,47.0797
1987-06-01,47.6231
1987-07-01,48.0745
1987-08-01,48.2871
1987-09-01,47.5169
1987-10-01,47.4854
1987-11-01,47.1171
1987-12-01,47.0221
1988-01-01,47.1855
1988-02-01,48.0639
1988-03-01,47.7863
1988-04-01,47.5811
1988-05-01,47.9429
1988-06-01,48.9414
1988-07-01,51.7269
1988-08-01,54.306
1988-09-01,54.0731
1988-10-01,53.3753
1988-11-01,51.9589
1988-12-01,52.0172
1989-01-01,53.291
1989-02-01,53.7327
1989-03-01,54.9872
1989-04-01,58.9038
1989-05-01,61.6652
1989-06-01,62.428
1989-07-01,60.7576
1989-08-01,60.5814
1989-09-01,61.0604
1989-10-01,59.6382
1989-11-01,59.1209
1989-12-01,62.6297
1990-01-01,62.3583
1990-02-01,63.9429
1990-03-01,65.6779
1990-04-01,65.2133
1990-05-01,64.5682
1990-06-01,65.0232
1990-07-01,64.013
1990-08-01,62.3791
1990-09-01,62.3538
1990-10-01,61.3735
1990-11-01,60.6212
1990-12-01,60.946
1991-01-01,69.1477264054545
1991-02-01,69.5550006865
1991-03-01,72.6295238666667
1991-04-01,75.1781817354545
1991-05-01,75.5847824752174
1991-06-01,76.9714992505
1991-07-01,77.2891305013043
1991-08-01,76.2540907418182
1991-09-01,75.4557142714286
1991-10-01,75.2065214065217
1991-11-01,77.1719044280952
1991-12-01,76.7872727145455
1992-01-01,76.9136362940909
1992-02-01,77.8025001525
1992-03-01,79.6549991240909
1992-04-01,80.0018175295454
1992-05-01,79.2476192657143
1992-06-01,78.4881817213636
1992-07-01,77.460868836087
1992-08-01,76.6014280780952
1992-09-01,77.2745454959091
1992-10-01,78.8531813181818
1992-11-01,82.6200005661905
1992-12-01,82.9543480252174
1993-01-01,83.7957138795238
1993-02-01,85.672999573
1993-03-01,87.0656525986956
1993-04-01,87.6136363640909
1993-05-01,87.738572257619
1993-06-01,90.3095449968182
1993-07-01,94.5295458713636
1993-08-01,95.2336366827273
1993-09-01,93.5031818040909
1993-10-01,97.7847617019048
1993-11-01,99.6786353340909
1993-12-01,99.9856524221739
1994-01-01,101.964285709524
1994-02-01,102.999501035
1994-03-01,103.090475166667
1994-04-01,103.250000385
1994-05-01,102.589524042857
1994-06-01,102.72590915
1994-07-01,100.929524007143
1994-08-01,107.523913173913
1994-09-01,108.185000677273
1994-10-01,107.560952338095
1994-11-01,109.035239071429
1994-12-01,111.597999965
1995-01-01,111.506817563636
1995-02-01,111.846499625
1995-03-01,116.359999572727
1995-04-01,120.235262421053
1995-05-01,123.874544327273
1995-06-01,125.52571432381
1995-07-01,126.37571462381
1995-08-01,130.562608478261
1995-09-01,133.67857142381
1995-10-01,133.951053821053
1995-11-01,135.745001359091
1995-12-01,138.982106257895
1996-01-01,141.920001636364
1996-02-01,144.400953752381
1996-03-01,146.04449996
1996-04-01,148.749048871429
1996-05-01,151.929048090476
1996-06-01,152.7909996
1996-07-01,153.185650365217
1996-08-01,153.851363636364
1996-09-01,156.481904761905
1996-10-01,159.108695652174
1996-11-01,159.25619047619
1996-12-01,163.59
1997-01-01,165.88
1997-02-01,172.965
1997-03-01,176.537142857143
1997-04-01,179.478571428571
1997-05-01,181.384
1997-06-01,184.955714285714
1997-07-01,191.467826086957
1997-08-01,197.741
1997-09-01,195.889047619048
1997-10-01,195.972608695652
1997-11-01,195.944736842105
1997-12-01,201.328
1998-01-01,205.90619047619
1998-02-01,207.7525
1998-03-01,210.322272727273
1998-04-01,211.6415
1998-05-01,210.4135
1998-06-01,215.707727272727
1998-07-01,217.859565217391
1998-08-01,220.513333333333
1998-09-01,220.593636363636
1998-10-01,215.751818181818
1998-11-01,217.564761904762
1998-12-01,217.106818181818
1999-01-01,215.9425
1999-02-01,222.84
1999-03-01,232.830434782609
1999-04-01,235.7005
1999-05-01,235.230476190476
1999-06-01,239.975
