Date,Korea
1960-01-01,50.0
1960-02-01,57.5
1960-03-01,65.0
1960-04-01,65.0
1960-05-01,65.0
1960-06-01,65.0
1960-07-01,65.0
1960-08-01,65.0
1960-09-01,65.0
1960-10-01,65.0
1960-11-01,65.0
1960-12-01,65.0
1961-01-01,82.5
1961-02-01,115.0
1961-03-01,130.0
1961-04-01,130.0
1961-05-01,130.0
1961-06-01,130.0
1961-07-01,130.0
1961-08-01,130.0
1961-09-01,130.0
1961-10-01,130.0
1961-11-01,130.0
1961-12-01,130.0
1962-01-01,130.0
1962-02-01,130.0
1962-03-01,130.0
1962-04-01,130.0
1962-05-01,130.0
1962-06-01,130.0
1962-07-01,130.0
1962-08-01,130.0
1962-09-01,130.0
1962-10-01,130.0
1962-11-01,130.0
1962-12-01,130.0
1963-01-01,130
1963-02-01,130
1963-03-01,130
1963-04-01,130
1963-05-01,130
1963-06-01,130
1963-07-01,130
1963-08-01,130
1963-09-01,130
1963-10-01,130
1963-11-01,130
1963-12-01,130
1964-01-01,130
1964-02-01,130
1964-03-01,130
1964-04-01,193
1964-05-01,193
1964-06-01,193
1964-07-01,256
1964-08-01,256
1964-09-01,256
1964-10-01,256
1964-11-01,256
1964-12-01,256
1965-01-01,256
1965-02-01,256
1965-03-01,256
1965-04-01,265
1965-05-01,265
1965-06-01,265
1965-07-01,272
1965-08-01,272
1965-09-01,272
1965-10-01,272
1965-11-01,272
1965-12-01,272
1966-01-01,272
1966-02-01,272
1966-03-01,272
1966-04-01,271
1966-05-01,271
1966-06-01,271
1966-07-01,271
1966-08-01,271
1966-09-01,271
1966-10-01,271
1966-11-01,271
1966-12-01,271
1967-01-01,270
1967-02-01,270
1967-03-01,270
1967-04-01,270
1967-05-01,270
1967-06-01,270
1967-07-01,270
1967-08-01,270
1967-09-01,270
1967-10-01,272
1967-11-01,272
1967-12-01,272
1968-01-01,275
1968-02-01,275
1968-03-01,275
1968-04-01,275
1968-05-01,275
1968-06-01,275
1968-07-01,276
1968-08-01,276
1968-09-01,276
1968-10-01,281
1968-11-01,281
1968-12-01,281
1969-01-01,282
1969-02-01,282
1969-03-01,282
1969-04-01,284
1969-05-01,284
1969-06-01,284
1969-07-01,287
1969-08-01,287
1969-09-01,287
1969-10-01,299
1969-11-01,299
1969-12-01,299
1970-01-01,306
1970-02-01,306
1970-03-01,306
1970-04-01,310
1970-05-01,310
1970-06-01,310
1970-07-01,312
1970-08-01,312
1970-09-01,312
1970-10-01,315
1970-11-01,315
1970-12-01,315
1971-01-01,319
1971-02-01,319
1971-03-01,319
1971-04-01,327
1971-05-01,327
1971-06-01,327
1971-07-01,371
1971-08-01,371
1971-09-01,371
1971-10-01,371
1971-11-01,371
1971-12-01,371
1972-01-01,379
1972-02-01,379
1972-03-01,379
1972-04-01,394
1972-05-01,394
1972-06-01,394
1972-07-01,399
1972-08-01,399
1972-09-01,399
1972-10-01,399
1972-11-01,399
1972-12-01,399
1973-01-01,398.8500061
1973-02-01,398.8999939
1973-03-01,398.8699951
1973-04-01,398.9299927
1973-05-01,398.901298195652
1973-06-01,398.8599854
1973-07-01,398.7000122
1973-08-01,398.5700073
1973-09-01,397.519989
1973-10-01,397.2600098
1973-11-01,397.0400085
1973-12-01,397.1600037
1974-01-01,397.7799988
1974-02-01,398.2799988
1974-03-01,398.6499939
1974-04-01,398.9599915
1974-05-01,399
1974-06-01,399
1974-07-01,399
1974-08-01,399
1974-09-01,399
1974-10-01,399
1974-11-01,399
1974-12-01,467
1975-01-01,484
1975-02-01,484
1975-03-01,484
1975-04-01,484
1975-05-01,484
1975-06-01,484
1975-07-01,484
1975-08-01,484
1975-09-01,484
1975-10-01,484
1975-11-01,484
1975-12-01,484
1976-01-01,484
1976-02-01,484
1976-03-01,484
1976-04-01,484
1976-05-01,484
1976-06-01,484
1976-07-01,484
1976-08-01,484
1976-09-01,484
1976-10-01,484
1976-11-01,484
1976-12-01,484
1977-01-01,484
1977-02-01,484
1977-03-01,484
1977-04-01,484
1977-05-01,484
1977-06-01,484
1977-07-01,484
1977-08-01,484
1977-09-01,484
1977-10-01,484
1977-11-01,484
1977-12-01,484
1978-01-01,484
1978-02-01,484
1978-03-01,484
1978-04-01,484
1978-05-01,484
1978-06-01,484
1978-07-01,484
1978-08-01,484
1978-09-01,484
1978-10-01,484
1978-11-01,484
1978-12-01,484
1979-01-01,484
1979-02-01,484
1979-03-01,484
1979-04-01,484
1979-05-01,484
1979-06-01,484
1979-07-01,484
1979-08-01,484
1979-09-01,484
1979-10-01,484
1979-11-01,484
1979-12-01,484
1980-01-01,549.4500122
1980-02-01,580.242873428571
1980-03-01,583.5
1980-04-01,589.6500244
1980-05-01,593.5999756
1980-06-01,598.9500122
1980-07-01,605.4000244
1980-08-01,615.9000244
1980-09-01,618.7000122
1980-10-01,637.6599731
1980-11-01,656.3699951
1980-12-01,659.9299927
1981-01-01,662.2199707
1981-02-01,667.7399902
1981-03-01,671.5599976
1981-04-01,676.4799805
1981-05-01,682.1400146
1981-06-01,684.2299805
1981-07-01,686.1300049
1981-08-01,686.5599976
1981-09-01,684.9799805
1981-10-01,686.5200195
1981-11-01,688.1199951
1981-12-01,695.6599731
1982-01-01,705.5100098
1982-02-01,709.8300171
1982-03-01,714.8800049
1982-04-01,720.9000244
1982-05-01,725.5
1982-06-01,738.4299927
1982-07-01,740.0200195
1982-08-01,741.6799927
1982-09-01,742.2000122
1982-10-01,743.3599854
1982-11-01,745.0700073
1982-12-01,745.6300049
1983-01-01,749.980948295238
1983-02-01,752.2000122
1983-03-01,758.2199707
1983-04-01,765.2700195
1983-05-01,768.0800171
1983-06-01,775.2700195
1983-07-01,779.4000244
1983-08-01,786.5
1983-09-01,789.8400269
1983-10-01,790.3900146
1983-11-01,795.7299805
1983-12-01,798.210022
1984-01-01,799.495450109091
1984-02-01,798.0166626
1984-03-01,793.015910754546
1984-04-01,795.223810104762
1984-05-01,800.228573752381
1984-06-01,801.309526714286
1984-07-01,809.940909645455
1984-08-01,809.831814854545
1984-09-01,812.23499756
1984-10-01,816.819561504348
1984-11-01,817.98808652381
1984-12-01,824.81315211579
1985-01-01,830.579537136364
1985-02-01,838.70500183
1985-03-01,851.076192219048
1985-04-01,860.927273836364
1985-05-01,871.338091171429
1985-06-01,874.88250122
1985-07-01,875.693473486957
1985-08-01,883.06250305
1985-09-01,891.8190482
1985-10-01,892.318187363636
1985-11-01,889.565708695238
1985-12-01,890.866320147368
1986-01-01,892.139548540909
1986-02-01,888.75399172
1986-03-01,884.660955514286
1986-04-01,883.975008877273
1986-05-01,885.60999146
1986-06-01,889.3619036
1986-07-01,882.982594373913
1986-08-01,879.842849009524
1986-09-01,877.4818143
1986-10-01,873.530422052174
1986-11-01,869.610505768421
1986-12-01,864.59000244
1987-01-01,863.233340304762
1987-02-01,856.23999329
1987-03-01,854.036354763636
1987-04-01,845.5
1987-05-01,845.5
1987-06-01,824.239088581818
