Date,Sweden
1960-01-01,5.18081
1960-02-01,5.1784
1960-03-01,5.17759
1960-04-01,5.16556
1960-05-01,5.1709
1960-06-01,5.16396
1960-07-01,5.16369
1960-08-01,5.15677
1960-09-01,5.16022
1960-10-01,5.16396
1960-11-01,5.16662
1960-12-01,5.17224
1961-01-01,5.1709
1961-02-01,5.1701
1961-03-01,5.16716
1961-04-01,5.16689
1961-05-01,5.16049
1961-06-01,5.16396
1961-07-01,5.16609
1961-08-01,5.16369
1961-09-01,5.17357
1961-10-01,5.16769
1961-11-01,5.16876
1961-12-01,5.16903
1962-01-01,5.16849
1962-02-01,5.15783
1962-03-01,5.15251
1962-04-01,5.14827
1962-05-01,5.14721
1962-06-01,5.14509
1962-07-01,5.14721
1962-08-01,5.14615
1962-09-01,5.15198
1962-10-01,5.15225
1962-11-01,5.16449
1962-12-01,5.18726
1963-01-01,5.17786
1963-02-01,5.18403
1963-03-01,5.19103
1963-04-01,5.19454
1963-05-01,5.19022
1963-06-01,5.18511
1963-07-01,5.18081
1963-08-01,5.19049
1963-09-01,5.18995
1963-10-01,5.19481
1963-11-01,5.19157
1963-12-01,5.19481
1964-01-01,5.18888
1964-02-01,5.18403
1964-03-01,5.14668
1964-04-01,5.14112
1964-05-01,5.13769
1964-06-01,5.1369
1964-07-01,5.14377
1964-08-01,5.13716
1964-09-01,5.13848
1964-10-01,5.16102
1964-11-01,5.1557
1964-12-01,5.1443
1965-01-01,5.13743
1965-02-01,5.13637
1965-03-01,5.13663
1965-04-01,5.14562
1965-05-01,5.15172
1965-06-01,5.16289
1965-07-01,5.16662
1965-08-01,5.17277
1965-09-01,5.16742
1965-10-01,5.17357
1965-11-01,5.17357
1965-12-01,5.17411
1966-01-01,5.1709
1966-02-01,5.16903
1966-03-01,5.15889
1966-04-01,5.15863
1966-05-01,5.15517
1966-06-01,5.15916
1966-07-01,5.16742
1966-08-01,5.16582
1966-09-01,5.16929
1966-10-01,5.17331
1966-11-01,5.45375
1966-12-01,5.17411
1967-01-01,5.17143
1967-02-01,5.16716
1967-03-01,5.16342
1967-04-01,5.15544
1967-05-01,5.1549
1967-06-01,5.15066
1967-07-01,5.15145
1967-08-01,5.15623
1967-09-01,5.15969
1967-10-01,5.17036
1967-11-01,5.17438
1967-12-01,5.17036
1968-01-01,5.16369
1968-02-01,5.16502
1968-03-01,5.16929
1968-04-01,5.17117
1968-05-01,5.16689
1968-06-01,5.16742
1968-07-01,5.16769
1968-08-01,5.16289
1968-09-01,5.16236
1968-10-01,5.17197
1968-11-01,5.17518
1968-12-01,5.17518
1969-01-01,5.17063
1969-02-01,5.17438
1969-03-01,5.17063
1969-04-01,5.16796
1969-05-01,5.17143
1969-06-01,5.17411
1969-07-01,5.17143
1969-08-01,5.16929
1969-09-01,5.17331
1969-10-01,5.16396
1969-11-01,5.16689
1969-12-01,5.16742
1970-01-01,5.16662
1970-02-01,5.18001
1970-03-01,5.19967
1970-04-01,5.1994
1970-05-01,5.1994
1970-06-01,5.19049
1970-07-01,5.18618
1970-08-01,5.17974
1970-09-01,5.20156
1970-10-01,5.18618
1970-11-01,5.17491
1970-12-01,5.17063
1971-01-01,5.16396
1971-02-01,5.17277
1971-03-01,5.16289
1971-04-01,5.16316
1971-05-01,5.16609
1971-06-01,5.16262
1971-07-01,5.16236
1971-08-01,5.12768
1971-09-01,5.076
1971-10-01,5.03
1971-11-01,5.008
1971-12-01,4.902
1972-01-01,4.829
1972-02-01,4.801
1972-03-01,4.778
1972-04-01,4.789
1972-05-01,4.76
1972-06-01,4.746
1972-07-01,4.737
1972-08-01,4.733
1972-09-01,4.735
1972-10-01,4.751
1972-11-01,4.746
1972-12-01,4.744
1973-01-01,4.73695485491304
1973-02-01,4.55546989425
1973-03-01,4.44570298627273
1973-04-01,4.50660478495238
