Date,Switzerland
1960-01-01,4.3268
1960-02-01,4.3375
1960-03-01,4.3369
1960-04-01,4.3388
1960-05-01,4.3245
1960-06-01,4.315
1960-07-01,4.3135
1960-08-01,4.3107
1960-09-01,4.3068
1960-10-01,4.3083
1960-11-01,4.3074
1960-12-01,4.3057
1961-01-01,4.3066
1961-02-01,4.3208
1961-03-01,4.3208
1961-04-01,4.3249
1961-05-01,4.3288
1961-06-01,4.3208
1961-07-01,4.3161
1961-08-01,4.3172
1961-09-01,4.3165
1961-10-01,4.3228
1961-11-01,4.3228
1961-12-01,4.3161
1962-01-01,4.3182
1962-02-01,4.3269
1962-03-01,4.3399
1962-04-01,4.3457
1962-05-01,4.3294
1962-06-01,4.3156
1962-07-01,4.3174
1962-08-01,4.3223
1962-09-01,4.3236
1962-10-01,4.3217
1962-11-01,4.3159
1962-12-01,4.3165
1963-01-01,4.3253
1963-02-01,4.3247
1963-03-01,4.3286
1963-04-01,4.3292
1963-05-01,4.324
1963-06-01,4.3243
1963-07-01,4.3236
1963-08-01,4.317
1963-09-01,4.3157
1963-10-01,4.3157
1963-11-01,4.3167
1963-12-01,4.3159
1964-01-01,4.3163
1964-02-01,4.3249
1964-03-01,4.3271
1964-04-01,4.321
1964-05-01,4.3157
1964-06-01,4.3156
1964-07-01,4.3217
1964-08-01,4.3206
1964-09-01,4.32
1964-10-01,4.317
1964-11-01,4.3156
1964-12-01,4.3156
1965-01-01,4.3198
1965-02-01,4.3286
1965-03-01,4.344
1965-04-01,4.3442
1965-05-01,4.3471
1965-06-01,4.3337
1965-07-01,4.3238
1965-08-01,4.3176
1965-09-01,4.3174
1965-10-01,4.3197
1965-11-01,4.3197
1965-12-01,4.3174
1966-01-01,4.3286
1966-02-01,4.3333
1966-03-01,4.3403
1966-04-01,4.3286
1966-05-01,4.3165
1966-06-01,4.3161
1966-07-01,4.317
1966-08-01,4.3271
1966-09-01,4.3286
1966-10-01,4.3358
1966-11-01,4.3213
1966-12-01,4.3236
1967-01-01,4.3311
1967-02-01,4.3363
1967-03-01,4.3329
1967-04-01,4.3241
1967-05-01,4.3161
1967-06-01,4.3167
1967-07-01,4.3238
1967-08-01,4.3363
1967-09-01,4.3427
1967-10-01,4.3412
1967-11-01,4.3204
1967-12-01,4.3182
1968-01-01,4.3446
1968-02-01,4.349
1968-03-01,4.3318
1968-04-01,4.3386
1968-05-01,4.3256
1968-06-01,4.3042
1968-07-01,4.2983
1968-08-01,4.3061
1968-09-01,4.3009
1968-10-01,4.2974
1968-11-01,4.3
1968-12-01,4.2994
1969-01-01,4.3204
1969-02-01,4.3206
1969-03-01,4.299
1969-04-01,4.3225
1969-05-01,4.3258
1969-06-01,4.3148
1969-07-01,4.3109
1969-08-01,4.3051
1969-09-01,4.2983
1969-10-01,4.305
1969-11-01,4.3256
1969-12-01,4.3098
1970-01-01,4.3148
1970-02-01,4.2998
1970-03-01,4.31
1970-04-01,4.3022
1970-05-01,4.3105
1970-06-01,4.3157
1970-07-01,4.3039
1970-08-01,4.3016
1970-09-01,4.3068
1970-10-01,4.3309
1970-11-01,4.3187
1970-12-01,4.3128
1971-01-01,4.3053
1971-02-01,4.2981
1971-03-01,4.3003
1971-04-01,4.2987
1971-05-01,4.1232
1971-06-01,4.0968
1971-07-01,4.0945
1971-08-01,4.0301
1971-09-01,3.981
1971-10-01,3.973
1971-11-01,3.979
1971-12-01,3.903
1972-01-01,3.89
1972-02-01,3.858
1972-03-01,3.852
1972-04-01,3.857
1972-05-01,3.86
1972-06-01,3.82
1972-07-01,3.764
1972-08-01,3.781
1972-09-01,3.786
1972-10-01,3.797
1972-11-01,3.795
1972-12-01,3.771
1973-01-01,3.73324348621739
1973-02-01,3.4181249977
1973-03-01,3.2165136445
1973-04-01,3.240028563
1973-05-01,3.16898693208696
1973-06-01,3.05247143333333
1973-07-01,2.81970455431818
1973-08-01,2.97096959408696
1973-09-01,3.0169600129
1973-10-01,3.02710433630435
1973-11-01,3.16328636081818
1973-12-01,3.20201904428571
1974-01-01,3.3538869463913
1974-02-01,3.17618000505
1974-03-01,3.07731904314286
1974-04-01,3.02567730186364
1974-05-01,2.9177912733913
1974-06-01,2.9890749812
1974-07-01,2.96411302808696
1974-08-01,2.98355453668182
1974-09-01,2.9967524097619
1974-10-01,2.89681304017391
1974-11-01,2.75609525038095
1974-12-01,2.60579544845455
1975-01-01,2.52608261947826
1975-02-01,2.4754649997
1975-03-01,2.48002381552381
1975-04-01,2.55601817913636
1975-05-01,2.50789545895455
1975-06-01,2.49384287442857
1975-07-01,2.61039563869565
1975-08-01,2.67892855704762
1975-09-01,2.70696363659091
1975-10-01,2.66226520747826
1975-11-01,2.6518449903
1975-12-01,2.63299129321739
1976-01-01,2.6015428702381
1976-02-01,2.5693350077
1976-03-01,2.5649956516087
1976-04-01,2.52821817181818
1976-05-01,2.48545715919048
1976-06-01,2.46909999840909
1976-07-01,2.48441815368182
1976-08-01,2.48035453659091
1976-09-01,2.47303634340909
1976-10-01,2.4477475937619
1976-11-01,2.44098636231818
1976-12-01,2.44978182972727
1977-01-01,2.49072857128571
1977-02-01,2.5206550003
1977-03-01,2.55074781965217
1977-04-01,2.52542632494737
1977-05-01,2.51875998965
1977-06-01,2.48888181554545
1977-07-01,2.41171904971429
1977-08-01,2.40706087204348
1977-09-01,2.37532728368182
1977-10-01,2.27956998345
1977-11-01,2.19734543022727
1977-12-01,2.07751429657143
1978-01-01,1.98587143433333
1978-02-01,1.9048300028
1978-03-01,1.89909048304762
1978-04-01,1.90080001355
1978-05-01,1.96228999495
1978-06-01,1.88407273722727
1978-07-01,1.80219524242857
1978-08-01,1.66246189385714
1978-09-01,1.57205238785714
1978-10-01,1.53667727395455
1978-11-01,1.67252272913636
1978-12-01,1.67614735431579
1979-01-01,1.67065000536364
1979-02-01,1.67468499545
1979-03-01,1.68047272627273
1979-04-01,1.71526841105263
1979-05-01,1.72761428357143
1979-06-01,1.69766499405
1979-07-01,1.64816818445455
1979-08-01,1.65689999647826
1979-09-01,1.6128099918
1979-10-01,1.62944782304348
1979-11-01,1.64481818668182
1979-12-01,1.59963529958824
1980-01-01,1.59448572571429
1980-02-01,1.63870952814286
1980-03-01,1.76218094709524
1980-04-01,1.75663808980952
1980-05-01,1.66272104415789
1980-06-01,1.63376191109524
1980-07-01,1.60672609195652
1980-08-01,1.6521149992
1980-09-01,1.63897727290909
1980-10-01,1.659704343
1980-11-01,1.7255850077
1980-12-01,1.78161428647619
1981-01-01,1.82112000595
1981-02-01,1.94918000095
1981-03-01,1.92104545509091
1981-04-01,1.96974999315
1981-05-01,2.06453157731579
1981-06-01,2.0722500204
1981-07-01,2.09757271681818
1981-08-01,2.16884286057143
1981-09-01,2.02707620457143
1981-10-01,1.88264999063636
1981-11-01,1.80588094385714
1981-12-01,1.81572727727273
1982-01-01,1.84204999815
1982-02-01,1.8921650052
1982-03-01,1.88746086934783
1982-04-01,1.9592800021
1982-05-01,1.94452631478947
1982-06-01,2.07648181913636
1982-07-01,2.09643634881818
1982-08-01,2.10657273640909
1982-09-01,2.13745908304545
1982-10-01,2.169733354
1982-11-01,2.19587140995238
1982-12-01,2.04815217208696
1983-01-01,1.96781428090476
1983-02-01,2.01503497355
1983-03-01,2.06280000313043
1983-04-01,2.05409474126316
1983-05-01,2.05955997695
1983-06-01,2.11124089627273
1983-07-01,2.11603332709524
1983-08-01,2.16340908140909
1983-09-01,2.16252727940909
1983-10-01,2.11460001138095
1983-11-01,2.16921818268182
1983-12-01,2.19634284295238
1984-01-01,2.23619998071429
1984-02-01,2.20422857142857
1984-03-01,2.14722274640909
1984-04-01,2.18724738921053
1984-05-01,2.26758094061905
1984-06-01,2.28584997655
1984-07-01,2.40733634336364
1984-08-01,2.41465908827273
1984-09-01,2.49864497185
1984-10-01,2.52304783073913
1984-11-01,2.46685453972727
1984-12-01,2.55761762229412
1985-01-01,2.6589571407619
1985-02-01,2.8017300128
1985-03-01,2.80758568219048
1985-04-01,2.58392498495
1985-05-01,2.6179250002
1985-06-01,2.57179499865
1985-07-01,2.4143347843913
1985-08-01,2.29441908428571
1985-09-01,2.33741905580952
1985-10-01,2.1672695823913
1985-11-01,2.12990001280952
1985-12-01,2.1040099979
1986-01-01,2.06704285038095
1986-02-01,1.95466998235
1986-03-01,1.90905262294737
1986-04-01,1.90325455768182
1986-05-01,1.85760525657895
1986-06-01,1.84003810080952
1986-07-01,1.74532173508696
1986-08-01,1.65982500905
1986-09-01,1.65148182904545
1986-10-01,1.64159130530435
1986-11-01,1.6853299976
1986-12-01,1.66603809309524
1987-01-01,1.5586700023
1987-02-01,1.54081500175
1987-03-01,1.53819091204545
1987-04-01,1.4953950166
1987-05-01,1.46865789510526
1987-06-01,1.50823809419048
1987-07-01,1.53533912747826
1987-08-01,1.536357153
1987-09-01,1.5000904742381
1987-10-01,1.49531819609091
1987-11-01,1.3816952422381
1987-12-01,1.32998636627273
1988-01-01,1.3453700066
1988-02-01,1.39176666733333
1988-03-01,1.38659131534783
1988-04-01,1.38338946036842
1988-05-01,1.4120349944
1988-06-01,1.46148183131818
1988-07-01,1.53252381938095
1988-08-01,1.58324999704545
1988-09-01,1.57678637181818
1988-10-01,1.538642855
1988-11-01,1.4680909135
1988-12-01,1.477457143
1989-01-01,1.55987619780952
1989-02-01,1.57464500055
1989-03-01,1.60684761547619
1989-04-01,1.64604499335
1989-05-01,1.7323299824
1989-06-01,1.70839547031818
1989-07-01,1.63071905433333
1989-08-01,1.66120870213043
1989-09-01,1.68780000428571
1989-10-01,1.63102727045455
1989-11-01,1.61727271831818
1989-12-01,1.56983156584211
1990-01-01,1.51507727663636
1990-02-01,1.48878420663158
1990-03-01,1.51126817677273
1990-04-01,1.48680525089474
1990-05-01,1.4159237997619
1990-06-01,1.42520000345
1990-07-01,1.39257727963636
1990-08-01,1.30643183531818
1990-09-01,1.30748500235
1990-10-01,1.28148261352174
1990-11-01,1.25716362754545
1990-12-01,1.27811666322222
1991-01-01,1.27214286433333
1991-02-01,1.26782500145
1991-03-01,1.38779000035
