DATE,CCRETT01BEM661N_NBD19700101
1970-01-01,100.00000
1970-02-01,99.96678
1970-03-01,99.84133
1970-04-01,99.32380
1970-05-01,99.09503
1970-06-01,98.82806
1970-07-01,99.02466
1970-08-01,99.02973
1970-09-01,98.60816
1970-10-01,98.28040
1970-11-01,98.08649
1970-12-01,97.89001
1971-01-01,97.45673
1971-02-01,97.47317
1971-03-01,97.42185
1971-04-01,97.25463
1971-05-01,96.33279
1971-06-01,95.50822
1971-07-01,95.50526
1971-08-01,95.63007
1971-09-01,97.45239
1971-10-01,98.51996
1971-11-01,99.51250
1971-12-01,99.61419
1972-01-01,99.85220
1972-02-01,100.09255
1972-03-01,99.01982
1972-04-01,98.64697
1972-05-01,98.70149
1972-06-01,99.20684
1972-07-01,99.86143
1972-08-01,99.90237
1972-09-01,99.80567
1972-10-01,99.57626
1972-11-01,100.17926
1972-12-01,100.46405
1973-01-01,100.47918
1973-02-01,100.54002
1973-03-01,101.36110
1973-04-01,100.12847
1973-05-01,100.07643
1973-06-01,100.24989
1973-07-01,100.45248
1973-08-01,99.12423
1973-09-01,99.01371
1973-10-01,98.56502
1973-11-01,97.80306
1973-12-01,96.68618
1974-01-01,96.23384
1974-02-01,98.23255
1974-03-01,98.35783
1974-04-01,99.30571
1974-05-01,101.74706
1974-06-01,103.33626
1974-07-01,103.75268
1974-08-01,103.74168
1974-09-01,103.43773
1974-10-01,103.78833
1974-11-01,104.40712
1974-12-01,104.81755
1975-01-01,105.95985
1975-02-01,106.85522
1975-03-01,107.00067
1975-04-01,106.10629
1975-05-01,105.62147
1975-06-01,104.95582
1975-07-01,104.63590
1975-08-01,104.33538
1975-09-01,103.54890
1975-10-01,103.94527
1975-11-01,104.42619
1975-12-01,104.28075
1976-01-01,104.65677
1976-02-01,104.54887
1976-03-01,105.71240
1976-04-01,107.15858
1976-05-01,107.40379
1976-06-01,106.72267
1976-07-01,107.27714
1976-08-01,108.44206
1976-09-01,109.85084
1976-10-01,112.03445
1976-11-01,112.38953
1976-12-01,113.44478
1977-01-01,112.72679
1977-02-01,112.49974
1977-03-01,112.08616
1977-04-01,111.90854
1977-05-01,112.85745
1977-06-01,112.99685
1977-07-01,113.00496
1977-08-01,113.47873
1977-09-01,113.44464
1977-10-01,112.79715
1977-11-01,112.27983
1977-12-01,114.24235
1978-01-01,115.33298
1978-02-01,116.39443
1978-03-01,116.68369
1978-04-01,115.25961
1978-05-01,113.42208
1978-06-01,112.26386
1978-07-01,111.23746
1978-08-01,111.88925
1978-09-01,112.53209
1978-10-01,114.68440
1978-11-01,114.58209
1978-12-01,114.24971
1979-01-01,115.31745
1979-02-01,114.85215
1979-03-01,113.45815
1979-04-01,111.85494
1979-05-01,110.42453
1979-06-01,110.14050
1979-07-01,110.38567
1979-08-01,110.24675
1979-09-01,110.22132
1979-10-01,110.59735
1979-11-01,110.60770
1979-12-01,110.02751
1980-01-01,110.04167
1980-02-01,109.15905
1980-03-01,107.57916
1980-04-01,106.61287
1980-05-01,107.04364
1980-06-01,106.96367
1980-07-01,107.60258
1980-08-01,106.70905
1980-09-01,106.13503
1980-10-01,105.35815
1980-11-01,104.12823
1980-12-01,103.61399
1981-01-01,102.56112
1981-02-01,101.24309
1981-03-01,100.83748
1981-04-01,99.80847
1981-05-01,98.53278
1981-06-01,97.98603
1981-07-01,98.36644
1981-08-01,98.21965
1981-09-01,99.96427
1981-10-01,99.68505
1981-11-01,99.04452
1981-12-01,98.43273
1982-01-01,97.82956
1982-02-01,95.47294
1982-03-01,89.21161
1982-04-01,89.05318
1982-05-01,89.95078
1982-06-01,89.35845
1982-07-01,89.70096
1982-08-01,89.85000
1982-09-01,90.05935
1982-10-01,89.98456
1982-11-01,89.81066
1982-12-01,89.94863
1983-01-01,91.08071
1983-02-01,91.08812
1983-03-01,92.33292
1983-04-01,91.00327
1983-05-01,90.31406
1983-06-01,89.97381
1983-07-01,89.86617
1983-08-01,89.76623
1983-09-01,89.52951
1983-10-01,89.10174
1983-11-01,88.73118
1983-12-01,88.34109
1984-01-01,88.11141
1984-02-01,88.99889
1984-03-01,90.09613
1984-04-01,90.32230
1984-05-01,89.68548
1984-06-01,89.74008
1984-07-01,90.37738
1984-08-01,90.45115
1984-09-01,89.92111
1984-10-01,89.42532
1984-11-01,89.94909
1984-12-01,90.02236
1985-01-01,90.65907
1985-02-01,90.28317
1985-03-01,89.95630
1985-04-01,90.51628
1985-05-01,90.11001
1985-06-01,90.17156
1985-07-01,91.17811
1985-08-01,91.96493
1985-09-01,91.67915
1985-10-01,92.39488
1985-11-01,92.96759
1985-12-01,92.09640
1986-01-01,93.55281
1986-02-01,94.42505
1986-03-01,94.74404
1986-04-01,95.50214
1986-05-01,95.03718
1986-06-01,95.05890
1986-07-01,95.56998
1986-08-01,96.63028
1986-09-01,97.07940
1986-10-01,97.69993
1986-11-01,97.34162
1986-12-01,97.56439
1987-01-01,99.51409
1987-02-01,100.16268
1987-03-01,99.26087
1987-04-01,99.05400
1987-05-01,99.09920
1987-06-01,98.91132
1987-07-01,99.06285
1987-08-01,98.77262
1987-09-01,98.58842
1987-10-01,98.09185
1987-11-01,98.44290
1987-12-01,98.62543
1988-01-01,98.21616
1988-02-01,97.79268
1988-03-01,97.43245
1988-04-01,97.12928
1988-05-01,96.82437
1988-06-01,96.31191
1988-07-01,95.66549
1988-08-01,95.20330
1988-09-01,95.41370
1988-10-01,95.53002
1988-11-01,95.64109
1988-12-01,95.38999
1989-01-01,94.75899
1989-02-01,94.52349
1989-03-01,94.54783
1989-04-01,94.74905
1989-05-01,93.86661
1989-06-01,94.16567
1989-07-01,94.98932
1989-08-01,94.80419
1989-09-01,94.73522
1989-10-01,95.14856
1989-11-01,96.00039
1989-12-01,97.34249
1990-01-01,97.92724
1990-02-01,97.91336
1990-03-01,98.39000
1990-04-01,98.87516
1990-05-01,98.73144
1990-06-01,98.48640
1990-07-01,98.45799
1990-08-01,99.28171
1990-09-01,99.53477
1990-10-01,99.65549
1990-11-01,99.90552
1990-12-01,99.76206
1991-01-01,100.08950
1991-02-01,100.39803
1991-03-01,98.40307
1991-04-01,96.85468
1991-05-01,96.83810
1991-06-01,96.49776
1991-07-01,96.61187
1991-08-01,97.06822
1991-09-01,97.10835
1991-10-01,96.91479
1991-11-01,97.61325
1991-12-01,98.00360
1992-01-01,97.97391
1992-02-01,97.20020
1992-03-01,96.60351
1992-04-01,96.28210
1992-05-01,96.20807
1992-06-01,96.93794
1992-07-01,98.43947
1992-08-01,98.80939
1992-09-01,99.59630
1992-10-01,100.80619
1992-11-01,100.17734
1992-12-01,100.60783
1993-01-01,100.35979
1993-02-01,100.26847
1993-03-01,100.12288
1993-04-01,99.91083
1993-05-01,99.49256
1993-06-01,98.55083
1993-07-01,97.90204
1993-08-01,96.62629
1993-09-01,96.21873
1993-10-01,94.86269
1993-11-01,95.87962
1993-12-01,97.24221
1994-01-01,97.25813
1994-02-01,97.89530
1994-03-01,98.58039
1994-04-01,98.35065
1994-05-01,99.08310
1994-06-01,99.50223
1994-07-01,100.89675
1994-08-01,100.95869
1994-09-01,100.66331
1994-10-01,100.63747
1994-11-01,100.34480
1994-12-01,100.04232
1995-01-01,100.96200
1995-02-01,101.84885
1995-03-01,103.92571
1995-04-01,104.25071
1995-05-01,103.17747
1995-06-01,103.21523
1995-07-01,103.83977
1995-08-01,102.62724
1995-09-01,101.73597
1995-10-01,102.72409
1995-11-01,102.88704
1995-12-01,102.29428
1996-01-01,102.41978
1996-02-01,102.23323
1996-03-01,101.32889
1996-04-01,100.43920
1996-05-01,99.18846
1996-06-01,99.27835
1996-07-01,100.06449
1996-08-01,101.06078
1996-09-01,99.99271
1996-10-01,99.28444
1996-11-01,99.38213
1996-12-01,98.44393
1997-01-01,97.86079
1997-02-01,96.54918
1997-03-01,95.66987
1997-04-01,95.22420
1997-05-01,95.03157
1997-06-01,94.91279
1997-07-01,94.13557
1997-08-01,94.22652
1997-09-01,94.08901
1997-10-01,94.72652
