DATE,CCRETT01CNM661N_NBD19700101
1970-01-01,100.00000
1970-02-01,101.84592
1970-03-01,99.40066
1970-04-01,99.07786
1970-05-01,99.50580
1970-06-01,99.56215
1970-07-01,99.65644
1970-08-01,99.69440
1970-09-01,98.69748
1970-10-01,97.81082
1970-11-01,97.40164
1970-12-01,96.95277
1971-01-01,95.73493
1971-02-01,97.00717
1971-03-01,94.93968
1971-04-01,93.95617
1971-05-01,93.29918
1971-06-01,92.70470
1971-07-01,92.30149
1971-08-01,91.22312
1971-09-01,88.23974
1971-10-01,85.74411
1971-11-01,85.28469
1971-12-01,83.23890
1972-01-01,87.28608
1972-02-01,87.70741
1972-03-01,85.42415
1972-04-01,84.68599
1972-05-01,84.41924
1972-06-01,84.15285
1972-07-01,85.95090
1972-08-01,85.44704
1972-09-01,85.01333
1972-10-01,84.49192
1972-11-01,84.33584
1972-12-01,83.23531
1973-01-01,81.29382
1973-02-01,81.25404
1973-03-01,79.56060
1973-04-01,78.84725
1973-05-01,78.36286
1973-06-01,79.27401
1973-07-01,78.30641
1973-08-01,77.34729
1973-09-01,76.16260
1973-10-01,76.04666
1973-11-01,76.29673
1973-12-01,74.83967
1974-01-01,75.17019
1974-02-01,74.21907
1974-03-01,71.29248
1974-04-01,70.15290
1974-05-01,71.33100
1974-06-01,70.27748
1974-07-01,69.97418
1974-08-01,70.16369
1974-09-01,68.15356
1974-10-01,67.76385
1974-11-01,67.94296
1974-12-01,68.55693
1975-01-01,69.17055
1975-02-01,69.58298
1975-03-01,68.12328
1975-04-01,66.96560
1975-05-01,66.63533
1975-06-01,66.77850
1975-07-01,64.87313
1975-08-01,63.09937
1975-09-01,62.05641
1975-10-01,62.02920
1975-11-01,62.22285
1975-12-01,62.29817
1976-01-01,61.61928
1976-02-01,62.51068
1976-03-01,61.43909
1976-04-01,60.59391
1976-05-01,60.50653
1976-06-01,60.70666
1976-07-01,60.48051
1976-08-01,60.53090
1976-09-01,59.84215
1976-10-01,60.08401
1976-11-01,60.48273
1976-12-01,60.27204
1977-01-01,59.02482
1977-02-01,58.78483
1977-03-01,57.22063
1977-04-01,56.36413
1977-05-01,56.39333
1977-06-01,55.98615
1977-07-01,55.35105
1977-08-01,55.90145
1977-09-01,55.47383
1977-10-01,54.13307
1977-11-01,53.80098
1977-12-01,62.75726
1978-01-01,54.92528
1978-02-01,56.44372
1978-03-01,54.37278
1978-04-01,51.62602
1978-05-01,51.34655
1978-06-01,49.76012
1978-07-01,47.61608
1978-08-01,45.97489
1978-09-01,45.74538
1978-10-01,44.80631
1978-11-01,47.28870
1978-12-01,48.34580
1979-01-01,49.03178
1979-02-01,50.53317
1979-03-01,50.18387
1979-04-01,50.91349
1979-05-01,50.93231
1979-06-01,51.18224
1979-07-01,50.93598
1979-08-01,51.66085
1979-09-01,52.04865
1979-10-01,53.23443
1979-11-01,55.20124
1979-12-01,54.91524
1980-01-01,54.73676
1980-02-01,55.97837
1980-03-01,54.95859
1980-04-01,55.23030
1980-05-01,53.99137
1980-06-01,53.51730
1980-07-01,53.98395
1980-08-01,54.21825
1980-09-01,52.99661
1980-10-01,52.32815
1980-11-01,52.04087
1980-12-01,51.35990
1981-01-01,49.82715
1981-02-01,49.73698
1981-03-01,48.41799
1981-04-01,48.24971
1981-05-01,47.53428
1981-06-01,47.19126
1981-07-01,48.57276
1981-08-01,48.04653
1981-09-01,47.92013
1981-10-01,47.41290
1981-11-01,46.56611
1981-12-01,46.11337
1982-01-01,46.04148
1982-02-01,46.83317
1982-03-01,46.30682
1982-04-01,46.17590
1982-05-01,45.95784
1982-06-01,45.58364
1982-07-01,45.70589
1982-08-01,45.70218
1982-09-01,45.71177
1982-10-01,46.24478
