DATE,COLCCRETT01IXOBM_NBD19970101
1997-01-01,100.00000
1997-02-01,99.63821
1997-03-01,102.61878
1997-04-01,104.43707
1997-05-01,104.00958
1997-06-01,104.38239
1997-07-01,103.96772
1997-08-01,103.27448
1997-09-01,96.13595
1997-10-01,93.57787
1997-11-01,92.58980
1997-12-01,94.63528
1998-01-01,95.39512
1998-02-01,96.09808
1998-03-01,97.63191
1998-04-01,99.89368
1998-05-01,99.36122
1998-06-01,101.44603
1998-07-01,102.88590
1998-08-01,102.22825
1998-09-01,92.52314
1998-10-01,87.10800
1998-11-01,88.80238
1998-12-01,91.65711
1999-01-01,91.59980
1999-02-01,95.03460
1999-03-01,97.56815
1999-04-01,96.19000
1999-05-01,92.66263
1999-06-01,90.78584
1999-07-01,84.78625
1999-08-01,81.54229
1999-09-01,77.28094
1999-10-01,77.02874
1999-11-01,79.07720
1999-12-01,81.87254
2000-01-01,81.09003
2000-02-01,81.96031
2000-03-01,82.76606
2000-04-01,82.55281
2000-05-01,81.43177
2000-06-01,77.87305
2000-07-01,76.36615
2000-08-01,76.15335
2000-09-01,75.93090
2000-10-01,77.82869
2000-11-01,79.75390
2000-12-01,77.58186
2001-01-01,75.91605
2001-02-01,77.40453
2001-03-01,77.96535
2001-04-01,77.70067
2001-05-01,77.33376
2001-06-01,79.24728
2001-07-01,79.76456
2001-08-01,79.56577
2001-09-01,78.38708
2001-10-01,79.33646
2001-11-01,79.74577
2001-12-01,79.90412
2002-01-01,82.68830
2002-02-01,83.83004
2002-03-01,84.06155
2002-04-01,84.88950
2002-05-01,83.34111
2002-06-01,81.58182
2002-07-01,76.41022
2002-08-01,72.71149
2002-09-01,70.57149
2002-10-01,69.62710
2002-11-01,71.66440
2002-12-01,69.37172
2003-01-01,66.71302
2003-02-01,66.26654
2003-03-01,66.21936
2003-04-01,66.85215
2003-05-01,67.27840
2003-06-01,67.83045
2003-07-01,67.28663
2003-08-01,67.78957
2003-09-01,67.85881
2003-10-01,66.08167
2003-11-01,67.00395
2003-12-01,67.57318
2004-01-01,68.41317
2004-02-01,70.00636
2004-03-01,72.17639
2004-04-01,73.42298
2004-05-01,72.13686
2004-06-01,72.25092
2004-07-01,73.56687
2004-08-01,75.06565
2004-09-01,76.07953
2004-10-01,74.29628
2004-11-01,74.51905
2004-12-01,77.42108
2005-01-01,79.87068
2005-02-01,80.85353
2005-03-01,80.50075
2005-04-01,80.85071
2005-05-01,81.42610
2005-06-01,82.67250
2005-07-01,82.94969
2005-08-01,82.59989
2005-09-01,82.76485
2005-10-01,83.31100
2005-11-01,84.36596
2005-12-01,84.40127
2006-01-01,83.82477
2006-02-01,84.64065
2006-03-01,84.85550
2006-04-01,81.77237
2006-05-01,78.21873
2006-06-01,75.32008
2006-07-01,75.99077
2006-08-01,79.76876
2006-09-01,79.86845
2006-10-01,81.00662
2006-11-01,83.24801
2006-12-01,83.65807
2007-01-01,85.42552
2007-02-01,86.16283
2007-03-01,87.56867
2007-04-01,89.34311
2007-05-01,94.80657
2007-06-01,98.91193
2007-07-01,96.63373
2007-08-01,91.98481
2007-09-01,88.27523
2007-10-01,91.61573
2007-11-01,88.77416
2007-12-01,90.67313
2008-01-01,92.15718
2008-02-01,96.33543
2008-03-01,98.25775
2008-04-01,100.49720
2008-05-01,102.44067
2008-06-01,105.71961
2008-07-01,101.56748
2008-08-01,99.83438
2008-09-01,91.25030
2008-10-01,87.96618
2008-11-01,89.00703
2008-12-01,92.56295
2009-01-01,93.29641
2009-02-01,85.20188
2009-03-01,86.97771
2009-04-01,88.62826
2009-05-01,92.65807
2009-06-01,97.67812
2009-07-01,99.31815
2009-08-01,99.76406
2009-09-01,100.91689
2009-10-01,103.64753
2009-11-01,99.14222
2009-12-01,97.22588
2010-01-01,99.58888
2010-02-01,102.79359
2010-03-01,104.52722
2010-04-01,102.91781
2010-05-01,102.71337
2010-06-01,106.49051
2010-07-01,108.13679
2010-08-01,110.36560
2010-09-01,110.34293
2010-10-01,107.43809
2010-11-01,104.20075
2010-12-01,102.26361
2011-01-01,105.09645
2011-02-01,103.63208
2011-03-01,102.75944
2011-04-01,105.42888
2011-05-01,105.74770
2011-06-01,107.20750
2011-07-01,107.92030
2011-08-01,106.69554
2011-09-01,106.06213
2011-10-01,103.14612
2011-11-01,102.92427
2011-12-01,103.40037
2012-01-01,107.99814
2012-02-01,110.32472
2012-03-01,111.64573
2012-04-01,111.79093
2012-05-01,112.63937
2012-06-01,114.44360
2012-07-01,114.09823
2012-08-01,111.63032
2012-09-01,110.72359
2012-10-01,110.17083
2012-11-01,109.81995
2012-12-01,110.93702
2013-01-01,111.84735
2013-02-01,110.28640
2013-03-01,109.64324
2013-04-01,108.62930
2013-05-01,107.97868
2013-06-01,105.97085
2013-07-01,106.86987
2013-08-01,106.72882
2013-09-01,105.91132
2013-10-01,106.56915
2013-11-01,104.95360
2013-12-01,104.60381
2014-01-01,103.80916
2014-02-01,100.42184
2014-03-01,101.51789
2014-04-01,105.57256
2014-05-01,106.85016
2014-06-01,108.56505
2014-07-01,110.19760
2014-08-01,108.64037
2014-09-01,105.29536
2014-10-01,102.59243
2014-11-01,99.78687
2014-12-01,92.22671
2015-01-01,92.14198
2015-02-01,92.71038
2015-03-01,88.12369
2015-04-01,91.60877
2015-05-01,93.00604
2015-06-01,89.00464
2015-07-01,83.94679
2015-08-01,77.37795
2015-09-01,77.20478
2015-10-01,81.30760
2015-11-01,80.26412
2015-12-01,75.37615
2016-01-01,76.31036
2016-02-01,75.08430
2016-03-01,80.19344
2016-04-01,83.08671
2016-05-01,83.56356
2016-06-01,84.47610
2016-07-01,85.44274
2016-08-01,85.01827
2016-09-01,86.20398
2016-10-01,85.74029
2016-11-01,82.43740
2016-12-01,86.39708
2017-01-01,88.36351
2017-02-01,89.98822
2017-03-01,88.13969
2017-04-01,89.96903
2017-05-01,88.51529
2017-06-01,86.66273
2017-07-01,84.01659
2017-08-01,84.89542
2017-09-01,85.68779
2017-10-01,85.25001
2017-11-01,83.88918
2017-12-01,84.60054
2018-01-01,87.17261
2018-02-01,86.99802
2018-03-01,87.89413
2018-04-01,90.78064
2018-05-01,89.64936
2018-06-01,89.76338
2018-07-01,90.19829
2018-08-01,88.44828
2018-09-01,86.92906
2018-10-01,85.07888
2018-11-01,82.99087
2018-12-01,82.75892
2019-01-01,83.72464
2019-02-01,84.97630
2019-03-01,84.82578
2019-04-01,84.31898
2019-05-01,81.30241
2019-06-01,82.70544
2019-07-01,83.42880
2019-08-01,79.69555
2019-09-01,80.41401
2019-10-01,79.31842
2019-11-01,79.69952
2019-12-01,80.54201
2020-01-01,81.28929
2020-02-01,80.16157
2020-03-01,72.37608
2020-04-01,72.88784
2020-05-01,75.09679
2020-06-01,76.36579
2020-07-01,76.81362
2020-08-01,73.38284
2020-09-01,73.70929
2020-10-01,72.03441
2020-11-01,74.21073
2020-12-01,77.69869
2021-01-01,76.72313
2021-02-01,75.78587
2021-03-01,75.32106
2021-04-01,74.52488
2021-05-01,72.58577
2021-06-01,73.24782
2021-07-01,70.90879
2021-08-01,70.38417
2021-09-01,71.50465
2021-10-01,72.41627
2021-11-01,70.05193
2021-12-01,69.53891
2022-01-01,69.28072
2022-02-01,70.75291
2022-03-01,73.56756
2022-04-01,74.25904
2022-05-01,71.78578
2022-06-01,72.99546
2022-07-01,67.10935
2022-08-01,68.55904
2022-09-01,68.17595
2022-10-01,64.97284
2022-11-01,62.17445
2022-12-01,63.61927
2023-01-01,64.47114
2023-02-01,63.97578
2023-03-01,65.50256
2023-04-01,68.63302
2023-05-01,68.98063
2023-06-01,74.78712
2023-07-01,77.39363
2023-08-01,77.98579
2023-09-01,80.30616
2023-10-01,76.82681
2023-11-01,79.80567
2023-12-01,81.81570
