DATE,CCRETT01FIM661N_NBD19700101
1970-01-01,100.00000
1970-02-01,99.74286
1970-03-01,99.38099
1970-04-01,98.87293
1970-05-01,98.59804
1970-06-01,98.64315
1970-07-01,98.29220
1970-08-01,98.39969
1970-09-01,98.19390
1970-10-01,97.64022
1970-11-01,97.41800
1970-12-01,96.88601
1971-01-01,96.59373
1971-02-01,96.78631
1971-03-01,96.80516
1971-04-01,96.84796
1971-05-01,96.27502
1971-06-01,97.33346
1971-07-01,97.15997
1971-08-01,96.71419
1971-09-01,96.27457
1971-10-01,94.85511
1971-11-01,94.71841
1971-12-01,93.16621
1972-01-01,91.02857
1972-02-01,90.75934
1972-03-01,90.38195
1972-04-01,91.51380
1972-05-01,91.58603
1972-06-01,91.69811
1972-07-01,92.32649
1972-08-01,92.32117
1972-09-01,92.37628
1972-10-01,90.90595
1972-11-01,93.33022
1972-12-01,92.76865
1973-01-01,92.72856
1973-02-01,91.02227
1973-03-01,90.74013
1973-04-01,92.60387
1973-05-01,91.59439
1973-06-01,90.82365
1973-07-01,91.68315
1973-08-01,95.41534
1973-09-01,94.08441
1973-10-01,93.11668
1973-11-01,95.27618
1973-12-01,96.58384
1974-01-01,97.26998
1974-02-01,97.53799
1974-03-01,97.50199
1974-04-01,98.43161
1974-05-01,98.39289
1974-06-01,100.26701
1974-07-01,101.33584
1974-08-01,101.84779
1974-09-01,102.67768
1974-10-01,100.47982
1974-11-01,100.26746
1974-12-01,100.60125
1975-01-01,102.26553
1975-02-01,102.95533
1975-03-01,102.42049
1975-04-01,103.44300
1975-05-01,102.91615
1975-06-01,102.98638
1975-07-01,104.54256
1975-08-01,106.01640
1975-09-01,106.65246
1975-10-01,106.89321
1975-11-01,107.22200
1975-12-01,108.17967
1976-01-01,109.46594
1976-02-01,110.15144
1976-03-01,111.53715
1976-04-01,111.71604
1976-05-01,111.12781
1976-06-01,111.08051
1976-07-01,113.27933
1976-08-01,113.21118
1976-09-01,112.66702
1976-10-01,112.83129
1976-11-01,112.94354
