DATE,CCRETT01DEM661N_NBD19700101
1970-01-01,100.00000
1970-02-01,99.76243
1970-03-01,100.01429
1970-04-01,100.76905
1970-05-01,100.67189
1970-06-01,100.60971
1970-07-01,100.12758
1970-08-01,99.90508
1970-09-01,99.38761
1970-10-01,99.26881
1970-11-01,99.24099
1970-12-01,99.13875
1971-01-01,99.68386
1971-02-01,100.44739
1971-03-01,100.10259
1971-04-01,100.07192
1971-05-01,101.71491
1971-06-01,102.94567
1971-07-01,103.71415
1971-08-01,104.64646
1971-09-01,104.82585
1971-10-01,104.99564
1971-11-01,104.41843
1971-12-01,104.58943
1972-01-01,104.53977
1972-02-01,104.98263
1972-03-01,105.33377
1972-04-01,105.19420
1972-05-01,104.39566
1972-06-01,104.38931
1972-07-01,105.24574
1972-08-01,104.02897
1972-09-01,104.27814
1972-10-01,103.76425
1972-11-01,104.13480
1972-12-01,104.24411
1973-01-01,104.67043
1973-02-01,106.10983
1973-03-01,109.06206
1973-04-01,109.36908
1973-05-01,109.73295
1973-06-01,114.95090
1973-07-01,122.35245
1973-08-01,119.53407
1973-09-01,118.36141
1973-10-01,117.53520
1973-11-01,114.99240
1973-12-01,114.66282
1974-01-01,113.38371
1974-02-01,114.46878
1974-03-01,114.62427
1974-04-01,116.65890
1974-05-01,117.19986
1974-06-01,115.08392
1974-07-01,112.27630
1974-08-01,109.90264
1974-09-01,107.70135
1974-10-01,108.68067
1974-11-01,110.15768
1974-12-01,110.33243
1975-01-01,111.59490
1975-02-01,111.36584
1975-03-01,110.41937
1975-04-01,108.81903
1975-05-01,108.41073
1975-06-01,108.93658
1975-07-01,106.75612
1975-08-01,104.75940
1975-09-01,104.22320
1975-10-01,104.45860
1975-11-01,103.85859
1975-12-01,103.15185
1976-01-01,103.84315
1976-02-01,106.47367
1976-03-01,108.22325
1976-04-01,109.52358
1976-05-01,107.84776
1976-06-01,107.55699
1976-07-01,107.01565
1976-08-01,108.31549
1976-09-01,108.38038
1976-10-01,109.90529
1976-11-01,110.35571
1976-12-01,110.93619
1977-01-01,111.11698
1977-02-01,110.26374
1977-03-01,110.13195
1977-04-01,109.96748
1977-05-01,109.98596
1977-06-01,109.86528
1977-07-01,111.36803
1977-08-01,109.73618
1977-09-01,109.42329
1977-10-01,109.63910
1977-11-01,110.20926
1977-12-01,112.37948
1978-01-01,112.48268
1978-02-01,113.70745
1978-03-01,114.42908
1978-04-01,113.23616
1978-05-01,111.41425
1978-06-01,110.93698
1978-07-01,109.42341
1978-08-01,109.30553
1978-09-01,108.90263
1978-10-01,112.00375
1978-11-01,111.56357
1978-12-01,112.49517
1979-01-01,113.39092
1979-02-01,112.78900
1979-03-01,112.69310
1979-04-01,111.35149
1979-05-01,111.10605
1979-06-01,111.68798
1979-07-01,111.49372
1979-08-01,110.81340
1979-09-01,111.36134
1979-10-01,111.55589
1979-11-01,112.78127
1979-12-01,112.86187
1980-01-01,111.40122
1980-02-01,111.07704
1980-03-01,108.98145
1980-04-01,107.95237
1980-05-01,108.37089
1980-06-01,107.81668
1980-07-01,107.14680
1980-08-01,105.71050
1980-09-01,104.45270
1980-10-01,102.28986
1980-11-01,101.08305
1980-12-01,100.74006
1981-01-01,99.36023
1981-02-01,97.64769
1981-03-01,99.59472
1981-04-01,98.93046
1981-05-01,97.48329
1981-06-01,96.38975
1981-07-01,95.88029
1981-08-01,95.15003
1981-09-01,96.98787
1981-10-01,99.67290
1981-11-01,99.74764
1981-12-01,98.53644
1982-01-01,98.50495
1982-02-01,97.73706
1982-03-01,98.61913
1982-04-01,98.85459
1982-05-01,100.04592
1982-06-01,100.42682
1982-07-01,100.36115
1982-08-01,99.88480
