DATE,CCRETT01GRM661N_NBD19700101
1970-01-01,100.00000
1970-02-01,99.64929
1970-03-01,100.55280
1970-04-01,101.27594
1970-05-01,101.13188
1970-06-01,100.87622
1970-07-01,99.02206
1970-08-01,97.34865
1970-09-01,98.30531
1970-10-01,99.12456
1970-11-01,98.64428
1970-12-01,99.76643
1971-01-01,98.81273
1971-02-01,96.70845
1971-03-01,97.80982
1971-04-01,98.57101
1971-05-01,99.04162
1971-06-01,96.81098
1971-07-01,94.74951
1971-08-01,92.28951
1971-09-01,91.68965
1971-10-01,90.12955
1971-11-01,91.15611
1971-12-01,90.53830
1972-01-01,88.30685
1972-02-01,85.80110
1972-03-01,86.25719
1972-04-01,88.49765
1972-05-01,88.09441
1972-06-01,87.67641
1972-07-01,86.21236
1972-08-01,84.78448
1972-09-01,85.53350
1972-10-01,86.56164
1972-11-01,86.38465
1972-12-01,88.43243
1973-01-01,87.45095
1973-02-01,82.72725
1973-03-01,80.18383
1973-04-01,81.48842
1973-05-01,81.94670
1973-06-01,80.61061
1973-07-01,74.64527
1973-08-01,77.00563
1973-09-01,80.38783
1973-10-01,86.25617
1973-11-01,97.41476
1973-12-01,100.05611
1974-01-01,101.09315
1974-02-01,96.51443
1974-03-01,95.95323
1974-04-01,93.99077
1974-05-01,93.74692
1974-06-01,95.51198
1974-07-01,94.73430
1974-08-01,92.89348
1974-09-01,95.45604
1974-10-01,94.04606
1974-11-01,93.61597
1974-12-01,92.44044
1975-01-01,90.93863
1975-02-01,88.85520
1975-03-01,90.74783
1975-04-01,90.77582
1975-05-01,89.90388
1975-06-01,90.05279
1975-07-01,87.54501
1975-08-01,84.51778
1975-09-01,87.22757
1975-10-01,86.66119
1975-11-01,86.33275
1975-12-01,86.84882
1976-01-01,86.27355
1976-02-01,86.77791
1976-03-01,88.81949
1976-04-01,87.59089
1976-05-01,87.48375
1976-06-01,88.65521
1976-07-01,85.93678
1976-08-01,83.49919
1976-09-01,84.60188
1976-10-01,84.39063
1976-11-01,84.71631
1976-12-01,85.87402
1977-01-01,84.76736
1977-02-01,83.80572
1977-03-01,84.81705
1977-04-01,85.57569
1977-05-01,86.38685
1977-06-01,86.30132
1977-07-01,85.32672
1977-08-01,84.32750
1977-09-01,85.94089
1977-10-01,87.08274
1977-11-01,87.12728
1977-12-01,87.28385
1978-01-01,86.00088
1978-02-01,84.04516
1978-03-01,82.89871
1978-04-01,82.40810
1978-05-01,83.05865
1978-06-01,83.68975
1978-07-01,80.15355
1978-08-01,76.38149
1978-09-01,76.92359
1978-10-01,77.07004
1978-11-01,78.17058
1978-12-01,79.96354
1979-01-01,82.56551
1979-02-01,82.01323
1979-03-01,84.09507
1979-04-01,85.20813
1979-05-01,85.64054
1979-06-01,87.40171
1979-07-01,84.86817
1979-08-01,83.71700
1979-09-01,83.86300
1979-10-01,85.44459
1979-11-01,86.43662
1979-12-01,86.36955
1980-01-01,86.30932
1980-02-01,84.99277
1980-03-01,87.81947
1980-04-01,86.07915
1980-05-01,81.12880
1980-06-01,81.53924
1980-07-01,79.84978
1980-08-01,79.54484
1980-09-01,80.76605
1980-10-01,83.07948
1980-11-01,84.71602
1980-12-01,85.40077
1981-01-01,86.34389
1981-02-01,84.68471
1981-03-01,85.22201
1981-04-01,86.03612
1981-05-01,85.55411
1981-06-01,86.19620
1981-07-01,84.60614
1981-08-01,82.88156
1981-09-01,87.02123
1981-10-01,88.72549
1981-11-01,89.52354
1981-12-01,90.49583
1982-01-01,90.08602
1982-02-01,88.92375
1982-03-01,91.55525
1982-04-01,92.15406
1982-05-01,90.87388
1982-06-01,91.17202
1982-07-01,88.63294
1982-08-01,86.96824
1982-09-01,88.85067
1982-10-01,90.45471
1982-11-01,91.35060
1982-12-01,91.77512
1983-01-01,79.38344
1983-02-01,78.97711
1983-03-01,82.34156
1983-04-01,83.97146
1983-05-01,85.36535
1983-06-01,87.55993
1983-07-01,87.24768
1983-08-01,84.73986
1983-09-01,83.39630
1983-10-01,83.26076
1983-11-01,83.06212
1983-12-01,83.89088
1984-01-01,82.62726
1984-02-01,81.42049
1984-03-01,80.36993
1984-04-01,80.52428
1984-05-01,81.33264
1984-06-01,82.48710
1984-07-01,82.01873
1984-08-01,79.97809
1984-09-01,81.19069
1984-10-01,79.77224
1984-11-01,80.90214
1984-12-01,82.59964
1985-01-01,84.25458
1985-02-01,83.67998
1985-03-01,81.34621
1985-04-01,81.42932
1985-05-01,80.72372
1985-06-01,82.18681
1985-07-01,80.22891
1985-08-01,78.50157
1985-09-01,80.14164
1985-10-01,72.12634
1985-11-01,69.12918
1985-12-01,71.08159
1986-01-01,72.10214
1986-02-01,70.94795
1986-03-01,73.05327
1986-04-01,73.08588
1986-05-01,73.73929
1986-06-01,74.70594
1986-07-01,73.07146
1986-08-01,72.72077
1986-09-01,74.25223
1986-10-01,75.58459
1986-11-01,74.88312
1986-12-01,74.05428
1987-01-01,73.41895
1987-02-01,73.33372
1987-03-01,74.79021
1987-04-01,75.51958
1987-05-01,75.12570
1987-06-01,76.62918
1987-07-01,74.40400
1987-08-01,73.20087
1987-09-01,73.86729
1987-10-01,75.21526
1987-11-01,75.05026
1987-12-01,75.57629
1988-01-01,74.66949
1988-02-01,73.82490
1988-03-01,75.70957
1988-04-01,76.71075
1988-05-01,76.67572
1988-06-01,77.18891
1988-07-01,76.23080
1988-08-01,75.50150
1988-09-01,76.81790
1988-10-01,77.85395
1988-11-01,77.52863
1988-12-01,77.74928
1989-01-01,76.88218
1989-02-01,75.61997
1989-03-01,76.73583
1989-04-01,76.51322
1989-05-01,76.16936
1989-06-01,76.36118
1989-07-01,75.91740
1989-08-01,75.84190
1989-09-01,77.98017
1989-10-01,77.85775
1989-11-01,77.98613
1989-12-01,79.32589
1990-01-01,78.72225
1990-02-01,77.34090
1990-03-01,78.79082
1990-04-01,78.42466
1990-05-01,79.50500
1990-06-01,81.44774
1990-07-01,80.79768
1990-08-01,80.96263
1990-09-01,83.09017
1990-10-01,83.40650
1990-11-01,83.51513
1990-12-01,83.78471
1991-01-01,81.61381
1991-02-01,80.62792
1991-03-01,80.31638
1991-04-01,81.13930
1991-05-01,80.18302
1991-06-01,81.45415
1991-07-01,80.61971
1991-08-01,80.17375
1991-09-01,82.92083
1991-10-01,83.55422
1991-11-01,84.18269
1991-12-01,85.17838
1992-01-01,84.10074
1992-02-01,83.25491
1992-03-01,84.59418
1992-04-01,84.47098
1992-05-01,83.15952
1992-06-01,82.72636
1992-07-01,81.29665
1992-08-01,82.19544
1992-09-01,85.22355
1992-10-01,86.11916
1992-11-01,85.19633
1992-12-01,85.39612
1993-01-01,84.36645
1993-02-01,84.09395
1993-03-01,86.15569
1993-04-01,86.50747
1993-05-01,85.89841
1993-06-01,85.43465
1993-07-01,82.94350
1993-08-01,82.02160
1993-09-01,83.39677
1993-10-01,83.71808
1993-11-01,84.61412
1993-12-01,84.80705
1994-01-01,83.60215
1994-02-01,82.88422
1994-03-01,84.78047
1994-04-01,84.79529
1994-05-01,84.86952
1994-06-01,84.53917
1994-07-01,84.40775
1994-08-01,84.79673
1994-09-01,86.33466
1994-10-01,86.54010
1994-11-01,86.24910
1994-12-01,86.94960
1995-01-01,86.45142
1995-02-01,85.83194
1995-03-01,88.24508
1995-04-01,89.14968
1995-05-01,88.61708
1995-06-01,89.01506
1995-07-01,87.23253
1995-08-01,86.41023
1995-09-01,87.74332
1995-10-01,87.98814
1995-11-01,87.52451
1995-12-01,88.01250
1996-01-01,87.28673
1996-02-01,86.18419
1996-03-01,88.58867
1996-04-01,89.97882
1996-05-01,90.78817
1996-06-01,91.24730
1996-07-01,90.30928
1996-08-01,89.64172
1996-09-01,91.28946
1996-10-01,92.36086
1996-11-01,91.88454
1996-12-01,91.66605
1997-01-01,90.89035
1997-02-01,89.81318
1997-03-01,90.51578
1997-04-01,90.20059
1997-05-01,89.50906
1997-06-01,89.76243
1997-07-01,87.78418
1997-08-01,87.35243
1997-09-01,89.09590
1997-10-01,90.16103
1997-11-01,91.27859
1997-12-01,92.22176
1998-01-01,91.10513
1998-02-01,90.10508
1998-03-01,86.63660
1998-04-01,84.48747
1998-05-01,86.24994
1998-06-01,88.18757
1998-07-01,87.88299
1998-08-01,87.38853
1998-09-01,88.12183
1998-10-01,88.74799
1998-11-01,90.11335
1998-12-01,90.63307
1999-01-01,90.73919
1999-02-01,90.04591
1999-03-01,91.13902
1999-04-01,90.44976
1999-05-01,90.21819
1999-06-01,89.88681
1999-07-01,87.87238
1999-08-01,87.64536
1999-09-01,88.39759
1999-10-01,88.31078
1999-11-01,87.52805
1999-12-01,86.97689
2000-01-01,85.54406
2000-02-01,84.03320
2000-03-01,85.07891
2000-04-01,84.43999
2000-05-01,83.63887
2000-06-01,84.18715
2000-07-01,82.33994
2000-08-01,81.32934
2000-09-01,81.42436
2000-10-01,81.74644
2000-11-01,82.10622
2000-12-01,83.34269
2001-01-01,83.36176
2001-02-01,82.55029
2001-03-01,84.07195
2001-04-01,84.42387
2001-05-01,83.54988
2001-06-01,82.83231
2001-07-01,81.84085
2001-08-01,82.95083
2001-09-01,84.66122
2001-10-01,84.84986
2001-11-01,84.22148
2001-12-01,85.00290
2002-01-01,84.28620
2002-02-01,82.80745
2002-03-01,84.72584
2002-04-01,85.24517
2002-05-01,85.85119
2002-06-01,86.77457
2002-07-01,85.96470
2002-08-01,85.79055
2002-09-01,87.26893
2002-10-01,87.75926
2002-11-01,87.94276
2002-12-01,88.67772
2003-01-01,88.90417
2003-02-01,89.02449
2003-03-01,90.94409
2003-04-01,91.01278
2003-05-01,92.68912
2003-06-01,92.55000
2003-07-01,90.04818
2003-08-01,89.40354
2003-09-01,90.83364
2003-10-01,91.81084
2003-11-01,92.00638
2003-12-01,93.28912
2004-01-01,92.79794
2004-02-01,92.09959
2004-03-01,93.27448
2004-04-01,92.61807
2004-05-01,93.35986
2004-06-01,93.11868
2004-07-01,91.52493
2004-08-01,91.07399
2004-09-01,92.81628
2004-10-01,93.61112
2004-11-01,94.13767
2004-12-01,94.62116
2005-01-01,94.23077
2005-02-01,92.31049
2005-03-01,94.19275
2005-04-01,94.33692
2005-05-01,93.96269
2005-06-01,92.77923
2005-07-01,91.57199
2005-08-01,91.15041
2005-09-01,92.63462
2005-10-01,92.90640
2005-11-01,92.40493
2005-12-01,92.68240
2006-01-01,92.61709
2006-02-01,90.65318
2006-03-01,92.80406
2006-04-01,93.42236
2006-05-01,94.10502
2006-06-01,94.24849
2006-07-01,93.52616
2006-08-01,92.67317
2006-09-01,93.97533
2006-10-01,94.16153
2006-11-01,94.16547
2006-12-01,94.61135
2007-01-01,93.88141
2007-02-01,92.42344
2007-03-01,94.52342
2007-04-01,94.92791
2007-05-01,94.83627
2007-06-01,94.41158
2007-07-01,93.73478
2007-08-01,92.84485
2007-09-01,94.77407
2007-10-01,95.22800
2007-11-01,96.12225
2007-12-01,96.05188
2008-01-01,95.70449
2008-02-01,94.36038
2008-03-01,97.26622
2008-04-01,97.97055
2008-05-01,97.79564
2008-06-01,97.24801
2008-07-01,96.19795
2008-08-01,94.21545
2008-09-01,95.59125
2008-10-01,94.88116
2008-11-01,94.76258
2008-12-01,96.34032
2009-01-01,96.29765
2009-02-01,95.28216
2009-03-01,97.68769
2009-04-01,97.19940
2009-05-01,97.49164
2009-06-01,97.68547
2009-07-01,97.10716
2009-08-01,96.26995
2009-09-01,98.49881
2009-10-01,98.91508
2009-11-01,99.26693
2009-12-01,98.73171
2010-01-01,96.88769
2010-02-01,94.90364
2010-03-01,97.09066
