DATE,CCRETT01HUM661N_NBD19930101
1993-01-01,100.00000
1993-02-01,100.48713
1993-03-01,99.55923
1993-04-01,96.47824
1993-05-01,96.47077
1993-06-01,94.99742
1993-07-01,93.45382
1993-08-01,93.19364
1993-09-01,94.21984
1993-10-01,92.05877
1993-11-01,92.87431
1993-12-01,93.71034
1994-01-01,96.01372
1994-02-01,95.35135
1994-03-01,94.33276
1994-04-01,95.03911
1994-05-01,94.73499
1994-06-01,94.19789
1994-07-01,94.05192
1994-08-01,89.04607
1994-09-01,89.64542
1994-10-01,90.79490
1994-11-01,91.90129
1994-12-01,92.47761
1995-01-01,93.79109
1995-02-01,94.48953
1995-03-01,90.58427
1995-04-01,88.27767
1995-05-01,88.25866
1995-06-01,87.00964
1995-07-01,86.17509
1995-08-01,85.65795
1995-09-01,85.89200
1995-10-01,85.60955
1995-11-01,85.58707
1995-12-01,85.40075
1996-01-01,87.75255
1996-02-01,88.02912
1996-03-01,88.75340
1996-04-01,89.36316
1996-05-01,90.30054
1996-06-01,90.17995
1996-07-01,89.20601
1996-08-01,88.08529
1996-09-01,88.72035
1996-10-01,89.19879
1996-11-01,88.99272
1996-12-01,88.96707
1997-01-01,92.76733
1997-02-01,93.99981
1997-03-01,94.49278
1997-04-01,94.61737
1997-05-01,94.27257
1997-06-01,94.75061
1997-07-01,93.50127
1997-08-01,92.69412
1997-09-01,93.01256
1997-10-01,92.71902
1997-11-01,93.07218
1997-12-01,93.74729
1998-01-01,96.13223
1998-02-01,96.18253
1998-03-01,96.36934
1998-04-01,96.10767
1998-05-01,96.19022
1998-06-01,95.05404
1998-07-01,94.05090
1998-08-01,93.05260
1998-09-01,93.17915
1998-10-01,93.59786
1998-11-01,94.54666
1998-12-01,95.19301
1999-01-01,99.03096
1999-02-01,100.07922
1999-03-01,99.31134
1999-04-01,100.34596
1999-05-01,101.48070
1999-06-01,101.64015
1999-07-01,101.19051
1999-08-01,100.77972
1999-09-01,100.16731
1999-10-01,100.05655
1999-11-01,100.74345
1999-12-01,100.78529
2000-01-01,102.05272
2000-02-01,101.73618
2000-03-01,101.44889
2000-04-01,101.46790
2000-05-01,100.53491
2000-06-01,101.43465
2000-07-01,101.81070
2000-08-01,101.19703
2000-09-01,100.30431
2000-10-01,100.37686
2000-11-01,100.18234
2000-12-01,100.71329
2001-01-01,103.67676
2001-02-01,103.78155
2001-03-01,104.30683
2001-04-01,103.68649
2001-05-01,107.01949
2001-06-01,111.18378
2001-07-01,111.18802
2001-08-01,111.24992
2001-09-01,110.00650
2001-10-01,110.33683
2001-11-01,111.49272
2001-12-01,112.87623
2002-01-01,115.50396
2002-02-01,115.94215
2002-03-01,116.17099
2002-04-01,117.92653
2002-05-01,118.64179
2002-06-01,119.75013
2002-07-01,119.22054
2002-08-01,118.89899
2002-09-01,120.08006
2002-10-01,120.88030
2002-11-01,123.87317
2002-12-01,124.91887
2003-01-01,124.79138
2003-02-01,123.61063
2003-03-01,124.32012
2003-04-01,124.39509
2003-05-01,126.47934
2003-06-01,119.52836
2003-07-01,117.92165
2003-08-01,118.80391
2003-09-01,120.83478
2003-10-01,122.75139
2003-11-01,121.30188
2003-12-01,119.85080
2004-01-01,122.91405
2004-02-01,124.66850
2004-03-01,128.64925
2004-04-01,129.50524
2004-05-01,128.95772
2004-06-01,129.05607
2004-07-01,130.67689
2004-08-01,130.45784
2004-09-01,131.06406
2004-10-01,132.44662
2004-11-01,133.47600
2004-12-01,132.87641
2005-01-01,133.08527
2005-02-01,133.39685
2005-03-01,133.70823
2005-04-01,132.62910
2005-05-01,130.55013
2005-06-01,130.93694
2005-07-01,132.09175
2005-08-01,132.48962
