DATE,CCRETT01INM661N_NBD19700101
1970-01-01,100.00000
1970-02-01,99.63348
1970-03-01,100.15790
1970-04-01,100.35944
1970-05-01,101.28639
1970-06-01,101.99755
1970-07-01,102.03111
1970-08-01,102.53331
1970-09-01,102.50278
1970-10-01,102.42126
1970-11-01,101.93181
1970-12-01,99.87822
1971-01-01,97.98195
1971-02-01,97.41530
1971-03-01,97.03716
1971-04-01,96.30481
1971-05-01,95.48423
1971-06-01,96.47308
1971-07-01,97.48014
1971-08-01,98.61087
1971-09-01,98.20226
1971-10-01,96.89697
1971-11-01,97.15149
1971-12-01,95.89972
1972-01-01,93.89891
1972-02-01,93.50869
1972-03-01,93.90867
1972-04-01,93.61440
1972-05-01,93.72880
1972-06-01,94.59471
1972-07-01,92.10661
1972-08-01,92.83157
1972-09-01,92.59463
1972-10-01,91.10140
1972-11-01,90.02896
1972-12-01,89.39282
1973-01-01,88.69558
1973-02-01,88.44522
1973-03-01,87.41212
1973-04-01,89.15491
1973-05-01,91.95841
1973-06-01,92.77520
1973-07-01,92.75660
1973-08-01,92.96402
1973-09-01,90.86618
1973-10-01,91.93001
1973-11-01,94.31677
1973-12-01,92.69179
1974-01-01,92.33328
1974-02-01,92.24375
1974-03-01,94.44321
1974-04-01,96.02898
1974-05-01,98.96123
1974-06-01,100.75985
1974-07-01,103.46061
1974-08-01,106.06534
1974-09-01,108.38766
1974-10-01,107.01381
1974-11-01,104.55513
1974-12-01,101.27193
1975-01-01,100.95220
1975-02-01,99.11256
1975-03-01,97.43891
1975-04-01,96.05564
1975-05-01,93.87515
1975-06-01,92.47423
1975-07-01,90.08380
1975-08-01,87.96475
1975-09-01,86.74794
1975-10-01,84.91959
1975-11-01,84.11579
1975-12-01,81.63915
1976-01-01,78.95084
1976-02-01,76.14095
1976-03-01,75.21249
1976-04-01,74.77766
1976-05-01,74.77382
1976-06-01,75.41242
1976-07-01,77.33240
1976-08-01,76.81762
1976-09-01,76.14443
1976-10-01,77.26378
1976-11-01,77.72705
1976-12-01,77.66628
1977-01-01,76.38428
1977-02-01,76.48615
1977-03-01,76.48773
1977-04-01,75.53917
1977-05-01,76.17297
1977-06-01,76.04289
1977-07-01,76.14116
1977-08-01,77.46018
1977-09-01,78.37062
1977-10-01,77.51715
1977-11-01,75.68497
1977-12-01,75.23597
1978-01-01,75.85429
1978-02-01,74.06598
1978-03-01,71.95104
1978-04-01,69.28169
1978-05-01,69.48088
1978-06-01,70.92953
1978-07-01,71.67634
1978-08-01,70.20458
1978-09-01,70.83178
1978-10-01,69.94215
1978-11-01,68.69609
1978-12-01,67.81746
1979-01-01,66.20457
1979-02-01,65.27578
1979-03-01,65.86120
1979-04-01,66.68511
1979-05-01,66.78023
1979-06-01,68.21548
1979-07-01,68.83587
1979-08-01,68.82081
1979-09-01,67.96036
1979-10-01,67.54408
1979-11-01,68.86601
1979-12-01,68.92290
1980-01-01,67.90026
1980-02-01,67.24994
1980-03-01,68.09109
1980-04-01,68.34864
1980-05-01,67.78697
1980-06-01,67.32016
1980-07-01,68.65048
1980-08-01,69.59767
1980-09-01,69.62967
1980-10-01,70.30120
1980-11-01,71.69122
1980-12-01,70.60486
1981-01-01,69.79119
1981-02-01,70.83606
1981-03-01,70.60124
1981-04-01,71.98098
1981-05-01,73.62637
1981-06-01,74.30559
1981-07-01,74.36739
1981-08-01,75.27091
1981-09-01,72.50549
1981-10-01,71.28260
1981-11-01,70.51023
1981-12-01,70.14297
1982-01-01,70.43565
1982-02-01,71.44448
1982-03-01,71.59318
1982-04-01,71.52573
1982-05-01,70.59133
1982-06-01,72.93746
1982-07-01,74.26057
1982-08-01,75.85975
1982-09-01,75.77015
1982-10-01,76.48237
1982-11-01,77.15066
1982-12-01,75.46365
1983-01-01,73.42066
1983-02-01,74.20503
1983-03-01,74.54489
1983-04-01,75.06461
1983-05-01,76.38142
1983-06-01,79.00406
1983-07-01,80.32978
1983-08-01,82.07524
1983-09-01,82.20059
1983-10-01,81.00124
1983-11-01,81.49471
1983-12-01,81.18447
1984-01-01,80.45460
1984-02-01,78.13148
1984-03-01,75.80164
1984-04-01,75.65721
1984-05-01,76.25097
1984-06-01,77.88599
1984-07-01,79.54438
1984-08-01,78.36215
1984-09-01,78.69682
1984-10-01,78.01636
1984-11-01,77.23488
1984-12-01,76.61250
1985-01-01,75.92101
1985-02-01,75.20967
1985-03-01,74.85973
1985-04-01,75.08105
1985-05-01,75.57804
1985-06-01,75.97528
1985-07-01,77.20696
1985-08-01,76.81341
1985-09-01,75.94521
1985-10-01,73.80272
1985-11-01,72.80839
1985-12-01,71.45054
1986-01-01,69.59270
1986-02-01,67.23254
1986-03-01,66.90619
1986-04-01,66.42039
1986-05-01,65.55301
1986-06-01,65.80299
1986-07-01,65.84058
1986-08-01,64.64091
1986-09-01,64.11522
1986-10-01,63.99998
1986-11-01,64.20901
1986-12-01,62.86011
1987-01-01,60.51588
1987-02-01,59.43832
1987-03-01,59.48109
1987-04-01,58.85232
1987-05-01,59.64078
1987-06-01,60.84585
1987-07-01,61.61267
1987-08-01,62.12903
1987-09-01,61.71518
1987-10-01,61.61851
1987-11-01,59.48006
1987-12-01,57.72675
1988-01-01,57.53110
1988-02-01,58.00497
1988-03-01,57.59669
1988-04-01,56.64838
1988-05-01,56.90923
1988-06-01,57.13867
1988-07-01,58.72442
1988-08-01,59.01683
1988-09-01,58.07932
1988-10-01,56.82313
1988-11-01,54.27016
1988-12-01,53.29834
1989-01-01,53.80789
1989-02-01,53.47451
1989-03-01,53.25429
1989-04-01,52.60465
1989-05-01,54.46037
1989-06-01,53.61050
1989-07-01,51.44475
1989-08-01,52.60010
1989-09-01,52.44007
1989-10-01,50.73020
1989-11-01,50.02737
1989-12-01,49.52738
1990-01-01,48.32508
1990-02-01,48.07313
1990-03-01,48.91532
1990-04-01,48.78847
1990-05-01,48.06347
1990-06-01,48.47057
1990-07-01,47.82980
1990-08-01,46.33137
1990-09-01,44.30937
1990-10-01,43.41225
1990-11-01,43.77619
1990-12-01,44.70513
1991-01-01,45.27193
1991-02-01,43.59875
1991-03-01,44.29679
1991-04-01,44.34534
1991-05-01,43.30648
1991-06-01,43.78087
1991-07-01,36.22061
1991-08-01,36.05484
1991-09-01,35.93186
1991-10-01,35.48624
1991-11-01,35.25212
1991-12-01,35.06303
1992-01-01,35.08665
1992-02-01,35.76144
1992-03-01,36.80735
1992-04-01,36.84238
1992-05-01,37.00861
1992-06-01,35.85193
1992-07-01,35.05214
1992-08-01,34.68870
1992-09-01,34.65022
1992-10-01,36.11715
1992-11-01,37.70588
1992-12-01,37.16210
1993-01-01,33.86073
1993-02-01,33.14619
1993-03-01,31.12095
1993-04-01,30.95480
1993-05-01,30.87611
1993-06-01,31.31848
1993-07-01,32.01927
1993-08-01,31.84679
1993-09-01,31.75633
1993-10-01,32.42153
1993-11-01,32.85094
1993-12-01,33.25656
1994-01-01,33.72467
1994-02-01,33.46965
1994-03-01,33.78473
1994-04-01,33.48787
1994-05-01,33.54284
1994-06-01,33.43841
1994-07-01,32.89801
1994-08-01,32.82465
1994-09-01,32.97768
1994-10-01,32.46109
1994-11-01,33.03765
1994-12-01,33.38669
1995-01-01,33.12443
1995-02-01,33.42617
1995-03-01,32.19762
1995-04-01,31.97643
1995-05-01,32.49711
1995-06-01,32.47143
1995-07-01,33.05548
1995-08-01,33.60150
1995-09-01,32.16966
1995-10-01,30.75234
1995-11-01,30.70147
1995-12-01,30.68398
1996-01-01,30.36296
1996-02-01,29.69351
1996-03-01,32.05975
1996-04-01,32.70843
1996-05-01,32.55843
1996-06-01,32.66779
1996-07-01,32.16806
1996-08-01,32.16448
1996-09-01,32.29605
1996-10-01,32.69994
1996-11-01,32.29323
1996-12-01,33.53510
1997-01-01,34.17639
1997-02-01,35.02210
1997-03-01,35.28119
1997-04-01,35.26970
1997-05-01,34.96725
1997-06-01,35.15671
1997-07-01,35.40999
1997-08-01,36.26000
1997-09-01,35.82295
1997-10-01,36.22497
1997-11-01,35.26698
1997-12-01,35.73766
1998-01-01,38.87887
1998-02-01,38.61022
1998-03-01,37.50792
1998-04-01,37.31392
1998-05-01,37.25978
1998-06-01,36.84834
1998-07-01,37.61227
1998-08-01,37.53756
1998-09-01,37.93296
1998-10-01,37.76117
1998-11-01,38.13842
1998-12-01,37.69547
1999-01-01,37.24130
1999-02-01,37.61567
1999-03-01,37.90012
1999-04-01,37.86269
1999-05-01,37.78716
1999-06-01,37.78241
1999-07-01,37.64358
1999-08-01,37.09072
1999-09-01,37.43733
1999-10-01,37.09758
1999-11-01,37.80607
1999-12-01,37.54526
2000-01-01,37.62847
2000-02-01,38.24767
2000-03-01,38.97593
