DATE,CCRETT01ILM661N_NBD19970101
1997-01-01,100.00000
1997-02-01,101.73596
1997-03-01,102.28176
1997-04-01,102.41174
1997-05-01,102.02586
1997-06-01,101.98308
1997-07-01,101.90510
1997-08-01,104.53635
1997-09-01,103.81191
1997-10-01,103.77200
1997-11-01,102.49239
1997-12-01,104.43043
1998-01-01,105.17592
1998-02-01,103.67624
1998-03-01,103.71838
1998-04-01,101.10027
1998-05-01,101.68795
1998-06-01,103.11069
1998-07-01,103.32429
1998-08-01,102.57841
1998-09-01,97.76205
1998-10-01,90.16931
1998-11-01,91.56579
1998-12-01,92.33285
1999-01-01,94.38724
1999-02-01,95.74295
1999-03-01,97.66273
1999-04-01,97.71437
1999-05-01,97.07984
1999-06-01,99.04515
1999-07-01,99.25034
1999-08-01,95.68200
1999-09-01,94.72311
1999-10-01,93.85070
1999-11-01,96.13590
1999-12-01,97.55648
2000-01-01,98.70194
2000-02-01,100.96078
2000-03-01,102.31794
2000-04-01,102.61037
2000-05-01,103.19706
2000-06-01,101.96351
2000-07-01,103.18761
2000-08-01,105.31592
2000-09-01,106.52713
2000-10-01,106.41642
2000-11-01,106.18560
2000-12-01,104.47488
2001-01-01,100.92432
2001-02-01,101.52356
2001-03-01,101.92734
2001-04-01,103.33025
2001-05-01,104.85569
2001-06-01,105.81500
2001-07-01,105.39785
2001-08-01,102.51517
2001-09-01,99.49898
2001-10-01,100.59164
2001-11-01,102.69113
2001-12-01,101.64949
2002-01-01,97.27518
2002-02-01,95.76217
2002-03-01,95.22022
2002-04-01,92.92733
2002-05-01,90.21038
2002-06-01,88.95270
2002-07-01,92.03014
2002-08-01,93.25431
2002-09-01,91.22591
2002-10-01,91.20061
2002-11-01,91.18579
2002-12-01,89.85059
2003-01-01,85.31339
2003-02-01,84.04745
2003-03-01,85.35470
2003-04-01,87.92331
2003-05-01,87.21837
2003-06-01,87.98883
2003-07-01,88.59076
2003-08-01,87.67899
2003-09-01,86.01416
2003-10-01,84.46245
2003-11-01,83.31662
2003-12-01,82.85994
2004-01-01,80.55499
2004-02-01,79.31003
2004-03-01,79.20027
2004-04-01,79.80160
2004-05-01,79.73189
2004-06-01,80.34142
2004-07-01,80.13659
2004-08-01,79.79785
2004-09-01,80.21229
2004-10-01,79.52799
2004-11-01,78.36829
2004-12-01,77.90236
2005-01-01,77.34629
2005-02-01,77.22866
2005-03-01,77.00779
2005-04-01,77.27594
2005-05-01,78.19212
2005-06-01,77.95609
2005-07-01,77.65897
2005-08-01,77.53801
2005-09-01,76.74582
2005-10-01,76.69755
2005-11-01,76.28185
2005-12-01,77.28884
2006-01-01,75.43657
2006-02-01,74.73775
2006-03-01,74.83815
2006-04-01,75.80751
2006-05-01,75.97302
2006-06-01,77.01286
2006-07-01,77.54986
2006-08-01,77.67940
2006-09-01,77.85107
2006-10-01,79.19323
2006-11-01,77.37567
2006-12-01,77.88568
2007-01-01,77.67628
2007-02-01,76.88466
2007-03-01,76.58192
2007-04-01,77.80635
2007-05-01,78.94118
2007-06-01,75.90598
2007-07-01,74.31641
2007-08-01,75.65884
2007-09-01,76.78305
2007-10-01,76.67459
2007-11-01,77.13828
2007-12-01,77.99467
2008-01-01,80.31086
2008-02-01,82.76025
2008-03-01,83.07000
2008-04-01,83.17857
2008-05-01,87.05581
2008-06-01,87.20506
2008-07-01,86.89049
2008-08-01,85.35489
2008-09-01,88.19127
2008-10-01,89.13592
2008-11-01,86.51284
2008-12-01,85.61017
2009-01-01,84.91156
2009-02-01,82.67413
2009-03-01,81.45226
2009-04-01,80.45405
2009-05-01,81.04835
2009-06-01,82.83366
2009-07-01,84.66630
2009-08-01,85.57344
2009-09-01,85.73254
2009-10-01,85.71015
2009-11-01,84.09847
2009-12-01,84.72139
2010-01-01,85.90862
2010-02-01,86.28787
2010-03-01,86.32695
2010-04-01,87.53058
2010-05-01,88.65277
2010-06-01,88.81424
2010-07-01,87.09349
2010-08-01,88.05392
2010-09-01,88.68490
2010-10-01,88.82844
2010-11-01,88.44653
2010-12-01,90.98884
2011-01-01,90.45306
2011-02-01,87.65622
2011-03-01,88.64571
2011-04-01,90.61257
2011-05-01,89.99142
2011-06-01,91.63963
2011-07-01,91.23542
2011-08-01,88.38710
2011-09-01,86.89152
2011-10-01,87.85133
2011-11-01,86.79391
2011-12-01,86.88793
2012-01-01,85.93281
2012-02-01,85.61472
2012-03-01,85.31977
2012-04-01,86.26316
2012-05-01,85.95264
2012-06-01,85.58669
2012-07-01,83.76325
2012-08-01,83.33670
2012-09-01,83.22012
2012-10-01,84.18721
2012-11-01,83.61242
2012-12-01,85.42416
2013-01-01,85.71816
2013-02-01,86.28012
2013-03-01,87.81976
2013-04-01,89.44870
2013-05-01,89.42096
2013-06-01,90.18491
2013-07-01,91.52746
2013-08-01,92.02638
2013-09-01,91.97279
2013-10-01,91.70557
2013-11-01,92.08497
2013-12-01,92.55528
2014-01-01,92.79959
2014-02-01,91.78403
2014-03-01,92.37684
2014-04-01,92.06213
2014-05-01,92.09031
2014-06-01,92.91739
2014-07-01,93.87044
2014-08-01,92.62302
2014-09-01,90.15096
2014-10-01,89.06827
2014-11-01,87.84528
2014-12-01,87.14079
2015-01-01,88.37337
2015-02-01,89.28278
2015-03-01,88.58083
2015-04-01,89.67913
2015-05-01,90.33208
2015-06-01,91.72931
2015-07-01,93.67661
2015-08-01,93.13769
2015-09-01,91.60438
2015-10-01,91.99198
2015-11-01,92.80365
2015-12-01,93.13529
2016-01-01,92.12438
2016-02-01,91.55220
2016-03-01,91.24551
2016-04-01,92.36100
2016-05-01,92.05830
2016-06-01,91.37029
2016-07-01,92.39222
2016-08-01,92.89133
2016-09-01,93.40469
2016-10-01,93.18382
2016-11-01,93.68144
2016-12-01,95.09430
2017-01-01,94.50295
2017-02-01,95.88683
2017-03-01,97.93701
2017-04-01,97.44676
2017-05-01,98.06133
2017-06-01,98.29264
2017-07-01,96.76766
2017-08-01,94.25449
2017-09-01,95.20538
2017-10-01,96.96320
2017-11-01,96.70649
2017-12-01,96.46915
2018-01-01,95.92307
2018-02-01,92.98744
2018-03-01,94.05269
2018-04-01,93.01897
2018-05-01,94.14534
2018-06-01,94.67956
2018-07-01,94.34777
2018-08-01,95.57381
2018-09-01,97.61438
2018-10-01,96.08307
2018-11-01,94.71356
2018-12-01,93.04712
2019-01-01,93.98369
2019-02-01,95.26043
2019-03-01,95.91197
2019-04-01,96.84347
2019-05-01,98.26040
2019-06-01,96.91353
2019-07-01,97.69314
2019-08-01,99.82539
2019-09-01,99.61078
2019-10-01,99.57493
2019-11-01,99.77320
2019-12-01,99.47007
2020-01-01,98.96268
2020-02-01,100.55804
2020-03-01,97.50952
2020-04-01,99.65261
2020-05-01,100.82520
2020-06-01,100.39497
2020-07-01,100.44069
2020-08-01,99.99674
2020-09-01,99.37177
2020-10-01,100.33972
2020-11-01,100.49003
2020-12-01,101.82846
2021-01-01,101.29604
2021-02-01,99.49666
2021-03-01,100.19697
2021-04-01,101.43386
2021-05-01,100.90549
2021-06-01,101.45595
2021-07-01,102.02357
2021-08-01,103.56959
2021-09-01,104.00272
2021-10-01,104.03993
2021-11-01,108.17281
2021-12-01,109.19579
2022-01-01,107.55629
2022-02-01,104.49785
2022-03-01,105.21355
2022-04-01,105.51674
2022-05-01,102.91428
2022-06-01,102.05993
2022-07-01,103.19417
2022-08-01,108.17354
2022-09-01,105.20029
2022-10-01,103.16998
2022-11-01,103.21320
2022-12-01,102.07577
2023-01-01,100.22137
2023-02-01,98.12377
2023-03-01,96.44749
2023-04-01,95.84300
2023-05-01,95.50044
2023-06-01,97.44809
2023-07-01,96.29957
2023-08-01,95.07440
2023-09-01,93.86000
2023-10-01,91.02056
2023-11-01,93.53793
2023-12-01,96.38509
