DATE,CCRETT01ITM661N_NBD19700101
1970-01-01,100.00000
1970-02-01,100.45703
1970-03-01,100.23472
1970-04-01,99.78448
1970-05-01,99.95202
1970-06-01,99.84983
1970-07-01,99.67536
1970-08-01,100.00866
1970-09-01,100.80027
1970-10-01,101.03833
1970-11-01,101.39475
1970-12-01,101.21227
1971-01-01,100.61388
1971-02-01,100.19923
1971-03-01,100.35807
1971-04-01,100.06839
1971-05-01,99.16987
1971-06-01,98.12654
1971-07-01,97.90786
1971-08-01,97.60250
1971-09-01,97.65085
1971-10-01,97.09479
1971-11-01,97.10930
1971-12-01,97.36736
1972-01-01,96.95550
1972-02-01,96.60881
1972-03-01,96.64764
1972-04-01,96.44222
1972-05-01,97.17789
1972-06-01,97.27581
1972-07-01,97.25310
1972-08-01,97.77064
1972-09-01,98.18159
1972-10-01,99.02303
1972-11-01,98.93557
1972-12-01,99.36372
1973-01-01,98.99893
1973-02-01,96.26489
1973-03-01,93.03375
1973-04-01,90.48907
1973-05-01,89.90245
1973-06-01,84.78657
1973-07-01,82.48028
1973-08-01,86.25206
1973-09-01,87.80376
1973-10-01,86.82491
1973-11-01,87.07039
1973-12-01,87.72960
1974-01-01,87.23379
1974-02-01,84.79371
1974-03-01,86.23959
1974-04-01,84.97114
1974-05-01,84.50539
1974-06-01,83.95250
1974-07-01,85.58532
1974-08-01,86.76274
1974-09-01,88.44218
1974-10-01,86.97871
1974-11-01,86.34652
1974-12-01,85.28676
1975-01-01,85.48727
1975-02-01,85.78641
1975-03-01,85.51775
1975-04-01,86.72931
1975-05-01,86.63056
1975-06-01,86.77502
1975-07-01,87.30008
1975-08-01,87.82284
1975-09-01,88.03801
1975-10-01,87.70600
1975-11-01,88.27286
1975-12-01,88.92624
1976-01-01,86.41825
1976-02-01,79.81223
1976-03-01,76.02648
1976-04-01,72.84382
1976-05-01,76.42302
1976-06-01,77.67891
1976-07-01,79.05903
1976-08-01,79.14687
1976-09-01,78.80054
1976-10-01,79.15794
1976-11-01,79.23481
1976-12-01,78.27090
1977-01-01,77.59085
1977-02-01,78.48987
1977-03-01,78.55429
1977-04-01,78.32438
1977-05-01,78.68545
1977-06-01,78.73261
1977-07-01,77.89173
1977-08-01,78.95755
1977-09-01,79.81325
1977-10-01,79.59621
1977-11-01,79.48810
1977-12-01,77.74749
1978-01-01,76.89758
1978-02-01,77.90916
1978-03-01,77.86974
1978-04-01,77.57833
1978-05-01,78.48747
1978-06-01,78.74251
1978-07-01,78.41180
1978-08-01,77.55589
1978-09-01,78.47491
1978-10-01,77.19705
1978-11-01,76.93996
1978-12-01,76.71413
1979-01-01,76.88371
1979-02-01,77.55159
1979-03-01,77.96074
1979-04-01,79.12391
1979-05-01,79.33953
1979-06-01,79.19367
1979-07-01,79.22761
1979-08-01,80.18989
1979-09-01,81.52525
1979-10-01,81.30563
1979-11-01,81.75049
1979-12-01,82.73950
1980-01-01,84.37518
1980-02-01,85.23977
1980-03-01,84.19558
1980-04-01,83.41372
1980-05-01,84.04000
1980-06-01,83.91754
1980-07-01,84.29286
1980-08-01,84.83869
1980-09-01,85.45885
1980-10-01,85.53270
1980-11-01,86.04077
1980-12-01,84.73699
1981-01-01,84.61025
1981-02-01,84.39841
1981-03-01,83.67278
1981-04-01,82.29837
1981-05-01,82.48593
1981-06-01,82.30734
1981-07-01,81.89113
1981-08-01,82.01548
1981-09-01,82.87505
1981-10-01,81.54786
