DATE,CCRETT01KRM661N_NBD19700101
1970-01-01,100.00000
1970-02-01,101.94483
1970-03-01,103.13407
1970-04-01,103.15932
1970-05-01,102.27342
1970-06-01,99.96736
1970-07-01,99.88241
1970-08-01,100.52978
1970-09-01,101.83171
1970-10-01,101.62284
1970-11-01,101.25230
1970-12-01,104.17851
1971-01-01,104.83157
1971-02-01,106.79769
1971-03-01,108.29854
1971-04-01,104.28686
1971-05-01,101.83560
1971-06-01,101.23658
1971-07-01,90.57736
1971-08-01,90.86771
1971-09-01,89.46757
1971-10-01,86.40057
1971-11-01,86.30639
1971-12-01,85.33456
1972-01-01,82.45156
1972-02-01,84.41356
1972-03-01,86.14193
1972-04-01,82.76335
1972-05-01,82.77649
1972-06-01,83.07196
1972-07-01,82.94318
1972-08-01,83.69027
1972-09-01,83.35140
1972-10-01,82.04993
1972-11-01,80.61800
1972-12-01,80.17543
1973-01-01,78.86203
1973-02-01,74.26182
1973-03-01,69.56753
1973-04-01,69.64479
1973-05-01,68.85116
1973-06-01,67.79129
1973-07-01,67.15827
1973-08-01,67.67003
1973-09-01,67.23146
1973-10-01,66.93690
1973-11-01,69.52920
1973-12-01,70.67633
1974-01-01,74.36540
1974-02-01,75.26063
1974-03-01,75.46610
1974-04-01,74.51330
1974-05-01,74.41590
1974-06-01,74.13961
1974-07-01,75.87279
1974-08-01,79.60681
1974-09-01,79.47907
1974-10-01,77.28121
1974-11-01,77.57210
1974-12-01,66.90128
1975-01-01,65.82369
1975-02-01,65.49226
1975-03-01,65.64388
1975-04-01,67.59309
1975-05-01,69.39047
1975-06-01,70.43234
1975-07-01,72.22370
1975-08-01,74.55333
1975-09-01,76.34803
1975-10-01,76.87815
1975-11-01,76.37076
1975-12-01,77.22258
1976-01-01,76.57603
1976-02-01,76.48220
1976-03-01,77.63654
1976-04-01,77.20944
1976-05-01,77.41744
1976-06-01,78.08905
1976-07-01,78.47824
1976-08-01,78.74844
1976-09-01,77.50826
1976-10-01,76.75813
1976-11-01,77.11115
1976-12-01,76.82713
1977-01-01,76.18138
1977-02-01,76.54180
1977-03-01,76.47027
1977-04-01,74.67670
1977-05-01,75.22646
1977-06-01,75.13137
1977-07-01,74.56095
1977-08-01,75.71025
1977-09-01,75.27422
1977-10-01,72.62720
1977-11-01,71.35582
1977-12-01,71.01763
1978-01-01,72.39161
1978-02-01,73.19049
1978-03-01,71.93049
1978-04-01,69.42680
1978-05-01,70.84582
1978-06-01,70.36076
1978-07-01,67.98723
1978-08-01,65.31257
1978-09-01,66.29370
1978-10-01,64.77844
1978-11-01,67.28239
1978-12-01,68.37001
1979-01-01,68.77207
1979-02-01,71.64208
1979-03-01,73.45241
1979-04-01,76.61692
1979-05-01,78.86520
1979-06-01,79.15466
1979-07-01,77.66977
1979-08-01,78.45798
1979-09-01,79.31434
1979-10-01,80.77699
1979-11-01,84.80244
1979-12-01,85.02417
1980-01-01,76.58769
1980-02-01,75.95262
1980-03-01,79.40459
1980-04-01,78.58414
1980-05-01,75.21086
1980-06-01,73.01503
1980-07-01,72.79295
1980-08-01,73.59943
1980-09-01,72.09427
1980-10-01,70.82964
1980-11-01,70.06595
1980-12-01,71.61363
1981-01-01,70.62441
1981-02-01,71.81484
1981-03-01,72.91277
1981-04-01,73.85405
1981-05-01,76.10502
1981-06-01,78.81119
1981-07-01,81.02480
1981-08-01,82.40488
1981-09-01,81.32701
1981-10-01,80.38809
1981-11-01,77.72314
1981-12-01,76.51122
1982-01-01,76.71710
1982-02-01,78.72739
1982-03-01,79.95976
1982-04-01,79.67550
1982-05-01,77.68540
1982-06-01,79.38556
1982-07-01,80.39501
1982-08-01,80.75155
1982-09-01,81.20953
1982-10-01,82.24645
1982-11-01,81.32840
1982-12-01,78.37055
1983-01-01,77.02887
1983-02-01,78.06605
1983-03-01,77.98804
1983-04-01,76.73585
1983-05-01,75.87648
1983-06-01,76.27680
1983-07-01,76.03961
1983-08-01,76.30389
1983-09-01,75.41030
1983-10-01,73.43438
1983-11-01,73.39226
1983-12-01,73.68485
1984-01-01,73.87365
1984-02-01,73.75504
1984-03-01,72.81230
1984-04-01,72.71928
1984-05-01,73.13250
1984-06-01,73.11722
1984-07-01,73.98122
1984-08-01,74.59897
1984-09-01,75.61102
1984-10-01,74.95365
1984-11-01,74.05092
1984-12-01,74.46108
1985-01-01,75.08926
1985-02-01,76.23888
1985-03-01,74.75241
1985-04-01,71.70682
1985-05-01,71.33013
1985-06-01,70.46984
1985-07-01,68.68005
1985-08-01,67.30914
1985-09-01,67.49005
1985-10-01,63.76672
1985-11-01,61.87238
1985-12-01,61.58875
1986-01-01,61.23158
1986-02-01,59.44371
1986-03-01,58.83023
1986-04-01,58.30606
1986-05-01,57.07123
1986-06-01,56.95834
1986-07-01,55.92129
1986-08-01,55.11465
1986-09-01,55.37395
1986-10-01,55.08511
1986-11-01,56.34968
1986-12-01,56.44199
1987-01-01,54.69912
1987-02-01,54.80018
1987-03-01,54.80267
1987-04-01,53.59027
1987-05-01,53.72738
1987-06-01,55.88031
1987-07-01,58.09215
1987-08-01,58.34613
1987-09-01,57.30488
1987-10-01,57.49856
1987-11-01,55.91199
1987-12-01,54.96686
1988-01-01,55.80010
1988-02-01,58.25495
1988-03-01,59.67353
