DATE,CCRETT01PLM661N_NBD19930101
1993-01-01,100.00000
1993-02-01,101.94818
1993-03-01,102.22840
1993-04-01,101.59404
1993-05-01,101.56043
1993-06-01,101.21856
1993-07-01,101.59326
1993-08-01,100.42587
1993-09-01,93.54718
1993-10-01,93.86073
1993-11-01,96.63292
1993-12-01,100.40194
1994-01-01,101.02193
1994-02-01,99.69703
1994-03-01,99.50536
1994-04-01,100.41863
1994-05-01,99.52622
1994-06-01,99.89644
1994-07-01,98.71034
1994-08-01,98.44953
1994-09-01,100.73122
1994-10-01,101.60519
1994-11-01,102.02734
1994-12-01,102.71521
1995-01-01,104.38114
1995-02-01,104.42553
1995-03-01,104.31804
1995-04-01,104.85409
1995-05-01,107.48975
1995-06-01,109.46669
1995-07-01,106.40950
1995-08-01,105.90775
1995-09-01,108.75584
1995-10-01,108.89329
1995-11-01,108.74586
1995-12-01,109.68489
1996-01-01,114.24751
1996-02-01,114.09909
1996-03-01,114.39957
1996-04-01,115.86029
1996-05-01,116.31934
1996-06-01,115.37236
1996-07-01,113.74751
1996-08-01,112.56130
1996-09-01,113.73885
1996-10-01,114.47674
1996-11-01,114.94045
1996-12-01,116.57589
1997-01-01,119.17076
1997-02-01,120.38547
1997-03-01,120.56310
1997-04-01,120.61683
1997-05-01,118.63614
1997-06-01,119.00009
1997-07-01,115.74806
1997-08-01,115.41928
1997-09-01,115.46085
1997-10-01,116.27774
1997-11-01,114.47682
1997-12-01,117.56896
1998-01-01,123.94486
1998-02-01,124.96095
1998-03-01,128.33209
1998-04-01,129.52970
1998-05-01,128.16768
1998-06-01,127.59510
1998-07-01,127.65057
1998-08-01,123.47194
1998-09-01,121.59541
1998-10-01,122.86150
1998-11-01,127.34724
1998-12-01,126.32643
1999-01-01,127.61032
1999-02-01,123.14430
1999-03-01,122.14472
1999-04-01,122.80310
1999-05-01,125.77631
1999-06-01,127.76645
1999-07-01,129.11829
1999-08-01,125.11493
1999-09-01,123.52550
1999-10-01,121.87791
1999-11-01,122.04878
1999-12-01,126.90546
2000-01-01,131.05487
2000-02-01,133.34744
2000-03-01,138.18160
2000-04-01,136.12745
2000-05-01,133.43259
2000-06-01,132.04559
2000-07-01,136.13239
2000-08-01,138.30488
2000-09-01,139.12816
2000-10-01,137.63569
2000-11-01,139.96819
2000-12-01,141.82303
2001-01-01,145.77552
2001-02-01,148.13742
2001-03-01,151.45654
2001-04-01,155.25756
2001-05-01,160.25767
2001-06-01,163.25591
2001-07-01,153.08422
2001-08-01,145.68487
2001-09-01,145.71120
2001-10-01,149.91502
2001-11-01,153.69389
2001-12-01,155.52497
2002-01-01,155.74092
2002-02-01,152.18159
2002-03-01,152.91989
2002-04-01,154.38568
2002-05-01,150.39281
2002-06-01,145.83850
2002-07-01,137.79212
2002-08-01,136.90772
2002-09-01,137.36115
2002-10-01,138.43588
2002-11-01,141.81084
2002-12-01,140.45607
2003-01-01,139.04967
2003-02-01,135.78192
2003-03-01,130.77216
2003-04-01,131.63830
2003-05-01,132.29484
2003-06-01,128.95837
2003-07-01,128.01275
2003-08-01,129.05227
2003-09-01,126.23012
2003-10-01,124.19383
2003-11-01,123.25415
2003-12-01,123.06282
2004-01-01,122.56345
2004-02-01,118.48187
2004-03-01,119.63241
2004-04-01,119.73649
2004-05-01,121.57620
2004-06-01,126.33390
2004-07-01,129.71926
2004-08-01,130.05432
2004-09-01,131.78688
2004-10-01,134.45894
2004-11-01,136.91689
2004-12-01,140.81223
2005-01-01,142.91729
2005-02-01,144.24317
2005-03-01,142.93281
2005-04-01,138.65410
2005-05-01,137.32185
2005-06-01,139.91561
2005-07-01,138.09563
2005-08-01,139.93429
2005-09-01,144.37634
2005-10-01,144.30441
2005-11-01,142.13803
2005-12-01,146.17310
2006-01-01,146.92591
2006-02-01,146.58093
2006-03-01,143.13204
2006-04-01,142.30389
2006-05-01,144.52235
2006-06-01,139.24641
2006-07-01,140.55396
2006-08-01,143.75820
2006-09-01,141.58801
2006-10-01,143.65622
2006-11-01,146.41466
2006-12-01,146.21035
2007-01-01,143.68427
2007-02-01,143.02820
2007-03-01,143.91164
2007-04-01,146.76320
2007-05-01,148.47129
2007-06-01,147.25052
2007-07-01,147.90298
2007-08-01,145.49799
2007-09-01,147.42417
2007-10-01,151.13677
2007-11-01,154.01043
2007-12-01,155.95542
2008-01-01,156.32638
2008-02-01,157.29050
2008-03-01,159.89999
2008-04-01,164.80060
2008-05-01,166.36729
2008-06-01,167.06101
2008-07-01,172.31724
2008-08-01,169.13717
2008-09-01,165.20870
2008-10-01,155.28013
2008-11-01,149.71395
2008-12-01,142.65900
2009-01-01,136.00615
