DATE,CCRETT01RUM661N_NBD19930101
1993-01-01,100.00000
1993-02-01,108.38660
1993-03-01,113.15303
1993-04-01,110.22995
1993-05-01,107.13289
1993-06-01,136.44218
1993-07-01,174.13055
1993-08-01,224.10251
1993-09-01,246.95409
1993-10-01,267.85159
1993-11-01,315.79688
1993-12-01,341.73135
1994-01-01,359.67326
1994-02-01,357.67181
1994-03-01,348.43437
1994-04-01,362.06377
1994-05-01,362.88731
1994-06-01,363.92740
1994-07-01,361.21356
1994-08-01,359.00823
1994-09-01,345.42536
1994-10-01,302.03029
1994-11-01,334.61623
1994-12-01,367.23565
1995-01-01,373.20010
1995-02-01,368.54254
1995-03-01,348.02259
1995-04-01,349.70655
1995-05-01,375.77510
1995-06-01,427.28274
1995-07-01,467.60534
1995-08-01,510.89760
1995-09-01,529.78546
1995-10-01,542.30355
1995-11-01,561.34854
1995-12-01,575.03806
1996-01-01,591.89220
1996-02-01,597.71550
1996-03-01,604.81514
1996-04-01,612.10090
1996-05-01,614.95829
1996-06-01,612.67793
1996-07-01,602.07304
1996-08-01,578.15289
1996-09-01,574.62363
1996-10-01,578.14665
1996-11-01,579.17210
1996-12-01,590.16555
1997-01-01,605.20096
1997-02-01,625.84061
1997-03-01,631.42937
1997-04-01,633.76560
1997-05-01,634.36133
1997-06-01,644.91708
1997-07-01,663.07538
1997-08-01,671.92717
1997-09-01,652.98735
1997-10-01,643.19287
1997-11-01,642.87412
1997-12-01,667.09138
1998-01-01,681.95493
1998-02-01,676.39504
1998-03-01,675.15445
1998-04-01,668.20763
1998-05-01,660.48535
1998-06-01,664.93649
1998-07-01,661.48233
1998-08-01,619.09170
1998-09-01,400.13113
1998-10-01,363.94409
1998-11-01,378.51079
1998-12-01,343.50481
1999-01-01,333.93815
1999-02-01,351.23174
1999-03-01,359.36557
1999-04-01,352.93418
1999-05-01,366.77077
1999-06-01,381.25666
1999-07-01,392.40754
1999-08-01,384.15900
1999-09-01,378.72790
1999-10-01,375.32011
1999-11-01,378.77978
1999-12-01,379.42857
2000-01-01,366.77741
2000-02-01,369.34698
2000-03-01,377.84883
2000-04-01,383.99695
2000-05-01,407.49500
2000-06-01,406.13539
2000-07-01,421.27244
2000-08-01,437.13049
2000-09-01,452.49434
2000-10-01,466.68568
2000-11-01,473.34734
2000-12-01,463.20457
2001-01-01,455.91567
2001-02-01,467.40251
2001-03-01,480.73393
2001-04-01,491.61013
2001-05-01,500.71326
2001-06-01,515.25585
2001-07-01,515.80148
2001-08-01,498.36939
2001-09-01,495.24164
2001-10-01,501.94824
2001-11-01,508.68538
2001-12-01,506.40278
2002-01-01,517.75816
2002-02-01,522.67987
2002-03-01,519.54391
2002-04-01,517.52587
2002-05-01,513.28973
2002-06-01,501.41868
2002-07-01,492.08434
2002-08-01,497.45359
2002-09-01,496.07429
2002-10-01,500.96798
2002-11-01,497.72290
2002-12-01,497.56272
2003-01-01,492.12980
2003-02-01,496.37026
2003-03-01,503.88542
2003-04-01,508.69928
2003-05-01,492.84619
2003-06-01,500.99450
2003-07-01,516.40560
2003-08-01,521.50628
2003-09-01,512.50412
2003-10-01,509.56391
2003-11-01,520.22997
2003-12-01,512.66783
2004-01-01,520.28560
2004-02-01,530.08991
2004-03-01,542.45060
2004-04-01,550.63852
2004-05-01,552.11198
2004-06-01,548.69824
2004-07-01,548.06918
2004-08-01,549.13831
2004-09-01,548.24522
2004-10-01,546.62408
2004-11-01,543.93590
2004-12-01,547.52930
2005-01-01,571.50244
2005-02-01,574.23821
2005-03-01,582.52666
2005-04-01,595.12185
2005-05-01,602.85341
2005-06-01,610.91730
2005-07-01,616.54703
