DATE,CCRETT01SKM661N_NBD19930101
1993-01-01,100.00000
1993-02-01,100.83885
1993-03-01,101.35995
1993-04-01,101.28057
1993-05-01,101.55823
1993-06-01,101.40436
1993-07-01,94.96519
1993-08-01,93.44157
1993-09-01,94.35429
1993-10-01,95.48432
1993-11-01,96.23731
1993-12-01,96.06195
1994-01-01,96.05304
1994-02-01,96.19595
1994-03-01,96.43278
1994-04-01,96.44643
1994-05-01,96.14633
1994-06-01,95.71304
1994-07-01,95.44472
1994-08-01,96.49971
1994-09-01,98.08740
1994-10-01,98.94992
1994-11-01,99.14199
1994-12-01,99.56329
1995-01-01,99.82751
1995-02-01,99.43984
1995-03-01,99.79614
1995-04-01,99.50835
1995-05-01,98.89211
1995-06-01,97.51456
1995-07-01,97.99298
1995-08-01,98.55367
1995-09-01,99.43232
1995-10-01,99.38994
1995-11-01,99.47296
1995-12-01,99.80407
1996-01-01,99.61937
1996-02-01,99.33935
1996-03-01,99.40395
1996-04-01,99.50012
1996-05-01,99.16697
1996-06-01,98.50810
1996-07-01,97.95429
1996-08-01,98.29205
1996-09-01,98.77614
1996-10-01,99.01468
1996-11-01,98.99051
1996-12-01,98.93254
1997-01-01,98.78352
1997-02-01,100.15915
1997-03-01,100.73411
1997-04-01,101.93152
1997-05-01,102.58630
1997-06-01,103.55400
1997-07-01,103.20407
1997-08-01,104.00703
1997-09-01,103.48184
1997-10-01,104.89599
1997-11-01,105.65770
1997-12-01,105.88431
1998-01-01,106.53895
1998-02-01,105.52418
1998-03-01,106.31183
1998-04-01,106.18118
1998-05-01,106.88707
1998-06-01,106.39375
1998-07-01,104.31959
1998-08-01,104.36221
1998-09-01,108.77987
1998-10-01,104.10245
1998-11-01,105.57499
1998-12-01,106.88212
1999-01-01,109.47781
1999-02-01,110.37425
1999-03-01,106.80072
1999-04-01,105.70530
1999-05-01,102.97171
1999-06-01,103.07016
1999-07-01,108.59266
1999-08-01,110.87926
1999-09-01,113.49543
1999-10-01,115.12788
1999-11-01,115.68004
1999-12-01,116.74652
2000-01-01,120.10918
2000-02-01,123.25136
2000-03-01,124.45715
2000-04-01,125.00357
2000-05-01,120.29079
2000-06-01,120.72549
2000-07-01,119.39619
2000-08-01,118.16427
2000-09-01,115.80176
2000-10-01,113.93987
2000-11-01,115.31732
2000-12-01,114.58046
2001-01-01,117.17830
2001-02-01,118.38397
2001-03-01,118.66714
2001-04-01,118.40162
2001-05-01,118.10893
2001-06-01,117.52447
2001-07-01,118.39515
2001-08-01,118.50989
2001-09-01,118.28134
2001-10-01,117.32634
2001-11-01,117.56683
