DATE,CCRETT01CHM661N_NBD19700101
1970-01-01,100.00000
1970-02-01,100.04993
1970-03-01,99.28704
1970-04-01,98.53256
1970-05-01,99.03747
1970-06-01,99.09423
1970-07-01,99.27464
1970-08-01,99.65260
1970-09-01,99.80234
1970-10-01,99.16857
1970-11-01,100.26420
1970-12-01,100.43436
1971-01-01,100.22843
1971-02-01,100.19607
1971-03-01,100.27092
1971-04-01,99.74701
1971-05-01,103.75806
1971-06-01,103.69274
1971-07-01,103.37353
1971-08-01,104.01045
1971-09-01,104.44304
1971-10-01,103.71749
1971-11-01,104.58907
1971-12-01,104.90895
1972-01-01,103.42164
1972-02-01,103.28483
1972-03-01,102.65665
1972-04-01,102.33446
1972-05-01,102.83835
1972-06-01,103.91520
1972-07-01,105.28817
1972-08-01,105.11802
1972-09-01,105.26535
1972-10-01,105.71230
1972-11-01,106.37886
1972-12-01,107.08077
1973-01-01,108.37306
1973-02-01,113.07777
1973-03-01,114.70569
1973-04-01,114.27829
1973-05-01,115.19838
1973-06-01,114.58141
1973-07-01,117.38789
1973-08-01,114.21976
1973-09-01,112.95728
1973-10-01,113.16564
1973-11-01,114.42539
1973-12-01,116.91339
1974-01-01,116.63018
1974-02-01,118.13959
1974-03-01,118.12988
1974-04-01,115.65640
1974-05-01,119.06667
1974-06-01,117.78602
1974-07-01,118.26353
1974-08-01,119.85948
1974-09-01,121.45846
1974-10-01,123.21321
1974-11-01,128.01321
1974-12-01,132.38121
1975-01-01,132.54159
1975-02-01,132.66197
1975-03-01,131.04824
1975-04-01,127.88491
1975-05-01,128.99577
1975-06-01,129.12109
1975-07-01,127.62023
1975-08-01,128.49954
1975-09-01,128.65519
1975-10-01,129.37816
1975-11-01,129.71319
1975-12-01,131.19462
1976-01-01,132.05277
1976-02-01,132.84651
1976-03-01,134.02650
1976-04-01,135.85781
1976-05-01,137.86814
1976-06-01,139.31948
1976-07-01,138.08994
1976-08-01,137.16660
1976-09-01,135.65889
1976-10-01,135.98324
1976-11-01,135.46940
1976-12-01,133.64802
1977-01-01,130.24705
1977-02-01,128.03917
1977-03-01,125.23574
1977-04-01,124.94081
1977-05-01,124.15153
1977-06-01,125.51354
1977-07-01,127.26728
1977-08-01,127.87407
1977-09-01,129.69437
1977-10-01,132.95179
1977-11-01,135.77706
1977-12-01,140.08371
1978-01-01,143.10731
1978-02-01,147.45245
1978-03-01,145.65518
1978-04-01,144.78597
1978-05-01,142.69316
1978-06-01,146.35582
1978-07-01,149.44385
1978-08-01,158.13866
1978-09-01,164.78131
1978-10-01,160.59381
1978-11-01,151.43477
1978-12-01,149.91636
1979-01-01,147.73776
1979-02-01,148.65959
1979-03-01,147.83056
1979-04-01,145.48640
1979-05-01,145.11932
1979-06-01,146.99852
1979-07-01,145.41002
1979-08-01,143.96392
1979-09-01,146.18108
1979-10-01,144.27649
1979-11-01,142.46996
1979-12-01,143.16877
1980-01-01,140.62280
1980-02-01,136.35793
1980-03-01,131.61645
1980-04-01,132.00652
1980-05-01,134.13375
1980-06-01,134.20939
1980-07-01,134.81872
1980-08-01,133.41156
1980-09-01,133.19480
1980-10-01,132.31655
1980-11-01,131.25484
1980-12-01,129.37408
1981-01-01,127.28125
1981-02-01,125.28752
1981-03-01,126.68982
1981-04-01,124.90185
1981-05-01,125.12938
1981-06-01,128.95620
1981-07-01,130.47285
1981-08-01,130.24539
1981-09-01,133.52539
1981-10-01,139.41234
1981-11-01,143.27590
1981-12-01,143.32938
1982-01-01,142.81826
1982-02-01,142.63391
1982-03-01,144.88598
1982-04-01,141.00407
1982-05-01,138.77130
1982-06-01,136.43222
1982-07-01,137.66137
