DATE,CCRETT01TRM661N_NBD19700101
1970-01-01,100.00000
1970-02-01,100.10755
1970-03-01,99.71010
1970-04-01,99.04850
1970-05-01,99.36796
1970-06-01,100.04404
1970-07-01,99.30083
1970-08-01,60.62452
1970-09-01,60.93785
1970-10-01,61.76222
1970-11-01,62.23278
1970-12-01,62.61507
1971-01-01,62.73856
1971-02-01,63.80670
1971-03-01,64.14168
1971-04-01,65.12731
1971-05-01,64.85867
1971-06-01,65.51659
1971-07-01,68.66037
1971-08-01,69.65181
1971-09-01,69.44177
1971-10-01,69.90198
1971-11-01,70.33736
1971-12-01,72.30859
1972-01-01,70.74942
1972-02-01,70.69998
1972-03-01,70.12471
1972-04-01,70.14693
1972-05-01,70.71837
1972-06-01,72.66819
1972-07-01,73.49335
1972-08-01,73.55765
1972-09-01,73.90881
1972-10-01,74.37569
1972-11-01,74.62732
1972-12-01,74.52047
1973-01-01,75.68268
1973-02-01,72.49259
1973-03-01,69.13133
1973-04-01,69.95177
1973-05-01,69.66053
1973-06-01,68.68573
1973-07-01,65.64499
1973-08-01,67.54258
1973-09-01,70.29005
1973-10-01,70.92814
1973-11-01,73.86691
1973-12-01,76.20915
1974-01-01,79.65036
1974-02-01,76.92447
1974-03-01,78.27390
1974-04-01,77.03726
1974-05-01,76.34892
1974-06-01,78.30556
1974-07-01,78.61428
1974-08-01,79.99776
1974-09-01,81.89813
1974-10-01,81.42287
1974-11-01,81.02915
1974-12-01,80.86822
1975-01-01,78.72700
1975-02-01,80.40885
1975-03-01,80.86690
1975-04-01,81.46547
1975-05-01,80.66736
1975-06-01,79.81091
1975-07-01,81.36506
1975-08-01,83.22284
1975-09-01,82.58249
1975-10-01,83.53040
1975-11-01,84.26466
1975-12-01,85.84595
1976-01-01,88.06423
1976-02-01,89.74688
1976-03-01,91.04340
1976-04-01,84.77884
1976-05-01,84.56606
1976-06-01,85.74535
1976-07-01,85.98991
1976-08-01,86.17259
1976-09-01,86.63182
1976-10-01,86.58775
1976-11-01,84.10546
1976-12-01,85.72081
1977-01-01,85.44332
1977-02-01,86.01578
1977-03-01,82.70267
1977-04-01,82.45955
1977-05-01,83.10242
1977-06-01,83.00569
1977-07-01,84.58872
1977-08-01,86.40445
1977-09-01,89.21508
1977-10-01,88.32227
1977-11-01,92.67018
1977-12-01,94.21705
1978-01-01,95.71737
1978-02-01,99.34031
1978-03-01,76.53167
1978-04-01,78.20993
1978-05-01,83.57859
1978-06-01,85.30089
1978-07-01,86.30482
1978-08-01,86.06471
1978-09-01,88.62684
1978-10-01,88.94908
1978-11-01,94.31949
1978-12-01,95.18615
1979-01-01,95.37411
1979-02-01,97.23926
1979-03-01,99.00585
1979-04-01,100.05747
1979-05-01,102.83032
1979-06-01,73.75877
1979-07-01,65.88516
1979-08-01,68.48408
1979-09-01,70.33392
1979-10-01,75.06768
1979-11-01,78.39426
1979-12-01,80.14913
1980-01-01,77.99780
1980-02-01,65.81323
1980-03-01,70.87030
1980-04-01,69.67536
1980-05-01,68.51951
1980-06-01,66.87965
1980-07-01,66.34021
1980-08-01,67.86861
1980-09-01,69.66282
1980-10-01,71.58752
1980-11-01,70.12142
1980-12-01,72.91413
1981-01-01,74.32296
1981-02-01,74.02458
1981-03-01,73.25319
1981-04-01,73.77000
1981-05-01,75.20503
1981-06-01,76.27313
1981-07-01,74.39916
1981-08-01,71.56312
1981-09-01,71.39825
1981-10-01,68.65110
1981-11-01,67.25215
1981-12-01,67.10680
1982-01-01,67.62777
1982-02-01,67.33384
1982-03-01,68.68187
1982-04-01,68.39382
1982-05-01,65.62037
1982-06-01,65.13037
1982-07-01,63.78882
1982-08-01,62.77710
1982-09-01,63.85565
1982-10-01,65.35655
1982-11-01,65.45939
1982-12-01,63.75969
1983-01-01,64.82970
1983-02-01,65.56092
1983-03-01,65.14701
1983-04-01,63.68504
1983-05-01,62.69607
1983-06-01,62.66931
1983-07-01,61.99630
1983-08-01,61.67560
1983-09-01,61.26357
1983-10-01,62.26082
1983-11-01,62.98021
1983-12-01,62.42151
1984-01-01,59.53469
1984-02-01,56.87964
1984-03-01,56.32949
1984-04-01,57.50849
1984-05-01,58.53418
1984-06-01,61.74955
1984-07-01,60.00497
1984-08-01,60.27810
1984-09-01,61.03881
1984-10-01,62.27709
1984-11-01,62.90773
1984-12-01,63.10199
1985-01-01,65.00968
1985-02-01,66.49101
1985-03-01,65.96970
1985-04-01,61.64924
1985-05-01,60.60525
1985-06-01,58.24480
1985-07-01,56.81682
1985-08-01,56.52482
1985-09-01,58.12161
1985-10-01,58.43905
1985-11-01,59.05654
1985-12-01,57.44939
1986-01-01,56.66203
1986-02-01,55.23334
1986-03-01,51.10406
