DATE,CCRETT01GBM661N_NBD19720101
1972-01-01,100.00000
1972-02-01,100.66056
1972-03-01,100.79854
1972-04-01,101.02190
1972-05-01,100.93903
1972-06-01,99.55606
1972-07-01,94.30969
1972-08-01,95.01897
1972-09-01,94.70405
1972-10-01,94.09007
1972-11-01,92.39730
1972-12-01,92.09131
1973-01-01,92.14789
1973-02-01,90.63136
1973-03-01,88.73087
1973-04-01,90.78700
1973-05-01,91.46905
1973-06-01,89.72912
1973-07-01,84.89441
1973-08-01,84.15604
1973-09-01,82.41759
1973-10-01,83.09581
1973-11-01,84.48056
1973-12-01,83.61331
1974-01-01,84.04070
1974-02-01,84.30844
1974-03-01,84.71617
1974-04-01,87.16694
1974-05-01,87.24278
1974-06-01,87.76224
1974-07-01,87.66752
1974-08-01,86.48530
1974-09-01,86.19141
1974-10-01,86.50208
1974-11-01,85.80961
1974-12-01,85.28985
1975-01-01,86.28356
1975-02-01,86.89530
1975-03-01,88.24898
1975-04-01,90.32728
1975-05-01,90.78482
1975-06-01,90.25226
1975-07-01,90.32226
1975-08-01,89.67931
1975-09-01,89.57497
1975-10-01,88.55366
1975-11-01,88.81909
1975-12-01,89.10319
1976-01-01,89.36516
1976-02-01,89.95302
1976-03-01,86.99238
1976-04-01,83.73886
1976-05-01,82.56688
1976-06-01,81.13017
1976-07-01,81.75978
1976-08-01,81.95505
1976-09-01,79.34547
1976-10-01,75.44715
1976-11-01,75.93953
1976-12-01,78.37698
1977-01-01,81.54288
1977-02-01,81.76548
1977-03-01,82.33985
1977-04-01,83.61829
1977-05-01,83.60938
1977-06-01,83.97029
1977-07-01,82.77482
1977-08-01,84.20181
1977-09-01,85.07642
1977-10-01,85.29880
1977-11-01,87.01304
1977-12-01,86.97272
1978-01-01,89.40137
1978-02-01,89.14620
1978-03-01,86.81985
1978-04-01,84.58868
1978-05-01,84.72273
1978-06-01,84.87328
1978-07-01,85.73331
1978-08-01,86.18999
1978-09-01,86.20999
1978-10-01,85.10464
1978-11-01,85.77016
1978-12-01,87.13889
1979-01-01,87.78170
1979-02-01,88.17129
1979-03-01,89.93935
1979-04-01,93.45032
1979-05-01,93.59249
1979-06-01,96.40925
1979-07-01,104.20993
1979-08-01,103.68002
1979-09-01,101.06286
1979-10-01,99.09652
1979-11-01,99.10193
1979-12-01,100.80185
1980-01-01,104.29847
1980-02-01,106.80126
1980-03-01,107.73742
1980-04-01,111.44339
1980-05-01,111.88694
1980-06-01,112.54698
1980-07-01,113.45116
1980-08-01,114.86018
1980-09-01,115.85699
1980-10-01,118.07009
1980-11-01,120.66466
1980-12-01,120.42800
1981-01-01,123.64695
1981-02-01,123.47104
1981-03-01,120.50735
1981-04-01,122.62201
1981-05-01,122.53829
1981-06-01,118.45248
1981-07-01,114.01173
1981-08-01,113.03860
1981-09-01,108.37490
1981-10-01,108.12194
1981-11-01,110.87774
1981-12-01,112.29386
1982-01-01,112.39131
1982-02-01,112.49384
1982-03-01,112.19366
1982-04-01,112.74088
1982-05-01,112.39074
1982-06-01,113.43942
1982-07-01,113.26171
1982-08-01,112.99516
1982-09-01,112.61251
1982-10-01,113.72745
1982-11-01,110.47354
1982-12-01,105.13225
1983-01-01,100.70964
1983-02-01,99.41195
1983-03-01,97.17047
1983-04-01,102.62617
1983-05-01,105.41719
1983-06-01,105.99213
1983-07-01,105.68872
1983-08-01,106.43768
1983-09-01,106.18492
1983-10-01,104.28912
1983-11-01,104.86384
1983-12-01,103.47626
1984-01-01,102.27537
1984-02-01,102.33650
1984-03-01,100.56412
1984-04-01,100.09182
1984-05-01,100.71751
1984-06-01,99.81740
1984-07-01,98.25653
1984-08-01,99.23135
1984-09-01,97.74960
1984-10-01,95.95370
1984-11-01,96.04089
1984-12-01,93.97368
1985-01-01,90.53330
1985-02-01,90.67331
1985-03-01,93.94438
1985-04-01,100.80373
1985-05-01,102.16826
1985-06-01,103.87966
1985-07-01,107.52862
1985-08-01,105.48816
1985-09-01,104.91827
1985-10-01,103.67796
1985-11-01,103.51576
1985-12-01,102.19637
1986-01-01,98.60128
1986-02-01,95.88303
1986-03-01,96.59306
1986-04-01,99.49840
1986-05-01,99.58398
1986-06-01,99.13393
1986-07-01,96.33345
1986-08-01,92.93350
1986-09-01,91.56030
1986-10-01,88.06811
1986-11-01,89.66797
1986-12-01,89.73938
1987-01-01,89.65676
1987-02-01,89.85863
1987-03-01,93.61136
1987-04-01,95.16581
1987-05-01,96.25726
1987-06-01,95.19101
1987-07-01,95.06829
1987-08-01,94.76755
1987-09-01,95.53735
1987-10-01,96.33041
1987-11-01,98.72363
1987-12-01,98.76779
1988-01-01,97.60132
1988-02-01,97.15957
1988-03-01,100.38105
1988-04-01,103.25470
1988-05-01,103.73056
1988-06-01,101.40204
1988-07-01,100.65503
1988-08-01,102.38036
1988-09-01,101.10302
1988-10-01,102.58215
1988-11-01,103.85281
1988-12-01,104.72026
1989-01-01,104.60956
1989-02-01,104.21886
1989-03-01,102.70282
1989-04-01,102.43828
1989-05-01,101.40523
1989-06-01,98.24849
1989-07-01,99.31375
1989-08-01,98.47697
1989-09-01,98.35709
1989-10-01,97.05112
1989-11-01,95.35456
1989-12-01,93.93627
1990-01-01,95.16345
1990-02-01,97.55401
1990-03-01,94.56258
1990-04-01,96.74396
1990-05-01,98.50349
1990-06-01,101.39213
1990-07-01,104.72305
1990-08-01,107.33985
1990-09-01,105.74852
1990-10-01,107.28721
1990-11-01,107.04822
1990-12-01,106.00323
1991-01-01,106.43087
1991-02-01,106.33550
1991-03-01,104.97987
1991-04-01,106.42587
1991-05-01,105.98247
1991-06-01,104.60965
1991-07-01,104.01142
1991-08-01,105.17256
1991-09-01,105.72082
1991-10-01,105.04005
1991-11-01,105.46485
1991-12-01,106.08662
1992-01-01,104.65139
1992-02-01,104.75368
1992-03-01,103.78833
1992-04-01,105.96717
1992-05-01,108.07894
1992-06-01,108.28297
1992-07-01,107.51696
1992-08-01,107.09898
1992-09-01,102.27548
1992-10-01,94.05652
1992-11-01,90.92410
1992-12-01,92.90298
1993-01-01,92.46791
1993-02-01,88.09181
1993-03-01,89.85534
1993-04-01,92.88967
1993-05-01,93.09366
1993-06-01,92.00214
1993-07-01,93.27965
1993-08-01,93.24093
1993-09-01,93.43536
1993-10-01,92.65149
1993-11-01,92.66547
