Date,Inflation
1972-01-01,100.00000
1972-02-01,98.96069
1972-03-01,98.30857
1972-04-01,98.75343
1972-05-01,98.29494
1972-06-01,98.13289
1972-07-01,100.83459
1972-08-01,100.23465
1972-09-01,99.84469
1972-10-01,100.60671
1972-11-01,100.89177
1972-12-01,101.81110
1973-01-01,108.47251
1973-02-01,109.55762
1973-03-01,109.90296
1973-04-01,112.98698
1973-05-01,110.98952
1973-06-01,108.34219
1973-07-01,110.17311
1973-08-01,110.42675
1973-09-01,113.66301
1973-10-01,117.01037
1973-11-01,119.15781
1973-12-01,119.65280
1974-01-01,124.79597
1974-02-01,120.58392
1974-03-01,117.01390
1974-04-01,118.17140
1974-05-01,116.41321
1974-06-01,116.67313
1974-07-01,121.98669
1974-08-01,123.12296
1974-09-01,119.33548
1974-10-01,109.80502
1974-11-01,108.15160
1974-12-01,107.44193
1975-01-01,110.30862
1975-02-01,109.65396
1975-03-01,109.46290
1975-04-01,111.46237
1975-05-01,109.91973
1975-06-01,109.23738
1975-07-01,109.55928
1975-08-01,108.96261
1975-09-01,107.90247
1975-10-01,112.52823
1975-11-01,112.20815
1975-12-01,111.81880
1976-01-01,113.87352
1976-02-01,112.98694
1976-03-01,113.01275
1976-04-01,114.30626
1976-05-01,113.28673
1976-06-01,112.89371
1976-07-01,114.80596
1976-08-01,114.33334
1976-09-01,113.48470
1976-10-01,119.78753
1976-11-01,116.54056
1976-12-01,100.06142
1977-01-01,104.19106
1977-02-01,103.14093
1977-03-01,102.97631
1977-04-01,104.23482
1977-05-01,103.67909
1977-06-01,102.80082
1977-07-01,104.64574
1977-08-01,103.06217
1977-09-01,102.44744
1977-10-01,103.98108
1977-11-01,103.07760
1977-12-01,101.97618
1978-01-01,102.18761
1978-02-01,100.96707
1978-03-01,99.50221
1978-04-01,100.14154
1978-05-01,99.88327
1978-06-01,98.28436
1978-07-01,97.90516
1978-08-01,95.61749
1978-09-01,94.83385
1978-10-01,95.17869
1978-11-01,95.97851
1978-12-01,95.01310
1979-01-01,95.92421
1979-02-01,94.85718
1979-03-01,93.46304
1979-04-01,95.25469
1979-05-01,94.43284
1979-06-01,93.67016
1979-07-01,94.29654
1979-08-01,94.35243
1979-09-01,93.51054
1979-10-01,95.41453
1979-11-01,94.78310
1979-12-01,93.64254
1980-01-01,93.94547
1980-02-01,92.80954
1980-03-01,93.10313
1980-04-01,95.00226
1980-05-01,94.28025
1980-06-01,93.71608
1980-07-01,94.95428
1980-08-01,95.38898
1980-09-01,94.33723
1980-10-01,96.11066
1980-11-01,96.47194
1980-12-01,96.86899
1981-01-01,98.01555
1981-02-01,98.26840
1981-03-01,98.13085
1981-04-01,100.10498
1981-05-01,100.80133
1981-06-01,102.13002
1981-07-01,105.93680
1981-08-01,106.21281
1981-09-01,104.94902
1981-10-01,107.52186
1981-11-01,105.56756
1981-12-01,104.11627
1982-01-01,105.02169
1982-02-01,104.29428
1982-03-01,102.94466
1982-04-01,104.52214
1982-05-01,102.54384
1982-06-01,102.82180
1982-07-01,104.86212
1982-08-01,101.76930
1982-09-01,99.95583
1982-10-01,102.83022
1982-11-01,103.03276
1982-12-01,102.51861
1983-01-01,104.69409
1983-02-01,104.04963
1983-03-01,95.97152
1983-04-01,95.78677
1983-05-01,96.24578
1983-06-01,97.03955
1983-07-01,98.80831
1983-08-01,100.48311
1983-09-01,100.35125
1983-10-01,104.30600
1983-11-01,105.55966
1983-12-01,104.17100
1984-01-01,104.30622
1984-02-01,106.27757
1984-03-01,105.91490
1984-04-01,103.02424
1984-05-01,102.49968
1984-06-01,100.35754
1984-07-01,98.56766
1984-08-01,100.51991
1984-09-01,99.88038
1984-10-01,102.37035
1984-11-01,104.03889
1984-12-01,103.51432
1985-01-01,103.07131
1985-02-01,94.86930
1985-03-01,89.04880
1985-04-01,83.22162
1985-05-01,85.17627
1985-06-01,82.98760
1985-07-01,86.61768
1985-08-01,86.38860
1985-09-01,84.62686
1985-10-01,83.39152
1985-11-01,78.94886
1985-12-01,78.91834
1986-01-01,82.08310
1986-02-01,79.40009
1986-03-01,79.09834
1986-04-01,81.27730
1986-05-01,80.03106
1986-06-01,76.05516
1986-07-01,69.80827
1986-08-01,66.92540
1986-09-01,67.95056
1986-10-01,71.44902
1986-11-01,73.06502
1986-12-01,74.29253
1987-01-01,73.08118
1987-02-01,73.23532
1987-03-01,74.52922
1987-04-01,76.11652
1987-05-01,75.64694
1987-06-01,76.56206
1987-07-01,77.82759
1987-08-01,77.09798
1987-09-01,77.45529
1987-10-01,76.87847
1987-11-01,71.48333
1987-12-01,72.11512
1988-01-01,73.25515
1988-02-01,74.29140
1988-03-01,75.24532
1988-04-01,77.16578
1988-05-01,80.04529
1988-06-01,84.25093
1988-07-01,87.17199
1988-08-01,88.31337
1988-09-01,86.34880
1988-10-01,88.04545
1988-11-01,89.99819
1988-12-01,90.90860
1989-01-01,93.55707
1989-02-01,93.23381
1989-03-01,88.69983
