Date,Inflation
1970-01-01,100.00000
1970-02-01,99.62731
1970-03-01,99.02613
1970-04-01,98.33932
1970-05-01,98.36794
1970-06-01,99.16424
1970-07-01,99.61567
1970-08-01,99.35298
1970-09-01,99.37765
1970-10-01,99.34605
1970-11-01,99.00136
1970-12-01,99.16084
1971-01-01,98.30163
1971-02-01,97.60942
1971-03-01,97.32481
1971-04-01,97.36656
1971-05-01,99.63331
1971-06-01,99.70591
1971-07-01,99.56914
1971-08-01,98.72398
1971-09-01,98.84770
1971-10-01,98.65888
1971-11-01,98.37289
1971-12-01,98.32380
1972-01-01,98.25045
1972-02-01,98.39929
1972-03-01,98.41705
1972-04-01,98.01300
1972-05-01,97.93261
1972-06-01,99.31920
1972-07-01,99.76466
1972-08-01,100.21639
1972-09-01,99.76979
1972-10-01,100.03706
1972-11-01,100.03554
1972-12-01,100.18721
1973-01-01,100.37270
1973-02-01,100.17329
1973-03-01,100.70267
1973-04-01,100.73154
1973-05-01,100.38715
1973-06-01,102.05980
1973-07-01,105.34904
1973-08-01,105.16681
1973-09-01,104.49319
1973-10-01,105.14371
1973-11-01,104.24409
1973-12-01,103.38336
1974-01-01,103.32829
1974-02-01,103.62423
1974-03-01,103.68960
1974-04-01,104.70519
1974-05-01,106.50551
1974-06-01,108.12474
1974-07-01,107.62650
1974-08-01,107.36241
1974-09-01,106.27339
1974-10-01,106.66080
1974-11-01,107.07870
1974-12-01,107.69940
1975-01-01,108.83232
1975-02-01,109.19497
1975-03-01,108.82801
1975-04-01,107.99724
1975-05-01,107.52933
1975-06-01,108.24191
1975-07-01,108.20801
1975-08-01,107.66771
1975-09-01,107.04427
1975-10-01,106.95154
1975-11-01,106.62694
1975-12-01,106.54973
1976-01-01,107.57432
1976-02-01,108.33360
1976-03-01,109.29900
1976-04-01,110.42039
1976-05-01,109.39135
1976-06-01,110.12958
1976-07-01,110.35669
1976-08-01,112.36590
1976-09-01,112.55055
1976-10-01,113.87921
1976-11-01,113.66591
1976-12-01,114.32264
1977-01-01,114.54104
1977-02-01,114.20119
1977-03-01,114.49952
1977-04-01,114.22395
1977-05-01,114.03878
1977-06-01,114.50211
1977-07-01,116.18430
1977-08-01,115.17551
1977-09-01,114.32190
1977-10-01,114.61527
1977-11-01,113.99544
1977-12-01,114.36858
1978-01-01,114.28951
1978-02-01,114.88565
1978-03-01,115.18429
1978-04-01,114.67015
1978-05-01,113.02479
1978-06-01,113.38261
1978-07-01,112.63624
1978-08-01,112.93687
1978-09-01,112.01446
1978-10-01,112.54940
