Date,Inflation
1970-01-01,100.00000
1970-02-01,98.33968
1970-03-01,97.10227
1970-04-01,95.12054
1970-05-01,94.33689
1970-06-01,93.07422
1970-07-01,91.57599
1970-08-01,90.90456
1970-09-01,89.88715
1970-10-01,88.25276
1970-11-01,85.76905
1970-12-01,84.29054
1971-01-01,82.77736
1971-02-01,81.38947
1971-03-01,80.19499
1971-04-01,78.85949
1971-05-01,76.86895
1971-06-01,75.59761
1971-07-01,74.86070
1971-08-01,72.76018
1971-09-01,70.74039
1971-10-01,69.58235
1971-11-01,68.33790
1971-12-01,66.49752
1972-01-01,65.34426
1972-02-01,63.09349
1972-03-01,62.26651
1972-04-01,61.70161
1972-05-01,60.58113
1972-06-01,60.29088
1972-07-01,59.83778
1972-08-01,59.41895
1972-09-01,58.57160
1972-10-01,58.08273
1972-11-01,57.40746
1972-12-01,56.30318
1973-01-01,55.49512
1973-02-01,54.17159
1973-03-01,52.53511
1973-04-01,52.17999
1973-05-01,50.83416
1973-06-01,49.33984
1973-07-01,47.47260
1973-08-01,47.77076
1973-09-01,47.48854
1973-10-01,46.70032
1973-11-01,47.66036
1973-12-01,47.65624
1974-01-01,48.40696
1974-02-01,45.79355
1974-03-01,43.93102
1974-04-01,42.53571
1974-05-01,41.54191
1974-06-01,40.79060
1974-07-01,39.38827
1974-08-01,39.07074
1974-09-01,38.19149
1974-10-01,36.94058
1974-11-01,35.66667
1974-12-01,34.43656
1975-01-01,33.81029
1975-02-01,32.68729
1975-03-01,32.20304
1975-04-01,31.49944
1975-05-01,30.65777
1975-06-01,30.55432
1975-07-01,30.46470
1975-08-01,30.30836
1975-09-01,30.10767
1975-10-01,29.29441
1975-11-01,28.51089
1975-12-01,27.74778
1976-01-01,27.09163
1976-02-01,26.38474
1976-03-01,25.64943
1976-04-01,24.18039
1976-05-01,23.33120
1976-06-01,22.75406
1976-07-01,22.23999
1976-08-01,21.58276
1976-09-01,20.92420
1976-10-01,20.27425
1976-11-01,19.64515
1976-12-01,19.12818
1977-01-01,18.49545
1977-02-01,18.00647
1977-03-01,17.43099
1977-04-01,16.77227
1977-05-01,16.22583
1977-06-01,15.68493
1977-07-01,15.08323
1977-08-01,14.80313
1977-09-01,14.52300
1977-10-01,14.08611
1977-11-01,13.64680
1977-12-01,13.00865
1978-01-01,12.58925
1978-02-01,12.26498
1978-03-01,11.81189
1978-04-01,11.44726
1978-05-01,11.24408
1978-06-01,10.78356
1978-07-01,10.32401
1978-08-01,9.82099
1978-09-01,9.49029
1978-10-01,9.04312
1978-11-01,8.97187
1978-12-01,8.63512
1979-01-01,8.23733
1979-02-01,7.93372
1979-03-01,7.65694
1979-04-01,7.42051
1979-05-01,7.03606
1979-06-01,6.65704
1979-07-01,6.35552
1979-08-01,6.12969
1979-09-01,5.65601
1979-10-01,5.39970
1979-11-01,5.18272
1979-12-01,3.99792
1980-01-01,3.83255
1980-02-01,3.89187
1980-03-01,4.05014
1980-04-01,4.06438
1980-05-01,4.00577
1980-06-01,3.99631
1980-07-01,4.07121
1980-08-01,4.14806
1980-09-01,4.11121
1980-10-01,4.32053
1980-11-01,4.47376
1980-12-01,4.60239
1981-01-01,4.61258
1981-02-01,4.80923
1981-03-01,4.74701
1981-04-01,4.81009
1981-05-01,4.87658
1981-06-01,4.96648
1981-07-01,4.99721
1981-08-01,5.00265
1981-09-01,4.83351
1981-10-01,4.72571
1981-11-01,4.62318
1981-12-01,4.62749
1982-01-01,4.75706
1982-02-01,4.92776
1982-03-01,5.00932
1982-04-01,5.07309
1982-05-01,5.03261
1982-06-01,5.25076
1982-07-01,5.41285
1982-08-01,5.38674
1982-09-01,5.30725
1982-10-01,5.23150
1982-11-01,5.17341
1982-12-01,5.05629
1983-01-01,5.09215
1983-02-01,4.60303
1983-03-01,3.90147
1983-04-01,3.83522
1983-05-01,3.71037
1983-06-01,3.79386
1983-07-01,3.79927
1983-08-01,3.70788
1983-09-01,3.72302
1983-10-01,3.56387
1983-11-01,3.47719
1983-12-01,3.51226
1984-01-01,3.58411
1984-02-01,3.47305
1984-03-01,3.28412
1984-04-01,3.30232
1984-05-01,3.36469
1984-06-01,3.39567
1984-07-01,3.44163
1984-08-01,3.43335
1984-09-01,3.52224
1984-10-01,3.50818
1984-11-01,3.44330
1984-12-01,3.57674
1985-01-01,3.60783
1985-02-01,3.62322
1985-03-01,3.60669
1985-04-01,3.30563
1985-05-01,3.19784
1985-06-01,3.13687
1985-07-01,3.12022
1985-08-01,3.17459
1985-09-01,3.19518
1985-10-01,3.07426
1985-11-01,3.16969
1985-12-01,3.24169
1986-01-01,3.19635
1986-02-01,3.04516
1986-03-01,2.96044
1986-04-01,2.97862
1986-05-01,2.97511
1986-06-01,3.01866
1986-07-01,3.01050
1986-08-01,3.06401
1986-09-01,3.10037
1986-10-01,3.11522
1986-11-01,3.28154
1986-12-01,3.52074
1987-01-01,3.57418
1987-02-01,3.43838
1987-03-01,3.45616
1987-04-01,3.55021
1987-05-01,3.28651
1987-06-01,3.10986
1987-07-01,3.00878
1987-08-01,2.99716
1987-09-01,2.99715
1987-10-01,3.10406
1987-11-01,3.11556
1987-12-01,3.05466
1988-01-01,3.15393
1988-02-01,3.15098
1988-03-01,3.10306
1988-04-01,3.11886
1988-05-01,3.06037
1988-06-01,3.20988
1988-07-01,3.30903
1988-08-01,3.26944
1988-09-01,3.36910
1988-10-01,3.28634
1988-11-01,3.21778
1988-12-01,3.23461
1989-01-01,3.35464
1989-02-01,3.53344
1989-03-01,3.77088
1989-04-01,4.16725
1989-05-01,4.63308
1989-06-01,4.91773
1989-07-01,4.27018
1989-08-01,4.41443
1989-09-01,4.60275
1989-10-01,4.58329
1989-11-01,4.82524
1989-12-01,4.90671
1990-01-01,5.12493
1990-02-01,5.48132
1990-03-01,6.20705
1990-04-01,5.60139
1990-05-01,5.40544
1990-06-01,5.50511
1990-07-01,5.22192
1990-08-01,5.32277
1990-09-01,5.65193
1990-10-01,4.97627
1990-11-01,4.41841
1990-12-01,4.19026
1991-01-01,4.06037
1991-02-01,4.24378
1991-03-01,4.72123
1991-04-01,4.60240
1991-05-01,4.56797
1991-06-01,4.72751
1991-07-01,4.79286
1991-08-01,4.84328
1991-09-01,4.76449
1991-10-01,4.16398
1991-11-01,4.02955
1991-12-01,3.79397
1992-01-01,3.80739
1992-02-01,3.86189
1992-03-01,3.85823
1992-04-01,3.79401
1992-05-01,3.91020
1992-06-01,3.85598
1992-07-01,3.77465
1992-08-01,3.73316
1992-09-01,3.76549
1992-10-01,3.83800
1992-11-01,3.85788
1992-12-01,3.92753
1993-01-01,4.08851
1993-02-01,4.03161
1993-03-01,4.05933
1993-04-01,3.96553
1993-05-01,3.90732
1993-06-01,3.93174
1993-07-01,3.99619
1993-08-01,4.00891
1993-09-01,3.98322
1993-10-01,3.93410
1993-11-01,3.96906
1993-12-01,4.00343
1994-01-01,4.07155
1994-02-01,4.01037
1994-03-01,4.06048
1994-04-01,3.99355
1994-05-01,3.98352
1994-06-01,4.02183
1994-07-01,3.77472
1994-08-01,3.97660
1994-09-01,4.15802
1994-10-01,4.32329
1994-11-01,4.48418
1994-12-01,4.57003
1995-01-01,4.63257
1995-02-01,4.67114
1995-03-01,4.39424
1995-04-01,4.32131
1995-05-01,4.48640
1995-06-01,4.48110
1995-07-01,4.50350
1995-08-01,4.55345
1995-09-01,4.57274
1995-10-01,4.55580
1995-11-01,4.61428
1995-12-01,4.67900
1996-01-01,4.72024
1996-02-01,4.72127
1996-03-01,4.70397
1996-04-01,4.74552
1996-05-01,4.78992
1996-06-01,4.81933
1996-07-01,4.82337
1996-08-01,4.77648
1996-09-01,4.76870
1996-10-01,4.77248
1996-11-01,4.73996
1996-12-01,4.76980
1997-01-01,4.83495
1997-02-01,4.89543
1997-03-01,4.90866
1997-04-01,4.93950
1997-05-01,4.90145
1997-06-01,4.90158
1997-07-01,4.93243
1997-08-01,4.94962
1997-09-01,4.88700
1997-10-01,4.85418
1997-11-01,4.85074
1997-12-01,4.96110
1998-01-01,5.04598
1998-02-01,4.99237
1998-03-01,4.96876
1998-04-01,4.92584
1998-05-01,4.90068
1998-06-01,4.91398
1998-07-01,4.87980
1998-08-01,4.82769
1998-09-01,4.68911
1998-10-01,4.56217
1998-11-01,4.56135
1998-12-01,4.51805
1999-01-01,3.65491
1999-02-01,2.92525
1999-03-01,3.00894
