Date,Inflation
1961-01-01,100.00000
1961-02-01,100.00000
1961-03-01,99.62073
1961-04-01,99.36789
1961-05-01,98.73578
1961-06-01,99.11504
1961-07-01,99.24147
1961-08-01,99.49431
1961-09-01,100.00000
1961-10-01,100.75853
1961-11-01,101.01138
1961-12-01,101.01138
1962-01-01,100.50569
1962-02-01,100.50569
1962-03-01,100.50569
1962-04-01,100.75853
1962-05-01,100.50569
1962-06-01,100.75853
1962-07-01,101.26422
1962-08-01,101.64349
1962-09-01,101.01138
1962-10-01,101.39064
1962-11-01,101.89633
1962-12-01,102.14918
1963-01-01,102.27560
1963-02-01,102.27560
1963-03-01,101.89633
1963-04-01,102.02276
1963-05-01,102.02276
1963-06-01,102.52845
1963-07-01,103.03413
1963-08-01,103.28698
1963-09-01,103.16056
1963-10-01,103.03413
1963-11-01,103.41340
1963-12-01,103.79267
1964-01-01,103.41340
1964-02-01,104.04551
1964-03-01,103.79267
1964-04-01,104.04551
1964-05-01,103.79267
1964-06-01,104.42478
1964-07-01,104.80405
1964-08-01,104.67762
1964-09-01,104.42478
1964-10-01,104.42478
1964-11-01,104.93047
1964-12-01,105.18331
1965-01-01,105.30973
1965-02-01,105.30973
1965-03-01,105.30973
1965-04-01,105.68900
1965-05-01,106.19469
1965-06-01,106.82680
1965-07-01,107.33249
1965-08-01,107.20607
1965-09-01,106.70038
1965-10-01,106.95322
1965-11-01,107.71176
1965-12-01,108.21745
1966-01-01,108.21745
1966-02-01,109.10240
1966-03-01,108.97598
1966-04-01,109.35525
1966-05-01,109.35525
1966-06-01,109.86094
1966-07-01,109.86094
1966-08-01,110.11378
1966-09-01,110.36662
1966-10-01,110.11378
1966-11-01,110.99874
1966-12-01,111.12516
1967-01-01,111.25158
1967-02-01,111.88369
1967-03-01,112.26296
1967-04-01,113.52718
1967-05-01,113.65360
1967-06-01,114.03287
1967-07-01,115.04425
1967-08-01,115.67636
1967-09-01,115.17067
1967-10-01,114.91783
1967-11-01,115.54994
1967-12-01,115.92920
1968-01-01,116.68774
1968-02-01,116.68774
1968-03-01,116.56131
1968-04-01,117.44627
1968-05-01,117.44627
1968-06-01,117.57269
1968-07-01,118.20480
1968-08-01,118.71049
1968-09-01,118.45765
1968-10-01,118.45765
1968-11-01,119.21618
1968-12-01,119.84829
1969-01-01,119.97472
1969-02-01,120.22756
1969-03-01,119.84829
1969-04-01,120.85967
1969-05-01,121.23894
1969-06-01,122.37674
1969-07-01,122.50316
1969-08-01,123.00885
1969-09-01,121.87105
1969-10-01,121.87105
1969-11-01,122.62958
1969-12-01,122.88243
1970-01-01,123.38812
1970-02-01,124.02023
1970-03-01,124.02023
1970-04-01,124.52592
1970-05-01,124.27307
1970-06-01,124.77876
1970-07-01,125.15803
1970-08-01,124.65234
1970-09-01,124.14665
1970-10-01,123.38812
1970-11-01,123.89381
1970-12-01,123.64096
1971-01-01,124.02023
1971-02-01,124.61648
1971-03-01,125.21273
1971-04-01,125.80898
1971-05-01,126.40523
1971-06-01,127.00148
1971-07-01,127.59773
1971-08-01,127.59773
1971-09-01,127.59773
1971-10-01,127.00148
1971-11-01,127.59773
1971-12-01,129.38649
1972-01-01,129.98274
1972-02-01,130.57899
1972-03-01,130.57899
1972-04-01,131.17524
1972-05-01,131.17524
1972-06-01,131.17524
1972-07-01,132.96399
1972-08-01,133.56025
1972-09-01,134.15650
1972-10-01,132.96399
1972-11-01,134.15650
1972-12-01,134.75275
1973-01-01,135.94525
1973-02-01,137.13775
1973-03-01,137.13775
1973-04-01,138.33025
1973-05-01,138.92650
1973-06-01,140.71526
1973-07-01,142.50401
1973-08-01,144.29276
1973-09-01,144.29276
1973-10-01,145.48527
1973-11-01,146.67777
1973-12-01,148.46652
1974-01-01,149.06277
1974-02-01,150.25528
1974-03-01,152.04403
1974-04-01,153.83278
1974-05-01,155.62154
1974-06-01,158.00654
1974-07-01,159.19904
1974-08-01,160.98780
1974-09-01,160.98780
1974-10-01,162.18030
1974-11-01,163.96905
1974-12-01,165.75780
1975-01-01,166.95031
1975-02-01,168.73906
1975-03-01,169.33531
1975-04-01,169.33531
1975-05-01,171.12406
1975-06-01,174.70157
1975-07-01,176.49032
1975-08-01,178.87533
1975-09-01,178.87533
1975-10-01,180.66408
1975-11-01,181.85658
1975-12-01,181.85658
1976-01-01,181.85658
1976-02-01,183.04909
1976-03-01,182.45283
1976-04-01,184.24159
1976-05-01,184.83784
1976-06-01,186.62659
1976-07-01,187.22284
1976-08-01,188.41535
1976-09-01,189.01160
1976-10-01,189.60785
1976-11-01,190.80035
1976-12-01,191.99285
1977-01-01,194.37786
1977-02-01,196.16661
1977-03-01,197.95536
1977-04-01,198.55161
1977-05-01,199.74412
1977-06-01,200.93662
1977-07-01,203.32162
1977-08-01,204.51413
1977-09-01,205.70663
1977-10-01,206.89913
1977-11-01,208.09163
1977-12-01,210.47664
1978-01-01,210.47664
1978-02-01,212.26539
1978-03-01,214.65039
1978-04-01,214.65039
1978-05-01,217.63165
1978-06-01,218.82415
1978-07-01,222.40166
1978-08-01,222.99791
1978-09-01,222.40166
1978-10-01,222.99791
1978-11-01,224.78666
1978-12-01,225.97916
1979-01-01,227.76792
1979-02-01,230.15292
1979-03-01,233.13418
1979-04-01,235.51918
1979-05-01,237.30794
1979-06-01,236.71168
1979-07-01,240.28919
1979-08-01,241.48169
1979-09-01,243.86670
1979-10-01,246.25170
1979-11-01,248.04046
1979-12-01,249.23296
1980-01-01,250.42546
1980-02-01,252.81046
1980-03-01,255.79172
1980-04-01,256.38797
1980-05-01,259.36923
1980-06-01,262.35048
1980-07-01,265.33174
1980-08-01,267.71674
1980-09-01,270.10175
1980-10-01,272.48675
1980-11-01,276.66051
1980-12-01,277.25676
1981-01-01,280.83427
1981-02-01,283.81552
1981-03-01,287.39303
1981-04-01,290.37428
1981-05-01,292.16304
1981-06-01,296.33679
1981-07-01,298.12555
1981-08-01,301.10680
1981-09-01,303.49181
1981-10-01,305.28056
1981-11-01,308.85807
1981-12-01,313.62808
1982-01-01,314.22433
1982-02-01,318.99434
1982-03-01,321.37934
1982-04-01,324.36060
1982-05-01,328.53435
1982-06-01,332.11186
1982-07-01,334.49686
1982-08-01,335.68937
1982-09-01,338.07437
1982-10-01,339.86312
1982-11-01,342.24813
1982-12-01,342.24813
1983-01-01,339.86312
1983-02-01,341.05563
1983-03-01,344.63313
1983-04-01,345.22938
1983-05-01,347.61439
1983-06-01,348.80689
1983-07-01,350.59564
1983-08-01,352.38440
1983-09-01,352.98065
1983-10-01,355.36565
1983-11-01,355.96190
1983-12-01,356.55815
1984-01-01,356.55815
1984-02-01,359.53941
1984-03-01,361.32816
1984-04-01,363.11692
1984-05-01,363.11692
1984-06-01,364.90567
1984-07-01,366.69442
1984-08-01,364.30942
1984-09-01,364.90567
1984-10-01,365.50192
1984-11-01,367.88693
1984-12-01,369.67568
1985-01-01,370.27193
1985-02-01,373.84944
1985-03-01,373.84944
1985-04-01,375.63819
1985-05-01,377.42694
1985-06-01,381.00445
1985-07-01,382.19695
1985-08-01,382.79320
1985-09-01,384.58196
1985-10-01,384.58196
1985-11-01,385.77446
1985-12-01,388.15946
1986-01-01,389.35196
1986-02-01,391.14072
1986-03-01,393.52572
1986-04-01,394.71822
1986-05-01,397.10323
1986-06-01,395.91073
1986-07-01,398.89198
1986-08-01,401.27699
1986-09-01,401.27699
1986-10-01,403.66199
1986-11-01,407.23950
1986-12-01,408.43200
1987-01-01,407.23950
1987-02-01,409.62450
1987-03-01,410.81700
1987-04-01,412.60576
1987-05-01,414.39451
1987-06-01,416.18326
1987-07-01,417.97202
1987-08-01,417.97202
1987-09-01,419.16452
1987-10-01,421.54952
1987-11-01,424.53078
1987-12-01,423.93453
1988-01-01,423.93453
1988-02-01,426.91578
1988-03-01,428.10829
1988-04-01,429.30079
1988-05-01,431.68579
1988-06-01,431.68579
1988-07-01,433.47455
1988-08-01,435.26330
1988-09-01,435.26330
1988-10-01,437.05205
1988-11-01,438.84081
1988-12-01,438.84081
1989-01-01,440.62956
1989-02-01,444.20707
1989-03-01,444.80332
1989-04-01,446.59207
1989-05-01,450.76583
1989-06-01,453.74708
1989-07-01,456.13209
1989-08-01,455.53584
1989-09-01,454.34333
1989-10-01,457.32459
1989-11-01,458.51709
1989-12-01,456.72834
1990-01-01,462.09460
1990-02-01,463.28710
1990-03-01,465.67210
1990-04-01,465.07585
1990-05-01,467.46086
1990-06-01,469.24961
1990-07-01,471.03836
1990-08-01,472.23087
1990-09-01,474.01962
1990-10-01,478.78963
1990-11-01,481.77088
1990-12-01,481.17463
1991-01-01,499.65842
1991-02-01,499.65842
1991-03-01,502.63967
1991-04-01,503.23592
1991-05-01,505.62093
1991-06-01,507.40968
1991-07-01,507.40968
1991-08-01,507.40968
1991-09-01,508.00593
1991-10-01,509.19843
1991-11-01,509.79469
1991-12-01,508.00593
1992-01-01,512.17969
1992-02-01,512.17969
1992-03-01,512.77594
1992-04-01,512.77594
1992-05-01,513.37219
1992-06-01,514.56469
1992-07-01,516.35345
1992-08-01,516.35345
1992-09-01,516.35345
1992-10-01,518.14220
1992-11-01,519.93095
1992-12-01,519.93095
1993-01-01,522.31596
1993-02-01,522.91221
1993-03-01,522.91221
1993-04-01,522.31596
1993-05-01,522.31596
1993-06-01,522.31596
1993-07-01,521.71971
1993-08-01,521.12346
1993-09-01,522.31596
1993-10-01,521.71971
1993-11-01,526.48972
1993-12-01,525.29721
1994-01-01,524.70096
1994-02-01,514.56469
1994-03-01,514.56469
1994-04-01,514.56469
1994-05-01,510.98719
1994-06-01,513.96844
1994-07-01,513.96844
1994-08-01,514.56469
1994-09-01,513.96844
1994-10-01,512.77594
1994-11-01,516.35345
1994-12-01,516.35345
1995-01-01,518.73845
1995-02-01,521.12346
1995-03-01,521.12346
1995-04-01,524.70096
1995-05-01,525.89346
1995-06-01,525.29721
1995-07-01,526.48972
1995-08-01,524.70096
1995-09-01,525.89346
1995-10-01,525.29721
1995-11-01,526.48972
1995-12-01,526.48972
1996-01-01,526.48972
1996-02-01,528.87472
1996-03-01,530.06722
1996-04-01,532.45223
1996-05-01,534.24098
1996-06-01,534.24098
1996-07-01,533.64473
1996-08-01,533.64473
1996-09-01,533.64473
1996-10-01,535.43348
1996-11-01,537.81849
1996-12-01,535.43348
1997-01-01,536.62598
1997-02-01,538.41474
1997-03-01,538.41474
1997-04-01,539.60724
1997-05-01,540.79974
1997-06-01,542.58850
1997-07-01,540.79974
1997-08-01,542.58850
1997-09-01,540.79974
1997-10-01,541.39599
1997-11-01,541.39599
1997-12-01,540.79974
1998-01-01,547.35850
1998-02-01,547.35850
1998-03-01,546.76225
1998-04-01,547.35850
1998-05-01,549.74351
1998-06-01,550.33976
1998-07-01,549.14726
1998-08-01,549.74351
1998-09-01,547.95476
1998-10-01,549.74351
1998-11-01,550.93601
1998-12-01,549.14726
1999-01-01,550.33976
1999-02-01,550.33976
1999-03-01,554.51352
1999-04-01,556.30227
1999-05-01,556.89852
1999-06-01,558.09102
1999-07-01,559.28353
1999-08-01,559.28353
1999-09-01,561.07228
1999-10-01,562.26478
1999-11-01,561.07228
1999-12-01,560.47603
2000-01-01,560.47603
2000-02-01,564.64979
2000-03-01,567.03479
2000-04-01,565.24604
2000-05-01,568.22729
2000-06-01,573.59355
2000-07-01,573.59355
2000-08-01,572.99730
2000-09-01,574.78605
2000-10-01,575.38231
2000-11-01,575.97856
2000-12-01,576.57481
2001-01-01,577.17106
2001-02-01,580.15231
2001-03-01,581.34482
2001-04-01,586.71108
2001-05-01,589.09608
2001-06-01,586.11483
2001-07-01,586.71108
2001-08-01,587.30733
2001-09-01,586.71108
2001-10-01,584.32607
2001-11-01,583.13357
2001-12-01,584.92232
2002-01-01,584.92232
2002-02-01,589.69233
2002-03-01,590.28858
2002-04-01,593.26984
2002-05-01,592.07734
2002-06-01,595.05859
2002-07-01,599.82860
2002-08-01,600.42485
2002-09-01,599.82860
2002-10-01,602.21360
2002-11-01,603.40611
2002-12-01,604.00236
2003-01-01,606.98361
2003-02-01,613.54238
2003-03-01,614.13863
2003-04-01,609.36862
2003-05-01,609.96487
2003-06-01,608.77237
2003-07-01,609.96487
2003-08-01,610.56112
2003-09-01,609.96487
2003-10-01,609.96487
2003-11-01,611.75362
2003-12-01,611.75362
2004-01-01,614.73488
2004-02-01,617.11988
2004-03-01,618.31238
2004-04-01,618.31238
2004-05-01,623.67864
2004-06-01,623.67864
2004-07-01,622.48614
2004-08-01,622.48614
2004-09-01,624.27490
2004-10-01,627.85240
2004-11-01,627.85240
2004-12-01,626.65990
2005-01-01,626.65990
2005-02-01,628.44865
2005-03-01,633.21866
2005-04-01,633.21866
2005-05-01,634.41116
2005-06-01,636.19992
2005-07-01,636.79617
2005-08-01,639.77742
2005-09-01,645.14368
2005-10-01,640.96993
2005-11-01,640.96993
2005-12-01,639.77742
2006-01-01,643.35493
2006-02-01,643.35493
2006-03-01,645.14368
2006-04-01,649.31744
2006-05-01,649.91369
2006-06-01,648.72119
2006-07-01,649.31744
2006-08-01,649.31744
2006-09-01,646.33619
2006-10-01,647.52869
2006-11-01,648.12494
2006-12-01,647.52869
2007-01-01,648.12494
2007-02-01,652.89495
2007-03-01,657.66496
2007-04-01,658.85746
2007-05-01,660.64621
2007-06-01,658.85746
2007-07-01,658.85746
2007-08-01,655.87620
2007-09-01,658.26121
2007-10-01,658.26121
2007-11-01,660.04996
2007-12-01,661.83871
2008-01-01,660.64621
2008-02-01,663.62747
2008-03-01,664.81997
2008-04-01,668.99373
2008-05-01,676.14874
2008-06-01,678.53375
2008-07-01,679.13000
2008-08-01,675.55249
2008-09-01,678.53375
2008-10-01,673.16749
2008-11-01,670.18623
2008-12-01,666.60872
2009-01-01,666.01247
2009-02-01,670.18623
2009-03-01,671.97498
2009-04-01,673.16749
2009-05-01,679.13000
2009-06-01,681.51500
2009-07-01,678.53375
2009-08-01,679.72625
2009-09-01,678.53375
2009-10-01,677.93749
2009-11-01,682.11125
2009-12-01,679.72625
2010-01-01,679.72625
2010-02-01,680.91875
2010-03-01,682.70750
2010-04-01,684.49626
2010-05-01,685.09251
2010-06-01,684.49626
2010-07-01,682.70750
2010-08-01,682.70750
2010-09-01,684.49626
2010-10-01,687.47751
2010-11-01,689.26626
2010-12-01,690.45877
2011-01-01,693.44002
2011-02-01,694.63252
2011-03-01,704.17254
2011-04-01,705.36504
2011-05-01,707.15380
2011-06-01,702.98004
2011-07-01,703.57629
2011-08-01,704.76879
2011-09-01,705.96130
2011-10-01,708.34630
2011-11-01,709.53880
2011-12-01,705.96130
2012-01-01,711.92381
2012-02-01,715.50131
2012-03-01,717.88632
2012-04-01,720.86757
2012-05-01,719.67507
2012-06-01,716.69382
2012-07-01,716.69382
2012-08-01,718.48257
2012-09-01,718.48257
2012-10-01,720.86757
2012-11-01,720.27132
2012-12-01,716.09756
2013-01-01,716.09756
2013-02-01,725.63758
2013-03-01,723.84883
2013-04-01,723.84883
2013-05-01,725.04133
2013-06-01,723.84883
2013-07-01,724.44508
