Date,Inflation
1997-01-01,100.00000
1997-02-01,103.81014
1997-03-01,105.06919
1997-04-01,104.55478
1997-05-01,104.03564
1997-06-01,104.58982
1997-07-01,106.25106
1997-08-01,108.01399
1997-09-01,108.39235
1997-10-01,109.72252
1997-11-01,108.01049
1997-12-01,107.49650
1998-01-01,106.17091
1998-02-01,106.15774
1998-03-01,105.30485
1998-04-01,104.80624
1998-05-01,104.99693
1998-06-01,105.76952
1998-07-01,104.16839
1998-08-01,103.52682
1998-09-01,102.99986
1998-10-01,103.35535
1998-11-01,103.72650
1998-12-01,101.56557
1999-01-01,101.77658
1999-02-01,100.59928
1999-03-01,102.15654
1999-04-01,103.65387
1999-05-01,103.36447
1999-06-01,100.78607
1999-07-01,98.11944
1999-08-01,98.35114
1999-09-01,96.08468
1999-10-01,93.59295
1999-11-01,93.10753
1999-12-01,94.17384
2000-01-01,96.93653
2000-02-01,99.21241
2000-03-01,101.54860
2000-04-01,101.78177
2000-05-01,100.99144
2000-06-01,98.40247
2000-07-01,96.18974
2000-08-01,95.61296
2000-09-01,94.30882
2000-10-01,95.24133
2000-11-01,94.73477
2000-12-01,93.97242
2001-01-01,94.11119
2001-02-01,95.50442
2001-03-01,92.77082
2001-04-01,92.02145
2001-05-01,91.83666
2001-06-01,90.99290
2001-07-01,85.62088
2001-08-01,82.87901
2001-09-01,82.75472
2001-10-01,80.18886
2001-11-01,82.06817
2001-12-01,84.22226
2002-01-01,92.18867
2002-02-01,93.88663
2002-03-01,98.44019
2002-04-01,101.91256
2002-05-01,102.48547
2002-06-01,100.13315
2002-07-01,96.38853
2002-08-01,96.42531
2002-09-01,94.23896
2002-10-01,94.13624
2002-11-01,95.94934
2002-12-01,96.04035
2003-01-01,89.86766
2003-02-01,86.83494
2003-03-01,86.79881
2003-04-01,87.42970
2003-05-01,86.65443
2003-06-01,85.42816
2003-07-01,86.59986
2003-08-01,87.89985
2003-09-01,90.84293
2003-10-01,92.86275
2003-11-01,95.68282
2003-12-01,98.32924
2004-01-01,100.91852
2004-02-01,99.48765
2004-03-01,96.60787
2004-04-01,95.74804
2004-05-01,93.36451
2004-06-01,92.52082
2004-07-01,93.51178
2004-08-01,93.39659
2004-09-01,95.34925
2004-10-01,95.84901
2004-11-01,95.90327
2004-12-01,97.75632
2005-01-01,97.47787
2005-02-01,96.28308
2005-03-01,94.29222
2005-04-01,95.61182
2005-05-01,95.66836
2005-06-01,95.54616
2005-07-01,97.40519
2005-08-01,102.01006
2005-09-01,104.14035
2005-10-01,105.35910
2005-11-01,106.12813
2005-12-01,109.33521
2006-01-01,105.84894
2006-02-01,104.67616
2006-03-01,104.33428
2006-04-01,106.02747
2006-05-01,104.38045
2006-06-01,101.78662
2006-07-01,101.98169
2006-08-01,101.80889
2006-09-01,102.05395
2006-10-01,103.17026
2006-11-01,102.71882
2006-12-01,101.44240
2007-01-01,99.43182
2007-02-01,98.24034
2007-03-01,98.49931
2007-04-01,98.86512
2007-05-01,100.43897
2007-06-01,99.95563
2007-07-01,101.33143
2007-08-01,102.51248
2007-09-01,103.64176
2007-10-01,105.09660
2007-11-01,102.83206
2007-12-01,104.85367
2008-01-01,107.70357
2008-02-01,109.90406
2008-03-01,114.61549
2008-04-01,113.02279
2008-05-01,108.43806
2008-06-01,102.94386
2008-07-01,102.30828
2008-08-01,101.64257
2008-09-01,102.54585
2008-10-01,93.66516
2008-11-01,92.78074
2008-12-01,91.84897
2009-01-01,95.09748
2009-02-01,97.76822
2009-03-01,100.15920
2009-04-01,99.68411
2009-05-01,100.14717
2009-06-01,102.00276
2009-07-01,103.14269
2009-08-01,100.04271
2009-09-01,99.89018
2009-10-01,99.08661
2009-11-01,105.89442
2009-12-01,106.31959
2010-01-01,106.76920
2010-02-01,101.77145
2010-03-01,103.00314
2010-04-01,103.65940
2010-05-01,103.21107
2010-06-01,103.08737
2010-07-01,103.65071
2010-08-01,107.14285
2010-09-01,109.60532
2010-10-01,109.30736
2010-11-01,110.02884
2010-12-01,112.48481
2011-01-01,107.48879
2011-02-01,110.07528
2011-03-01,108.71484
2011-04-01,109.41539
2011-05-01,110.08344
2011-06-01,109.44080
2011-07-01,110.70569
2011-08-01,109.71590
2011-09-01,107.88613
2011-10-01,103.97592
2011-11-01,104.68180
