Date,Inflation
1993-01-01,100.00000
1993-02-01,101.94629
1993-03-01,102.30531
1993-04-01,101.44159
1993-05-01,101.28733
1993-06-01,102.10002
1993-07-01,103.55051
1993-08-01,103.49785
1993-09-01,103.52065
1993-10-01,104.53830
1993-11-01,105.10512
1993-12-01,105.58221
1994-01-01,107.78934
1994-02-01,107.41271
1994-03-01,107.10075
1994-04-01,107.28237
1994-05-01,106.89845
1994-06-01,107.69551
1994-07-01,107.29844
1994-08-01,107.56926
1994-09-01,108.10881
1994-10-01,108.59213
1994-11-01,109.63479
1994-12-01,110.24998
1995-01-01,110.42444
1995-02-01,110.91735
1995-03-01,110.47622
1995-04-01,111.07201
1995-05-01,111.02899
1995-06-01,111.72511
1995-07-01,111.06310
1995-08-01,111.38131
1995-09-01,111.69998
1995-10-01,112.23754
1995-11-01,112.83603
1995-12-01,112.98705
1996-01-01,115.01363
1996-02-01,114.96358
1996-03-01,115.02133
1996-04-01,115.90223
1996-05-01,116.92091
1996-06-01,117.01675
1996-07-01,119.62683
1996-08-01,121.12662
1996-09-01,122.41691
1996-10-01,121.68016
1996-11-01,122.17391
1996-12-01,122.94085
1997-01-01,125.90409
1997-02-01,127.35963
1997-03-01,124.09190
1997-04-01,122.56713
1997-05-01,117.75016
1997-06-01,114.81178
1997-07-01,117.31368
1997-08-01,118.42528
1997-09-01,118.90985
1997-10-01,120.08362
1997-11-01,118.63963
1997-12-01,116.27235
1998-01-01,120.53948
1998-02-01,123.63462
1998-03-01,125.96005
1998-04-01,126.13905
1998-05-01,128.87638
1998-06-01,127.74296
1998-07-01,135.76470
1998-08-01,135.73892
1998-09-01,140.69613
1998-10-01,144.38753
1998-11-01,143.51288
1998-12-01,142.00489
1999-01-01,140.81162
1999-02-01,132.39082
1999-03-01,131.49819
1999-04-01,130.79899
1999-05-01,131.28449
1999-06-01,132.28663
1999-07-01,134.44926
1999-08-01,135.57094
1999-09-01,134.87078
1999-10-01,134.34662
1999-11-01,134.97367
1999-12-01,134.71776
2000-01-01,136.87382
2000-02-01,136.92410
2000-03-01,136.19419
2000-04-01,132.99043
2000-05-01,131.25360
2000-06-01,134.79425
2000-07-01,136.53371
2000-08-01,136.84298
2000-09-01,134.93597
2000-10-01,135.73068
2000-11-01,137.60917
2000-12-01,137.43727
2001-01-01,140.25292
2001-02-01,140.94094
2001-03-01,141.15431
2001-04-01,139.87569
2001-05-01,140.34690
2001-06-01,142.28549
2001-07-01,144.73488
2001-08-01,145.49354
2001-09-01,143.98890
2001-10-01,146.21917
2001-11-01,146.70874
2001-12-01,149.49242
2002-01-01,153.79328
2002-02-01,153.77208
2002-03-01,155.37266
2002-04-01,159.90302
2002-05-01,159.81248
2002-06-01,161.71422
2002-07-01,167.92702
2002-08-01,161.10715
2002-09-01,162.61401
2002-10-01,159.37016
2002-11-01,158.96608
2002-12-01,156.40500
2003-01-01,155.89787
2003-02-01,155.57126
2003-03-01,154.78720
2003-04-01,155.52482
2003-05-01,158.36466
2003-06-01,158.11787
2003-07-01,156.14990
2003-08-01,152.99718
2003-09-01,151.23834
2003-10-01,153.99704
2003-11-01,154.50144
2003-12-01,153.34804
2004-01-01,154.47215
2004-02-01,153.52580
2004-03-01,151.73124
2004-04-01,152.53990
2004-05-01,155.29219
2004-06-01,157.19320
2004-07-01,157.87287
2004-08-01,157.33205
2004-09-01,155.97833
2004-10-01,157.33328
2004-11-01,158.21243
2004-12-01,160.99718
2005-01-01,163.97084
2005-02-01,164.28795
2005-03-01,165.08133
2005-04-01,163.38837
2005-05-01,162.55049
2005-06-01,163.04836
2005-07-01,162.57360
2005-08-01,165.73183
2005-09-01,166.00047
2005-10-01,164.89287
2005-11-01,166.96927
2005-12-01,167.33911
2006-01-01,171.22280
2006-02-01,171.66936
2006-03-01,170.53715
2006-04-01,170.95899
2006-05-01,173.47565
2006-06-01,173.75029
2006-07-01,173.99850
2006-08-01,175.38404
2006-09-01,173.10093
2006-10-01,171.97272
2006-11-01,173.00607
2006-12-01,174.01620
2007-01-01,174.86441
2007-02-01,172.05737
2007-03-01,173.16500
2007-04-01,173.89146
2007-05-01,172.69716
2007-06-01,171.09331
2007-07-01,172.65054
2007-08-01,176.47674
2007-09-01,177.27081
2007-10-01,179.11163
2007-11-01,184.52467
2007-12-01,187.12520
2008-01-01,194.33658
2008-02-01,198.87849
2008-03-01,199.68025
2008-04-01,200.95481
2008-05-01,199.31646
2008-06-01,205.05838
2008-07-01,211.70128
2008-08-01,204.23599
2008-09-01,201.98141
2008-10-01,198.75340
2008-11-01,195.62060
2008-12-01,191.53776
2009-01-01,187.73219
2009-02-01,181.13799
2009-03-01,190.35683
2009-04-01,191.96520
2009-05-01,191.42653
2009-06-01,193.47509
2009-07-01,197.54338
2009-08-01,197.71773
2009-09-01,199.84029
2009-10-01,195.48528
2009-11-01,195.66633
2009-12-01,193.09680
2010-01-01,193.93608
2010-02-01,192.87903
2010-03-01,194.74682
2010-04-01,195.80762
2010-05-01,192.72582
2010-06-01,191.25762
2010-07-01,196.36304
2010-08-01,199.07120
2010-09-01,199.55633
2010-10-01,200.95594
2010-11-01,199.68470
2010-12-01,194.72816
2011-01-01,200.72575
2011-02-01,201.76804
2011-03-01,200.84014
2011-04-01,202.19425
2011-05-01,201.21765
2011-06-01,202.37832
2011-07-01,201.80188
2011-08-01,202.34832
2011-09-01,199.51413
2011-10-01,197.77128
2011-11-01,193.26931
2011-12-01,192.64247
2012-01-01,194.01917
2012-02-01,196.90893
2012-03-01,198.68903
2012-04-01,197.40493
2012-05-01,193.51044
2012-06-01,191.65199
2012-07-01,191.03215
2012-08-01,193.27045
2012-09-01,195.74136
2012-10-01,194.47087
2012-11-01,190.42668
2012-12-01,192.30242
2013-01-01,192.83681
2013-02-01,193.47199
2013-03-01,190.99116
2013-04-01,189.90180
2013-05-01,188.86016
2013-06-01,191.75867
2013-07-01,189.49161
2013-08-01,190.44405
2013-09-01,189.62299
2013-10-01,191.10105
2013-11-01,182.00331
2013-12-01,179.05733
2014-01-01,179.84343
2014-02-01,180.30090
2014-03-01,180.95251
2014-04-01,180.14528
2014-05-01,179.75972
2014-06-01,178.81100
2014-07-01,179.17571
2014-08-01,176.78315
2014-09-01,176.98933
2014-10-01,177.55905
2014-11-01,177.37991
2014-12-01,179.39016
2015-01-01,177.74806
2015-02-01,177.43576
2015-03-01,176.54860
2015-04-01,173.98089
2015-05-01,175.69179
2015-06-01,177.76577
2015-07-01,178.63206
2015-08-01,180.88512
2015-09-01,181.10118
2015-10-01,180.40929
2015-11-01,179.54467
2015-12-01,180.56998
2016-01-01,184.16824
2016-02-01,184.22764
2016-03-01,181.73243
2016-04-01,183.18796
2016-05-01,183.03239
2016-06-01,182.44721
2016-07-01,183.07030
2016-08-01,182.73549
2016-09-01,182.12228
2016-10-01,182.03466
2016-11-01,183.33544
2016-12-01,182.55233
2017-01-01,183.75681
2017-02-01,183.25670
2017-03-01,183.05272
2017-04-01,183.56277
2017-05-01,186.24486
2017-06-01,188.87869
2017-07-01,191.84339
2017-08-01,192.02303
2017-09-01,191.79377
2017-10-01,194.69181
2017-11-01,196.53683
2017-12-01,195.38868
2018-01-01,198.03797
2018-02-01,198.90130
2018-03-01,197.64268
2018-04-01,198.23142
2018-05-01,196.24561
2018-06-01,195.71160
2018-07-01,195.81287
2018-08-01,197.30531
2018-09-01,197.52229
2018-10-01,195.57532
2018-11-01,194.74722
2018-12-01,195.75874
2019-01-01,199.13738
2019-02-01,197.82445
2019-03-01,197.52725
2019-04-01,196.33441
2019-05-01,197.07417
2019-06-01,198.55949
2019-07-01,198.86977
2019-08-01,197.80471
2019-09-01,195.79047
2019-10-01,197.39412
2019-11-01,199.23014
2019-12-01,199.05107
2020-01-01,203.79376
2020-02-01,204.98431
2020-03-01,196.02173
2020-04-01,191.10642
2020-05-01,191.65877
2020-06-01,196.90755
2020-07-01,199.93949
2020-08-01,203.53081
2020-09-01,198.40316
2020-10-01,195.22952
2020-11-01,200.28982
