Date,Inflation
1970-01-01,100.00000
1970-02-01,100.22979
1970-03-01,100.16968
1970-04-01,99.57410
1970-05-01,100.21717
1970-06-01,100.03134
1970-07-01,101.52046
1970-08-01,101.57201
1970-09-01,102.19944
1970-10-01,101.82648
1970-11-01,101.92338
1970-12-01,101.48408
1971-01-01,100.08951
1971-02-01,99.51817
1971-03-01,99.13839
1971-04-01,99.42554
1971-05-01,99.97244
1971-06-01,99.42216
1971-07-01,98.79223
1971-08-01,98.58874
1971-09-01,99.33169
1971-10-01,99.04715
1971-11-01,99.41484
1971-12-01,99.03174
1972-01-01,98.55049
1972-02-01,93.75869
1972-03-01,98.41730
1972-04-01,98.35172
1972-05-01,99.03564
1972-06-01,99.49718
1972-07-01,99.53078
1972-08-01,100.21592
1972-09-01,100.87070
1972-10-01,101.40991
1972-11-01,102.34319
1972-12-01,102.69367
1973-01-01,101.70625
1973-02-01,103.10514
1973-03-01,104.36377
1973-04-01,104.55754
1973-05-01,104.75729
1973-06-01,105.83738
1973-07-01,106.51976
1973-08-01,106.57524
1973-09-01,107.35919
1973-10-01,107.99640
1973-11-01,107.28188
1973-12-01,106.61463
1974-01-01,105.17038
1974-02-01,104.82381
1974-03-01,105.27328
1974-04-01,106.35187
1974-05-01,108.13491
1974-06-01,109.31596
1974-07-01,110.88050
1974-08-01,110.42814
1974-09-01,109.50235
1974-10-01,110.94862
1974-11-01,112.27905
1974-12-01,112.16588
1975-01-01,111.18154
1975-02-01,110.50318
1975-03-01,111.45688
1975-04-01,110.69442
1975-05-01,111.33726
1975-06-01,111.42160
1975-07-01,110.50485
1975-08-01,109.93398
1975-09-01,109.87776
1975-10-01,106.56576
1975-11-01,107.43242
1975-12-01,105.84730
1976-01-01,104.79546
1976-02-01,104.77783
1976-03-01,109.85529
1976-04-01,111.62764
1976-05-01,112.19005
1976-06-01,111.06929
1976-07-01,110.14455
1976-08-01,110.80707
1976-09-01,113.73160
1976-10-01,115.06706
1976-11-01,115.09805
1976-12-01,115.04217
1977-01-01,112.90446
1977-02-01,111.95403
1977-03-01,113.41786
1977-04-01,111.53625
1977-05-01,111.66551
1977-06-01,110.79286
1977-07-01,110.84185
1977-08-01,111.39350
1977-09-01,111.37159
1977-10-01,111.84805
1977-11-01,113.52299
1977-12-01,113.84721
1978-01-01,114.32878
1978-02-01,115.31410
1978-03-01,116.05581
1978-04-01,115.67699
1978-05-01,116.70430
1978-06-01,116.36356
1978-07-01,114.81910
1978-08-01,114.20020
1978-09-01,114.95292
1978-10-01,118.68665
1978-11-01,119.10071
1978-12-01,118.70503
1979-01-01,119.05877
1979-02-01,119.06674
1979-03-01,118.46668
1979-04-01,117.34163
1979-05-01,116.75390
1979-06-01,115.06742
1979-07-01,116.89416
1979-08-01,117.96156
1979-09-01,119.44453
1979-10-01,118.81539
1979-11-01,118.96717
1979-12-01,113.88274
1980-01-01,111.79546
1980-02-01,110.87935
1980-03-01,110.07698
1980-04-01,109.31749
1980-05-01,110.41731
1980-06-01,110.72690
1980-07-01,112.52125
1980-08-01,111.57324
1980-09-01,110.71115
1980-10-01,109.53046
1980-11-01,108.79124
1980-12-01,108.22450
1981-01-01,106.22503
1981-02-01,104.24047
1981-03-01,105.11849
1981-04-01,104.71875
1981-05-01,104.48291
1981-06-01,104.60054
1981-07-01,104.76926
1981-08-01,103.94905
1981-09-01,107.52651
1981-10-01,108.03133
1981-11-01,108.34740
1981-12-01,106.82478
1982-01-01,105.39925
1982-02-01,104.21399
1982-03-01,102.90572
1982-04-01,102.46319
1982-05-01,104.38113
1982-06-01,102.49889
1982-07-01,102.27544
1982-08-01,102.23054
1982-09-01,102.24328
1982-10-01,105.00312
1982-11-01,106.70012
1982-12-01,107.35608
1983-01-01,108.29559
1983-02-01,107.77062
1983-03-01,107.34718
1983-04-01,107.41249
1983-05-01,106.78547
1983-06-01,105.35627
1983-07-01,104.10274
1983-08-01,103.07444
1983-09-01,103.96898
1983-10-01,104.48241
1983-11-01,104.36100
1983-12-01,103.20494
1984-01-01,102.36068
1984-02-01,103.75511
1984-03-01,104.18445
1984-04-01,103.14781
1984-05-01,103.37705
1984-06-01,104.00981
1984-07-01,103.35994
1984-08-01,103.42806
1984-09-01,103.24945
1984-10-01,103.42677
1984-11-01,104.74511
1984-12-01,104.36335
1985-01-01,104.83306
1985-02-01,103.93912
1985-03-01,104.14210
1985-04-01,104.67892
1985-05-01,104.62680
1985-06-01,104.74349
1985-07-01,104.94453
1985-08-01,105.78049
1985-09-01,105.39828
1985-10-01,106.79299
1985-11-01,107.41881
1985-12-01,108.20914
1986-01-01,107.64072
1986-02-01,108.03842
1986-03-01,109.00518
1986-04-01,111.68083
1986-05-01,112.25843
1986-06-01,111.98740
1986-07-01,111.71646
1986-08-01,113.49193
1986-09-01,114.14739
1986-10-01,116.26411
1986-11-01,116.26547
1986-12-01,116.37960
1987-01-01,117.75032
1987-02-01,118.20353
1987-03-01,118.28826
1987-04-01,117.49246
1987-05-01,118.91783
1987-06-01,118.31711
1987-07-01,117.10758
1987-08-01,115.70641
1987-09-01,115.71546
1987-10-01,116.40930
1987-11-01,117.90823
1987-12-01,118.36786
1988-01-01,118.40504
1988-02-01,118.78387
1988-03-01,118.32735
1988-04-01,117.38464
1988-05-01,117.67846
1988-06-01,117.61665
1988-07-01,116.02792
1988-08-01,115.50993
1988-09-01,115.67430
1988-10-01,115.28438
1988-11-01,116.27999
1988-12-01,115.56626
1989-01-01,113.59864
1989-02-01,113.35393
1989-03-01,113.51363
1989-04-01,113.52095
1989-05-01,113.07546
1989-06-01,112.94960
1989-07-01,113.78102
1989-08-01,113.73193
1989-09-01,113.57315
1989-10-01,115.04348
1989-11-01,116.97522
1989-12-01,119.00125
1990-01-01,118.29419
1990-02-01,118.49845
1990-03-01,118.98628
1990-04-01,119.26018
1990-05-01,119.77391
1990-06-01,118.59214
1990-07-01,117.92532
1990-08-01,118.95604
1990-09-01,119.10107
1990-10-01,118.96609
1990-11-01,119.34347
1990-12-01,119.06832
1991-01-01,117.55202
1991-02-01,117.58622
1991-03-01,116.05382
1991-04-01,114.03320
1991-05-01,114.43472
1991-06-01,113.09480
1991-07-01,111.86449
1991-08-01,112.35412
1991-09-01,114.20011
1991-10-01,112.82016
1991-11-01,113.45054
1991-12-01,114.08118
1992-01-01,113.29898
1992-02-01,112.94835
1992-03-01,112.54286
1992-04-01,112.40278
1992-05-01,113.18170
1992-06-01,113.92282
1992-07-01,114.63191
1992-08-01,115.55351
1992-09-01,116.34129
1992-10-01,118.16737
1992-11-01,117.68758
1992-12-01,118.74952
1993-01-01,117.94364
1993-02-01,119.04887
1993-03-01,118.91405
1993-04-01,118.57689
1993-05-01,118.03999
1993-06-01,117.16878
1993-07-01,115.15457
1993-08-01,110.51365
1993-09-01,111.99599
1993-10-01,113.42937
1993-11-01,114.02125
1993-12-01,114.89411
1994-01-01,114.54889
1994-02-01,113.61044
1994-03-01,114.06395
1994-04-01,113.81876
1994-05-01,114.97779
1994-06-01,115.55740
1994-07-01,116.24123
1994-08-01,115.85476
1994-09-01,115.60575
1994-10-01,116.47805
1994-11-01,116.58655
1994-12-01,116.01087
1995-01-01,116.15506
1995-02-01,116.92139
1995-03-01,118.50123
1995-04-01,120.91343
1995-05-01,120.71086
1995-06-01,120.51127
1995-07-01,120.36096
1995-08-01,119.25412
1995-09-01,119.02715
1995-10-01,120.01721
1995-11-01,119.87468
1995-12-01,119.07843
1996-01-01,118.39247
1996-02-01,118.76920
1996-03-01,118.44494
1996-04-01,117.52726
1996-05-01,116.88903
1996-06-01,116.70513
1996-07-01,117.11675
1996-08-01,117.67659
1996-09-01,117.54520
1996-10-01,117.12194
1996-11-01,117.30497
1996-12-01,116.55426
1997-01-01,115.67923
1997-02-01,114.68478
1997-03-01,114.61256
1997-04-01,114.54597
1997-05-01,115.35389
1997-06-01,114.96548
1997-07-01,112.96406
1997-08-01,112.85046
1997-09-01,113.92878
1997-10-01,114.32689
1997-11-01,115.25913
1997-12-01,115.00965
1998-01-01,115.35203
1998-02-01,115.20559
1998-03-01,114.67924
1998-04-01,114.29814
1998-05-01,116.10314
1998-06-01,116.43170
1998-07-01,116.17778
1998-08-01,117.37581
1998-09-01,119.20378
1998-10-01,120.68730
1998-11-01,119.86623
1998-12-01,120.05131
1999-01-01,119.06080
1999-02-01,119.01203
1999-03-01,118.63380
1999-04-01,117.90479
1999-05-01,117.74678
1999-06-01,117.17667
1999-07-01,116.75665
1999-08-01,117.83709
1999-09-01,117.32711
1999-10-01,118.11909
1999-11-01,117.06515
1999-12-01,115.92871
2000-01-01,115.61119
2000-02-01,114.87030
2000-03-01,114.77288
2000-04-01,114.10228
2000-05-01,113.31661
2000-06-01,115.06816
2000-07-01,114.64157
2000-08-01,113.06927
2000-09-01,112.39080
2000-10-01,112.53111
2000-11-01,112.57257
2000-12-01,113.27231
2001-01-01,115.05363
2001-02-01,115.24918
2001-03-01,116.18840
2001-04-01,114.84011
2001-05-01,114.21969
2001-06-01,113.63628
2001-07-01,114.27462
2001-08-01,115.37896
2001-09-01,116.27924
2001-10-01,116.48382
2001-11-01,115.21404
2001-12-01,115.58182
2002-01-01,115.40267
2002-02-01,115.42033
2002-03-01,115.73325
2002-04-01,115.94205
2002-05-01,116.71289
2002-06-01,117.75000
2002-07-01,118.58238
2002-08-01,118.43226
2002-09-01,118.45917
2002-10-01,118.57253
2002-11-01,118.87333
2002-12-01,118.96762
2003-01-01,119.86451
2003-02-01,120.97460
2003-03-01,122.15534
2003-04-01,122.22083
