Date,Inflation
1997-01-01,100.00000
1997-02-01,98.66990
1997-03-01,98.41037
1997-04-01,97.91843
1997-05-01,98.03784
1997-06-01,97.02863
1997-07-01,95.21377
1997-08-01,94.72048
1997-09-01,95.44214
1997-10-01,95.88681
1997-11-01,96.61193
1997-12-01,96.11001
1998-01-01,95.80777
1998-02-01,96.59786
1998-03-01,96.74924
1998-04-01,96.90605
1998-05-01,97.99694
1998-06-01,98.25679
1998-07-01,98.89447
1998-08-01,100.34397
1998-09-01,107.99137
1998-10-01,110.61800
1998-11-01,109.21524
1998-12-01,111.45724
1999-01-01,112.36842
1999-02-01,111.25640
1999-03-01,110.83371
1999-04-01,110.36106
1999-05-01,109.90038
1999-06-01,108.78288
1999-07-01,108.18439
1999-08-01,108.63151
1999-09-01,108.00931
1999-10-01,108.81527
1999-11-01,108.45680
1999-12-01,108.13225
2000-01-01,109.34694
2000-02-01,107.96616
2000-03-01,107.08793
2000-04-01,106.45511
2000-05-01,104.46377
2000-06-01,105.70033
2000-07-01,105.99957
2000-08-01,104.46039
2000-09-01,103.00556
2000-10-01,103.20690
2000-11-01,103.37378
2000-12-01,104.54963
2001-01-01,107.93359
2001-02-01,106.93371
2001-03-01,106.41374
2001-04-01,105.49228
2001-05-01,104.48640
2001-06-01,103.70396
2001-07-01,104.83197
2001-08-01,106.57843
2001-09-01,106.99020
2001-10-01,106.68963
2001-11-01,105.74511
2001-12-01,106.04041
2002-01-01,106.10767
2002-02-01,105.52286
2002-03-01,105.56588
2002-04-01,106.47022
2002-05-01,107.83759
2002-06-01,109.34299
2002-07-01,111.11344
2002-08-01,109.88897
2002-09-01,109.66639
2002-10-01,109.93618
2002-11-01,110.24650
2002-12-01,110.32478
2003-01-01,112.32604
2003-02-01,112.44164
2003-03-01,112.46400
2003-04-01,111.73037
2003-05-01,113.72840
2003-06-01,113.10697
2003-07-01,112.06961
2003-08-01,111.28342
2003-09-01,111.18210
2003-10-01,112.42625
2003-11-01,111.70556
2003-12-01,112.58392
2004-01-01,113.51094
2004-02-01,113.41120
2004-03-01,112.09077
2004-04-01,111.50251
2004-05-01,113.78116
2004-06-01,114.37635
2004-07-01,114.37296
2004-08-01,113.75556
2004-09-01,113.35774
2004-10-01,113.99039
2004-11-01,114.99194
2004-12-01,115.20455
2005-01-01,114.06092
2005-02-01,113.64937
2005-03-01,114.01534
2005-04-01,113.70979
2005-05-01,113.37724
2005-06-01,112.86635
2005-07-01,113.30800
2005-08-01,113.71062
2005-09-01,113.70844
2005-10-01,113.26957
2005-11-01,112.79737
2005-12-01,112.38941
2006-01-01,112.93694
2006-02-01,112.16293
2006-03-01,112.02764
2006-04-01,112.74368
2006-05-01,113.80941
2006-06-01,114.09360
2006-07-01,114.46951
2006-08-01,115.16221
2006-09-01,114.61001
2006-10-01,113.94072
2006-11-01,114.69536
2006-12-01,115.05020
2007-01-01,115.41897
2007-02-01,115.10526
2007-03-01,116.15072
2007-04-01,116.36540
2007-05-01,116.79887
2007-06-01,116.92351
2007-07-01,117.98271
2007-08-01,118.00738
2007-09-01,118.86797
2007-10-01,119.35119
2007-11-01,120.96021
2007-12-01,121.34911
2008-01-01,123.25771
2008-02-01,122.60345
2008-03-01,123.49504
2008-04-01,124.20202
2008-05-01,123.73220
2008-06-01,123.87617
2008-07-01,124.40543
2008-08-01,123.77453
2008-09-01,124.04747
2008-10-01,123.87305
2008-11-01,124.31390
2008-12-01,127.47053
2009-01-01,127.02755
2009-02-01,127.36011
2009-03-01,127.04284
2009-04-01,124.95268
2009-05-01,124.72884
2009-06-01,125.07074
2009-07-01,126.29853
2009-08-01,125.53607
2009-09-01,125.51035
2009-10-01,125.64469
2009-11-01,125.18772
2009-12-01,124.95797
2010-01-01,124.07778
2010-02-01,122.65455
2010-03-01,122.81609
2010-04-01,122.42006
2010-05-01,121.39850
2010-06-01,121.78012
2010-07-01,122.91669
2010-08-01,122.46020
2010-09-01,123.17666
2010-10-01,124.74164
2010-11-01,124.57120
2010-12-01,123.60034
2011-01-01,122.28167
2011-02-01,122.55472
2011-03-01,123.47039
2011-04-01,124.34050
2011-05-01,123.71585
2011-06-01,124.18766
2011-07-01,124.56831
2011-08-01,125.73028
2011-09-01,126.22505
2011-10-01,126.00728
2011-11-01,125.52137
2011-12-01,124.69929
2012-01-01,123.92843
2012-02-01,123.28566
2012-03-01,123.57321
2012-04-01,123.55688
2012-05-01,123.72404
2012-06-01,124.02989
2012-07-01,122.61377
2012-08-01,122.41830
2012-09-01,123.84262
2012-10-01,124.04888
2012-11-01,123.48715
2012-12-01,123.62243
2013-01-01,124.62588
2013-02-01,125.10300
2013-03-01,124.94304
2013-04-01,125.25506
2013-05-01,125.38899
2013-06-01,127.61378
2013-07-01,127.47329
2013-08-01,128.34894
2013-09-01,127.34263
2013-10-01,127.18460
2013-11-01,126.89474
2013-12-01,127.44069
2014-01-01,128.19066
2014-02-01,129.18795
2014-03-01,130.19574
2014-04-01,129.37854
2014-05-01,128.43471
2014-06-01,127.52374
2014-07-01,127.37979
2014-08-01,127.40342
2014-09-01,126.69864
2014-10-01,127.63842
2014-11-01,129.02804
2014-12-01,133.31830
2015-01-01,133.11731
2015-02-01,131.83493
2015-03-01,128.25400
2015-04-01,125.42532
2015-05-01,125.64780
2015-06-01,127.66537
2015-07-01,127.59341
2015-08-01,131.28870
2015-09-01,131.27108
2015-10-01,129.81475
2015-11-01,128.18338
2015-12-01,129.73440
2016-01-01,131.87435
2016-02-01,133.29368
2016-03-01,131.78815
2016-04-01,130.92001
2016-05-01,130.82385
2016-06-01,130.78023
2016-07-01,130.36582
2016-08-01,130.90741
2016-09-01,130.95715
2016-10-01,129.23997
2016-11-01,129.57499
2016-12-01,128.42131
2017-01-01,128.37824
2017-02-01,128.85442
2017-03-01,128.98019
