Date,Inflation
1970-01-01,100.00000
1970-02-01,99.84833
1970-03-01,99.88980
1970-04-01,100.06495
1970-05-01,100.05914
1970-06-01,100.04779
1970-07-01,99.64824
1970-08-01,99.84364
1970-09-01,99.56864
1970-10-01,99.22788
1970-11-01,99.05665
1970-12-01,98.67274
1971-01-01,98.66487
1971-02-01,99.23528
1971-03-01,98.99168
1971-04-01,98.85824
1971-05-01,99.74748
1971-06-01,100.11855
1971-07-01,100.61252
1971-08-01,101.29943
1971-09-01,101.70394
1971-10-01,101.70688
1971-11-01,101.69663
1971-12-01,102.38385
1972-01-01,103.91656
1972-02-01,104.78715
1972-03-01,105.12374
1972-04-01,104.98801
1972-05-01,104.65440
1972-06-01,105.01970
1972-07-01,107.07152
1972-08-01,106.13811
1972-09-01,106.47844
1972-10-01,106.57740
1972-11-01,107.41251
1972-12-01,107.25196
1973-01-01,107.18311
1973-02-01,108.84224
1973-03-01,112.26939
1973-04-01,110.83164
1973-05-01,111.27577
1973-06-01,116.02367
1973-07-01,123.28136
1973-08-01,120.75369
1973-09-01,121.44504
1973-10-01,121.69851
1973-11-01,117.66988
1973-12-01,115.41738
1974-01-01,110.97328
1974-02-01,111.19629
1974-03-01,112.17237
1974-04-01,112.89383
1974-05-01,113.56696
1974-06-01,112.40624
1974-07-01,112.40709
1974-08-01,111.57980
1974-09-01,110.14503
1974-10-01,110.74335
1974-11-01,112.02095
1974-12-01,113.19123
1975-01-01,116.62034
1975-02-01,116.98456
1975-03-01,117.29313
1975-04-01,116.39283
1975-05-01,117.08692
1975-06-01,118.00601
1975-07-01,114.57839
1975-08-01,112.66683
1975-09-01,111.83486
1975-10-01,112.80365
1975-11-01,112.55993
1975-12-01,111.80000
1976-01-01,111.98812
1976-02-01,111.92880
1976-03-01,111.71732
1976-04-01,112.58716
1976-05-01,112.16572
1976-06-01,112.05390
1976-07-01,111.25924
1976-08-01,111.61971
1976-09-01,113.36910
1976-10-01,115.63519
1976-11-01,116.33984
1976-12-01,116.22544
1977-01-01,115.69990
1977-02-01,114.96834
1977-03-01,114.90551
1977-04-01,114.99943
1977-05-01,115.55923
1977-06-01,115.17652
1977-07-01,115.76395
1977-08-01,114.55371
1977-09-01,114.77727
1977-10-01,114.70237
1977-11-01,114.00097
1977-12-01,115.30246
1978-01-01,115.42198
1978-02-01,115.44044
1978-03-01,117.68745
1978-04-01,118.17096
1978-05-01,116.49836
1978-06-01,115.81720
1978-07-01,114.81867
1978-08-01,114.28238
1978-09-01,114.17273
1978-10-01,117.93832
1978-11-01,117.42016
1978-12-01,118.50527
1979-01-01,120.37673
1979-02-01,119.76466
1979-03-01,119.50046
1979-04-01,117.97917
1979-05-01,117.22615
1979-06-01,117.00174
1979-07-01,116.13493
1979-08-01,116.30937
1979-09-01,118.14834
1979-10-01,119.61226
1979-11-01,121.67837
1979-12-01,122.45726
1980-01-01,121.48673
1980-02-01,120.56047
1980-03-01,117.07363
1980-04-01,114.96662
1980-05-01,115.22110
1980-06-01,114.91551
1980-07-01,115.54303
1980-08-01,113.96414
1980-09-01,112.21494
1980-10-01,109.23623
1980-11-01,106.41226
1980-12-01,105.01240
