Date,Inflation
1970-01-01,100.00000
1970-02-01,100.07852
1970-03-01,99.74600
1970-04-01,99.65700
1970-05-01,99.99900
1970-06-01,100.16958
1970-07-01,100.07141
1970-08-01,100.26024
1970-09-01,100.32486
1970-10-01,100.17304
1970-11-01,100.11085
1970-12-01,100.01534
1971-01-01,99.75005
1971-02-01,99.48040
1971-03-01,99.49436
1971-04-01,99.45755
1971-05-01,98.62845
1971-06-01,98.28379
1971-07-01,98.26453
1971-08-01,97.26832
1971-09-01,95.79853
1971-10-01,94.77596
1971-11-01,94.77840
1971-12-01,95.64743
1972-01-01,97.82176
1972-02-01,98.55036
1972-03-01,99.17903
1972-04-01,99.37573
1972-05-01,100.02028
1972-06-01,99.90788
1972-07-01,100.50242
1972-08-01,101.02812
1972-09-01,101.04117
1972-10-01,101.29990
1972-11-01,101.08542
1972-12-01,100.18647
1973-01-01,99.19422
1973-02-01,100.67046
1973-03-01,101.45706
1973-04-01,101.69481
1973-05-01,102.25205
1973-06-01,103.42381
1973-07-01,103.23378
1973-08-01,101.23128
1973-09-01,101.23316
1973-10-01,101.74354
1973-11-01,101.80253
1973-12-01,99.94493
1974-01-01,96.59213
1974-02-01,95.47961
1974-03-01,95.71647
1974-04-01,93.35661
1974-05-01,91.66088
1974-06-01,92.75798
1974-07-01,95.92874
1974-08-01,97.43828
1974-09-01,98.16659
1974-10-01,98.19413
1974-11-01,97.47570
1974-12-01,99.28864
1975-01-01,100.19540
1975-02-01,100.63916
1975-03-01,102.14040
1975-04-01,103.66444
1975-05-01,106.56223
1975-06-01,107.91306
1975-07-01,106.86837
1975-08-01,106.79692
1975-09-01,106.22414
1975-10-01,107.25397
1975-11-01,107.55839
1975-12-01,107.23307
1976-01-01,106.95272
1976-02-01,107.70448
1976-03-01,105.86532
1976-04-01,105.36373
1976-05-01,104.87402
1976-06-01,104.76428
1976-07-01,102.89887
1976-08-01,99.45996
1976-09-01,100.06154
1976-10-01,97.86249
1976-11-01,97.75233
1976-12-01,96.88536
1977-01-01,96.77738
1977-02-01,96.77625
1977-03-01,96.84313
1977-04-01,97.10609
1977-05-01,97.32819
1977-06-01,97.64930
1977-07-01,98.86688
1977-08-01,98.70085
1977-09-01,98.88783
1977-10-01,99.17236
1977-11-01,98.12473
1977-12-01,96.57811
1978-01-01,96.25429
1978-02-01,92.78122
1978-03-01,94.49245
1978-04-01,97.85471
1978-05-01,99.32123
1978-06-01,99.95826
1978-07-01,102.25726
1978-08-01,101.85775
1978-09-01,100.86595
1978-10-01,100.27997
1978-11-01,99.96231
1978-12-01,100.55219
1979-01-01,101.07728
1979-02-01,100.64467
1979-03-01,100.65622
1979-04-01,100.46841
1979-05-01,100.28754
1979-06-01,100.44207
1979-07-01,100.64211
1979-08-01,101.08698
1979-09-01,101.40206
1979-10-01,102.48226
1979-11-01,103.38924
1979-12-01,104.06548
1980-01-01,104.45503
1980-02-01,103.75776
1980-03-01,103.59740
1980-04-01,104.08810
1980-05-01,104.12076
1980-06-01,104.61834
1980-07-01,105.97789
1980-08-01,105.93873
1980-09-01,105.60829
1980-10-01,105.38064
1980-11-01,103.85986
1980-12-01,103.99168
1981-01-01,103.26903
1981-02-01,101.76905
1981-03-01,101.59202
1981-04-01,101.85402
1981-05-01,99.43027
1981-06-01,99.95470
1981-07-01,100.83676
1981-08-01,100.54917
1981-09-01,102.69090
1981-10-01,101.32061
1981-11-01,100.28001
1981-12-01,99.78456
1982-01-01,99.48850
1982-02-01,99.66745
1982-03-01,100.42069
1982-04-01,100.52747
1982-05-01,101.53833
1982-06-01,96.91351
1982-07-01,94.38934
1982-08-01,93.80111
1982-09-01,92.56805
1982-10-01,92.84538
1982-11-01,93.74634
1982-12-01,95.74584
1983-01-01,96.47596
1983-02-01,96.71795
1983-03-01,96.15304
1983-04-01,93.61250
1983-05-01,92.93669
1983-06-01,92.58335
1983-07-01,92.72535
1983-08-01,92.16927
1983-09-01,92.22904
1983-10-01,92.35583
1983-11-01,91.90082
1983-12-01,91.38842
1984-01-01,90.73553
1984-02-01,91.42474
1984-03-01,92.59981
1984-04-01,92.58418
1984-05-01,91.92892
1984-06-01,92.43126
1984-07-01,92.45061
1984-08-01,92.33207
1984-09-01,91.56751
1984-10-01,91.59596
1984-11-01,92.33093
1984-12-01,91.75365
1985-01-01,91.63223
1985-02-01,91.13629
1985-03-01,91.21888
1985-04-01,92.79168
1985-05-01,93.10924
1985-06-01,93.39829
1985-07-01,94.83240
1985-08-01,96.12293
1985-09-01,95.82579
1985-10-01,97.25807
1985-11-01,97.65127
1985-12-01,98.23225
1986-01-01,98.57811
1986-02-01,99.18256
1986-03-01,99.84022
1986-04-01,96.76213
1986-05-01,96.42488
1986-06-01,96.74253
1986-07-01,97.08562
1986-08-01,97.36403
1986-09-01,97.47892
1986-10-01,98.68246
1986-11-01,98.82343
1986-12-01,98.80133
1987-01-01,99.58770
1987-02-01,100.05179
1987-03-01,99.35215
1987-04-01,99.17952
1987-05-01,99.18043
1987-06-01,99.05394
